idx,branch_name,merge,left,right,notes,union_diff_files,num_intersecting_files,num_diff_lines,num_diff_hunks,diff contains java file,imports_involved,non_java_involved,num_diff_files,test merge,sampled for testing
9,refs/heads/master,cb7f311e2f50f47a56f0ada0c1f96a06f5395fb5,f74134eec9fd4e5ac683383f215823e9cc3901ae,b02b2f300d4cc564de3226fb045edd509c121f16,,2,2,6,3,False,False,True,2,False,False
10,refs/heads/master,f74134eec9fd4e5ac683383f215823e9cc3901ae,c439f87f29f3e56ccf1e3c893bf3396bc7ad65c8,1f54f25170a7bf163ca8380aeeadf67d03685834,,2,2,4,2,False,False,True,2,False,False
12,refs/heads/master,f9903f5f97880d720dff2436a9d505f79fb7152f,5300d6ecae840f71941c06bfb67a29b7644d1a8a,591968bbebf6669263a5813686978bd7102d5d70,,2,2,6,3,False,False,True,2,False,False
13,refs/heads/master,5300d6ecae840f71941c06bfb67a29b7644d1a8a,d1d2f431e8fda8a29df7a0139267663b9ecaa22c,542141a93d6606fb98c6ae7363bb3fe07fa2a05a,,2,2,4,2,False,False,True,2,False,False
15,refs/heads/master,a8d3c15d21e037c716d0d4e38c9defafe5e04f01,f9fb0b61c8bc952722876ecb819bbbfd988ccb46,bf61c3323d43f2860a5d9625bfc306859321569e,,2,2,4,2,False,False,True,2,False,False
18,refs/heads/master,2601fafbe89b1267386d83e048b906b4af598bd0,a0dda4032482dc2700530be4e34e81e0c5472f4a,cf7a4cdd6cc23e5b5a3c1a71ce9fa83cdf4c6cdb,,3,1,4,2,False,False,True,3,False,False
30,refs/heads/master,9880dd5ad01caf6ec8fd6094615bdf5465ac65ef,986c9baac6f3a071c9647292b80469902de152b7,ef9d08dcc34c8ae79e0e26f8fad21a348268a21f,,9,2,95,18,False,True,True,9,False,False
31,refs/heads/master,986c9baac6f3a071c9647292b80469902de152b7,6933e96b1bb3dc22879be4421b166ca9e2b21be0,00c45a2679f66498d3df960cf46340da130b6c69,,9,2,93,17,False,True,True,9,False,False
32,refs/heads/master,6933e96b1bb3dc22879be4421b166ca9e2b21be0,69cab6383c3da8b77f5ca76a31971c043c695e80,86e435383747c63a4343ba981a95ebaa912b37eb,,9,2,91,16,False,True,True,9,False,False
40,refs/heads/master,cc401048fe6318ae72514711cd54d5991861d71d,b22eb55d4a209bbc597b38f7d053a96a2a61a961,0dcbf2099c6c86bdcb9b1fd07d9f5ead8935eb88,,6,1,14,7,False,False,True,6,False,False
41,refs/heads/master,b22eb55d4a209bbc597b38f7d053a96a2a61a961,3bed6d7d98406fef0177d525fa317b484a8eed0d,681818c4a2f110f56f7e52e4362707615fcac64a,,2,2,6,3,False,False,True,2,False,False
42,refs/heads/master,3bed6d7d98406fef0177d525fa317b484a8eed0d,d082a48ebf27fe41140008ee560e3cf1da2c1c2b,921b6d38ba68a865899a353d42c81627c0c5e012,,2,2,4,2,False,False,True,2,False,False
53,refs/heads/master,a6ae85624e9a3cb9f203189dd8ab85d0b45b44c2,cb75891605f5a0a8d8cc6069d0e1ce0207bdf428,4843dd93a13cc193a2c3076fc05c6c68640753dc,,2,2,4,2,False,False,True,2,False,False
61,refs/heads/master,f2887428d2f9bdbc3e8423fc5b0b87472a15b730,240eafc87ea478fd1903147a8aadc94159c41148,702fa90cdf93014a22373b0a5d0b734db4fb37a2,,2,2,6,3,False,False,True,2,False,False
62,refs/heads/master,240eafc87ea478fd1903147a8aadc94159c41148,30dcbf92b3b937e70d2799ab8e8d3eecc598590b,098c695de70d699cb628cd289ed6c200258d27c1,,2,2,4,2,False,False,True,2,False,False
64,refs/heads/master,46caf0423d333312204b382fc94739dd095558bb,14dc03d35c0d7f370e72bdbd2e3ee22133163f27,69ba2870cc4212a633403569949ad4643b956f04,,6,2,332,15,False,False,True,6,False,False
65,refs/heads/master,14dc03d35c0d7f370e72bdbd2e3ee22133163f27,22d95c40898a5f5101070c9476d179e8b2d1077e,f67f5b2679d755f07f532e1f1e57ba0f7eef1356,,2,2,4,2,False,False,True,2,False,False
66,refs/heads/master,22d95c40898a5f5101070c9476d179e8b2d1077e,bafa0ea306895a8818b31a1e676708edd83145cd,01fbbaeadef1833a37eb83b2622737a1289e2380,,2,2,4,2,False,False,True,2,False,False
68,refs/heads/master,9eea1763c32d5a41f1bb9e03797a9c4ba6ddde6b,f14fc4d39362687fae1d331c26af1d27e71520d6,ec01463837bbbde95668d7c96331e93969de0048,,2,2,4,2,False,False,True,2,False,False
69,refs/heads/master,f14fc4d39362687fae1d331c26af1d27e71520d6,5cb13b22585b86357de1a5c39d772ed1a0e57020,d9352904274a4ab988fc282f4f16a050d816291d,,2,2,4,2,False,False,True,2,False,False
73,refs/heads/master,3632a0282761ae88cdb158799b7b1cd45f42571f,6820b36e8e379959e75f90fac03f724e332e7c8e,3a8839c1ed67fb5868202870fd16dd9776c60215,,2,2,4,2,False,False,True,2,False,False
78,refs/heads/master,0f019188127be011c6da8dae3afa5defcadf42ea,e150526f3e52b637a97f161ad5915c25402be6dd,45a8908f76a3f5407f7aab61590a9256ef8b053e,,2,2,13,2,False,False,True,2,False,False
82,refs/heads/master,406108c01acf1e984a4a0b2028538b591dd602e8,7434c3ac7fa6a89eda9c208363993806aed3555d,73a3b04cd374614caebb6fd7152c86713aebe2eb,,3,1,46,4,False,False,True,3,False,False
83,refs/heads/master,7434c3ac7fa6a89eda9c208363993806aed3555d,ddfe512a0a0ca0821ee9791dcb027905a2d7fb4d,677f1f5ebb3bda402557fbf8dc7aec09823ce5c8,,2,2,6,3,False,False,True,2,False,False
84,refs/heads/master,ddfe512a0a0ca0821ee9791dcb027905a2d7fb4d,56612b2b74aff10aa644c4b4abf9b4a1ed2d8a88,553f863f2631d4060082336f312633b7ab5d3ce3,,2,2,4,2,False,False,True,2,False,False
94,refs/heads/master,70554d75604cab2b85e012183364b4664fa43820,aca14098c4cdae5dcb23ef705994c820c2237c01,c886fcba943f3565a29c6c829d1c004a62a38ec1,,2,2,6,3,False,False,True,2,False,False
95,refs/heads/master,aca14098c4cdae5dcb23ef705994c820c2237c01,ec384a5d68263d6afd968f509f0956ca8b4f00a4,c881310a9a6813fed006016b68f8ece565764ee0,,2,2,4,2,False,False,True,2,False,False
98,refs/heads/master,f8212f401a9b98112feff7380078f6edfe5bb8fc,e51fa09f2cdf51c7b302c3dd8f82e1d814f32ea0,8ed95958fceeee8ccc004164678ed7f7a0129044,,2,2,6,3,False,False,True,2,False,False
99,refs/heads/master,e51fa09f2cdf51c7b302c3dd8f82e1d814f32ea0,e5facd0631f65021ff01add0fadd20bca183989e,469dae47046758b32fdaf965bcf0a95e02a0c17b,,2,2,4,2,False,False,True,2,False,False
101,refs/heads/master,9df95715e44c2bbe07146c3114b4791aa931fe1e,d17e739d7ac014a4ec746b555a8f1272f31b8cfc,f7d90574632c0c090e23b31215fb42c56ab48899,,2,2,6,3,False,False,True,2,False,False
102,refs/heads/master,d17e739d7ac014a4ec746b555a8f1272f31b8cfc,afcbcb939a69d43bc2b8fd1596ef59127baa3e06,ec5d05f083fe82b8cf3ffb3f72e8ad922e6ef0b3,,2,2,4,2,False,False,True,2,False,False
109,refs/heads/master,084fa9484260f14bebfbe072247c785c5ca0b052,ec12bf7bc0a8ad991a8c72c7ac89aeda94e96fb6,f1e45f758ca42cbe5bc3e1accf059edd96c2767b,,2,2,6,3,False,False,True,2,False,False
110,refs/heads/master,ec12bf7bc0a8ad991a8c72c7ac89aeda94e96fb6,ac69d6d101c0fba77e53266796f9e8c599d759b2,6eab6f67ec517ec5a82626a869037a1076902406,,2,2,4,2,False,False,True,2,False,False
112,refs/heads/master,fcfc75855276f2a6470e6d7eee8f378f7cdca2c7,8ed5ba95c825563f8fff9110e1ff8354e1372511,ab46234920ece821cfaa1e7211ec8e33b45fd5a8,,2,2,6,3,False,False,True,2,False,False
