idx,branch_name,merge,left,right,notes,diff contains java file,imports_involved,non_java_involved,num_diff_files,num_diff_lines,test merge,left parent test result,left_tree_fingerprint,parents pass,right parent test result,right_tree_fingerprint,sampled for testing
2,refs/heads/develop,f6ab09ddf4fe90016e3723a142290a6af9eea5be,acf9139929ff912e3cfa3ce1b519964b83eb1355,db91d5502ef6e8e0bd94614572159a2ff40b7755,,False,True,True,18,5,False,,,,,,False
8,refs/heads/develop,7179eeb5056436ab7580eba1365e93caed078341,feeb3747e1f85434d5828bee3082567180c1e260,4021320ebe334b7f1239c3027d5898cbc89649d7,,False,True,True,53,516,False,,,,,,False
23,refs/heads/develop,5f69834a3348fc078da6db2a849edd3440126844,e2ca5ae1cc6c201aca9ed4c3bcd8f29f748de4b4,f1023bd8dd3be8a8ca144a9597e3221061226dc7,,True,True,True,6,0,True,Tests_passed,cb5fe5d0d0679ff725e5cdd29099fd6b25f23ac7019daeebf3c1eaf6ad2bb334,True,Tests_passed,b0e8b0da1d6331a5bf4559d3a15c3488d8780d560d567dfdbb10fb8d3301908d,True
24,refs/heads/develop,8137e10d6d6882c6461a20848c0699404328c767,65dc547c6168c01e2399106e022edf1aa6bc8711,33070ec5138938496f3349197d8e0f0d84bce790,,True,True,True,11,28,True,Tests_passed,4a5639825ed45d13ad085d24d4b845a17db97c219feb349cd5be18d964332041,True,Tests_passed,dbfb2449c2152c7cccad58a1aadc3f8196ecbb40e832a6423e8cb0d2aeb265b4,True
25,refs/heads/develop,039ee4a9ce1b724a86f3be6d2b83b8cfe13ccc77,ac6b4f6f685d28bb39d097502ce6201b8ffac4d1,3ea759cac3b6281a94e97d498b4a5668a44e6cb3,,False,True,True,11,88,False,,,,,,False
33,refs/heads/develop,3dac8319242e5a42f9b82e1a089c61e231c418d4,fb9e3a76b1df0eda80ac5428baa0d0f3809ce743,527cddb7f77838fc8ca2edfb383453621c8ec124,,False,True,True,19,165,False,,,,,,False
38,refs/heads/develop,3704f74a28531d70e3589df4eedfffa11d253849,fddb24dcabb955a69b036fcd8dea5ea7bcc3eaf6,923758b5e35258e8fb64833fcd35cb0892587ed9,,False,True,True,12,104,False,,,,,,False
42,refs/heads/develop,9c4ec7db6ebc85f8fb2d5e5ff662b042138968ec,3e9e642e829b44c8fb76ed5607479bac7cfafa65,db24d65d75c0fb31b62a5cf3ec3b18c08fb5175e,,False,True,True,32,143,False,,,,,,False
46,refs/heads/develop,472f180f575530b86d453798a91279033f60697e,bb57ad295647c41a5999d5271b32e4f4587bd0ac,7af9a9be5e20b1a6c02ff87f1aab40352133fe93,,False,True,True,26,235,False,,,,,,False
48,refs/heads/develop,b538515f3ce7d5ba3c92324eeb8a7c2a16d0bfd8,fd48e4b837a917ccaa8748d369f64049418be702,ab5069e23186fbdc4adfe8f3d750b7735d7a252c,,True,True,True,33,196,False,Tests_failed,e3661ad36b868474d713e97a1e2dfe4ebcd3bd6a449087edfbe8dab0b7f72107,False,Tests_failed,61b8f8aa9fe1a14fe7dc33ef7ac05aba375e38df89cbf4e531b13f6f9b3edda9,False
