idx,branch_name,merge,left,right,notes,num_diff_files,num_diff_lines,imports_involved,non_java_involved,diff contains java file,test merge,diff_logs,sampled for testing
1,refs/heads/main,36251cbadc0d2ffa5a28f200882f9f0bfb19af22,2e90178f58f08d118c47e30213981d3ce6edee09,daaef839954a36aeffdeea0c03872acae5179c4d,,2,8,False,True,False,False,,False
2,refs/heads/main,2e90178f58f08d118c47e30213981d3ce6edee09,4380733d26caee07b16506b1721ed3582474972e,776e775fb8747400a4e0ee7610d466c77e276106,,2,6,False,True,False,False,,False
3,refs/heads/main,4380733d26caee07b16506b1721ed3582474972e,40e7d96c34c1920c9c8cdffd7feedcdfcae5cb05,f488f1466e6c62286cd8dcfc8af7f8fc805cbca0,,2,4,False,True,False,False,,False
9,refs/heads/main,e24ce2fc3d36ad2e537d01d277e5a440d93fed1a,491a71d2d50a968a36c076e5f5431d7cea582742,25c64f076114acc4c9795cf2b04fea45ed87d957,,2,4,False,True,False,False,"{'base_left': 'cache/diff_analyzer/logs/jbossas/jboss-invocation/491a71d2d50a968a36c076e5f5431d7cea582742_25c64f076114acc4c9795cf2b04fea45ed87d957_base_left.log', 'base_right': 'cache/diff_analyzer/logs/jbossas/jboss-invocation/491a71d2d50a968a36c076e5f5431d7cea582742_25c64f076114acc4c9795cf2b04fea45ed87d957_base_right.log', 'left_right': 'cache/diff_analyzer/logs/jbossas/jboss-invocation/491a71d2d50a968a36c076e5f5431d7cea582742_25c64f076114acc4c9795cf2b04fea45ed87d957_left_right.log'}",False
13,refs/heads/main,799bb62f90e3e0bde1c67b562544a91cc622c16d,74a42985c37408c01bcfbc350654c8d4dd148440,1da4e996cea5b6acb346e0f963f80b7945562688,,3,8,False,True,False,False,"{'base_left': 'cache/diff_analyzer/logs/jbossas/jboss-invocation/74a42985c37408c01bcfbc350654c8d4dd148440_1da4e996cea5b6acb346e0f963f80b7945562688_base_left.log', 'base_right': 'cache/diff_analyzer/logs/jbossas/jboss-invocation/74a42985c37408c01bcfbc350654c8d4dd148440_1da4e996cea5b6acb346e0f963f80b7945562688_base_right.log', 'left_right': 'cache/diff_analyzer/logs/jbossas/jboss-invocation/74a42985c37408c01bcfbc350654c8d4dd148440_1da4e996cea5b6acb346e0f963f80b7945562688_left_right.log'}",False
15,refs/heads/main,86ac552d740958171dd81335f8e5ca786d8ea1ba,e8ebc12c64bc14eda779d03b4ba41d6d4fbf649d,b35a8cff2642f46c2d55655f2496058e92e998e6,,3,4,False,True,False,False,"{'base_left': 'cache/diff_analyzer/logs/jbossas/jboss-invocation/e8ebc12c64bc14eda779d03b4ba41d6d4fbf649d_b35a8cff2642f46c2d55655f2496058e92e998e6_base_left.log', 'base_right': 'cache/diff_analyzer/logs/jbossas/jboss-invocation/e8ebc12c64bc14eda779d03b4ba41d6d4fbf649d_b35a8cff2642f46c2d55655f2496058e92e998e6_base_right.log', 'left_right': 'cache/diff_analyzer/logs/jbossas/jboss-invocation/e8ebc12c64bc14eda779d03b4ba41d6d4fbf649d_b35a8cff2642f46c2d55655f2496058e92e998e6_left_right.log'}",False
19,refs/heads/main,5559c76946efca3210737cede62fc5a9b1ce3854,4a14bfee5619374086d884873679860d834a7327,50ba045d397116f2bcbc9bb056d3c17de7fc1cb4,,2,32,False,True,False,False,"{'base_left': 'cache/diff_analyzer/logs/jbossas/jboss-invocation/4a14bfee5619374086d884873679860d834a7327_50ba045d397116f2bcbc9bb056d3c17de7fc1cb4_base_left.log', 'base_right': 'cache/diff_analyzer/logs/jbossas/jboss-invocation/4a14bfee5619374086d884873679860d834a7327_50ba045d397116f2bcbc9bb056d3c17de7fc1cb4_base_right.log', 'left_right': 'cache/diff_analyzer/logs/jbossas/jboss-invocation/4a14bfee5619374086d884873679860d834a7327_50ba045d397116f2bcbc9bb056d3c17de7fc1cb4_left_right.log'}",False
21,refs/heads/main,216861bbc9e96597716b0a893f7364684b680302,999368c9a898e5025c390ffd88a1b49ce597db94,6c0b70d6c99c2b59110f1b6b8fcf8c83bf3abfb0,,2,6,False,True,False,False,"{'base_left': 'cache/diff_analyzer/logs/jbossas/jboss-invocation/999368c9a898e5025c390ffd88a1b49ce597db94_6c0b70d6c99c2b59110f1b6b8fcf8c83bf3abfb0_base_left.log', 'base_right': 'cache/diff_analyzer/logs/jbossas/jboss-invocation/999368c9a898e5025c390ffd88a1b49ce597db94_6c0b70d6c99c2b59110f1b6b8fcf8c83bf3abfb0_base_right.log', 'left_right': 'cache/diff_analyzer/logs/jbossas/jboss-invocation/999368c9a898e5025c390ffd88a1b49ce597db94_6c0b70d6c99c2b59110f1b6b8fcf8c83bf3abfb0_left_right.log'}",False
22,refs/heads/main,999368c9a898e5025c390ffd88a1b49ce597db94,3c5e6a5c8c24503e4bc0b43b8ff964b520ab9379,7ff62f6751e506d7402c0f8f66e7d423b54da2ad,,2,4,False,True,False,False,"{'base_left': 'cache/diff_analyzer/logs/jbossas/jboss-invocation/3c5e6a5c8c24503e4bc0b43b8ff964b520ab9379_7ff62f6751e506d7402c0f8f66e7d423b54da2ad_base_left.log', 'base_right': 'cache/diff_analyzer/logs/jbossas/jboss-invocation/3c5e6a5c8c24503e4bc0b43b8ff964b520ab9379_7ff62f6751e506d7402c0f8f66e7d423b54da2ad_base_right.log', 'left_right': 'cache/diff_analyzer/logs/jbossas/jboss-invocation/3c5e6a5c8c24503e4bc0b43b8ff964b520ab9379_7ff62f6751e506d7402c0f8f66e7d423b54da2ad_left_right.log'}",False
30,refs/heads/main,a0ae8dadca4400567f4333acb4cafa336d497cdc,dbde63576cd39e79efa21ff25c5a7f8005e2c0d8,ce4c746d5de4628a891164a0a028b0f6c92bba2d,,3,43,False,True,False,False,"{'base_left': 'cache/diff_analyzer/logs/jbossas/jboss-invocation/dbde63576cd39e79efa21ff25c5a7f8005e2c0d8_ce4c746d5de4628a891164a0a028b0f6c92bba2d_base_left.log', 'base_right': 'cache/diff_analyzer/logs/jbossas/jboss-invocation/dbde63576cd39e79efa21ff25c5a7f8005e2c0d8_ce4c746d5de4628a891164a0a028b0f6c92bba2d_base_right.log', 'left_right': 'cache/diff_analyzer/logs/jbossas/jboss-invocation/dbde63576cd39e79efa21ff25c5a7f8005e2c0d8_ce4c746d5de4628a891164a0a028b0f6c92bba2d_left_right.log'}",False
