idx,branch_name,merge,left,right,notes,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,diff contains java file,test merge,sampled for testing,gitmerge_ort,gitmerge_ort_merge_fingerprint,gitmerge_ort_ignorespace,gitmerge_ort_ignorespace_merge_fingerprint,gitmerge_recursive_histogram,gitmerge_recursive_histogram_merge_fingerprint,gitmerge_recursive_ignorespace,gitmerge_recursive_ignorespace_merge_fingerprint,gitmerge_recursive_minimal,gitmerge_recursive_minimal_merge_fingerprint,gitmerge_recursive_myers,gitmerge_recursive_myers_merge_fingerprint,gitmerge_recursive_patience,gitmerge_recursive_patience_merge_fingerprint,gitmerge_resolve,gitmerge_resolve_merge_fingerprint,gitmerge_ort_adjacent,gitmerge_ort_adjacent_merge_fingerprint,gitmerge_ort_imports,gitmerge_ort_imports_merge_fingerprint,gitmerge_ort_imports_ignorespace,gitmerge_ort_imports_ignorespace_merge_fingerprint,git_hires_merge,git_hires_merge_merge_fingerprint,spork,spork_merge_fingerprint,intellimerge,intellimerge_merge_fingerprint
2,refs/heads/master,f85f90da3d8305f4cd40870cf736123b49ae379f,451984af54baee5a10f21aba0da677f9299749fa,c467eb41915fc8ebb794f8121a4b9785f734540d,,5e68d50ebde97a0439a267b07edc8028039372e44e046fdc4c4a40c983237b9c,Tests_passed,fd1c543fa3a9c99cbb59b31c78cff5aa5f2ba22d67d62ce8c7280e981870a0d6,Tests_passed,True,True,True,True,Merge_failed,40510cc432138c16b12d67ecbcd2615a60d96de2f7437fdd325352922f9b021c,Merge_failed,40510cc432138c16b12d67ecbcd2615a60d96de2f7437fdd325352922f9b021c,Merge_failed,40510cc432138c16b12d67ecbcd2615a60d96de2f7437fdd325352922f9b021c,Merge_failed,40510cc432138c16b12d67ecbcd2615a60d96de2f7437fdd325352922f9b021c,Merge_failed,40510cc432138c16b12d67ecbcd2615a60d96de2f7437fdd325352922f9b021c,Merge_failed,40510cc432138c16b12d67ecbcd2615a60d96de2f7437fdd325352922f9b021c,Merge_failed,40510cc432138c16b12d67ecbcd2615a60d96de2f7437fdd325352922f9b021c,Merge_failed,f3258e592b9160a3172e0eb2fc4dedea4976ed171a76f97b09416e89e447644b,Merge_failed,40510cc432138c16b12d67ecbcd2615a60d96de2f7437fdd325352922f9b021c,Merge_failed,1a599b8e503249fdd9d7c6f5bdf6bc50e399cb8a29bc436a2b1fce225da73cf7,Merge_failed,1a599b8e503249fdd9d7c6f5bdf6bc50e399cb8a29bc436a2b1fce225da73cf7,Merge_failed,f3606dfb7b66543e5c66c4f48b27aa9070ffe78ac547852922a988b10e81e9c6,Merge_failed,a13f319441127f91d03e922652735a99bc2450ff0758896fe31e3d65e4cc98bd,Merge_failed,c1a31a837ebe49b38ab9d9f84fe6bc0873c91fe15e628031efa21b5e4fa90b37
5,refs/remotes/origin/pull/21,0b51f83a62407e5a5c3dd0597e02b5733aad516c,ee378239b7fb40fa7959134a197a01b7ebc3dc16,4932f5494d29d461cab746b4667b728f06cccb5e,,8310217bc26883a21be46d41bfb3c5ab88e9f3e9c8d1fc6d35f5bef2192c542e,Tests_passed,e4015cdca306fd7e842c03399ed18e8cca6df90163547686fe46805ee22279c2,Tests_passed,True,True,True,True,Merge_failed,16369792f559af5d9a4fa184055dc7619ab82cf63a85dbef6f0f2878dcb51572,Tests_passed,a0dff17d75aa7c3606b3adf56dc23d9c4c79db3a0ded4959795d0fe265ee75fc,Merge_failed,16369792f559af5d9a4fa184055dc7619ab82cf63a85dbef6f0f2878dcb51572,Tests_passed,a0dff17d75aa7c3606b3adf56dc23d9c4c79db3a0ded4959795d0fe265ee75fc,Merge_failed,16369792f559af5d9a4fa184055dc7619ab82cf63a85dbef6f0f2878dcb51572,Merge_failed,16369792f559af5d9a4fa184055dc7619ab82cf63a85dbef6f0f2878dcb51572,Merge_failed,16369792f559af5d9a4fa184055dc7619ab82cf63a85dbef6f0f2878dcb51572,Merge_failed,48148a371df97c677d95f045fada3ce6d830791a5f30d5cb8940a0dd5f4b11b5,Merge_failed,16369792f559af5d9a4fa184055dc7619ab82cf63a85dbef6f0f2878dcb51572,Tests_passed,cbedab5c123cb6f534922a2951bc59f940fe93e3e3ca0dd42a953412ac47d586,Tests_passed,cbedab5c123cb6f534922a2951bc59f940fe93e3e3ca0dd42a953412ac47d586,Merge_failed,53c56a133573c5dd2e9d1a10e38f424b9677d707ec8e311bc73885042a74451d,Tests_failed,a1bc7b77c21b659c9f01eb9d880407cc1c1fa8c04bb668bfde723dff95796c58,Merge_failed,169f97c545b8cb32f01605eb0b25303c3e96550aac1fc0fe72e77fb11c272df2
6,refs/remotes/origin/pull/23,f1a22946df99bc2bd9997867310bc9420c72adf2,8107439ecb425ebdb51a96e971348352a44fb89b,1653d869383df9c961ae69337b10dfc51f0b8837,,5288aec29913c2d5c7c33407a8c65deee191b6f3307b83c466807bf1c6e52ce2,Tests_passed,59e76214a74398c301c2177451ddca2e8cd63daa145dbad687d6dd69d1d5ed48,Tests_passed,True,True,True,True,Merge_failed,3f75f5426150b352c64ff923160f057e3990888ccf7cc98646dbf6908f71676e,Merge_failed,04a271e2c20fcfa9239ad0a0d4f3edcb85d68cf4bee7cc12eb8729c344386027,Merge_failed,3f75f5426150b352c64ff923160f057e3990888ccf7cc98646dbf6908f71676e,Merge_failed,3c3a91f136f7ae225e810d48c67d43086c9f018434e688fc5003a42b5e9ec59b,Merge_failed,3f75f5426150b352c64ff923160f057e3990888ccf7cc98646dbf6908f71676e,Merge_failed,3f75f5426150b352c64ff923160f057e3990888ccf7cc98646dbf6908f71676e,Merge_failed,3f75f5426150b352c64ff923160f057e3990888ccf7cc98646dbf6908f71676e,Merge_failed,e4e6aeb9b978bc4c3bea1f6874f3401ca439ff7c52519825d2623f8320b8a934,Merge_failed,3f75f5426150b352c64ff923160f057e3990888ccf7cc98646dbf6908f71676e,Merge_failed,d65082531ffb325925fb65b0bc6bd70bfb4013b37f153e7fbd54bdccf186ea6d,Merge_failed,6e716d1f23537700d005383c8d041189b7c99f025e7f64ede56e5b331bfb3d3f,Merge_failed,58019ccc7a466f7a46db4100f2cd6666e8f6f23f48b2fbc64af7710c266a897e,Merge_failed,b5af247251610c422f2eeede60213cf6aa042cf317123b7dcf5d651d4d94f5dd,Merge_failed,b1ba73adfa079befaeda27220157047e9c4995d3e9f4da96d0a54bd573c8c16f
