idx,branch_name,merge,left,right,notes,diff_size,diff_contains_java_file,left_tree_fingerprint,left parent test result,left parent test coverage,parents pass,right_tree_fingerprint,right parent test result,right parent test coverage,test merge,sampled for testing,gitmerge_ort,gitmerge_ort_merge_fingerprint,gitmerge_ort_adjacent,gitmerge_ort_adjacent_merge_fingerprint,gitmerge_ort_ignorespace,gitmerge_ort_ignorespace_merge_fingerprint,gitmerge_ort_imports,gitmerge_ort_imports_merge_fingerprint,gitmerge_ort_imports_ignorespace,gitmerge_ort_imports_ignorespace_merge_fingerprint,gitmerge_resolve,gitmerge_resolve_merge_fingerprint,gitmerge_recursive_histogram,gitmerge_recursive_histogram_merge_fingerprint,gitmerge_recursive_ignorespace,gitmerge_recursive_ignorespace_merge_fingerprint,gitmerge_recursive_minimal,gitmerge_recursive_minimal_merge_fingerprint,gitmerge_recursive_myers,gitmerge_recursive_myers_merge_fingerprint,gitmerge_recursive_patience,gitmerge_recursive_patience_merge_fingerprint,git_hires_merge,git_hires_merge_merge_fingerprint,spork,spork_merge_fingerprint,intellimerge,intellimerge_merge_fingerprint
1,refs/heads/release/4.2.x,31a1102cdb2511f58e571771490dae2d49555c42,fb02ec5dea52d09241c1479a14f0e2708799eea8,dcd65b1dab15c0d40070a5b8a778901c277081d9,,181,True,55d2fad31be37834733168763a2c20b8deb5c0d1f09322c6cd42bfc6d78f77c1,Tests_passed,0.0,True,0515ff63819f8c2cc3e629662a157c6216c53d265a6d883502d54b2f7b236e67,Tests_passed,0.0,True,True,Merge_failed,,Tests_passed,55d2fad31be37834733168763a2c20b8deb5c0d1f09322c6cd42bfc6d78f77c1,Merge_failed,,Tests_passed,55d2fad31be37834733168763a2c20b8deb5c0d1f09322c6cd42bfc6d78f77c1,Tests_passed,55d2fad31be37834733168763a2c20b8deb5c0d1f09322c6cd42bfc6d78f77c1,Merge_failed,,Merge_failed,,Merge_failed,,Merge_failed,,Merge_failed,,Merge_failed,,Merge_failed,,Merge_failed,,Tests_failed,578a5ec4a4ded25e6d5dcd28523b90f57b98cb937c8007fd0e3173152f88014b
3,refs/heads/release/4.2.x,3fb51c3de35e02b4bb996c07840be9b086898bde,57bd01f88330e3865942a66dce44a3403432f18f,abadcf7d1f71519b7b60e9aa22753b216f101aec,,183,True,22f530deb5d920e0f7185a8973d2f79abe39437c1ddf1a00999ca9276bc99ed2,Tests_passed,0.0,True,941f73f07855274a15b9eb5995e64087d74cb3f728e008db855f191b835f7bae,Tests_passed,0.0,True,True,Merge_failed,,Tests_passed,22f530deb5d920e0f7185a8973d2f79abe39437c1ddf1a00999ca9276bc99ed2,Merge_failed,,Tests_passed,22f530deb5d920e0f7185a8973d2f79abe39437c1ddf1a00999ca9276bc99ed2,Tests_passed,22f530deb5d920e0f7185a8973d2f79abe39437c1ddf1a00999ca9276bc99ed2,Merge_failed,,Merge_failed,,Merge_failed,,Merge_failed,,Merge_failed,,Merge_failed,,Merge_failed,,Merge_failed,,Tests_failed,ba7643f264c475965d3ef75988f0daca761f49536a040e926d6cca9635c6ee33
4,refs/heads/release/4.2.x,0fb0b3e8c378c111d9c76ffdd2e3d1cae09e8bc9,3ac20d3c1abe23a92abcaf27b37d2f8c826e40d0,a993f39c40435b7c42e4f9e2e1766c70261e25ac,,181,True,46ffbc7ed9ce7b5dfad506f33a6e3e9bdfa1d51371428cd7ba0a925b9de6b0a1,Tests_passed,0.0,True,34557b97415605fad41c2625d7bfc42ff36baaab94ab5e2d03cb924eeea7d0dc,Tests_passed,0.0,True,True,Tests_passed,46ffbc7ed9ce7b5dfad506f33a6e3e9bdfa1d51371428cd7ba0a925b9de6b0a1,Tests_passed,46ffbc7ed9ce7b5dfad506f33a6e3e9bdfa1d51371428cd7ba0a925b9de6b0a1,Tests_passed,46ffbc7ed9ce7b5dfad506f33a6e3e9bdfa1d51371428cd7ba0a925b9de6b0a1,Tests_passed,46ffbc7ed9ce7b5dfad506f33a6e3e9bdfa1d51371428cd7ba0a925b9de6b0a1,Tests_passed,46ffbc7ed9ce7b5dfad506f33a6e3e9bdfa1d51371428cd7ba0a925b9de6b0a1,Tests_passed,46ffbc7ed9ce7b5dfad506f33a6e3e9bdfa1d51371428cd7ba0a925b9de6b0a1,Tests_passed,46ffbc7ed9ce7b5dfad506f33a6e3e9bdfa1d51371428cd7ba0a925b9de6b0a1,Tests_passed,46ffbc7ed9ce7b5dfad506f33a6e3e9bdfa1d51371428cd7ba0a925b9de6b0a1,Tests_passed,46ffbc7ed9ce7b5dfad506f33a6e3e9bdfa1d51371428cd7ba0a925b9de6b0a1,Tests_passed,46ffbc7ed9ce7b5dfad506f33a6e3e9bdfa1d51371428cd7ba0a925b9de6b0a1,Tests_passed,46ffbc7ed9ce7b5dfad506f33a6e3e9bdfa1d51371428cd7ba0a925b9de6b0a1,Tests_passed,46ffbc7ed9ce7b5dfad506f33a6e3e9bdfa1d51371428cd7ba0a925b9de6b0a1,Tests_passed,46ffbc7ed9ce7b5dfad506f33a6e3e9bdfa1d51371428cd7ba0a925b9de6b0a1,Tests_passed,46ffbc7ed9ce7b5dfad506f33a6e3e9bdfa1d51371428cd7ba0a925b9de6b0a1
6,refs/heads/release/4.2.x,6fe81f8958e599fb448dfa04364e6307924f3e5a,a370bdf0575368f4355a8c97c19e15bcefed3ce9,e12906e05c86c35b86dee37d8b889c55debd557e,,1007,True,00839d737106432a98457b0b62af3ba027f1bdc675a95dfdcd32d4971b7d45c1,Tests_passed,0.0,True,f8e569f1af487a507b4b6b72763877589da040ff03f2d7d476c56b29d5dea5a2,Tests_passed,0.0,True,True,Merge_failed,,Tests_passed,00839d737106432a98457b0b62af3ba027f1bdc675a95dfdcd32d4971b7d45c1,Merge_failed,,Tests_passed,00839d737106432a98457b0b62af3ba027f1bdc675a95dfdcd32d4971b7d45c1,Tests_passed,00839d737106432a98457b0b62af3ba027f1bdc675a95dfdcd32d4971b7d45c1,Merge_failed,,Merge_failed,,Merge_failed,,Merge_failed,,Merge_failed,,Merge_failed,,Merge_failed,,Merge_failed,,Tests_failed,9c934405f182733dbf168e03e1d4a80f12114a9f8c52a460bcf353229a90b011
7,refs/heads/release/4.2.x,e3fa852751010de35b94ff5d4c6b48e53fec009f,d54dee16752b94758b8fa122c1a72955a21acd34,e0b84c892aa866ca02330bd8862ff988890698d0,,181,True,17672765a6561ee20dda5854cb23fc52aecb9f40bc22f77d19692d50bdc9e8b3,Tests_passed,0.0,True,06c5288b931bd8d108fb5983e8f8bc1d29a168b30eeafffcad61f69536bc4db0,Tests_passed,0.0,True,True,Tests_passed,17672765a6561ee20dda5854cb23fc52aecb9f40bc22f77d19692d50bdc9e8b3,Tests_passed,17672765a6561ee20dda5854cb23fc52aecb9f40bc22f77d19692d50bdc9e8b3,Tests_passed,17672765a6561ee20dda5854cb23fc52aecb9f40bc22f77d19692d50bdc9e8b3,Tests_passed,17672765a6561ee20dda5854cb23fc52aecb9f40bc22f77d19692d50bdc9e8b3,Tests_passed,17672765a6561ee20dda5854cb23fc52aecb9f40bc22f77d19692d50bdc9e8b3,Tests_passed,17672765a6561ee20dda5854cb23fc52aecb9f40bc22f77d19692d50bdc9e8b3,Tests_passed,17672765a6561ee20dda5854cb23fc52aecb9f40bc22f77d19692d50bdc9e8b3,Tests_passed,17672765a6561ee20dda5854cb23fc52aecb9f40bc22f77d19692d50bdc9e8b3,Tests_passed,17672765a6561ee20dda5854cb23fc52aecb9f40bc22f77d19692d50bdc9e8b3,Tests_passed,17672765a6561ee20dda5854cb23fc52aecb9f40bc22f77d19692d50bdc9e8b3,Tests_passed,17672765a6561ee20dda5854cb23fc52aecb9f40bc22f77d19692d50bdc9e8b3,Tests_passed,17672765a6561ee20dda5854cb23fc52aecb9f40bc22f77d19692d50bdc9e8b3,Tests_passed,17672765a6561ee20dda5854cb23fc52aecb9f40bc22f77d19692d50bdc9e8b3,Tests_passed,142d644f5370c921d733586ec7062f4e87d8f1857690c81f2046099feadcb847
8,refs/heads/release/4.2.x,280e7768d5dbb88722a83282202daf8c412095e5,81102cfddd279a89488fd281bbaf9bfb35691aa7,acb935fec9c0892458622f3e125a91dfef5f0d34,,192,True,751ec066635c91172c679670d4db0c32b729532de8a767b8ee746f5d7f6eb118,Tests_passed,0.0,True,7b197cc8dd10595412881ca06924930794565080204dc43d4fad36bf415ff8e3,Tests_passed,0.0,True,True,Merge_failed,,Tests_passed,751ec066635c91172c679670d4db0c32b729532de8a767b8ee746f5d7f6eb118,Merge_failed,,Tests_passed,751ec066635c91172c679670d4db0c32b729532de8a767b8ee746f5d7f6eb118,Tests_passed,751ec066635c91172c679670d4db0c32b729532de8a767b8ee746f5d7f6eb118,Merge_failed,,Merge_failed,,Merge_failed,,Merge_failed,,Merge_failed,,Merge_failed,,Merge_failed,,Merge_failed,,Tests_failed,fcf782181137cb31bec3dab8c9c7311b5c19daa9773fcb5397671ef4b983cdd0
9,refs/heads/release/4.2.x,f93410fc9bc5bce9c2a8bf0af3b1fb4d85af9aaf,c63a979edaf3040486ebf66c4c95dc2dec38c669,57de13076a3ca1b721b3e1f5ff481b16d98fd1fd,,181,True,25433535f906553c469a9079acfd7b4c65c4ef50991148ead166fac3d3533716,Tests_passed,0.0,True,cf2c5e3c030a42a926a0b97c3221d460d5377223bdb3253a8b7de988e90e37e6,Tests_passed,0.0,True,True,Tests_passed,25433535f906553c469a9079acfd7b4c65c4ef50991148ead166fac3d3533716,Tests_passed,25433535f906553c469a9079acfd7b4c65c4ef50991148ead166fac3d3533716,Tests_passed,25433535f906553c469a9079acfd7b4c65c4ef50991148ead166fac3d3533716,Tests_passed,25433535f906553c469a9079acfd7b4c65c4ef50991148ead166fac3d3533716,Tests_passed,25433535f906553c469a9079acfd7b4c65c4ef50991148ead166fac3d3533716,Tests_passed,25433535f906553c469a9079acfd7b4c65c4ef50991148ead166fac3d3533716,Tests_passed,25433535f906553c469a9079acfd7b4c65c4ef50991148ead166fac3d3533716,Tests_passed,25433535f906553c469a9079acfd7b4c65c4ef50991148ead166fac3d3533716,Tests_passed,25433535f906553c469a9079acfd7b4c65c4ef50991148ead166fac3d3533716,Tests_passed,25433535f906553c469a9079acfd7b4c65c4ef50991148ead166fac3d3533716,Tests_passed,25433535f906553c469a9079acfd7b4c65c4ef50991148ead166fac3d3533716,Tests_passed,25433535f906553c469a9079acfd7b4c65c4ef50991148ead166fac3d3533716,Tests_passed,25433535f906553c469a9079acfd7b4c65c4ef50991148ead166fac3d3533716,Tests_failed,6485e8f9ef2e26a9f81c93ebdb231a1e98f742fede3e3ed19e5aa60976878004
11,refs/heads/release/4.2.x,3c31a124bdb34d2b8554bc34319b2b761b9a2ce7,42a762176ed8656a044fa555b88797f6ee001767,29187118251d70a0b5c7d98d85154be90f6aa54f,,184,True,30ba10ab3038fa02601627cf730099f10961c722f23c65c4502d672010d5c3fb,Tests_passed,0.0,True,d3cf50fcb5c6466a6beee5192332db8bb4dd3f7b30275ba88681e484f6190e81,Tests_passed,0.0,True,True,Tests_passed,c434db4ae38a05b282dd91271072bf8a4f9eb739c8e12e3cc29d30e90a998529,Tests_passed,c434db4ae38a05b282dd91271072bf8a4f9eb739c8e12e3cc29d30e90a998529,Tests_passed,c434db4ae38a05b282dd91271072bf8a4f9eb739c8e12e3cc29d30e90a998529,Tests_passed,c434db4ae38a05b282dd91271072bf8a4f9eb739c8e12e3cc29d30e90a998529,Tests_passed,c434db4ae38a05b282dd91271072bf8a4f9eb739c8e12e3cc29d30e90a998529,Tests_passed,c434db4ae38a05b282dd91271072bf8a4f9eb739c8e12e3cc29d30e90a998529,Tests_passed,c434db4ae38a05b282dd91271072bf8a4f9eb739c8e12e3cc29d30e90a998529,Tests_passed,c434db4ae38a05b282dd91271072bf8a4f9eb739c8e12e3cc29d30e90a998529,Tests_passed,c434db4ae38a05b282dd91271072bf8a4f9eb739c8e12e3cc29d30e90a998529,Tests_passed,c434db4ae38a05b282dd91271072bf8a4f9eb739c8e12e3cc29d30e90a998529,Tests_passed,c434db4ae38a05b282dd91271072bf8a4f9eb739c8e12e3cc29d30e90a998529,Tests_passed,c434db4ae38a05b282dd91271072bf8a4f9eb739c8e12e3cc29d30e90a998529,Tests_passed,c434db4ae38a05b282dd91271072bf8a4f9eb739c8e12e3cc29d30e90a998529,Tests_passed,c434db4ae38a05b282dd91271072bf8a4f9eb739c8e12e3cc29d30e90a998529
12,refs/heads/release/4.2.x,38e46731ba87af93937d12efb5ca383542363750,b9aff95438b2d4aa2ab0957be5bcf48b488cec86,05fa6e68df17182706242d71ca607439178e9499,,231,True,f1fd8d584378dfe81e6db7ed028cd4013960f88903423c10106c6ea7f946fb62,Tests_passed,0.0,True,b4fe20bb251a0cfdd6a1a6aac9a2ecc18b690ad7d2272317ce8105169d5cff24,Tests_passed,0.0,True,True,Tests_passed,7ec0473b5296fde3fadd532f88832a358f20110ae6ad5c2680fe7f90212b6cda,Tests_passed,7ec0473b5296fde3fadd532f88832a358f20110ae6ad5c2680fe7f90212b6cda,Tests_passed,7ec0473b5296fde3fadd532f88832a358f20110ae6ad5c2680fe7f90212b6cda,Tests_passed,7ec0473b5296fde3fadd532f88832a358f20110ae6ad5c2680fe7f90212b6cda,Tests_passed,7ec0473b5296fde3fadd532f88832a358f20110ae6ad5c2680fe7f90212b6cda,Tests_passed,7ec0473b5296fde3fadd532f88832a358f20110ae6ad5c2680fe7f90212b6cda,Tests_passed,7ec0473b5296fde3fadd532f88832a358f20110ae6ad5c2680fe7f90212b6cda,Tests_passed,7ec0473b5296fde3fadd532f88832a358f20110ae6ad5c2680fe7f90212b6cda,Tests_passed,7ec0473b5296fde3fadd532f88832a358f20110ae6ad5c2680fe7f90212b6cda,Tests_passed,7ec0473b5296fde3fadd532f88832a358f20110ae6ad5c2680fe7f90212b6cda,Tests_passed,7ec0473b5296fde3fadd532f88832a358f20110ae6ad5c2680fe7f90212b6cda,Tests_passed,7ec0473b5296fde3fadd532f88832a358f20110ae6ad5c2680fe7f90212b6cda,Tests_passed,7ec0473b5296fde3fadd532f88832a358f20110ae6ad5c2680fe7f90212b6cda,Tests_passed,7ec0473b5296fde3fadd532f88832a358f20110ae6ad5c2680fe7f90212b6cda
13,refs/heads/release/4.2.x,b9aff95438b2d4aa2ab0957be5bcf48b488cec86,5c77005044986413e7db9ff7ea989405f29f852a,ce530fcb57062471cf45f6752b5f05dc6194d4e3,,344,True,05f0ef7f998cead741ba77ce7f2b80f8da2bcbe3822d3bb6973283dd60e31d10,Tests_passed,0.0,True,173a7cae90d1ba442dae083f1ba82e8e23aa1950b2d464f9923d89d2ce84c50c,Tests_passed,0.0,True,True,Tests_passed,f1fd8d584378dfe81e6db7ed028cd4013960f88903423c10106c6ea7f946fb62,Tests_passed,f1fd8d584378dfe81e6db7ed028cd4013960f88903423c10106c6ea7f946fb62,Tests_passed,f1fd8d584378dfe81e6db7ed028cd4013960f88903423c10106c6ea7f946fb62,Tests_passed,f1fd8d584378dfe81e6db7ed028cd4013960f88903423c10106c6ea7f946fb62,Tests_passed,f1fd8d584378dfe81e6db7ed028cd4013960f88903423c10106c6ea7f946fb62,Tests_passed,f1fd8d584378dfe81e6db7ed028cd4013960f88903423c10106c6ea7f946fb62,Tests_passed,f1fd8d584378dfe81e6db7ed028cd4013960f88903423c10106c6ea7f946fb62,Tests_passed,f1fd8d584378dfe81e6db7ed028cd4013960f88903423c10106c6ea7f946fb62,Tests_passed,f1fd8d584378dfe81e6db7ed028cd4013960f88903423c10106c6ea7f946fb62,Tests_passed,f1fd8d584378dfe81e6db7ed028cd4013960f88903423c10106c6ea7f946fb62,Tests_passed,f1fd8d584378dfe81e6db7ed028cd4013960f88903423c10106c6ea7f946fb62,Tests_passed,f1fd8d584378dfe81e6db7ed028cd4013960f88903423c10106c6ea7f946fb62,Tests_passed,f1fd8d584378dfe81e6db7ed028cd4013960f88903423c10106c6ea7f946fb62,Tests_passed,f1fd8d584378dfe81e6db7ed028cd4013960f88903423c10106c6ea7f946fb62
