idx,branch_name,merge,left,right,notes,diff contains java file,diff_logs,imports_involved,non_java_involved,num_diff_files,num_diff_lines,test merge,left parent test result,left_tree_fingerprint,parents pass,right parent test result,right_tree_fingerprint,sampled for testing
1,refs/heads/master,f477ae83aab64a76adc3d22b555f64127300bef0,11d899c9cd8d9b001d57e1e3f13a455a2588417d,2d21bfa21ca5df8256cd46f34b22442235d4cb30,,True,"{'base_left': 'cache/diff_analyzer/logs/swagger-api/swagger-codegen/11d899c9cd8d9b001d57e1e3f13a455a2588417d_2d21bfa21ca5df8256cd46f34b22442235d4cb30_base_left.log', 'base_right': 'cache/diff_analyzer/logs/swagger-api/swagger-codegen/11d899c9cd8d9b001d57e1e3f13a455a2588417d_2d21bfa21ca5df8256cd46f34b22442235d4cb30_base_right.log', 'left_right': 'cache/diff_analyzer/logs/swagger-api/swagger-codegen/11d899c9cd8d9b001d57e1e3f13a455a2588417d_2d21bfa21ca5df8256cd46f34b22442235d4cb30_left_right.log'}",True,True,1075,40522.0,True,Tests_passed,fd033267d0618e2933939dc5a616603a3868ab9b03d765c86c34b70b9b012c7d,True,Tests_passed,9d11a0c222ac05963a0176917a052e61e7dd218e77fc9fa27484ba230414651b,True
2,refs/heads/master,640b16b58a4c9131c18e53f03c204ac1b7fee3c5,8153284f071ddb368597e23f7953906999c9fbf0,e66566a9710a5f65e89986bac8fe533164e5a3a6,,True,"{'base_left': 'cache/diff_analyzer/logs/swagger-api/swagger-codegen/8153284f071ddb368597e23f7953906999c9fbf0_e66566a9710a5f65e89986bac8fe533164e5a3a6_base_left.log', 'base_right': 'cache/diff_analyzer/logs/swagger-api/swagger-codegen/8153284f071ddb368597e23f7953906999c9fbf0_e66566a9710a5f65e89986bac8fe533164e5a3a6_base_right.log', 'left_right': 'cache/diff_analyzer/logs/swagger-api/swagger-codegen/8153284f071ddb368597e23f7953906999c9fbf0_e66566a9710a5f65e89986bac8fe533164e5a3a6_left_right.log'}",True,True,838,31255.0,True,Tests_passed,48153184ace34e1c856723bf80621ff8304ba211dda610a6e1aa0346ad6727c4,True,Tests_passed,de77886ed46e96bb6e2de4bca2170c1ecb825cc88a1894698f2d644da6e4d261,True
3,refs/heads/master,41c003479483f554d59028b290203b7f5cb1abb3,005584cf2a1fb2ab459348d9d5297e3118f682e6,2d4ccbfd797c8269f464ed3d3a38f18b7203a67c,,False,"{'base_left': 'cache/diff_analyzer/logs/swagger-api/swagger-codegen/005584cf2a1fb2ab459348d9d5297e3118f682e6_2d4ccbfd797c8269f464ed3d3a38f18b7203a67c_base_left.log', 'base_right': 'cache/diff_analyzer/logs/swagger-api/swagger-codegen/005584cf2a1fb2ab459348d9d5297e3118f682e6_2d4ccbfd797c8269f464ed3d3a38f18b7203a67c_base_right.log', 'left_right': 'cache/diff_analyzer/logs/swagger-api/swagger-codegen/005584cf2a1fb2ab459348d9d5297e3118f682e6_2d4ccbfd797c8269f464ed3d3a38f18b7203a67c_left_right.log'}",True,True,24,381.0,False,,,,,,False
4,refs/heads/master,509a1568798c7ed4dcdfdadd4597db04f51286a8,38c879683a41be193bc31d16cd5fe2dd06e03cdd,3ffc4bfa9d2c85fa822afe418ec2b02d335c924b,,True,"{'base_left': 'cache/diff_analyzer/logs/swagger-api/swagger-codegen/38c879683a41be193bc31d16cd5fe2dd06e03cdd_3ffc4bfa9d2c85fa822afe418ec2b02d335c924b_base_left.log', 'base_right': 'cache/diff_analyzer/logs/swagger-api/swagger-codegen/38c879683a41be193bc31d16cd5fe2dd06e03cdd_3ffc4bfa9d2c85fa822afe418ec2b02d335c924b_base_right.log', 'left_right': 'cache/diff_analyzer/logs/swagger-api/swagger-codegen/38c879683a41be193bc31d16cd5fe2dd06e03cdd_3ffc4bfa9d2c85fa822afe418ec2b02d335c924b_left_right.log'}",True,True,669,17182.0,False,Tests_failed,99ea4ab1353af1f504b5476682c5ab16ca80db05a46fd7279b77beec233225ef,False,Tests_failed,7bba8157f1c2134023e890f31ba1f9ac3d8c806d7ee2f0e9cc3bc4fcc0191516,False
5,refs/heads/master,0df8bd214001a74ddfa6b96a8dfe4e3503efa9f2,43515ba79b126cea99df4d106c202b226cc9d8af,5867728724b34dd1d9aa41162ccdc2bce4a8094c,,False,"{'base_left': 'cache/diff_analyzer/logs/swagger-api/swagger-codegen/43515ba79b126cea99df4d106c202b226cc9d8af_5867728724b34dd1d9aa41162ccdc2bce4a8094c_base_left.log', 'base_right': 'cache/diff_analyzer/logs/swagger-api/swagger-codegen/43515ba79b126cea99df4d106c202b226cc9d8af_5867728724b34dd1d9aa41162ccdc2bce4a8094c_base_right.log', 'left_right': 'cache/diff_analyzer/logs/swagger-api/swagger-codegen/43515ba79b126cea99df4d106c202b226cc9d8af_5867728724b34dd1d9aa41162ccdc2bce4a8094c_left_right.log'}",True,True,73,3943.0,False,,,,,,False
7,refs/heads/master,bf81e45f7de2a6b2ca4128558817d31b73c5acb7,7242cdb15579a8e5f04bec5e1e25460fdcfd9a28,c20629e049aaa80bf84d40db1f8d82cb1237f2bf,,False,"{'base_left': 'cache/diff_analyzer/logs/swagger-api/swagger-codegen/7242cdb15579a8e5f04bec5e1e25460fdcfd9a28_c20629e049aaa80bf84d40db1f8d82cb1237f2bf_base_left.log', 'base_right': 'cache/diff_analyzer/logs/swagger-api/swagger-codegen/7242cdb15579a8e5f04bec5e1e25460fdcfd9a28_c20629e049aaa80bf84d40db1f8d82cb1237f2bf_base_right.log', 'left_right': 'cache/diff_analyzer/logs/swagger-api/swagger-codegen/7242cdb15579a8e5f04bec5e1e25460fdcfd9a28_c20629e049aaa80bf84d40db1f8d82cb1237f2bf_left_right.log'}",True,True,1313,25664.0,False,,,,,,False
8,refs/heads/master,a49826e4d70ba24b5b1de438afc175dda4b04e56,b8792b6a7192510837575b51398b0f23f3936e2e,e32272aedb6c6780a07cbabc4d52b219a97bc57f,,False,"{'base_left': 'cache/diff_analyzer/logs/swagger-api/swagger-codegen/b8792b6a7192510837575b51398b0f23f3936e2e_e32272aedb6c6780a07cbabc4d52b219a97bc57f_base_left.log', 'base_right': 'cache/diff_analyzer/logs/swagger-api/swagger-codegen/b8792b6a7192510837575b51398b0f23f3936e2e_e32272aedb6c6780a07cbabc4d52b219a97bc57f_base_right.log', 'left_right': 'cache/diff_analyzer/logs/swagger-api/swagger-codegen/b8792b6a7192510837575b51398b0f23f3936e2e_e32272aedb6c6780a07cbabc4d52b219a97bc57f_left_right.log'}",True,True,51,3343.0,False,,,,,,False
9,refs/heads/master,c3d1367e7c048489663758687b2b36e71489d4ba,69eae7d35b6812e91cf42c575fb2422d7947bd2f,1d59937150c5b79d192487fd2e9c7d007e4994f6,,False,"{'base_left': 'cache/diff_analyzer/logs/swagger-api/swagger-codegen/69eae7d35b6812e91cf42c575fb2422d7947bd2f_1d59937150c5b79d192487fd2e9c7d007e4994f6_base_left.log', 'base_right': 'cache/diff_analyzer/logs/swagger-api/swagger-codegen/69eae7d35b6812e91cf42c575fb2422d7947bd2f_1d59937150c5b79d192487fd2e9c7d007e4994f6_base_right.log', 'left_right': 'cache/diff_analyzer/logs/swagger-api/swagger-codegen/69eae7d35b6812e91cf42c575fb2422d7947bd2f_1d59937150c5b79d192487fd2e9c7d007e4994f6_left_right.log'}",,True,175,,False,,,,,,False
10,refs/heads/master,e78ce6fb1e3045c9fc94893de21a298db7863ba3,7ba60afa71727f33f9f9400d6d7d5d128be8b31c,1e975637c9d67ef96364b5a1d1ba6f176d6116c1,,False,"{'base_left': 'cache/diff_analyzer/logs/swagger-api/swagger-codegen/7ba60afa71727f33f9f9400d6d7d5d128be8b31c_1e975637c9d67ef96364b5a1d1ba6f176d6116c1_base_left.log', 'base_right': 'cache/diff_analyzer/logs/swagger-api/swagger-codegen/7ba60afa71727f33f9f9400d6d7d5d128be8b31c_1e975637c9d67ef96364b5a1d1ba6f176d6116c1_base_right.log', 'left_right': 'cache/diff_analyzer/logs/swagger-api/swagger-codegen/7ba60afa71727f33f9f9400d6d7d5d128be8b31c_1e975637c9d67ef96364b5a1d1ba6f176d6116c1_left_right.log'}",True,True,387,9650.0,False,,,,,,False
12,refs/heads/master,31200acc1a1f067d1768ec8f5f6dbaadc41b4e96,783a4c0572196a9dfa73e2ee4f425390c67bfa22,3b9b3e82f961e3aaa380d568b5f48ced28076bc9,,False,"{'base_left': 'cache/diff_analyzer/logs/swagger-api/swagger-codegen/783a4c0572196a9dfa73e2ee4f425390c67bfa22_3b9b3e82f961e3aaa380d568b5f48ced28076bc9_base_left.log', 'base_right': 'cache/diff_analyzer/logs/swagger-api/swagger-codegen/783a4c0572196a9dfa73e2ee4f425390c67bfa22_3b9b3e82f961e3aaa380d568b5f48ced28076bc9_base_right.log', 'left_right': 'cache/diff_analyzer/logs/swagger-api/swagger-codegen/783a4c0572196a9dfa73e2ee4f425390c67bfa22_3b9b3e82f961e3aaa380d568b5f48ced28076bc9_left_right.log'}",True,True,61,3792.0,False,,,,,,False
