idx,branch_name,merge,left,right,notes,diff contains java file,imports_involved,non_java_involved,num_diff_files,num_diff_hunks,num_diff_lines,num_intersecting_files,test merge,union_diff_files,sampled for testing
2,refs/heads/develop,756b5b25ac7e109a6c960a46688b0b3764ee415f,2546abb0b59610997531431e44cc0424a92377ce,752aae1f1be6bc6afb12498eca8e15af8d944ab3,,False,True,True,13,14,52,1,False,13,False
4,refs/heads/develop,5d2a7c6d67c60c37088aeba02eb2a8ebc21152ad,88e7cbadf562dc9f5b9a829124c2473305f91cb5,1b20ef26d33a51c56a0a3b2ccd9d644cf3398774,,False,False,True,2,1,24,0,False,2,False
5,refs/heads/develop,88e7cbadf562dc9f5b9a829124c2473305f91cb5,b87f886592407523a8adff462900ed24643128af,7012f55594cad61e4059f8621550748117b9fc19,,False,False,False,0,Error,0,0,False,0,False
8,refs/heads/develop,7012f55594cad61e4059f8621550748117b9fc19,db9519221f8fe0d99a0fff2e67f6041b66d06969,6d13ed940e08a154ea6623098f7d2778b5ea1de3,,False,True,True,13,18,53,2,False,13,False
10,refs/heads/develop,bbc68c9a02fbe4506890fc3cfc2859d3bf9c3083,d4ce53344241bd9fc3e6fe0dc5aefc0ff923d2f6,bf6d195c942833fc087299b4484801545fa79209,,False,True,True,18,19,162,0,False,18,False
13,refs/heads/develop,d82171fc7d1f42bf1fe9f50b01e011cb9afb5af7,61c8ae25552ec8d0913d03c310aafe13b843dc69,9a63db3916b7aef1caa2408e0ad7d77ba30d2f01,,False,False,False,0,Error,0,12,False,12,False
15,refs/heads/develop,bdc594c24ba36a4beebb3d54681ecb4f74fd10a8,a4f306d6bfee9b9735161dbb43739f4796d771f5,5dcc54b632a917e7660ec705af69b4de0d0dfe31,,False,True,True,13,13,24,0,False,13,False
17,refs/heads/develop,a4f306d6bfee9b9735161dbb43739f4796d771f5,274bcbd9dfb46ef88a6838ab529c17da59c7aed5,11e7a6d5c38d0a822f387c7c796609e39362fa24,,False,False,True,11,10,20,0,False,11,False
19,refs/heads/develop,274bcbd9dfb46ef88a6838ab529c17da59c7aed5,a64292c760ed0962b5d8a2d62ff0e7ebb5eaefdc,20c5897289c9193ba1ac5c7da1d6fb02569d98a4,,False,True,True,13,31,70,0,False,13,False
21,refs/heads/develop,a64292c760ed0962b5d8a2d62ff0e7ebb5eaefdc,3baeb459932df498ae5d93295bda6350a62a9656,b59499e41d33317e803a80ddc4279caa319dbd83,,False,False,True,12,11,24,0,False,12,False
23,refs/heads/develop,3baeb459932df498ae5d93295bda6350a62a9656,640a02c996e81d0470b8037075f6067c444caf48,f5cac78206f80552905b99550b6b24a069acfb1b,,False,True,True,12,22,53,0,False,12,False
25,refs/heads/develop,640a02c996e81d0470b8037075f6067c444caf48,670e708ec1aa4c8a7292b7052b919c98e604fa64,1e46ef226f171d3bc73e61c4bbe2e095ccb5d702,,False,True,True,26,130,870,0,False,26,False
27,refs/heads/develop,670e708ec1aa4c8a7292b7052b919c98e604fa64,fb44df0ef80ce01b7bb2adc7c33debf9b568a4bf,a64f509f003b68c39fea8f708a5b66df9bca8267,,False,True,True,71,288,1472,0,False,71,False
28,refs/heads/develop,4d8455aea032ccecb74930feceba4eee84d4a2ab,65d968baeb9e684a3f53a37bd634b85ff1073dfc,945905431afe1a844608663743fefed8e77e1df0,,False,True,True,66,279,1454,10,False,71,False
30,refs/heads/develop,fb44df0ef80ce01b7bb2adc7c33debf9b568a4bf,1b201030e53b725557c595edae7039b99577081f,c0b98f29cc8e1103c6405329da2b715c9c39b805,,False,False,True,10,9,18,0,False,10,False
32,refs/heads/develop,1b201030e53b725557c595edae7039b99577081f,c79c8b01accedc7ce2bdfcab2809f44ee8bf63b3,f0058233581788a45dd4c5182256a88603460b69,,False,False,True,10,10,20,0,False,10,False
34,refs/heads/develop,c79c8b01accedc7ce2bdfcab2809f44ee8bf63b3,15fd343998b6b6c7c47a733f4a7c725cc718026d,d5088abe76e056c16df0f31f229ce7e805d7957e,,False,True,True,14,36,200,0,False,14,False
36,refs/heads/develop,15fd343998b6b6c7c47a733f4a7c725cc718026d,a5deac5ec7ef500a165576e3ece0d23923ff6e15,721dc36dc7c78168d75ad45b6d7f30de8c73f817,,False,True,True,22,45,214,0,False,22,False
39,refs/heads/develop,a5deac5ec7ef500a165576e3ece0d23923ff6e15,da2464661f724fd2dba2be87cd6119c9e652e171,1f5be4e53548d566bee0a9031f515d9207433194,,False,True,True,118,251,6824,0,False,118,False
42,refs/heads/develop,da2464661f724fd2dba2be87cd6119c9e652e171,e77cb85973c465a1802dcc38f5fe599c2ad2fc5b,06e4bc351d5d4f7b63700f123476710e3a60ecdf,,False,True,True,48,110,2047,0,False,48,False
44,refs/remotes/origin/master,792011f5dc222b480e96f7cf12011b0091b88214,c2a8d30e6c1167e927d0bf04cb2afa292106f674,d2c22aa93c5206fd1d9f74ea6b1aef3cb05b9c81,,False,True,True,250,348,34198,0,False,250,False
45,refs/remotes/origin/master,c2a8d30e6c1167e927d0bf04cb2afa292106f674,f05283c664ae1bb67877dcd8f2e1379c375aab1c,34a698e178747e5604d6b775e546b5dc9d8b5ba2,,False,True,True,12,13,40,0,False,12,False
