idx,branch_name,merge,left,right,notes,diff contains java file,imports_involved,left parent test result,left_tree_fingerprint,non_java_involved,num_diff_files,num_diff_lines,parents pass,right parent test result,right_tree_fingerprint,test merge,sampled for testing
1,refs/heads/main,af9e8b2ec8f77ef09293032320559332bbbd0969,bfe908517db621027bbc148b642ac07de1dad719,7434f407b6e0b683bd8036b757243324b5248dd8,,False,True,,,True,8,20,,,,False,False
2,refs/remotes/origin/pull/6,3cf16afb341868108e4b2bfd50dd6b80dec1880d,097a86e4a2005206aaa0701657afda65a1730265,1002284360c3ead3989c89d8f185aaf6f48943a0,,True,True,Tests_passed,56a38d7ee159e751444d30b9cc5609a7a3f9f1435d9876c5a5aecbbeadf819bb,True,17,139,True,Tests_passed,7912f0e692e80a35cf51a88f0b816e71118aada0a890a6532833c1f54707ef2e,True,True
