idx,branch_name,merge,left,right,notes,test merge,diff contains java file,sampled for testing
1,refs/heads/master,14b093ef0042c130facfab05617a98f102dbef47,367e3c73b78415132314ed834297354c17c6979f,bf2ce065defb32ed703c351c3f4937d5493b9b44,,False,False,False
3,refs/heads/master,e573151df61cb7c0849f41313a4fb13fbdae7eb8,7032435cda6be921d00fa51dbed4b5d80e96c3cc,f2f590d994b15d9eb9e0821a40ec24726fe96eb7,,False,False,False
5,refs/heads/master,5e0bccc8dda915fbafffacffbc75e0f0fc30a347,0605c84e957c0109c832e644cad355e77e68aa85,30417a03e76b213a14ddb5d1b7a2b98ff7c0191c,,False,False,False
6,refs/heads/master,8a8854b19a62ab71f32f94b60adb64b640216a01,ed7606c8425badb57f1980f26a469483ff223cf4,f7f919ef2a50618c2a641f84f8f927fdfd62ffd5,,False,False,False
7,refs/heads/master,ed7606c8425badb57f1980f26a469483ff223cf4,fabbfbd806aed39d6f9387120fcb6dcc5a1f5cc7,138ff348216e0e09f234ededcda8895bf377e6f9,,False,False,False
8,refs/heads/master,fabbfbd806aed39d6f9387120fcb6dcc5a1f5cc7,47cd67e0682cd021eeb2de59a70edf966070d754,c2346afe043f87eb81889daf3ee2305bcb79eedf,,False,False,False
9,refs/heads/master,47cd67e0682cd021eeb2de59a70edf966070d754,40b93b6366fe11ae60645392953182b613284780,49fa411ba81c724dbfe3c1b570326baccee457fd,,False,False,False
10,refs/heads/master,40b93b6366fe11ae60645392953182b613284780,f570bad0c611cf926bc1f53f62b96f24fc5d8e94,f0836b37838c23e8096c299ef519622e65b5a091,,False,False,False
12,refs/heads/master,39d65704411a401d8b0af7248e36be9397cea1dc,0a3f5790c78e54f587b6468b671dc630444ff5c3,2756ff32494527feab31760a6c959b7264d386d1,,False,False,False
13,refs/heads/master,0a3f5790c78e54f587b6468b671dc630444ff5c3,580a7eefc218c560eac8aaef732f56fb6adb08d1,1a34f2c7be1474e6b0879b22f03406fd6d1a1254,,False,False,False
18,refs/heads/master,886655cb6c79021423103b70ac0ccc4bdefb131c,184ccc4ef1db5b03c560d45fb57c2cdcada5bfcb,9dcb383c28266210f452a30ce8f35d3608b31d85,,False,False,False
23,refs/heads/master,2aa6082060bafa688b6a9a272b06bc2f0b6b77bf,bfc5daa5284d02e70c5eee6a328168961e55a357,022968e75879515d5ea230a6c4e250c63e85b10f,,False,False,False
