idx,branch_name,merge,left,right,notes,test merge,diff contains java file,sampled for testing
2,refs/heads/master,b29aa3118120882008227b094a6efe5303a6295e,667ffa3d934a5774afd3350b037ef43653273f2f,2e70dbdd0acb1f7e536ce4ad9ed58cc94f49ff8a,,False,False,False
3,refs/heads/master,145fb05b77ed57530d443238cf543e2a01e89407,ef77532b37b358863ae0b272b58120c1d315af0e,726b7915441a9373e331b8c2ddfe74ef93f26cd6,,False,False,False
4,refs/heads/master,726b7915441a9373e331b8c2ddfe74ef93f26cd6,c09db4c5ca72f4af8a3243d92a1f3f997a98f4a9,b5479332ca1c7e8cc48cf648e3c4c04b99d192ce,,False,False,False
