idx,branch_name,merge,left,right,notes,diff contains java file,diff_logs,imports_involved,non_java_involved,num_diff_files,num_diff_lines,test merge,sampled for testing
3,refs/heads/master,483aab3eb9bbc02f6995a637155adf6b922ed0c0,5f41275967a4b8617e61dca428e27e2e41d05b24,341b2914a43ebee5899dd497b28c053388b6642f,,False,"{'base_left': 'cache/diff_analyzer/logs/levigo/jbig2-imageio/5f41275967a4b8617e61dca428e27e2e41d05b24_341b2914a43ebee5899dd497b28c053388b6642f_base_left.log', 'base_right': 'cache/diff_analyzer/logs/levigo/jbig2-imageio/5f41275967a4b8617e61dca428e27e2e41d05b24_341b2914a43ebee5899dd497b28c053388b6642f_base_right.log', 'left_right': 'cache/diff_analyzer/logs/levigo/jbig2-imageio/5f41275967a4b8617e61dca428e27e2e41d05b24_341b2914a43ebee5899dd497b28c053388b6642f_left_right.log'}",False,True,10,58,False,False
5,refs/heads/master,050b7bbd0eecb3f616d62a69351a044873422088,4c5ebc959e123e1ff29a2c6c3944542797f2d780,7662f3ce8ef9afb3ba61d1a3c2ad1451b8b6075c,,False,"{'base_left': 'cache/diff_analyzer/logs/levigo/jbig2-imageio/4c5ebc959e123e1ff29a2c6c3944542797f2d780_7662f3ce8ef9afb3ba61d1a3c2ad1451b8b6075c_base_left.log', 'base_right': 'cache/diff_analyzer/logs/levigo/jbig2-imageio/4c5ebc959e123e1ff29a2c6c3944542797f2d780_7662f3ce8ef9afb3ba61d1a3c2ad1451b8b6075c_base_right.log', 'left_right': 'cache/diff_analyzer/logs/levigo/jbig2-imageio/4c5ebc959e123e1ff29a2c6c3944542797f2d780_7662f3ce8ef9afb3ba61d1a3c2ad1451b8b6075c_left_right.log'}",False,True,2,0,False,False
8,refs/heads/master,04dd59b35cceb29a601cbc148b1e4a1c98f0581a,1096cf596fe01f321c79b9f99ad91a13b8948cfd,72b2002cb1a13d9455da82e059cbef194b951203,,False,"{'base_left': 'cache/diff_analyzer/logs/levigo/jbig2-imageio/1096cf596fe01f321c79b9f99ad91a13b8948cfd_72b2002cb1a13d9455da82e059cbef194b951203_base_left.log', 'base_right': 'cache/diff_analyzer/logs/levigo/jbig2-imageio/1096cf596fe01f321c79b9f99ad91a13b8948cfd_72b2002cb1a13d9455da82e059cbef194b951203_base_right.log', 'left_right': 'cache/diff_analyzer/logs/levigo/jbig2-imageio/1096cf596fe01f321c79b9f99ad91a13b8948cfd_72b2002cb1a13d9455da82e059cbef194b951203_left_right.log'}",True,True,3,358,False,False
9,refs/heads/master,1096cf596fe01f321c79b9f99ad91a13b8948cfd,565859a086599625b68a6c2dbdae6c1effe17f89,27dd81cadb4e2bf6759bccca670cfe6b10ac4bd6,,False,"{'base_left': 'cache/diff_analyzer/logs/levigo/jbig2-imageio/565859a086599625b68a6c2dbdae6c1effe17f89_27dd81cadb4e2bf6759bccca670cfe6b10ac4bd6_base_left.log', 'base_right': 'cache/diff_analyzer/logs/levigo/jbig2-imageio/565859a086599625b68a6c2dbdae6c1effe17f89_27dd81cadb4e2bf6759bccca670cfe6b10ac4bd6_base_right.log', 'left_right': 'cache/diff_analyzer/logs/levigo/jbig2-imageio/565859a086599625b68a6c2dbdae6c1effe17f89_27dd81cadb4e2bf6759bccca670cfe6b10ac4bd6_left_right.log'}",True,True,95,2230,False,False
11,refs/heads/master,9bd7c5a4c772c6a5348a8964cd97ed39a1a493c3,e2d3ce8afd9cef5d27880287f478ea8979425b8a,d51a033eba6b1d043818d71bec10eaf82c60fdc8,,False,"{'base_left': 'cache/diff_analyzer/logs/levigo/jbig2-imageio/e2d3ce8afd9cef5d27880287f478ea8979425b8a_d51a033eba6b1d043818d71bec10eaf82c60fdc8_base_left.log', 'base_right': 'cache/diff_analyzer/logs/levigo/jbig2-imageio/e2d3ce8afd9cef5d27880287f478ea8979425b8a_d51a033eba6b1d043818d71bec10eaf82c60fdc8_base_right.log', 'left_right': 'cache/diff_analyzer/logs/levigo/jbig2-imageio/e2d3ce8afd9cef5d27880287f478ea8979425b8a_d51a033eba6b1d043818d71bec10eaf82c60fdc8_left_right.log'}",True,True,5,22,False,False
12,refs/heads/master,e2d3ce8afd9cef5d27880287f478ea8979425b8a,e9af199fd6992817a3ff21ec61636c3cfdfdc9d3,a653e043ed2c077ebeacf639857312b2c0df6f03,,False,"{'base_left': 'cache/diff_analyzer/logs/levigo/jbig2-imageio/e9af199fd6992817a3ff21ec61636c3cfdfdc9d3_a653e043ed2c077ebeacf639857312b2c0df6f03_base_left.log', 'base_right': 'cache/diff_analyzer/logs/levigo/jbig2-imageio/e9af199fd6992817a3ff21ec61636c3cfdfdc9d3_a653e043ed2c077ebeacf639857312b2c0df6f03_base_right.log', 'left_right': 'cache/diff_analyzer/logs/levigo/jbig2-imageio/e9af199fd6992817a3ff21ec61636c3cfdfdc9d3_a653e043ed2c077ebeacf639857312b2c0df6f03_left_right.log'}",False,True,2,3,False,False
13,refs/heads/master,e9af199fd6992817a3ff21ec61636c3cfdfdc9d3,fb552d47a3d351fb61b5acc80968d648db0d1dfe,4e3f11dd783d506a25696d8f2e7f0fb27e847bdf,,False,"{'base_left': 'cache/diff_analyzer/logs/levigo/jbig2-imageio/fb552d47a3d351fb61b5acc80968d648db0d1dfe_4e3f11dd783d506a25696d8f2e7f0fb27e847bdf_base_left.log', 'base_right': 'cache/diff_analyzer/logs/levigo/jbig2-imageio/fb552d47a3d351fb61b5acc80968d648db0d1dfe_4e3f11dd783d506a25696d8f2e7f0fb27e847bdf_base_right.log', 'left_right': 'cache/diff_analyzer/logs/levigo/jbig2-imageio/fb552d47a3d351fb61b5acc80968d648db0d1dfe_4e3f11dd783d506a25696d8f2e7f0fb27e847bdf_left_right.log'}",False,True,4,24,False,False
14,refs/heads/master,fb552d47a3d351fb61b5acc80968d648db0d1dfe,00f608b45ffda468d300fe8c76844e3105bf94bf,c1cbf4cfe1c6bf72b56f68e96fa07f11b6507e5d,,False,"{'base_left': 'cache/diff_analyzer/logs/levigo/jbig2-imageio/00f608b45ffda468d300fe8c76844e3105bf94bf_c1cbf4cfe1c6bf72b56f68e96fa07f11b6507e5d_base_left.log', 'base_right': 'cache/diff_analyzer/logs/levigo/jbig2-imageio/00f608b45ffda468d300fe8c76844e3105bf94bf_c1cbf4cfe1c6bf72b56f68e96fa07f11b6507e5d_base_right.log', 'left_right': 'cache/diff_analyzer/logs/levigo/jbig2-imageio/00f608b45ffda468d300fe8c76844e3105bf94bf_c1cbf4cfe1c6bf72b56f68e96fa07f11b6507e5d_left_right.log'}",False,True,2,3,False,False
15,refs/heads/master,a653e043ed2c077ebeacf639857312b2c0df6f03,4e3f11dd783d506a25696d8f2e7f0fb27e847bdf,70e7c3b503d3f42cbf36752bc19510c5e4d4c553,,False,"{'base_left': 'cache/diff_analyzer/logs/levigo/jbig2-imageio/4e3f11dd783d506a25696d8f2e7f0fb27e847bdf_70e7c3b503d3f42cbf36752bc19510c5e4d4c553_base_left.log', 'base_right': 'cache/diff_analyzer/logs/levigo/jbig2-imageio/4e3f11dd783d506a25696d8f2e7f0fb27e847bdf_70e7c3b503d3f42cbf36752bc19510c5e4d4c553_base_right.log', 'left_right': 'cache/diff_analyzer/logs/levigo/jbig2-imageio/4e3f11dd783d506a25696d8f2e7f0fb27e847bdf_70e7c3b503d3f42cbf36752bc19510c5e4d4c553_left_right.log'}",False,True,3,21,False,False
16,refs/heads/master,1df8c262f9f00cc6cfb3ce42ffe99f395605143f,6df5eca2b24a7591be97d6ce33333feb1bff59e2,70e7c3b503d3f42cbf36752bc19510c5e4d4c553,,False,"{'base_left': 'cache/diff_analyzer/logs/levigo/jbig2-imageio/6df5eca2b24a7591be97d6ce33333feb1bff59e2_70e7c3b503d3f42cbf36752bc19510c5e4d4c553_base_left.log', 'base_right': 'cache/diff_analyzer/logs/levigo/jbig2-imageio/6df5eca2b24a7591be97d6ce33333feb1bff59e2_70e7c3b503d3f42cbf36752bc19510c5e4d4c553_base_right.log', 'left_right': 'cache/diff_analyzer/logs/levigo/jbig2-imageio/6df5eca2b24a7591be97d6ce33333feb1bff59e2_70e7c3b503d3f42cbf36752bc19510c5e4d4c553_left_right.log'}",False,True,3,4,False,False
17,refs/heads/master,c1cbf4cfe1c6bf72b56f68e96fa07f11b6507e5d,414a1aa63460327102ade41ef6a5450a0ed3bc82,70e7c3b503d3f42cbf36752bc19510c5e4d4c553,,False,"{'base_left': 'cache/diff_analyzer/logs/levigo/jbig2-imageio/414a1aa63460327102ade41ef6a5450a0ed3bc82_70e7c3b503d3f42cbf36752bc19510c5e4d4c553_base_left.log', 'base_right': 'cache/diff_analyzer/logs/levigo/jbig2-imageio/414a1aa63460327102ade41ef6a5450a0ed3bc82_70e7c3b503d3f42cbf36752bc19510c5e4d4c553_base_right.log', 'left_right': 'cache/diff_analyzer/logs/levigo/jbig2-imageio/414a1aa63460327102ade41ef6a5450a0ed3bc82_70e7c3b503d3f42cbf36752bc19510c5e4d4c553_left_right.log'}",False,True,3,7,False,False
