idx,branch_name,merge,left,right,notes,diff contains java file,diff_logs,imports_involved,left parent test result,left_tree_fingerprint,non_java_involved,num_diff_files,num_diff_lines,parents pass,right parent test result,right_tree_fingerprint,test merge,sampled for testing
2,refs/remotes/origin/pull/11,98ae38dd74459436b6bb112e11a5bfc9bf50f1b5,1649f6cc3a99668cf676e1584b30b7fe992e8690,98f126f53a18cd4c0fbb75df0a269da0ff0090c8,,True,"{'base_left': 'cache/diff_analyzer/logs/tradier/dropwizard-raven/1649f6cc3a99668cf676e1584b30b7fe992e8690_98f126f53a18cd4c0fbb75df0a269da0ff0090c8_base_left.log', 'base_right': 'cache/diff_analyzer/logs/tradier/dropwizard-raven/1649f6cc3a99668cf676e1584b30b7fe992e8690_98f126f53a18cd4c0fbb75df0a269da0ff0090c8_base_right.log', 'left_right': 'cache/diff_analyzer/logs/tradier/dropwizard-raven/1649f6cc3a99668cf676e1584b30b7fe992e8690_98f126f53a18cd4c0fbb75df0a269da0ff0090c8_left_right.log'}",True,Tests_passed,6eb2ddcfd991c058c638f48aa1b895f29f00d8c30fb7703a0393248c4a12a2b8,True,7,227,False,Tests_failed,025493697f4d25bc755c5a1f4b4fad2748226214c6152948fc2bb4e7d45b24ea,False,False
5,refs/remotes/origin/pull/7,db1ddab34abf361da61a7f397020dbbd2eedce10,56eefab4c908e0afc06221609749502a35fa759a,5493a454a47a1374c1e47723bfaa7e5e2b4e0a8f,,False,"{'base_left': 'cache/diff_analyzer/logs/tradier/dropwizard-raven/56eefab4c908e0afc06221609749502a35fa759a_5493a454a47a1374c1e47723bfaa7e5e2b4e0a8f_base_left.log', 'base_right': 'cache/diff_analyzer/logs/tradier/dropwizard-raven/56eefab4c908e0afc06221609749502a35fa759a_5493a454a47a1374c1e47723bfaa7e5e2b4e0a8f_base_right.log', 'left_right': 'cache/diff_analyzer/logs/tradier/dropwizard-raven/56eefab4c908e0afc06221609749502a35fa759a_5493a454a47a1374c1e47723bfaa7e5e2b4e0a8f_left_right.log'}",True,,,True,3,23,,,,False,False
