idx,branch_name,merge,left,right,notes,diff contains java file,imports_involved,left parent test result,left_tree_fingerprint,non_java_involved,num_diff_files,num_diff_hunks,num_diff_lines,num_intersecting_files,parents pass,right parent test result,right_tree_fingerprint,test merge,union_diff_files,sampled for testing,gitmerge_ort,gitmerge_ort_merge_fingerprint,gitmerge_ort_ignorespace,gitmerge_ort_ignorespace_merge_fingerprint,gitmerge_recursive_histogram,gitmerge_recursive_histogram_merge_fingerprint,gitmerge_recursive_ignorespace,gitmerge_recursive_ignorespace_merge_fingerprint,gitmerge_recursive_minimal,gitmerge_recursive_minimal_merge_fingerprint,gitmerge_recursive_myers,gitmerge_recursive_myers_merge_fingerprint,gitmerge_recursive_patience,gitmerge_recursive_patience_merge_fingerprint,gitmerge_resolve,gitmerge_resolve_merge_fingerprint,git_hires_merge,git_hires_merge_merge_fingerprint,spork,spork_merge_fingerprint,intellimerge,intellimerge_merge_fingerprint,git_hires_merge_plus,git_hires_merge_plus_merge_fingerprint,intellimerge_plus,intellimerge_plus_merge_fingerprint,gitmerge_recursive_histogram_plus,gitmerge_recursive_histogram_plus_merge_fingerprint,gitmerge_recursive_ignorespace_plus,gitmerge_recursive_ignorespace_plus_merge_fingerprint,gitmerge_recursive_minimal_plus,gitmerge_recursive_minimal_plus_merge_fingerprint,gitmerge_recursive_myers_plus,gitmerge_recursive_myers_plus_merge_fingerprint,gitmerge_recursive_patience_plus,gitmerge_recursive_patience_plus_merge_fingerprint,gitmerge_resolve_plus,gitmerge_resolve_plus_merge_fingerprint,spork_plus,spork_plus_merge_fingerprint,ivn,ivn_merge_fingerprint,ivn_ignorespace,ivn_ignorespace_merge_fingerprint,adjacent,adjacent_merge_fingerprint,imports,imports_merge_fingerprint,version_numbers,version_numbers_merge_fingerprint
5,refs/heads/master,f78e47209b90dc4b322b93e85efb5ea7628f383b,fb636780098aae681c337985206b47e15ac54e7c,e7bab88b1b829e0ba68234b00d71aba8300a62e3,,True,False,Tests_passed,51be7d333dce1777c70f841953f7b9e1519cd94b1a667c6f554aba800b73d4d4,True,4,18,181,2,True,Tests_passed,dab5dd6395b9270fb8a2c256f32ddb16f0caba3b0faef122dbce0dff3b464e49,True,4,True,Merge_failed,23e7a13c0596295e2163d0901b1fd0affb005496f0e52ac25b846e51b58597fa,Merge_failed,23e7a13c0596295e2163d0901b1fd0affb005496f0e52ac25b846e51b58597fa,Merge_failed,23e7a13c0596295e2163d0901b1fd0affb005496f0e52ac25b846e51b58597fa,Merge_failed,23e7a13c0596295e2163d0901b1fd0affb005496f0e52ac25b846e51b58597fa,Merge_failed,23e7a13c0596295e2163d0901b1fd0affb005496f0e52ac25b846e51b58597fa,Merge_failed,23e7a13c0596295e2163d0901b1fd0affb005496f0e52ac25b846e51b58597fa,Merge_failed,23e7a13c0596295e2163d0901b1fd0affb005496f0e52ac25b846e51b58597fa,Merge_failed,b06fa1d16c7db16ed23dd0cf6b157424f485fc62401e92b2121b01e288a79cd6,Tests_passed,9c33304bf951d3bbfa925f1dafe2e6a71fa43ce99ef6a6a8ce0f454e9a78b3d6,Merge_failed,b573a6f20189aa9559b5aa26c3c13ed5e169279bbfb351482d897ba06833cb14,Tests_failed,ede796d75a72f6f0bed5352ec0baffb9f882891979443ab745e6f4f9115d3f5d,Tests_passed,9c33304bf951d3bbfa925f1dafe2e6a71fa43ce99ef6a6a8ce0f454e9a78b3d6,Merge_failed,23e7a13c0596295e2163d0901b1fd0affb005496f0e52ac25b846e51b58597fa,Merge_failed,23e7a13c0596295e2163d0901b1fd0affb005496f0e52ac25b846e51b58597fa,Merge_failed,23e7a13c0596295e2163d0901b1fd0affb005496f0e52ac25b846e51b58597fa,Merge_failed,23e7a13c0596295e2163d0901b1fd0affb005496f0e52ac25b846e51b58597fa,Merge_failed,23e7a13c0596295e2163d0901b1fd0affb005496f0e52ac25b846e51b58597fa,Merge_failed,23e7a13c0596295e2163d0901b1fd0affb005496f0e52ac25b846e51b58597fa,Merge_failed,0cf91739e58e1e616f1f5649d6b43c3fb0b5b346f9274b6866512bb0bb0d0d5d,Merge_failed,b573a6f20189aa9559b5aa26c3c13ed5e169279bbfb351482d897ba06833cb14,Merge_failed,23e7a13c0596295e2163d0901b1fd0affb005496f0e52ac25b846e51b58597fa,Merge_failed,23e7a13c0596295e2163d0901b1fd0affb005496f0e52ac25b846e51b58597fa,Merge_failed,23e7a13c0596295e2163d0901b1fd0affb005496f0e52ac25b846e51b58597fa,Merge_failed,23e7a13c0596295e2163d0901b1fd0affb005496f0e52ac25b846e51b58597fa,Merge_failed,23e7a13c0596295e2163d0901b1fd0affb005496f0e52ac25b846e51b58597fa
6,refs/heads/master,62d7c2a50fc75040d093e8f6ecc592fce3988da8,43a2d582de17af1c2e128a66ef40cb346e70ce9d,bab2b3182532ccf3cc63df5a00b6bdf47a72b630,,True,True,Tests_passed,e710563c993ec57ae273edc74e89a8bd3a1755cfe85e17e6a4e3f8ad0d2ccc20,True,27,52,1060,2,True,Tests_passed,43bd862d980231f4c820a811ee7bc2ad999cb13a1a3fbe6555255bc0dbc58975,True,27,True,Merge_failed,ffa4aceb05db8925f75226d2911cae35cd4bdc8d9989e167e985be1706edf959,Merge_failed,ffa4aceb05db8925f75226d2911cae35cd4bdc8d9989e167e985be1706edf959,Merge_failed,ffa4aceb05db8925f75226d2911cae35cd4bdc8d9989e167e985be1706edf959,Merge_failed,ffa4aceb05db8925f75226d2911cae35cd4bdc8d9989e167e985be1706edf959,Merge_failed,ffa4aceb05db8925f75226d2911cae35cd4bdc8d9989e167e985be1706edf959,Merge_failed,ffa4aceb05db8925f75226d2911cae35cd4bdc8d9989e167e985be1706edf959,Merge_failed,ffa4aceb05db8925f75226d2911cae35cd4bdc8d9989e167e985be1706edf959,Merge_failed,e710563c993ec57ae273edc74e89a8bd3a1755cfe85e17e6a4e3f8ad0d2ccc20,Merge_failed,ffa4aceb05db8925f75226d2911cae35cd4bdc8d9989e167e985be1706edf959,Merge_failed,ffa4aceb05db8925f75226d2911cae35cd4bdc8d9989e167e985be1706edf959,Merge_failed,ffa4aceb05db8925f75226d2911cae35cd4bdc8d9989e167e985be1706edf959,Merge_failed,ffa4aceb05db8925f75226d2911cae35cd4bdc8d9989e167e985be1706edf959,Merge_failed,ffa4aceb05db8925f75226d2911cae35cd4bdc8d9989e167e985be1706edf959,Merge_failed,ffa4aceb05db8925f75226d2911cae35cd4bdc8d9989e167e985be1706edf959,Merge_failed,ffa4aceb05db8925f75226d2911cae35cd4bdc8d9989e167e985be1706edf959,Merge_failed,ffa4aceb05db8925f75226d2911cae35cd4bdc8d9989e167e985be1706edf959,Merge_failed,ffa4aceb05db8925f75226d2911cae35cd4bdc8d9989e167e985be1706edf959,Merge_failed,ffa4aceb05db8925f75226d2911cae35cd4bdc8d9989e167e985be1706edf959,Merge_failed,e710563c993ec57ae273edc74e89a8bd3a1755cfe85e17e6a4e3f8ad0d2ccc20,Merge_failed,ffa4aceb05db8925f75226d2911cae35cd4bdc8d9989e167e985be1706edf959,Merge_failed,ffa4aceb05db8925f75226d2911cae35cd4bdc8d9989e167e985be1706edf959,Merge_failed,ffa4aceb05db8925f75226d2911cae35cd4bdc8d9989e167e985be1706edf959,Merge_failed,ffa4aceb05db8925f75226d2911cae35cd4bdc8d9989e167e985be1706edf959,Merge_failed,ffa4aceb05db8925f75226d2911cae35cd4bdc8d9989e167e985be1706edf959,Merge_failed,ffa4aceb05db8925f75226d2911cae35cd4bdc8d9989e167e985be1706edf959
8,refs/heads/master,02058bce7bad895e7b27640e4b1b3a4d68ca1cb2,92926c7587a95ca44dc3c2f775d0b389f60471a2,570ac140dea81fd34fe574bd0f2d58079f957ef3,,True,True,Tests_passed,6dd993b111288675161ef890ca4c38886ad949b7743e5f6a2906c088c20452c8,True,7,22,379,2,True,Tests_passed,c09ba695ebf587b21dc486a7f70e52a6a21e33335627c208e7760cd3817c33b2,True,7,True,Merge_failed,342c19dfbcec70bdedc4460f705470bc4a0ee79d703f2dcdf72d9c422943e3f3,Merge_failed,4b4268cc11a4a668d83fd7c4c7c8e6ae5e01cce6e1e5ad806bfd9201c63c1967,Merge_failed,342c19dfbcec70bdedc4460f705470bc4a0ee79d703f2dcdf72d9c422943e3f3,Merge_failed,4b4268cc11a4a668d83fd7c4c7c8e6ae5e01cce6e1e5ad806bfd9201c63c1967,Merge_failed,342c19dfbcec70bdedc4460f705470bc4a0ee79d703f2dcdf72d9c422943e3f3,Merge_failed,342c19dfbcec70bdedc4460f705470bc4a0ee79d703f2dcdf72d9c422943e3f3,Merge_failed,342c19dfbcec70bdedc4460f705470bc4a0ee79d703f2dcdf72d9c422943e3f3,Merge_failed,44b7a393f5bf7e5b6afcece93cae6e32a344239e0ae67eef9479fa93fcf0dd28,Merge_failed,0f1bd0b98c36b6b35fb450127d2309fe2d5ca439fe10e9395502e8bbe175d982,Tests_passed,d710e65cb0384be06f51f167684ac8029a22bd08376ecd53fac55ce0a57ed4f4,Tests_failed,3e86356cc40b3f76d08b43a50b1f4282140082e0240ee22e4cf1d11e94facb4c,Merge_failed,0f1bd0b98c36b6b35fb450127d2309fe2d5ca439fe10e9395502e8bbe175d982,Merge_failed,342c19dfbcec70bdedc4460f705470bc4a0ee79d703f2dcdf72d9c422943e3f3,Merge_failed,342c19dfbcec70bdedc4460f705470bc4a0ee79d703f2dcdf72d9c422943e3f3,Merge_failed,4b4268cc11a4a668d83fd7c4c7c8e6ae5e01cce6e1e5ad806bfd9201c63c1967,Merge_failed,342c19dfbcec70bdedc4460f705470bc4a0ee79d703f2dcdf72d9c422943e3f3,Merge_failed,342c19dfbcec70bdedc4460f705470bc4a0ee79d703f2dcdf72d9c422943e3f3,Merge_failed,342c19dfbcec70bdedc4460f705470bc4a0ee79d703f2dcdf72d9c422943e3f3,Merge_failed,d6a83dcf13d06d8bbf06b92584f3064dfeda67e4a17854b98b35d6b1fb028421,Tests_passed,d710e65cb0384be06f51f167684ac8029a22bd08376ecd53fac55ce0a57ed4f4,Merge_failed,342c19dfbcec70bdedc4460f705470bc4a0ee79d703f2dcdf72d9c422943e3f3,Merge_failed,4b4268cc11a4a668d83fd7c4c7c8e6ae5e01cce6e1e5ad806bfd9201c63c1967,Merge_failed,342c19dfbcec70bdedc4460f705470bc4a0ee79d703f2dcdf72d9c422943e3f3,Merge_failed,342c19dfbcec70bdedc4460f705470bc4a0ee79d703f2dcdf72d9c422943e3f3,Merge_failed,342c19dfbcec70bdedc4460f705470bc4a0ee79d703f2dcdf72d9c422943e3f3
10,refs/heads/master,9a4236b0b474a0ca63e5a0da98f38f8002e46ee5,9ecf92650e97ee3639af472a31182aaeb0c95be7,8a30fb560be897b1110e00519862ca52a2f7edcf,,True,True,Tests_passed,c1f8509d68b508aecd7150a695a08b5d6632e3f36f44dedf7c2808ed63cfdffa,True,3,11,94,2,True,Tests_passed,6217ba50056c98d778be54be933a46243b274e030adad803bc13b1c1305a873a,True,3,True,Tests_passed,cad9147b5941d45cea79aa5ea4876f878b1112a5507302a21a19a47c36d37a38,Tests_passed,66e1f34b1ed553d0741e4cfb3b827c284d3812c0646bf96e4adce9fbbd9bd551,Tests_passed,cad9147b5941d45cea79aa5ea4876f878b1112a5507302a21a19a47c36d37a38,Tests_passed,66e1f34b1ed553d0741e4cfb3b827c284d3812c0646bf96e4adce9fbbd9bd551,Tests_passed,cad9147b5941d45cea79aa5ea4876f878b1112a5507302a21a19a47c36d37a38,Tests_passed,cad9147b5941d45cea79aa5ea4876f878b1112a5507302a21a19a47c36d37a38,Tests_passed,cad9147b5941d45cea79aa5ea4876f878b1112a5507302a21a19a47c36d37a38,Tests_passed,cad9147b5941d45cea79aa5ea4876f878b1112a5507302a21a19a47c36d37a38,Tests_passed,cad9147b5941d45cea79aa5ea4876f878b1112a5507302a21a19a47c36d37a38,Tests_failed,31a5656ee6e2b4eb63c4dca3a612550fc60ddeb8a16daefd76f3389e12e2f799,Tests_failed,4049f5079549a0abf53c01c5634ed3d5e06123a21eb3df8a5fcaa9c79e6be8c0,Tests_passed,cad9147b5941d45cea79aa5ea4876f878b1112a5507302a21a19a47c36d37a38,Tests_passed,cad9147b5941d45cea79aa5ea4876f878b1112a5507302a21a19a47c36d37a38,Tests_passed,cad9147b5941d45cea79aa5ea4876f878b1112a5507302a21a19a47c36d37a38,Tests_passed,66e1f34b1ed553d0741e4cfb3b827c284d3812c0646bf96e4adce9fbbd9bd551,Tests_passed,cad9147b5941d45cea79aa5ea4876f878b1112a5507302a21a19a47c36d37a38,Tests_passed,cad9147b5941d45cea79aa5ea4876f878b1112a5507302a21a19a47c36d37a38,Tests_passed,cad9147b5941d45cea79aa5ea4876f878b1112a5507302a21a19a47c36d37a38,Tests_passed,cad9147b5941d45cea79aa5ea4876f878b1112a5507302a21a19a47c36d37a38,Tests_failed,31a5656ee6e2b4eb63c4dca3a612550fc60ddeb8a16daefd76f3389e12e2f799,Tests_passed,cad9147b5941d45cea79aa5ea4876f878b1112a5507302a21a19a47c36d37a38,Tests_passed,66e1f34b1ed553d0741e4cfb3b827c284d3812c0646bf96e4adce9fbbd9bd551,Tests_passed,cad9147b5941d45cea79aa5ea4876f878b1112a5507302a21a19a47c36d37a38,Tests_passed,cad9147b5941d45cea79aa5ea4876f878b1112a5507302a21a19a47c36d37a38,Tests_passed,cad9147b5941d45cea79aa5ea4876f878b1112a5507302a21a19a47c36d37a38
11,refs/heads/master,693a450ac6f02f809b514bb4544630468f126434,473c14ebd23b2e66452d371f2d2220a1a7e522ba,a1398eb5b9acc92df01e00adebb9a1a44d077978,,True,True,Tests_passed,24dbdc280d523671e45004ec324786a2f47144395264fc9fc76a175a1a6f94e4,True,20,44,292,7,True,Tests_passed,42170ef7e175941773c60f13f418dbf39a43b6f5f9c85863664076a4ab35acf0,True,20,True,Merge_failed,72a196e26f21a89ca428113a09d5b9c60dfa0f8c4ba0aeb47d9c63c8d1ab5e14,Merge_failed,02af71b5af06d0fb809e44eb285bb0e72887cbaca26ac85f8e6cd375861151c5,Merge_failed,72a196e26f21a89ca428113a09d5b9c60dfa0f8c4ba0aeb47d9c63c8d1ab5e14,Merge_failed,02af71b5af06d0fb809e44eb285bb0e72887cbaca26ac85f8e6cd375861151c5,Merge_failed,72a196e26f21a89ca428113a09d5b9c60dfa0f8c4ba0aeb47d9c63c8d1ab5e14,Merge_failed,72a196e26f21a89ca428113a09d5b9c60dfa0f8c4ba0aeb47d9c63c8d1ab5e14,Merge_failed,72a196e26f21a89ca428113a09d5b9c60dfa0f8c4ba0aeb47d9c63c8d1ab5e14,Merge_failed,b33a7d8c0d5cdc27f5065daa12091eb684c6012e6c885f20c0eab070d50289b8,Merge_failed,6b4123739e1ef0fca5b61190b00a5cb396062caa70c9dd9c8cc0005a27548a27,Merge_failed,bb4e8cb14ddfc5c777e4a64ab7b581b89ac87eda17afac14cd2544c79406528a,Merge_failed,ca96dc1b64ba50606cd16fcaad8ebbe651e4b3b492749d31a8ee44a0e9caf1ca,Merge_failed,6b4123739e1ef0fca5b61190b00a5cb396062caa70c9dd9c8cc0005a27548a27,Merge_failed,72a196e26f21a89ca428113a09d5b9c60dfa0f8c4ba0aeb47d9c63c8d1ab5e14,Merge_failed,72a196e26f21a89ca428113a09d5b9c60dfa0f8c4ba0aeb47d9c63c8d1ab5e14,Merge_failed,02af71b5af06d0fb809e44eb285bb0e72887cbaca26ac85f8e6cd375861151c5,Merge_failed,72a196e26f21a89ca428113a09d5b9c60dfa0f8c4ba0aeb47d9c63c8d1ab5e14,Merge_failed,72a196e26f21a89ca428113a09d5b9c60dfa0f8c4ba0aeb47d9c63c8d1ab5e14,Merge_failed,72a196e26f21a89ca428113a09d5b9c60dfa0f8c4ba0aeb47d9c63c8d1ab5e14,Merge_failed,63492a442df835a2f46f34cb1a3e0a93ff6fc5ca8cb209cd67fea0d61029539e,Merge_failed,c4c006f7e03a05d4e48240cc7720d6c3c0a829ac97033098fc4dbe9acc3e929f,Merge_failed,72a196e26f21a89ca428113a09d5b9c60dfa0f8c4ba0aeb47d9c63c8d1ab5e14,Merge_failed,02af71b5af06d0fb809e44eb285bb0e72887cbaca26ac85f8e6cd375861151c5,Merge_failed,72a196e26f21a89ca428113a09d5b9c60dfa0f8c4ba0aeb47d9c63c8d1ab5e14,Merge_failed,72a196e26f21a89ca428113a09d5b9c60dfa0f8c4ba0aeb47d9c63c8d1ab5e14,Merge_failed,72a196e26f21a89ca428113a09d5b9c60dfa0f8c4ba0aeb47d9c63c8d1ab5e14
