idx,branch_name,merge,left,right,notes,diff contains java file,diff_logs,imports_involved,non_java_involved,num_diff_files,num_diff_lines,test merge,left parent test result,left_tree_fingerprint,parents pass,right parent test result,right_tree_fingerprint,sampled for testing
13,refs/heads/master,91af3935e9ca8aab24242f0b3295a57d4f2af89c,eb665cd429bf713d12cea95ff528efb3e159efc5,877fdd7a7ee617852dbf1b7ac38b14d73b136aa8,,False,"{'base_left': 'cache/diff_analyzer/logs/yegor256/s3auth/eb665cd429bf713d12cea95ff528efb3e159efc5_877fdd7a7ee617852dbf1b7ac38b14d73b136aa8_base_left.log', 'base_right': 'cache/diff_analyzer/logs/yegor256/s3auth/eb665cd429bf713d12cea95ff528efb3e159efc5_877fdd7a7ee617852dbf1b7ac38b14d73b136aa8_base_right.log', 'left_right': 'cache/diff_analyzer/logs/yegor256/s3auth/eb665cd429bf713d12cea95ff528efb3e159efc5_877fdd7a7ee617852dbf1b7ac38b14d73b136aa8_left_right.log'}",False,True,3,6,False,,,,,,False
14,refs/heads/master,c7ebf0889163365c21ed15a045ae9462f318c4de,15d1b37e9768c4c0dc456c4049c8793ba485e4d5,7d37fce07975c0a26a64da4b5f9b9abc0d75a6b0,,False,"{'base_left': 'cache/diff_analyzer/logs/yegor256/s3auth/15d1b37e9768c4c0dc456c4049c8793ba485e4d5_7d37fce07975c0a26a64da4b5f9b9abc0d75a6b0_base_left.log', 'base_right': 'cache/diff_analyzer/logs/yegor256/s3auth/15d1b37e9768c4c0dc456c4049c8793ba485e4d5_7d37fce07975c0a26a64da4b5f9b9abc0d75a6b0_base_right.log', 'left_right': 'cache/diff_analyzer/logs/yegor256/s3auth/15d1b37e9768c4c0dc456c4049c8793ba485e4d5_7d37fce07975c0a26a64da4b5f9b9abc0d75a6b0_left_right.log'}",False,True,8,18,False,,,,,,False
15,refs/heads/master,15d1b37e9768c4c0dc456c4049c8793ba485e4d5,65c3af9dcc3f14e0ff0af076e7bbda168d2409f9,a882672cf3cd51d7f03836e5174cb97c37a7cc03,,False,"{'base_left': 'cache/diff_analyzer/logs/yegor256/s3auth/65c3af9dcc3f14e0ff0af076e7bbda168d2409f9_a882672cf3cd51d7f03836e5174cb97c37a7cc03_base_left.log', 'base_right': 'cache/diff_analyzer/logs/yegor256/s3auth/65c3af9dcc3f14e0ff0af076e7bbda168d2409f9_a882672cf3cd51d7f03836e5174cb97c37a7cc03_base_right.log', 'left_right': 'cache/diff_analyzer/logs/yegor256/s3auth/65c3af9dcc3f14e0ff0af076e7bbda168d2409f9_a882672cf3cd51d7f03836e5174cb97c37a7cc03_left_right.log'}",False,True,8,14,False,,,,,,False
16,refs/heads/master,65c3af9dcc3f14e0ff0af076e7bbda168d2409f9,a51f90baaf1894a4f0355ddb8257ed1647cb9a10,387a626a5416f24ce1c92be89d382a5915e15ea9,,False,"{'base_left': 'cache/diff_analyzer/logs/yegor256/s3auth/a51f90baaf1894a4f0355ddb8257ed1647cb9a10_387a626a5416f24ce1c92be89d382a5915e15ea9_base_left.log', 'base_right': 'cache/diff_analyzer/logs/yegor256/s3auth/a51f90baaf1894a4f0355ddb8257ed1647cb9a10_387a626a5416f24ce1c92be89d382a5915e15ea9_base_right.log', 'left_right': 'cache/diff_analyzer/logs/yegor256/s3auth/a51f90baaf1894a4f0355ddb8257ed1647cb9a10_387a626a5416f24ce1c92be89d382a5915e15ea9_left_right.log'}",False,True,5,10,False,,,,,,False
17,refs/heads/master,a51f90baaf1894a4f0355ddb8257ed1647cb9a10,386b2337ae86ceb004fb0886234b217e81c20693,7f8cdfc90b4533c5b6104396d25e838513f001b5,,False,"{'base_left': 'cache/diff_analyzer/logs/yegor256/s3auth/386b2337ae86ceb004fb0886234b217e81c20693_7f8cdfc90b4533c5b6104396d25e838513f001b5_base_left.log', 'base_right': 'cache/diff_analyzer/logs/yegor256/s3auth/386b2337ae86ceb004fb0886234b217e81c20693_7f8cdfc90b4533c5b6104396d25e838513f001b5_base_right.log', 'left_right': 'cache/diff_analyzer/logs/yegor256/s3auth/386b2337ae86ceb004fb0886234b217e81c20693_7f8cdfc90b4533c5b6104396d25e838513f001b5_left_right.log'}",False,True,3,4,False,,,,,,False
18,refs/heads/master,386b2337ae86ceb004fb0886234b217e81c20693,d155be34f7cad0f6bc01f6ac9b8c0aee089533b5,c05fca47ec508740a0250d355fee42a556893b79,,False,"{'base_left': 'cache/diff_analyzer/logs/yegor256/s3auth/d155be34f7cad0f6bc01f6ac9b8c0aee089533b5_c05fca47ec508740a0250d355fee42a556893b79_base_left.log', 'base_right': 'cache/diff_analyzer/logs/yegor256/s3auth/d155be34f7cad0f6bc01f6ac9b8c0aee089533b5_c05fca47ec508740a0250d355fee42a556893b79_base_right.log', 'left_right': 'cache/diff_analyzer/logs/yegor256/s3auth/d155be34f7cad0f6bc01f6ac9b8c0aee089533b5_c05fca47ec508740a0250d355fee42a556893b79_left_right.log'}",False,True,4,6,False,,,,,,False
19,refs/heads/master,b01c8e4a09bf9519403e4383387e1c926308e382,b1a154ae51b80c5d4e271ae96b646f941b50b848,72ef022db9b269e555679e257d64ff79c8998475,,False,"{'base_left': 'cache/diff_analyzer/logs/yegor256/s3auth/b1a154ae51b80c5d4e271ae96b646f941b50b848_72ef022db9b269e555679e257d64ff79c8998475_base_left.log', 'base_right': 'cache/diff_analyzer/logs/yegor256/s3auth/b1a154ae51b80c5d4e271ae96b646f941b50b848_72ef022db9b269e555679e257d64ff79c8998475_base_right.log', 'left_right': 'cache/diff_analyzer/logs/yegor256/s3auth/b1a154ae51b80c5d4e271ae96b646f941b50b848_72ef022db9b269e555679e257d64ff79c8998475_left_right.log'}",False,True,4,6,False,,,,,,False
20,refs/heads/master,3799ee38eb8da0063b1f32439eea91af80750f5a,d534874e795142f67ad0033357071bdcf1565639,27faf21e16ce281d68f38fa6ec861293b2c43671,,False,"{'base_left': 'cache/diff_analyzer/logs/yegor256/s3auth/d534874e795142f67ad0033357071bdcf1565639_27faf21e16ce281d68f38fa6ec861293b2c43671_base_left.log', 'base_right': 'cache/diff_analyzer/logs/yegor256/s3auth/d534874e795142f67ad0033357071bdcf1565639_27faf21e16ce281d68f38fa6ec861293b2c43671_base_right.log', 'left_right': 'cache/diff_analyzer/logs/yegor256/s3auth/d534874e795142f67ad0033357071bdcf1565639_27faf21e16ce281d68f38fa6ec861293b2c43671_left_right.log'}",False,True,5,14,False,,,,,,False
21,refs/heads/master,d534874e795142f67ad0033357071bdcf1565639,0b038d3ecf90231bf40d530f65a3c09488b9111c,30e8aa10935018a4bc2de60eb568ab3feba426a6,,False,"{'base_left': 'cache/diff_analyzer/logs/yegor256/s3auth/0b038d3ecf90231bf40d530f65a3c09488b9111c_30e8aa10935018a4bc2de60eb568ab3feba426a6_base_left.log', 'base_right': 'cache/diff_analyzer/logs/yegor256/s3auth/0b038d3ecf90231bf40d530f65a3c09488b9111c_30e8aa10935018a4bc2de60eb568ab3feba426a6_base_right.log', 'left_right': 'cache/diff_analyzer/logs/yegor256/s3auth/0b038d3ecf90231bf40d530f65a3c09488b9111c_30e8aa10935018a4bc2de60eb568ab3feba426a6_left_right.log'}",False,True,3,10,False,,,,,,False
22,refs/heads/master,0b038d3ecf90231bf40d530f65a3c09488b9111c,a566eb549c46ccb513eaed836867b854bae73441,c0ac9fecd1d32a7997735399e9bddf96c12314c4,,False,"{'base_left': 'cache/diff_analyzer/logs/yegor256/s3auth/a566eb549c46ccb513eaed836867b854bae73441_c0ac9fecd1d32a7997735399e9bddf96c12314c4_base_left.log', 'base_right': 'cache/diff_analyzer/logs/yegor256/s3auth/a566eb549c46ccb513eaed836867b854bae73441_c0ac9fecd1d32a7997735399e9bddf96c12314c4_base_right.log', 'left_right': 'cache/diff_analyzer/logs/yegor256/s3auth/a566eb549c46ccb513eaed836867b854bae73441_c0ac9fecd1d32a7997735399e9bddf96c12314c4_left_right.log'}",False,True,3,10,False,,,,,,False
