idx,branch_name,merge,left,right,notes,diff contains java file,imports_involved,left parent test result,left_tree_fingerprint,non_java_involved,num_diff_files,num_diff_lines,parents pass,right parent test result,right_tree_fingerprint,test merge,sampled for testing
1,refs/heads/master,a58810021051a648daf93bb921e88d563d8d0ca8,dd19ab458906c776aad1329b25d75696091d346d,29f51d99c181e1d8332f3ca41db6f18b04cbfad2,,False,True,,,True,25,380,,,,False,False
2,refs/heads/master,d9917892e715c6f0f5781ae7b9ac3749efce7cc6,96fec43db8bae2d086c6fbb279b752df8c32493e,81b45404645a4f60edb891ed9e4ded077afdde34,,True,True,Tests_failed,ae9ee00ef66ebe142533fee98e03afa3716f940650e12998c4950650ea0237e2,True,17,255,False,Tests_failed,0b9c30dea51c741c172f779ab6b2c24c8da72e6d2b8310719c28d3a9a8f58968,False,False
3,refs/heads/master,e42fa8241cb36371f51699e514362973b8d80bac,23c0cbf97cfcf3eb69ef28cee4fb54f6c21d14f9,3face1935b7298092fe4b4df0e646ef900875f66,,False,True,,,True,13,228,,,,False,False
4,refs/heads/master,412a644c7b859d0b870801f5e4b43890d2504902,2dc99cdf3c351e4afba1fdc7858fe244ed800cd1,2adabb5a2094cf70272478e7ba1898d7d4499f98,,True,True,Tests_failed,e512d977cd67efe5059f06a7f2a9c1622058ed26c3c46a591d486f97bfb7891a,True,9,106,False,Tests_failed,baf49dfcc9b8b0ab75bc59eb5c76313d13928bde651efebe6afcba08a07a6364,False,False
5,refs/heads/master,849d1e69b744935541e5a81e55c35dec48c7cd48,d177c6ed378b0557065cc28b0b9a3353d4e311d8,c43668007d20a6f0d42437836ed9221d558b8ce2,,False,False,,,True,2,0,,,,False,False
7,refs/heads/master,9dc489cbbbfc7f115d6c829a8393346626127bc3,23af5cd3d261d1015230ad4bf2203fa34db35dd3,0265453de87b1e0ef494bf23c1f2078a04e23632,,False,False,,,False,0,0,,,,False,False
8,refs/heads/master,5a15c394bf7cad5a1500df904c1a23f0d4210cd2,ff1d88e3227586cf0983552e59a84a49765ac2e0,bab311e9c18990c964a6f6acd9fe1bb04228679e,,True,True,Tests_failed,11c005dd42e63a383e18caf59758c61cbc0b0f9119b4688297b97e84ebccfdda,True,153,8946,False,Tests_failed,cb065b0d5c0655fd110fe57911af13b577cdf3be6dbf407b236c21c3488421c0,False,False
9,refs/heads/master,f25fea1dca8839c0f0dacbe8a9c87b3ea45e9fac,77fe391d9f779052d0ad598462bf4ac328fd6150,e131c3a8e82bfa2ada0aff5d63d1046f1e9964de,,False,True,,,True,7,115,,,,False,False
10,refs/heads/master,3246ea45a2b4122b651bff2d7b2c84137a3e9357,787f394f7367d38c98330e848106069a393b8bc1,ee32731b82f5cd775e69b072142bcf1e470c0c4f,,True,True,Tests_failed,39b315e141c6bfb25d6affd682af4d939b611668458c91ad18d781fbd7065166,True,11,529,False,Tests_failed,a894a0931bac1f126d7d35090f5d2620d315bff7a6f785ff0ee05a1abd2d5121,False,False
12,refs/heads/master,2e4beae2ea1de97b0c2cffc21851e00b3ceda1ae,124718a8710d2c7fd3bc62a89a9e2cb36610e9b2,6fbda3759f20d366929d8fea717c19bac603df97,,True,True,Tests_failed,82df523d1802eb5d1114ed2e43a5f4df5bf63ec55134e336755bfc60299714c7,True,26,1030,False,Tests_failed,a535e68565121e3b94af2c385aa2d8d3f9223ba7499e67466f1e9374e75545b6,False,False
14,refs/heads/master,7aad32b0cb0257c3c9359c55aab54a9acef6e733,4ed907a05886b9cd325670d872a4a38ab1ac16df,ea69d8853dc4a4967704b07276f467c02138003f,,False,True,,,True,2,163,,,,False,False
