idx,branch_name,merge,left,right,notes,diff contains java file,imports_involved,non_java_involved,num_diff_files,num_diff_hunks,num_diff_lines,num_intersecting_files,test merge,union_diff_files,left parent test result,left_tree_fingerprint,parents pass,right parent test result,right_tree_fingerprint,sampled for testing,gitmerge_ort,gitmerge_ort_merge_fingerprint,gitmerge_ort_ignorespace,gitmerge_ort_ignorespace_merge_fingerprint,gitmerge_recursive_histogram,gitmerge_recursive_histogram_merge_fingerprint,gitmerge_recursive_ignorespace,gitmerge_recursive_ignorespace_merge_fingerprint,gitmerge_recursive_minimal,gitmerge_recursive_minimal_merge_fingerprint,gitmerge_recursive_myers,gitmerge_recursive_myers_merge_fingerprint,gitmerge_recursive_patience,gitmerge_recursive_patience_merge_fingerprint,gitmerge_resolve,gitmerge_resolve_merge_fingerprint,git_hires_merge,git_hires_merge_merge_fingerprint,spork,spork_merge_fingerprint,intellimerge,intellimerge_merge_fingerprint,git_hires_merge_plus,git_hires_merge_plus_merge_fingerprint,intellimerge_plus,intellimerge_plus_merge_fingerprint,gitmerge_recursive_histogram_plus,gitmerge_recursive_histogram_plus_merge_fingerprint,gitmerge_recursive_ignorespace_plus,gitmerge_recursive_ignorespace_plus_merge_fingerprint,gitmerge_recursive_minimal_plus,gitmerge_recursive_minimal_plus_merge_fingerprint,gitmerge_recursive_myers_plus,gitmerge_recursive_myers_plus_merge_fingerprint,gitmerge_recursive_patience_plus,gitmerge_recursive_patience_plus_merge_fingerprint,gitmerge_resolve_plus,gitmerge_resolve_plus_merge_fingerprint,spork_plus,spork_plus_merge_fingerprint,ivn,ivn_merge_fingerprint,ivn_ignorespace,ivn_ignorespace_merge_fingerprint,adjacent,adjacent_merge_fingerprint,imports,imports_merge_fingerprint,version_numbers,version_numbers_merge_fingerprint
25,refs/heads/master,0d4a7b4e69e12cd36b44e1cf7392fbde416e2934,7e6903c8a63a7f257d5270bad03feafaa9a7a220,e923b62314fccf28065c046a5f4a59953a961baf,,True,True,True,7,58,627,3,True,7,Tests_passed,508e28a846c3ce4ce7d716c0b40f449d6a1728fc5a7f1fdb4e6adcf6b536286b,True,Tests_passed,66c02208678db361042f8447846373dda51f49a370bb750e1f826c9470cc96c1,True,Merge_failed,822572e8fae637b9e9f46a6675935df657d1ccc441afa7404c69a75a31d7b483,Merge_failed,822572e8fae637b9e9f46a6675935df657d1ccc441afa7404c69a75a31d7b483,Merge_failed,822572e8fae637b9e9f46a6675935df657d1ccc441afa7404c69a75a31d7b483,Merge_failed,822572e8fae637b9e9f46a6675935df657d1ccc441afa7404c69a75a31d7b483,Merge_failed,822572e8fae637b9e9f46a6675935df657d1ccc441afa7404c69a75a31d7b483,Merge_failed,822572e8fae637b9e9f46a6675935df657d1ccc441afa7404c69a75a31d7b483,Merge_failed,822572e8fae637b9e9f46a6675935df657d1ccc441afa7404c69a75a31d7b483,Merge_failed,d84ddc6f37f80b8a1edbbfe5aca57765d1d7f7c8c01c797bef8ff5a95fe462f1,Merge_failed,0cc7c00cd8a6de3b2687fedc12e0e50c49149f4bfc3e4e213e3cc66972440e6f,Tests_failed,3a193e3f2d3b63a9421489af5ec372ae3890e99f0c18954c7d7b0ae607599acc,Merge_failed,a6b1ded4e3f82c8caf978b8dbf1dc4b4e95851eeae1139dc9a3fb2d70788403f,Merge_failed,0cc7c00cd8a6de3b2687fedc12e0e50c49149f4bfc3e4e213e3cc66972440e6f,Merge_failed,822572e8fae637b9e9f46a6675935df657d1ccc441afa7404c69a75a31d7b483,Merge_failed,822572e8fae637b9e9f46a6675935df657d1ccc441afa7404c69a75a31d7b483,Merge_failed,822572e8fae637b9e9f46a6675935df657d1ccc441afa7404c69a75a31d7b483,Merge_failed,822572e8fae637b9e9f46a6675935df657d1ccc441afa7404c69a75a31d7b483,Merge_failed,822572e8fae637b9e9f46a6675935df657d1ccc441afa7404c69a75a31d7b483,Merge_failed,822572e8fae637b9e9f46a6675935df657d1ccc441afa7404c69a75a31d7b483,Merge_failed,59218d14e97371de9beedaad415b8e0e920364c7646cbff1fe751ef9e8d380e3,Tests_failed,3a193e3f2d3b63a9421489af5ec372ae3890e99f0c18954c7d7b0ae607599acc,Merge_failed,822572e8fae637b9e9f46a6675935df657d1ccc441afa7404c69a75a31d7b483,Merge_failed,822572e8fae637b9e9f46a6675935df657d1ccc441afa7404c69a75a31d7b483,Merge_failed,822572e8fae637b9e9f46a6675935df657d1ccc441afa7404c69a75a31d7b483,Merge_failed,822572e8fae637b9e9f46a6675935df657d1ccc441afa7404c69a75a31d7b483,Merge_failed,822572e8fae637b9e9f46a6675935df657d1ccc441afa7404c69a75a31d7b483
114,refs/heads/master,b5a96236e473740ea83e5d1ab0548deea21a5656,8b7b1ee33b59215e43ce3ef57e6f9d8105b6f19b,c5dc0a20654e46d2b401726ee65d3f846a1ff9cd,,True,True,True,24,111,1451,3,True,24,Tests_passed,da4e67631ea3ecd978882cd78108232eea8d19af4c470cb7ab8459b99230408c,True,Tests_passed,e906cd0c296941b996871513f4fec5d9b76d7e58f3bd99d8ecc519b57fffc139,True,Merge_failed,47f74501ce39db6f77b514caede107c3ca547bb3c9d844d66ad5413371b00e99,Merge_failed,9f28ec8984f596114700aea8792851914c9c0e89ece70bb6ccb22a808e778e7f,Merge_failed,47f74501ce39db6f77b514caede107c3ca547bb3c9d844d66ad5413371b00e99,Merge_failed,61a1d306a43c1bc70d02c5da36a79f005d22c43fd095cef91adfdd492dcc2ee6,Merge_failed,fdb2b5f00ec9149a8d15efafecff71a19b8af23f90242e00af5a1cc85257f1e8,Merge_failed,fdb2b5f00ec9149a8d15efafecff71a19b8af23f90242e00af5a1cc85257f1e8,Merge_failed,fdb2b5f00ec9149a8d15efafecff71a19b8af23f90242e00af5a1cc85257f1e8,Merge_failed,52eae83a36e79f019592d0d2e39b834f3976c1ef6956e2eb171047f3a4cafdcb,Merge_failed,ba8728064075a5ed16e9273e37c42d5953d33cf783e77e5964c03420b4c88459,Tests_passed,84f0ff50261ffe494024f1a35adfe972098dc17ea2ff1f663c32115073bdaa26,Merge_failed,1268617b4876dbfac9e8eb0fc097fa78249233bf0189e759e21218cefd9d904a,Merge_failed,ba8728064075a5ed16e9273e37c42d5953d33cf783e77e5964c03420b4c88459,Merge_failed,47f74501ce39db6f77b514caede107c3ca547bb3c9d844d66ad5413371b00e99,Merge_failed,47f74501ce39db6f77b514caede107c3ca547bb3c9d844d66ad5413371b00e99,Merge_failed,61a1d306a43c1bc70d02c5da36a79f005d22c43fd095cef91adfdd492dcc2ee6,Merge_failed,fdb2b5f00ec9149a8d15efafecff71a19b8af23f90242e00af5a1cc85257f1e8,Merge_failed,fdb2b5f00ec9149a8d15efafecff71a19b8af23f90242e00af5a1cc85257f1e8,Merge_failed,fdb2b5f00ec9149a8d15efafecff71a19b8af23f90242e00af5a1cc85257f1e8,Merge_failed,130d72cb2a54e4706845c47cadf2d6deac53156011644b67fc8bffe90b73e6b3,Tests_passed,84f0ff50261ffe494024f1a35adfe972098dc17ea2ff1f663c32115073bdaa26,Merge_failed,47f74501ce39db6f77b514caede107c3ca547bb3c9d844d66ad5413371b00e99,Merge_failed,9f28ec8984f596114700aea8792851914c9c0e89ece70bb6ccb22a808e778e7f,Merge_failed,47f74501ce39db6f77b514caede107c3ca547bb3c9d844d66ad5413371b00e99,Merge_failed,47f74501ce39db6f77b514caede107c3ca547bb3c9d844d66ad5413371b00e99,Merge_failed,47f74501ce39db6f77b514caede107c3ca547bb3c9d844d66ad5413371b00e99
115,refs/heads/master,b911863aa857887e12c7fb9b2bf92fadf20cb8c1,22960eb2684000f19e7bcf049d8678124850e973,c5dc0a20654e46d2b401726ee65d3f846a1ff9cd,,True,True,True,24,98,1259,4,True,24,Tests_passed,88b9d69c60739777781739e3beec8d11e7c76ff360bcec4777516d3ab821eba5,True,Tests_passed,e906cd0c296941b996871513f4fec5d9b76d7e58f3bd99d8ecc519b57fffc139,True,Merge_failed,988cf7b50b3467f6ad291359eb14fd950be42beb7756b9f871bb1c83a4561bb5,Merge_failed,36f35e74c9983d55b462c210ae1f8b230e6d9e523858ce6d56be289e4a71c911,Merge_failed,988cf7b50b3467f6ad291359eb14fd950be42beb7756b9f871bb1c83a4561bb5,Merge_failed,5c7215f8571f023d3446c8c525eb16e8283652f40a476f55c3562d8d667ab9f4,Merge_failed,988cf7b50b3467f6ad291359eb14fd950be42beb7756b9f871bb1c83a4561bb5,Merge_failed,988cf7b50b3467f6ad291359eb14fd950be42beb7756b9f871bb1c83a4561bb5,Merge_failed,988cf7b50b3467f6ad291359eb14fd950be42beb7756b9f871bb1c83a4561bb5,Merge_failed,318b356aec04c01b9c54474846000e9fd5a0265b8661a48c087f855df6df2b3b,Merge_failed,e360df0fc12118fa25986cefde0582b87914c965b55088f4751ffdb6d4dd413c,Tests_timedout,ad2e367e00937f189f1fc80b7b1f905ffb6e7c7678e24697dc03791a94b3655b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,refs/remotes/origin/pull/305,d711e391b95bb76ee993ea56901541cab8dbef36,4d51048b8d85c9489fa4e061225629295d6a1bcd,17a5b2a5472dad17bb9d5bae3d13307a3f909926,,True,True,True,7,22,82,2,True,7,Tests_passed,8b721408be82c552ada53294f8d4fc655e0b0f38e42627ad3fb2bac359813d24,True,Tests_passed,81ce0b49a1f4ccb24cd8c49661272add84aab4d53d719367eb5811a3854b4312,True,Merge_failed,d63be086f8a2047ebb43ef33180baf2b5f79790b4a830100e67e6fc1f3ee8040,Merge_failed,d63be086f8a2047ebb43ef33180baf2b5f79790b4a830100e67e6fc1f3ee8040,Merge_failed,d63be086f8a2047ebb43ef33180baf2b5f79790b4a830100e67e6fc1f3ee8040,Merge_failed,d63be086f8a2047ebb43ef33180baf2b5f79790b4a830100e67e6fc1f3ee8040,Merge_failed,d63be086f8a2047ebb43ef33180baf2b5f79790b4a830100e67e6fc1f3ee8040,Merge_failed,d63be086f8a2047ebb43ef33180baf2b5f79790b4a830100e67e6fc1f3ee8040,Merge_failed,d63be086f8a2047ebb43ef33180baf2b5f79790b4a830100e67e6fc1f3ee8040,Merge_failed,49ee593b2970a265654c90c0c7d4317164b8564e0abee57e9fd9df07ae8db067,Merge_failed,e7113edf86bece7d3ff721e210889f397f17c80b7ccbecf0b6cb53a2692979a5,Tests_passed,98f3cf7cdf4788f891ecfc22570daa23fcab5da3c1f23dc44e65127c2e4553da,Tests_failed,13d351d73faa0714886897c4b165b21a83164c5104bc099558c6155c9c9e903d,Merge_failed,e7113edf86bece7d3ff721e210889f397f17c80b7ccbecf0b6cb53a2692979a5,Merge_failed,d63be086f8a2047ebb43ef33180baf2b5f79790b4a830100e67e6fc1f3ee8040,Merge_failed,d63be086f8a2047ebb43ef33180baf2b5f79790b4a830100e67e6fc1f3ee8040,Merge_failed,d63be086f8a2047ebb43ef33180baf2b5f79790b4a830100e67e6fc1f3ee8040,Merge_failed,d63be086f8a2047ebb43ef33180baf2b5f79790b4a830100e67e6fc1f3ee8040,Merge_failed,d63be086f8a2047ebb43ef33180baf2b5f79790b4a830100e67e6fc1f3ee8040,Merge_failed,d63be086f8a2047ebb43ef33180baf2b5f79790b4a830100e67e6fc1f3ee8040,Merge_failed,12e9eac9704869a5cfa7510c72ec30100bdee28bc445fed2b8132e75ded9dc90,Tests_passed,98f3cf7cdf4788f891ecfc22570daa23fcab5da3c1f23dc44e65127c2e4553da,Merge_failed,d63be086f8a2047ebb43ef33180baf2b5f79790b4a830100e67e6fc1f3ee8040,Merge_failed,d63be086f8a2047ebb43ef33180baf2b5f79790b4a830100e67e6fc1f3ee8040,Merge_failed,d63be086f8a2047ebb43ef33180baf2b5f79790b4a830100e67e6fc1f3ee8040,Merge_failed,d63be086f8a2047ebb43ef33180baf2b5f79790b4a830100e67e6fc1f3ee8040,Merge_failed,d63be086f8a2047ebb43ef33180baf2b5f79790b4a830100e67e6fc1f3ee8040
