idx,branch_name,merge,left,right,notes,test merge,diff contains java file,sampled for testing
1,refs/heads/master,d3029e00a705ace9a8bfe96bb9ca6c7ce48d5668,1ece7a03f987a1f1cd28dc493750cfec066e7376,519cd02dfcb95775f923ac91ffd8336b39e13636,,False,False,False
2,refs/heads/master,a99efe40e6c25029219b5c9d01facc71f539275c,4d66f219a87ca17d58fbede4889a8a7d0b841206,ccaf6020e7b211a8b426038029a5b5e1699de55b,,False,False,False
3,refs/heads/master,f0e61ee1b52463bc77486faa203f11225caf96aa,bffa37c6153ae4c1e2d8dc356949bb877d5432ce,f3e9ada0974e5d3b48e7b49d869dcc6a32a6e799,,False,False,False
4,refs/heads/master,00a266a64adb3acc1d531a75f01eeacc7d8fb2c8,5df357be65d89b609b057fbeb62c35d3f3fea1e7,de39fe2879ff241adc3a2b36e0987a2ebb0014fd,,False,False,False
5,refs/heads/master,5df357be65d89b609b057fbeb62c35d3f3fea1e7,1172a0e4648e5c15dce16a5c6a0a81dcfa0658e9,a300808693005af9580e1e108fd08e8352dbbaa1,,False,False,False
6,refs/heads/master,de39fe2879ff241adc3a2b36e0987a2ebb0014fd,5aecf1065be169ca673560b2b7e91d9ac4a4b4be,03a08871b0902fb8696a4b070261d0a09f40d1f9,,False,False,False
8,refs/heads/master,03a08871b0902fb8696a4b070261d0a09f40d1f9,026dcb705d70d6fbce3a4e05ee0e375f47659e85,570267966da649f760a5e0cb9962f20089708b42,,False,False,False
9,refs/heads/master,a300808693005af9580e1e108fd08e8352dbbaa1,7483e77f500681a56f93358863cfd350b9c6e359,2eae0e66fccda8fe578c1f689b1bad16a12690c8,,False,False,False
10,refs/heads/master,570267966da649f760a5e0cb9962f20089708b42,9f97003f5614910728d1e4f66cad17d983a4aad5,ab866cee5f7899d68f445014dc723cf984452dd6,,False,False,False
11,refs/heads/master,df0db618a6a94448932dd1c593dfc969b3da560e,585e4b5c0acf9a1a50668c4dbf941e9e4bfdd0bc,6ab48d8828cc6f6ec997ba8d12ec6cc49aa30ac6,,False,False,False
12,refs/heads/master,0e1df26485a23edfc83a9690d050baba1a60583c,a937cb006dd1ee37030a5480bba2942de64dd49e,9a1e0779b5c504be5ba7912cc1a2b945c6bb2b1e,,False,False,False
13,refs/heads/master,585e4b5c0acf9a1a50668c4dbf941e9e4bfdd0bc,cfd2af5c04e2545eb9c3c2762ff737bbdd6ae4bf,009be59a1eb04326b10add9e39c073034f74902d,,False,False,False
14,refs/heads/master,a937cb006dd1ee37030a5480bba2942de64dd49e,95f77b1554f8e3b96dcf269dcffb09379c7c3aa9,0ae9c8a86674c0a191be29c9c72f3dad0842fd64,,False,False,False
15,refs/heads/master,009be59a1eb04326b10add9e39c073034f74902d,d684d7193531960d21704b59be19f2ba8af41f20,d94ed2707a94b4faba854aa5e98c3a23a7f81b37,,False,False,False
16,refs/heads/master,0ae9c8a86674c0a191be29c9c72f3dad0842fd64,77541dfa0eb8d93cac12d374fb177efa66f66dc4,ea237380f21f09bcc0401efd28df5d68c4d2a1ad,,False,False,False
17,refs/heads/master,a34161601846b91c50bf74fed68317a5a3515b14,0279018fc848ca70d7ac476086820cc2004f70de,96ab933e56ea56742af9b083dfab3c83070f14d6,,False,False,False
18,refs/heads/master,485ca766ecce21171d69386b5ef72f8c115c2c62,79f537b310c5915a145103b5b88ec6b6ed4f108b,684c522f09bde6b91df68b7e983e354cd5f54184,,False,False,False
19,refs/heads/master,27d74cd0f2e0dcf9cc7771e8d2606ae8997f9642,d66aff1dac50d92b933392a97377fc1b351948e1,4e6706227c786ffe15acb583296e77fb487e306b,,False,False,False
20,refs/heads/master,828c647ba57dc0b25b201541d195e2bbf25a1a1e,e4a5b8f2bb4b6ab75ca754149d224717455455f1,1c4cd9a64d28c031c7c58a2ba651f4459d3a3e83,,False,False,False
21,refs/heads/master,e2cee8982047b790d1f204c29b57ddb70ca304bb,adb8968a0696bde62e1bea8045cd8e40755fdccc,57d3e2a5dbe09d3de0a179cbfef88878a9fa0e74,,False,False,False
22,refs/heads/master,bbbcf9a0dede89f65a199bfe60a6a5a4962b2d3e,d41b067a8fbfdaf9e525855449aaa141f5080383,564edbfdf496e9c4ef92f420087726ce2c240a2a,,False,False,False
23,refs/heads/master,adb8968a0696bde62e1bea8045cd8e40755fdccc,bd275f36fd8c5869dccd38c823a9dcccf5b28999,3c210575f6d20952e752f3af942d4624b7527b57,,False,False,False
24,refs/heads/master,d41b067a8fbfdaf9e525855449aaa141f5080383,2114760d1012b335f9a0f0754417810a7dc222c7,cae618450089d247fc40d15b1165696ffbd7078c,,False,False,False
25,refs/heads/master,3c210575f6d20952e752f3af942d4624b7527b57,f6545630b7039c680cc50f1ec3a0daee406a8e75,0bab616afefd2b18d2630f4959b5d2fba891e726,,False,False,False
26,refs/heads/master,cae618450089d247fc40d15b1165696ffbd7078c,7102b4ac5575266060d94dcf8469078ec1e89f3b,8a98e2a8308fdb7286e500b00f549474664abdf2,,False,False,False
27,refs/heads/master,37920c01a3e3af1967c9861cd56d27e103787bcf,32ff43873a986b2a59abf252b411083af6970d57,a769feebb76773688db16bdada977af2c5f1a352,,False,False,False
28,refs/heads/master,4b21a5df410d400d703359fb0fddd3330e55f696,32ff43873a986b2a59abf252b411083af6970d57,8e86690adc7e5ccd9d87594d10acbcf4aa41c6f5,,False,False,False
29,refs/heads/master,a769feebb76773688db16bdada977af2c5f1a352,ca72513b92a389c1b39b092267f99ec713fcdbd9,317b744b1eca354b8ddb1d2cbb6065b277c0c164,,False,False,False
30,refs/heads/master,8e86690adc7e5ccd9d87594d10acbcf4aa41c6f5,00a3458be0d8f469e23172b3937a0e43a90e31a5,85dbb7d34543b18a364adc1694b104d611d3d3ca,,False,False,False
