idx,branch_name,merge,left,right,base,parent test,merge test,repo_name,gitmerge-ort,gitmerge-ort-ignorespace,gitmerge-recursive-patience,gitmerge-recursive-minimal,gitmerge-recursive-histogram,gitmerge-recursive-myers,gitmerge-resolve,git-hires-merge,spork,intellimerge,Equivalent gitmerge-ort gitmerge-ort-ignorespace,Equivalent gitmerge-ort gitmerge-recursive-patience,Equivalent gitmerge-ort gitmerge-recursive-minimal,Equivalent gitmerge-ort gitmerge-recursive-histogram,Equivalent gitmerge-ort gitmerge-recursive-myers,Equivalent gitmerge-ort gitmerge-resolve,Equivalent gitmerge-ort git-hires-merge,Equivalent gitmerge-ort spork,Equivalent gitmerge-ort intellimerge,Equivalent gitmerge-ort-ignorespace gitmerge-recursive-patience,Equivalent gitmerge-ort-ignorespace gitmerge-recursive-minimal,Equivalent gitmerge-ort-ignorespace gitmerge-recursive-histogram,Equivalent gitmerge-ort-ignorespace gitmerge-recursive-myers,Equivalent gitmerge-ort-ignorespace gitmerge-resolve,Equivalent gitmerge-ort-ignorespace git-hires-merge,Equivalent gitmerge-ort-ignorespace spork,Equivalent gitmerge-ort-ignorespace intellimerge,Equivalent gitmerge-recursive-patience gitmerge-recursive-minimal,Equivalent gitmerge-recursive-patience gitmerge-recursive-histogram,Equivalent gitmerge-recursive-patience gitmerge-recursive-myers,Equivalent gitmerge-recursive-patience gitmerge-resolve,Equivalent gitmerge-recursive-patience git-hires-merge,Equivalent gitmerge-recursive-patience spork,Equivalent gitmerge-recursive-patience intellimerge,Equivalent gitmerge-recursive-minimal gitmerge-recursive-histogram,Equivalent gitmerge-recursive-minimal gitmerge-recursive-myers,Equivalent gitmerge-recursive-minimal gitmerge-resolve,Equivalent gitmerge-recursive-minimal git-hires-merge,Equivalent gitmerge-recursive-minimal spork,Equivalent gitmerge-recursive-minimal intellimerge,Equivalent gitmerge-recursive-histogram gitmerge-recursive-myers,Equivalent gitmerge-recursive-histogram gitmerge-resolve,Equivalent gitmerge-recursive-histogram git-hires-merge,Equivalent gitmerge-recursive-histogram spork,Equivalent gitmerge-recursive-histogram intellimerge,Equivalent gitmerge-recursive-myers gitmerge-resolve,Equivalent gitmerge-recursive-myers git-hires-merge,Equivalent gitmerge-recursive-myers spork,Equivalent gitmerge-recursive-myers intellimerge,Equivalent gitmerge-resolve git-hires-merge,Equivalent gitmerge-resolve spork,Equivalent gitmerge-resolve intellimerge,Equivalent git-hires-merge spork,Equivalent git-hires-merge intellimerge,Equivalent spork intellimerge,gitmerge-ort run_time,gitmerge-ort-ignorespace run_time,gitmerge-recursive-patience run_time,gitmerge-recursive-minimal run_time,gitmerge-recursive-histogram run_time,gitmerge-recursive-myers run_time,gitmerge-resolve run_time,git-hires-merge run_time,spork run_time,intellimerge run_time
47,refs/heads/master,0f8e30d37e80f864d590788f05c3575ab7f66a8a,d5efbde0d2c90d4140137c918e9d268dac746835,28d62bba9d18e57c26ef3c87d3c083c82a896c9d,6541c96a54b55f360f7bba2ca921227c0e7803c4,Tests_passed,Tests_passed,CloudSlang/cloud-slang,Tests_timedout,Tests_timedout,Tests_timedout,Tests_timedout,Tests_timedout,Tests_timedout,Tests_timedout,Tests_timedout,Tests_timedout,Tests_timedout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4568424224853515,0.1095921993255615,0.3089268207550049,0.5527565479278564,0.1797659397125244,0.127260684967041,1.3178179264068604,0.0692729949951171,0.1137728691101074,4.146353244781494
53,refs/heads/master,bd5c254858fff0044e073c0a98e218f57d54322c,1beca37580510492dbc5cde87d751013f1ea6a12,4496638b9a5706eded805b23eb33121a25ff8c8f,c52ed37f3ab37db59a09bee617db1b88227fef72,Tests_passed,Tests_passed,Crate/crate,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0657849311828613,0.0653765201568603,0.165536880493164,0.0648698806762695,0.06549072265625,0.0651421546936035,0.0661091804504394,0.0250720977783203,0.127314805984497,3.2855844497680664
57,refs/heads/master,539f0f56947ee07ab17966c4e8466d78fbf10b47,7abb5cc8e7c6bd22fbe3465da3154a6bfe3f1fd1,451dc10cc9e2bafef74a2385005701f14bca5da2,ba20beb65a6414a1656b431459a90540a37c8b21,Tests_passed,Tests_passed,Crate/crate,Merge_failed,Merge_failed,Merge_failed,Merge_failed,Merge_failed,Merge_failed,Merge_failed,Merge_failed,Merge_failed,Merge_failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1600031852722168,0.1554124355316162,0.183258056640625,0.1709523200988769,0.1040399074554443,0.1310276985168457,1.5341393947601318,0.1338417530059814,0.066263198852539,1.3563976287841797
59,refs/heads/master,6269c0b09ade7f06c859a6726783a4bfdf4e7fca,bcca4d414155c5abc2b37fe6abc3bb679ecbd841,cda52b16d8e6bb6b1930f49f294a48d9d39369d9,1d662bfd5c596d04b268a9c533906af75b31cd94,Tests_passed,Tests_passed,Crate/crate,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0663230419158935,0.0655274391174316,0.0656700134277343,0.0654408931732177,0.0650293827056884,0.0655205249786377,0.0653021335601806,0.0358805656433105,0.0985476970672607,2.9756789207458496
61,refs/heads/master,34f00174d36b524ff5f290c14d33938c554d5978,d88e25d5c2dc473c1e33ce36186161b5445b05c3,7cb904999f6007947d10e8a0e3d6b0a5e4979d8d,b3885babcdfc3199ef6cbb456276a0f9ba3539f3,Tests_passed,Tests_passed,Crate/crate,Merge_failed,Merge_failed,Merge_failed,Merge_failed,Merge_failed,Merge_failed,Merge_failed,Merge_failed,Merge_failed,Merge_failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.171278715133667,0.165846586227417,0.1902987957000732,0.1835625171661377,0.110940933227539,0.156153917312622,2.1524484157562256,0.1824743747711181,0.0980653762817382,1.4322781562805176
62,refs/heads/master,c30e2dd4d62721e255ff975d65de7b5546c6abc7,7ccba7bae7d2603b0b5670649f0a19e7fc7ae16a,577cac917973bd2e61b56fafbc831a4b5d0cf340,1b8b7f0b7ccb8c2d47ee71a5e6a4e1d31ce63d72,Tests_passed,Tests_passed,Docracy/megajar,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2666420936584472,0.2663650512695312,0.3669865131378174,0.3667294979095459,0.3659572601318359,0.4168741703033447,0.2161009311676025,0.2393431663513183,0.4598290920257568,1.9150407314300537
68,refs/remotes/origin/issue-338-Tone_down_sortpom_output,66ccb1b75615903fc2f73956e803dd1e4d3e6d1b,4f9fcdb9645bcb43b5c6b40a6d2f9fcc75ec8488,e6a59950efa9215e1dad3ae80064603cbb0eb8d3,299ee339f4df5e15753b0c215f462a42ee7df8ff,Tests_passed,Tests_passed,Ekryd/sortpom,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1686718463897705,0.2211682796478271,0.3280811309814453,0.2021193504333496,0.1155018806457519,0.2161939144134521,0.1160731315612793,0.0804042816162109,0.2058651447296142,1.1369597911834717
75,refs/heads/master,674bddb0caac6e78175828ea1ab48e348b616a05,ab340b88790f2cc3a25e3bddae638994927ac1a8,ae24f3afbe9a932f0e255740b88db833775e7b01,d4da78ab1f421892e96af2a4bfb63062a9fa1733,Tests_passed,Tests_passed,Ekryd/sortpom,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1673731803894043,0.0656569004058837,0.0662147998809814,0.2172653675079345,0.0660626888275146,0.066197395324707,0.0653638839721679,0.1028175354003906,0.1808335781097412,1.2278268337249756
84,refs/heads/main,1ad056ebe905c6a8f795b165eff3be5c5268fe5d,027ccc56e4ae7bc376feeb14f8a7771cd4c039ed,54a73fb38e39bcb6fcdda5542235a6dfedb102f1,0e0ca4528cd1664a3f79f34ad8cd344ab80a72b1,Tests_passed,Tests_passed,EvidentSolutions/dalesbred,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1162729263305664,0.1157736778259277,0.167933702468872,0.1156814098358154,0.1163656711578369,0.1162652969360351,0.1167109012603759,0.0620341300964355,0.1300075054168701,1.6362454891204834
95,refs/heads/master,7fad820a47e0d6eb86f493184379c39055c8027f,39a95c6cfc55e3aea0bd5fd0fb4c080811c9030d,7cc93d73baad7bb480467f2275260f8b188381ab,9d61d2a71215e05826aed73e8c3d8ff944c622d6,Tests_passed,Tests_passed,FasterXML/jackson-datatype-guava,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0652787685394287,0.0665621757507324,0.064868688583374,0.0660960674285888,0.0645811557769775,0.0665669441223144,0.0662410259246826,0.0274796485900878,0.0752365589141845,1.1322708129882812
