idx,branch_name,merge,left,right,base,parent test,merge test,repo_name,gitmerge-ort,gitmerge-ort-ignorespace,gitmerge-recursive-patience,gitmerge-recursive-minimal,gitmerge-recursive-histogram,gitmerge-recursive-myers,gitmerge-resolve,spork,intellimerge,Equivalent gitmerge-ort gitmerge-ort-ignorespace,Equivalent gitmerge-ort gitmerge-recursive-patience,Equivalent gitmerge-ort gitmerge-recursive-minimal,Equivalent gitmerge-ort gitmerge-recursive-histogram,Equivalent gitmerge-ort gitmerge-recursive-myers,Equivalent gitmerge-ort gitmerge-resolve,Equivalent gitmerge-ort spork,Equivalent gitmerge-ort intellimerge,Equivalent gitmerge-ort-ignorespace gitmerge-recursive-patience,Equivalent gitmerge-ort-ignorespace gitmerge-recursive-minimal,Equivalent gitmerge-ort-ignorespace gitmerge-recursive-histogram,Equivalent gitmerge-ort-ignorespace gitmerge-recursive-myers,Equivalent gitmerge-ort-ignorespace gitmerge-resolve,Equivalent gitmerge-ort-ignorespace spork,Equivalent gitmerge-ort-ignorespace intellimerge,Equivalent gitmerge-recursive-patience gitmerge-recursive-minimal,Equivalent gitmerge-recursive-patience gitmerge-recursive-histogram,Equivalent gitmerge-recursive-patience gitmerge-recursive-myers,Equivalent gitmerge-recursive-patience gitmerge-resolve,Equivalent gitmerge-recursive-patience spork,Equivalent gitmerge-recursive-patience intellimerge,Equivalent gitmerge-recursive-minimal gitmerge-recursive-histogram,Equivalent gitmerge-recursive-minimal gitmerge-recursive-myers,Equivalent gitmerge-recursive-minimal gitmerge-resolve,Equivalent gitmerge-recursive-minimal spork,Equivalent gitmerge-recursive-minimal intellimerge,Equivalent gitmerge-recursive-histogram gitmerge-recursive-myers,Equivalent gitmerge-recursive-histogram gitmerge-resolve,Equivalent gitmerge-recursive-histogram spork,Equivalent gitmerge-recursive-histogram intellimerge,Equivalent gitmerge-recursive-myers gitmerge-resolve,Equivalent gitmerge-recursive-myers spork,Equivalent gitmerge-recursive-myers intellimerge,Equivalent gitmerge-resolve spork,Equivalent gitmerge-resolve intellimerge,Equivalent spork intellimerge,gitmerge-ort run_time,gitmerge-ort-ignorespace run_time,gitmerge-recursive-patience run_time,gitmerge-recursive-minimal run_time,gitmerge-recursive-histogram run_time,gitmerge-recursive-myers run_time,gitmerge-resolve run_time,spork run_time,intellimerge run_time
10,refs/heads/master,e2021cd95267570046985df5cba76169689e2edc,2be61e1881a9901ceb9207cbfbfde10852f7811e,df6afa74a252e68269d50ea7cb1f2a4cae94cf4f,2be61e1881a9901ceb9207cbfbfde10852f7811e,Tests_passed,Tests_passed,Ardesco/selenium-standalone-server-plugin,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06583142280578613,0.06613874435424805,0.06521296501159668,0.06589698791503906,0.06673026084899902,0.06585526466369629,0.06534600257873535,0.07532143592834473,0.9764828681945801
11,refs/heads/master,957d978135279c122dcfaf9d72ed5a89f487b0ae,2fbb7e4f756f0288d11b2cf4bf2ca6e25cbafc07,c14176511dd6db04b8b175f5c3cb30abd9929449,3b00044b28388f69e6f6acf96b0037806cebe86d,Tests_passed,Tests_passed,Ardesco/selenium-standalone-server-plugin,Merge_failed,Merge_failed,Merge_failed,Merge_failed,Merge_failed,Merge_failed,Merge_failed,Tests_failed,Merge_failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.492245435714722,2.0050384998321533,0.24294805526733398,0.9218223094940186,4.017835855484009,1.8426928520202637,9.311248540878296,10.124872922897339,3.233912467956543
12,refs/heads/master,c4103c16fa5f261efd89215f6b8ee732bbc54ddc,8623de819a2a674c5bf286fafb2c8ee170db98f2,957d978135279c122dcfaf9d72ed5a89f487b0ae,3b00044b28388f69e6f6acf96b0037806cebe86d,Tests_passed,Tests_passed,Ardesco/selenium-standalone-server-plugin,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23871064186096191,0.1210334300994873,0.11844992637634277,0.269517183303833,0.16623306274414062,1.5263679027557373,9.201261043548584,0.30303263664245605,16.116122245788574
13,refs/heads/master,e8c64881cdbccdb983f392b57503ce2c2f2044c9,9f9ff4e046adc03c1ba8e360263707320da926e8,0dad6e37ef5aa75ddf43f8a1df7ff8b0e45f8301,3b00044b28388f69e6f6acf96b0037806cebe86d,Tests_passed,Tests_passed,Ardesco/selenium-standalone-server-plugin,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06558704376220703,0.11572146415710449,0.06541013717651367,0.1153421401977539,0.11734986305236816,0.11802339553833008,0.12046980857849121,0.07881903648376465,1.0257577896118164
14,refs/heads/master,f02f53f21da50203de85e636809d0ea3c2cd7b83,af31aef488826e3f9d8b700f22a146c5f563480a,4594bbf38dc56591aa8510b28c050c8a59d351fe,af31aef488826e3f9d8b700f22a146c5f563480a,Tests_passed,Tests_passed,Ardesco/selenium-standalone-server-plugin,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05063819885253906,0.11753582954406738,0.1725475788116455,0.07031512260437012,0.06564879417419434,0.06605219841003418,0.11939644813537598,0.10226964950561523,1.2598280906677246
15,refs/heads/master,de3728a616ec5346bae0275344a067a5d425cba1,b7cf520253f5a685a8ae81e7f36851a261bbac30,6a83589af0f57da8cb0453b37e09e7aa39c332d3,b7cf520253f5a685a8ae81e7f36851a261bbac30,Tests_passed,Tests_passed,Ardesco/selenium-standalone-server-plugin,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06621432304382324,0.07026982307434082,0.07224845886230469,0.06578469276428223,0.06579971313476562,0.033867597579956055,0.07965087890625,0.08232378959655762,1.0286176204681396
16,refs/heads/master,f4b1ba89f29533c890f3fccf20b61a1bf0042aaf,e0f23b1aaedb22f0697d58beed57c234981f7c4c,02f8074ee7a5a0adcd11106519890d0cabcbc33f,3b00044b28388f69e6f6acf96b0037806cebe86d,Tests_passed,Tests_timedout,Ardesco/selenium-standalone-server-plugin,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06544876098632812,0.06659483909606934,0.050817012786865234,0.0655674934387207,0.06528234481811523,0.11724853515625,0.033126115798950195,0.12457537651062012,1.2308108806610107
17,refs/heads/master,21af23d462dcd83e5c9a23707f02de49f8a75ec0,2a9115d7db25abbdeedfa13a53c3b0b69a1bd7d0,904dfa31100b9afb9206b39d9380b72a2116cd81,4802f5e3cf6706882ae0d783eabc0ca0984cdf9d,Tests_passed,Tests_passed,Beh01der/EasyFlow,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07270526885986328,0.07481980323791504,0.07792878150939941,0.08018708229064941,0.07542967796325684,0.07367682456970215,0.07636713981628418,0.07489490509033203,1.177689790725708
18,refs/heads/master,e4f4341103d573cf10ee9bfd50d078490a62cc9a,30ff28708e9ad322e778d3d94477c2a95231f73e,d20b9fcc989561e135ea595aecc6b15c414b4fb7,30ff28708e9ad322e778d3d94477c2a95231f73e,Tests_passed,Tests_passed,Beh01der/EasyFlow,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.040047407150268555,0.07280111312866211,0.04267430305480957,0.07518386840820312,0.04319429397583008,0.04153084754943848,0.04393172264099121,0.07740092277526855,1.305382251739502
19,refs/heads/master,8e2f00e6fe32d278745b6a50751bd64030659b7e,4335d603f8e98eb5f32a9e7f4b3121cc38832cc9,1510f12134836c1f1003ffe44bf4f441a8560312,4335d603f8e98eb5f32a9e7f4b3121cc38832cc9,Tests_passed,Tests_passed,Beh01der/EasyFlow,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0899665355682373,0.03905534744262695,0.08254814147949219,0.08163118362426758,0.10144519805908203,0.10549020767211914,0.050719499588012695,0.07636618614196777,1.316997766494751
