idx,branch_name,merge,left,right,notes,diff_size,diff_contains_java_file,left_tree_fingerprint,left parent test result,left parent test coverage,parents pass,right_tree_fingerprint,right parent test result,right parent test coverage,test merge
251,refs/heads/main,b3c562f7ce2a1704bda6fff25796259808f9792f,b5add1d03aa40b34572ad63213f5210e334135b1,4cbffc66dc3381ce84fc660b35e7357dd1a7642d,,4744,True,9a2f0d3071a527dbf9a29ad62500d952e6a21925abd4ba2ca2833dbd01ae65fb,Tests_failed,0.0,False,7e1545ade38e831c74df5ee1e729a034da476ca8068a8a0fee39133e7ece3294,Tests_failed,0.0,False
255,refs/heads/main,cf461645aebe8a73beb878a1445ec0c58ccbd48f,88683b6fddb0ecd6d84fde46d6157afd525712b9,4582cdf8203a558e8681b0fd8a8138bc6a44dac4,,23,False,b225d0d929112e58d871bc6582c226d272229a3052a7cc0ba4ea8a375d0de33d,Tests_failed,0.0,False,795a2573ad6f93276775e0c86efdc1bcc45284eb50fab8cbd0c61ab7507db1c5,Tests_failed,0.0,False
258,refs/heads/main,bb3bf263774dc45cd470af3a6370c753d6251e53,acdc50f60b5efa35063d3e058fe4bf2b5f06a66a,2baf831c523ac452101d3e9b6533dc79c10cfb47,,1713,True,d901175ad0ac8bd03d04877a319df4d5edf2900727b69db3763d8a0c83d5fef2,Tests_failed,0.0,False,e6821b32b16d28fe3dc567521eaceda6e4f6908644b8feee7224bb85c08d47a9,Tests_failed,0.0,False
262,refs/heads/main,8f2769e67846111dbb9cd1615527c51a6bc190d7,5ccec86a2e8b56136a335d6bef8fd01548f15f84,940eea50d62d8413d520e4b4251db82728903ac4,,10084,True,b49771901417a5a3538f71e0b8bcedccbc86738052e22be994a43bb9b0950b77,Tests_failed,0.0,False,7fc14aad2f9fb892f4e33be06c6ef3d1cc7a4fe43620c6a106926ec8697aa03c,Tests_failed,0.0,False
269,refs/heads/main,e34ba0e501d3fd14cc5d251c11c1cb8d434c0b17,a8d9b84c2dd617ea159301be4119eaa9b1fe2d4c,cc7fb46cf6fd3fe8393b6e0b162bd04b0866ab89,,2871,True,c7114c7353f06461f5be8c8d23683a77fe38771a3d142cc1d929348be9cd21cc,Tests_failed,0.0,False,d9743f59c0c04709c0b07b1303894743eca61ada2afba4bdc0861105858285a0,Tests_failed,0.0,False
270,refs/heads/main,fa0f1badd1f2e6aece7cfe88fa96b6d45a50ad67,b9baaf2d504d78aee57950330c18fb4298b42939,3df77a8109461f70606a6d28088a620835706715,,1838,True,7576fb770cbf148710efc3cb8aa7dd86b5d6857c187d64e6e4b1f66a65d68010,Tests_failed,0.0,False,7eab5667d5a9503b63603e4a56c90117180887b3426a338691ca97a34c5e9e3e,Tests_failed,0.0,False
271,refs/heads/main,7625e9f809b8379d307352469cb541ff3df683e6,c04af90b93bb0240e49be296d927c2d0f5288a76,d8ec76aab8321606255907790c111d1512fd9288,,571,True,38720c018d36c2fea72779318dea6bbe8aff7eaf585810c758d1108e58b54c19,Tests_failed,0.0,False,9292dfa562e63e27bad48098bab6ad4c03c9c8b34e1ed860e8f6b00741bac764,Tests_failed,0.0,False
273,refs/heads/main,8f9cccee546e9056d9839ae819aa4c6296f564ee,db5818f405e7a05e6fc6b7660a85797afa260bf7,54a2e2fb872938b21fe95ed882f2f935023b8a31,,459,True,2bf8766a1db0f0dda7fd6cee2e354a9bcc02446113a359d24e4715463b2d9418,Tests_failed,0.0,False,151e8fec73986116ca2db56ad6aebd671e889aaa5fec07331d968dfd5f6e18b4,Tests_failed,0.0,False
274,refs/heads/main,eb6dc5f6e6c6dcad11a152933c799c035577a00b,f58640cbc236f9dd0e70bcaf4ee31ee87b7bc48b,44c19ce169715dad7ab0ee243d655ef1b82b92ef,,549,True,f1d6341c49da35696719065d8609e859f51531f858b8a0e06be64423ebfc9a45,Tests_failed,0.0,False,f213e0903571319b32806b31261d8901a258c8fddb3c30b6dd8e7e8c1679e4e0,Tests_failed,0.0,False
278,refs/heads/main,0ca9326dc9218839f533b52b171bc7c5207ed934,2d71a9e1e51cfd0f5cd6be83f35ea3035b4e8580,ddea90199cf9cf37e66d05472edf91cb26169eb2,,38,False,ce807abbaf9132f6c80d1b9fe30743dde1544ee1d7e950b65231946f2d9dd310,Tests_failed,0.0,False,1c4f2ab554e79fbd059b11af4b6312c7443ce90da6cbb1893dc03e29c638ee63,Tests_failed,0.0,False
280,refs/heads/main,c9a5af3ab50ceb716bd350c34d8c8094c3a2f035,1069b6332a44540056ba7ccf75cd6b178ed3d341,280c62597e89fdb8ceb3c665ff24d85161429aa6,,3085,True,474f93d9ba3a1783ce7bf337d3802fe509d49e21799527d87a816b4761e28af7,Tests_failed,0.0,False,b234f73952f28562e9ed0bde6c745a50d5614f1b53afbb664b6ebd3138120f21,Tests_failed,0.0,False
282,refs/heads/main,55d96bf17564057d90f3b13417586d75ca56989a,d1a0aeaf91803b30f9ee6b7a7bce56d65d61aeb9,aa8c9e099ffc43000d21dfb2b1cbcb5323904f8f,,1151,True,735d34e59b71b2ba774152e6af6cd9b10334388340b8ed6846d7a02c50bf720c,Tests_failed,0.0,False,1a834561d9e00ef29c74d041f491571d63d7a8a019b5453b71fb2c31bb260789,Tests_failed,0.0,False
