idx,branch_name,merge,left,right,notes,diff_contains_java_file,diff_size,test merge,sampled for testing,left_tree_fingerprint,right_tree_fingerprint,left parent test result,left parent test coverage,right parent test result,right parent test coverage,parents pass
10,refs/heads/master,294d65f7163ca85a35a70c76a5935ace63c9945d,3ff012ba0d34a22487b6616a64eee0b542b56157,057683c349667f4eb22a474cadf4ea78dd1ac20a,,True,473,False,False,a78f2ca5bd65de1c91ccf1aa80b182b29bf1a087ee50af723b996bc1d6ed610c,8c3f12aff579dfe13014ac7f5468167995612073112fc714c553459e2ae276ff,Tests_failed,0.0,Tests_failed,0.0,False
16,refs/heads/master,51bd86146b6396fe2e90f00cf9ba64aee2eee022,52676e14e86a79995d919824d8d69a528434733a,e2e1a000a706c7d101e6caf40b190e1bc91e7fdd,,False,198,False,False,,,,,,,
17,refs/heads/master,d71600bb2411f39fe7c6a4d071716d7a462bf0a1,1e7933f05b50fc6e6c22b414b2a147927adc0662,2b644851d5f0ba20d73a4424f9bcc636eda252b5,,True,475,False,False,6d08691eca60636add6699367bcd7db8c305a9dd7d5b2532b72828513533807d,036d63436b2b4a649c4bbe612c62e8b805dc7c6616c5aac2d4f7bfb2fceb949a,Tests_failed,0.0,Tests_passed,0.0,False
19,refs/heads/master,f53383283a9b08d85d199241566aadf5da5a0900,856b6a1be82f2b71ada63891517a381799ea293a,7186f742e720fdd74360062c567c815535f05501,,False,13,False,False,,,,,,,
25,refs/heads/master,6e97101be02a2a8c3ed1704e641466e1fcddebff,62bcdf70edb57f80d2fe949dd33cd6bd668e56a2,5e154f6fb23b544d068dc464b7c5beec5d3868a0,,False,6,False,False,37a23bbec0552d64084eb85d9270da706297b14a5d77c835a9bb8939000daed5,06c844c1fda8cc93aa17edbcbb4cd114d79cfacd56e488b8e29fb1bd3bea502c,Tests_passed,0.0,Tests_passed,0.0,True
35,refs/heads/master,113b344e14ae380178291af5f77eda6dcc9028b9,d5c3250169a67adb84b54f1f562422fd293dff83,e714e29bcd6f59ecb3c4337a253f064465ff6e8a,,False,16,False,False,,,,,,,
40,refs/heads/master,954204a73577688d62af352341f950b5598cda39,a20d7f1e079b756aad40411371d62c0dedfc41df,4901272cd7185d1c5f20ee3e62622abbb0c89f87,,False,12,False,False,,,,,,,
47,refs/heads/master,9b5158d3c776bfbf2112c6354cf5607d23880355,2385a5bc1caf52129b36e1a0cbbfd805a908be36,6f4a9e323f947ce8b7ec08c2195c605b6c31845f,,True,2344,False,False,0ebc4343f99d2d8aca11e318f7de9af5e27768015fee788dfd3c6103ce42d0ca,3c38f3c6df19c4e6ae126214c45fa03e978f0bded727c49900a37223862baa0c,Tests_failed,0.0,Tests_failed,0.0,False
66,refs/heads/master,064ea4d8ed12751eb152a230502aad2877598f8b,ca004b322a8d9a9407c6b33443e33f9f9e2bd45b,16553f41b7a08a347a29cef44cc96e09bb0f3d59,,True,469,False,False,138257504910eb8fba4a14e26cf7536d5e362d1109f00fec7932131638477538,16c4dbd7d8301d6e0e8e27cf96dc2f0083c8198f77808a86b5124f7e7272544c,Tests_failed,0.0,Tests_failed,0.0,False
68,refs/heads/master,304302740544644fa8d9acbf6cd9b7917d98940c,9a6e48efedccc2b30805cb2fa563df3f42dc3abc,5e23e04702bc016c93cbc014f25bf178a7f010c7,,False,44,False,False,,,,,,,
83,refs/heads/master,fde49bfd9ce4129eecf0abbefa466d41344096d1,18262dffa87cfae8afdab378ac89b4e5cc67e940,32bad9e963eca555d722d921b23d9221f7e20ceb,,True,475,True,True,05a0057474266b278df45332cfe4316f9d5b4b3c561e864620148a623e3e4175,1feb60ca72350707c4dcb626a950d570f13d3121a3de410b0c5b27150ebc4ae9,Tests_passed,0.0,Tests_passed,0.0,True
84,refs/heads/master,468d2ad4780d4ef305e1095822677cca25f87074,b5357311ea098673e2ffe27237c7a7a47c52e1f1,e96e36aaa5f2e75628f0d648e815f82c9b947b95,,False,7,False,False,,,,,,,
88,refs/heads/master,47c5aafea13eab191964fa71eca714502aa7e44c,32bad9e963eca555d722d921b23d9221f7e20ceb,6eff6f15d867410b0a42d360fe9113c30f011e9b,,True,2165,False,False,1feb60ca72350707c4dcb626a950d570f13d3121a3de410b0c5b27150ebc4ae9,fd200af7e6a67cc4abbe673fe76fdffe669246101a2dacc8a77707ac09bbdad3,Tests_passed,0.0,Tests_failed,0.0,False
92,refs/heads/master,4ecb9c75989ad84581e1952cfa17676dba3db14f,c3012f578f53202d216e059985fff54003e2377a,6d86d284669047c4aa11c72932d1375807328ec8,,False,7,False,False,,,,,,,
106,refs/heads/master,20b615005116ba5d4e0a6cadaa20ad6303939c7d,634b7a0c29970f9b191e1d37876dec4f1aad3540,cea4e6ddd627df7c3f76da68200fb25beb2ac622,,True,68,False,False,904419a12a3a7d496b54dc8b978eefc88f47137c06acd63430778fcb726dc2c8,4f679b2e10f2117860bcaf15cae8b9b9bff0c2dc2d97b9ea5e0eb6bce2a0bc47,Tests_failed,0.0,Tests_failed,0.0,False
139,refs/heads/master,67bd2e4da71ea5f0944f5951f8cdd06dcd95f015,c8e98587550ce4da7b899fd748b4bad212f2d6d8,042dc8ea218021bcc26a85abf5069d005c05175d,,True,1820,False,False,781e337900f5cd55bc5d914d70ceba0db8f0c6b0c6ca1862ac5ae06d44b81495,a78f2ca5bd65de1c91ccf1aa80b182b29bf1a087ee50af723b996bc1d6ed610c,Tests_passed,0.0,Tests_failed,0.0,False
164,refs/heads/master,69b400fe1a17fb73ba1da29879c8c37105d6b065,87ccb1e4f7f22360addd8a3c2f45ac235c5b8992,68616b5565300bc7ee9035583623ebf341628f81,,False,21,False,False,,,,,,,
165,refs/heads/master,800ad17d84243ae05672b270a1981c408e721d3e,c4f9518534c79b37a7bd8567ece233ee9dfeb4fc,59fbaeb3d1c8b0853405cc24f1af2ce5e52d02b7,,False,7,False,False,,,,,,,
175,refs/heads/master,1e1567c6feb8b9b9e07d67de9027657166ee5735,a4e69b7548b49b1a5339456b7155b6e746762854,bbf131f391f3622943badb4d45b75fa097f70a74,,True,390,False,False,bbdb9534f1afdc45b44cf94b10e57c81d69efc3f2f93a6e3ad4b9986e5c9ea4a,2ceaa87f2f8a6dd870007790088cda7b4b1fdb2037916600376b564ec666e026,Tests_failed,0.0,Tests_failed,0.0,False
176,refs/heads/master,c2be17e1e3ba045de9576663b8d0f548157a7382,6cdb941a3ac205b1f8fa905e6f3dc04dc4557327,4622aeb903b599641d83741e842eff31be4f6541,,True,475,True,True,0d98e756b2743e1c59f2b0230ac90487007bf49fc41188dacd3994a5d5df2115,13a0261545edd6e19c8db5ff1e49c0f277ce4140e5fced382e176659d6483fb8,Tests_passed,0.0,Tests_passed,0.0,True
185,refs/heads/master,996cffcfc62e40bee24c6110f04d76640c071331,869d7f87df76a3deecd5cb22b054635b580a5df0,ab9f929cebc14591ec69684b16cd8a8e8f54b852,,False,6,False,False,2f6ad5c12d01e451ed8d59a55403ab44614106b62ab45301439e879acbc8117d,0b2b733da02d64270416ad13233153d5d1ac2bc163fbd12fe32bced5c7130207,Tests_failed,0.0,Tests_passed,0.0,False
189,refs/heads/master,2cd93e22bb5286e873772126a1fae164c66896a6,381276e5dfc26c47104c30d1941a9fb61c4c730c,61c04b859300487b4884c1f9a80d29f6829275e9,,False,8,False,False,,,,,,,
206,refs/heads/master,1a7869fc06ef4c744b49fbcf50563797cdcdda4e,2332c42128550c06fcfdb2edb1ddf300472e67b0,aa01745e6d0c54dad450331905b3fce0eb70f02b,,True,251,False,False,392059e3783cfdeb4008fb4d1b7d5f4768723fff0c2be0b8207aeaff0012d740,c94c4d6f6205ba1bc8860209a089222a7f08ec07c2a992ab65ee8de9d4379861,Tests_failed,0.0,Tests_failed,0.0,False
207,refs/heads/master,dd3be8f30b26d1accc4e3c3d146780041a539955,f3dbaed32f086aed2d82bdd784065afa73f39ab9,3763f1d8b001f642919188ac043257d3c2d10aac,,False,198,False,False,,,,,,,
229,refs/heads/master,13586e38c99c19cd32b18b28a30e1a6e711b8ebc,08423e4a5ae5083b78a99ae665b72b2e758f3532,c147887ae6d8c221e999effb7c7ec2c86ba08d0c,,False,17,False,False,,,,,,,
238,refs/heads/master,438e15424d20ed5552c24612d6b27b21035ebc4d,9e1c8f44728fd6c1f7558c72e6bfbb8e86bc6a4b,ca60a25b54317ba937e66471ffe9f0a363db0fea,,False,21,False,False,,,,,,,
241,refs/heads/master,f15b2b99d1874fd8b4f57df5edb2b6ea40150ba9,31bd7db3dfb3a0cca237dfb524029917ebd87a1d,763edef555c7648e644c669de74150d4fa769977,,False,11,False,False,a0a4c6bee8383f00e28035154b1ef2316205a066b41a88bd630af163eb189ce7,89fee67c443e1c4b480240b79bdc4e5fb576cd40fcb09f581c62518df4673357,Tests_failed,0.0,Tests_failed,0.0,False
247,refs/heads/master,357fc510be2273d6cadc6a3cd6ad69035454adcb,02e3d4f70a0ad7531d431841ede01d192d6c8b78,7775b7fa3caaad8b042385998787b44cb3b8965e,,False,5,False,False,5a8ac37d02fcf3be533c4c580848ef5114c7d380a924df80d4507039f200871a,eb72836c57ef13fc7ac86071191573e63918528a6ab41b3f22d47bfd4deb1937,Tests_failed,0.0,Tests_failed,0.0,False
262,refs/heads/master,cc9d7535c813da82cf1dc6621f7e13d259d958d4,20e431c3034b752cafb2d987fcea0b8bf1a6c5a4,344d0863c7671d4749bdd0cd8b490c8a5ad2bcfa,,True,5684,False,False,e69bdff56dc5df7b9fe50c99861e41cde9387228a406d0b2c5f94976afe71d7f,657a812694b3390469cbb729d1298ed0424c5cbc11616d32e719f1eaa8a58527,Tests_failed,0.0,Tests_failed,0.0,False
269,refs/heads/master,bac129b6956884c4a8d77bdb005cb62fef4967a5,a2a7e1b961c70bed4a69e03b21bf815a64b4c81d,ea84343050b61cb90842a5eff1fff0f639ecca03,,True,202,False,False,db5ef541b418a809252272dcac99cfd05d4420f3dccfd7ce88cd06165945f31e,78fa6fc848b50bb34f1703284651bb3577165c74d70540a7b0a9e4277875c442,Tests_failed,0.0,Tests_failed,0.0,False
273,refs/heads/master,975c3b362687f70fe1ca917e3a35643c84689241,c13c2d130dc16f373db875afea0ea2521e8afcb3,5b65a5a3224ac5f1dcad0b0bac08aa3ef8e1c270,,False,33,False,False,,,,,,,
290,refs/heads/master,6e5ca8c53186ffe46b5c94e960bc09f7dc2795ca,9a27b98b5053c2f4f322205716dbc1049dffcf04,9c1812fdb597f286652d52e368945856276a9b1c,,False,6,False,False,,,,,,,
308,refs/heads/master,d0516df13579b12f4357e6c29be48b48f2433278,bd9fbd6c7c0bb462a8cad9dbc92fed3c2d37370c,cdcca8cf133e836a9769c328a60b23fcb247ef80,,True,9030,False,False,d539a95601d37973e36f8b1ac383d3377f716210a14b89ed71179d98ca6428c2,d6666c03765f8fc14ee173fb52c773959f78f379357ac7c622e4f4c60dee5cda,Tests_failed,0.0,Tests_failed,0.0,False
