idx,branch_name,merge,left,right,notes,diff_contains_java_file,diff_size,test merge,sampled for testing,left_tree_fingerprint,right_tree_fingerprint,left parent test result,left parent test coverage,right parent test result,right parent test coverage,parents pass
1,refs/heads/master,7bf66fe3030ad0bc93c87392db737bd8fb615f1a,26f0e656b047aa54262c60fb0fe30c4c960e41c4,0693cc346df0b19a46cf9e38779f5fe4404f2037,,False,21,False,False,,,,,,,
5,refs/heads/master,97e1d9212113fb9d6e343de4284fec5169c334f2,b65ab83d365b43001bac0df026a438cf678b09e3,b605f5053ed90495b20846cedbf1e358f2e1abbc,,False,35,False,False,,,,,,,
6,refs/heads/master,b65ab83d365b43001bac0df026a438cf678b09e3,c645a7752298d02535a1d93ec9cce8f4222eb637,826a23b01a79604f479b697e106666d465c065df,,False,129,False,False,3ef7931bddfc0c0909e5a7ccfc125c868a8be32fdcc9300777dc21174becd373,c8ecd904cc3227b74708689e6f3293e4ea73c32a41ea8709a01a6171123e0a4b,Tests_timedout,0.0,Tests_timedout,0.0,False
9,refs/heads/master,7b52d9587e0725ad686747932d0a05d9997216f0,529bb2816519cf00a4693ea7141fa35552e62eed,db1f92927f81f2b79adf1741d588aa84e7835fef,,False,882,False,False,,,,,,,
13,refs/heads/master,858659af7f9203afb0945047d2f814f22f56579a,94f7ddb45b34abfebcfff6c631ba6aa2d66e388b,73ab8de26c7e1ffeaf0c18fc6cc5848aa002907d,,False,39,False,False,,,,,,,
16,refs/heads/master,49c83827c9c91c304a32f5952d91d19461954153,595fa33e657dda5f321dc33e3f30ee14aec06c03,18dae5cbae5df60898c16cc22814b0eff2569d5c,,False,185,False,False,b98b014aa7817069c31c70c360cadfc68e658a14c7547fc5359274f794165146,1770dbadcd67e39584f5879d15c842167b6d455fe7eabc1be2af431587759b78,Tests_timedout,0.0,Tests_timedout,0.0,False
17,refs/heads/master,595fa33e657dda5f321dc33e3f30ee14aec06c03,b7335ffd25881b552dd1fdcbafe494f885fc396c,0960090473f38cdd63d234b7dc4c37cb794926e0,,False,5,False,False,,,,,,,
18,refs/heads/master,b7335ffd25881b552dd1fdcbafe494f885fc396c,83fd9810ed3cae9dcf6c603b2320e2c87b4db3f3,3da06feab7a067e3a63507f2c48da9484ef35054,,False,12,False,False,,,,,,,
19,refs/heads/master,83fd9810ed3cae9dcf6c603b2320e2c87b4db3f3,bc6458c0aba0baf216fb96575bc470713da62700,04b9539eb5e69c72b488682f1c79ceb7fbe4631d,,False,376,False,False,,,,,,,
20,refs/heads/master,bc6458c0aba0baf216fb96575bc470713da62700,994d7e31fac6be60173611a8efad765d447ffd0d,849baaf0562af9bac0736eee7ee0d70213324aa0,,False,7,False,False,f1f1b6043a7cb7ab8b55efefbbdfdea14e15f4a0b27b499663e38a6cc6e356c0,836f5d11f28ecc08bc8f3c06b4f32324da27fbe6da11d2ce4a53648bc6bbfeb1,Tests_failed,0.0,Tests_failed,0.0,False
21,refs/heads/master,994d7e31fac6be60173611a8efad765d447ffd0d,bfebb3f8712f900f1c84c7f9d8374a502f4c771d,ff081865f176201466e3aa43f18e68126cd41e47,,False,7,False,False,,,,,,,
22,refs/heads/master,ff081865f176201466e3aa43f18e68126cd41e47,a32f3ed84fe7a25ac26aa346ded1c2ae8c255674,4fbe5b9291e7410e3480dd3d22f5271a248ba7d7,,False,3,False,False,,,,,,,
24,refs/heads/master,4fbe5b9291e7410e3480dd3d22f5271a248ba7d7,cb28937331d8bea23f120ac317ed199d28318980,10622f78f1289571c877d52b07a1699f6fddacad,,False,3,False,False,167106a5925b90425faf9b1f5e3f87b296c4c83027706f7dab8142084e07980d,0eea611562dd8a4fb866a360225445233bba13a09bea595f167a302f04317fa8,Tests_timedout,0.0,Tests_timedout,0.0,False
25,refs/heads/master,10622f78f1289571c877d52b07a1699f6fddacad,cead913c74985f99f05370938dfa7372e35b87a2,b3d74370247351402c57736e345fb22f516f1dba,,False,6,False,False,,,,,,,
26,refs/heads/master,cead913c74985f99f05370938dfa7372e35b87a2,cff311f596dffcececa23c38cbe9093e45b95f36,21b2964ccf65e8afbd722c26b4b3aeb7347ead18,,False,3,False,False,,,,,,,
27,refs/heads/master,cff311f596dffcececa23c38cbe9093e45b95f36,38017533bdf0395b8d699d20f783f6a1423df461,5cf90343235a3df1b935e4ebd43e29ba0b3d3163,,False,20,False,False,59c6409078bd875dcaa67836845b492dd441d186ceff70390e00f570dadb1e5d,3a6d5215171918c3dafb93a8ba0ae64de41d483f37da2d1165133c00a0caf19a,Tests_failed,0.0,Tests_failed,0.0,False
32,refs/heads/master,f35cd317d8a6b963f10f6dd73f709256c6925561,f995187197eca29e5b8d8e87feb03d1e9f9af471,90c5329a7a60ca50861fc441d88ce964e42926c7,,True,123,False,False,e56caae25ea23059ac8695bf5471c469937a96795980542cdb99372637504d79,838a96085fd9b670fbba1bec7e4b9fc6e93c5ef71ca523e70ccdcc008478f2e0,Tests_passed,0.0,Tests_failed,0.0,False
33,refs/heads/master,f995187197eca29e5b8d8e87feb03d1e9f9af471,414fef2cadf799caf6b4582be8df82e9a3ff65c8,3daf5ca20806a8286982bfb0a05f497e5129cc94,,False,84,False,False,,,,,,,
36,refs/heads/master,77126b67583637fdaef2030c2480e5959d63a653,01584f4477d01c7b8f0a3d9af26d97b98b527fef,0bebcd5896a73ca8c36e8aab1d91041b8393e5b3,,True,126,True,True,50db77ca35fa41970d34fa26d5b26cffd45e1c67ec412c305d5df8cb29046e65,c369c7503c0fe0d86cc88cccf51ab3d66a4919a6ab0593479e2827b4dda64de9,Tests_passed,0.0,Tests_passed,0.0,True
37,refs/heads/master,01584f4477d01c7b8f0a3d9af26d97b98b527fef,a661be97669b968e819feb2700a21a42a7546201,85d4dc3297184533579d9099a8c13f1de1d5b3a5,,True,77,False,False,dca9aa1ccdb2bdc1a8215d1c1d5f9d5868ebe02c1fffc4d6c555ec3151fbabfe,18052f487d9904cf43836e031bef7cb2d1933a98568b2059b1d5ee5c02b3b5fe,Tests_timedout,0.0,Tests_timedout,0.0,False
38,refs/heads/master,a661be97669b968e819feb2700a21a42a7546201,4aef7b7629c1f80402adc54b244f9da713cfefcb,8dfbe343721f58a028d1a80544c955dd2372defb,,False,88,False,False,,,,,,,
42,refs/heads/master,8ba43fe33c7edd683a7eaa9226e1d138966eec7e,edb8ef6c3d395c01f8eb1a794f7c42ba124e30f6,bc15b418dfa644ada99a44b569a4cc5681d9ddd5,,False,64,False,False,,,,,,,
43,refs/heads/master,22fa4857cfa6f4b6f88a0e3fd099469f85f920d7,f9ac8087964b43bd73073d4524e3bb5f0fd5c713,2ff7916ef220249ec49726fcc1a0285813089fa6,,False,3,False,False,9bcf020ebecc5b3639855bad123bd745f159df6cbf8ab913721c67bb07f880f8,85e526c03bba441bcde937a49e03212642783746fdf8dc26d7064fd881025a7e,Tests_timedout,0.0,Tests_timedout,0.0,False
45,refs/heads/master,fcbbbcead9fc2423b039b6954c1be970d01b9110,7fdd2db04bb5d8c151d896c34eed17744c563f16,3dea7c289cd0258f244ee10a7cdf2202c14dfa65,,False,55,False,False,,,,,,,
53,refs/heads/master,6445d74718ddc64a7d74dc80beaf2aca2859aeae,f85e8281ffd96d3e6d15c882944de4a35d4c2205,ab25aabed591f6a7dceeb0d3d3e76d2e5aabb6f5,,False,106,False,False,509d8cf9a770deaa2c6dc9e324de52a84d5b8d59c41e6e5f1cd310b7467eb468,b2bff473620594cd42c09fa784a0acf51842e7db3bb026f3307ccd54c33fbda8,Tests_passed,0.0,Tests_passed,0.0,True
