idx,branch_name,merge,left,right,notes,diff_contains_java_file,diff_size,left parent test coverage,left parent test result,left_tree_fingerprint,parents pass,right parent test coverage,right parent test result,right_tree_fingerprint,test merge
1,refs/heads/master,18f1ded87aaee51e70b9fc30d486338e39526c68,88752d6148c1352bf5dede85ed59dcdf0b25bb4f,7ffade72f2879f38afa821426b26a27eec08796d,,False,4,0,Tests_passed,ff493cde8fb1bcfba8cd7ae7c4d79d6b9d564da1c044da874edaa54d30c79188,True,0,Tests_passed,b936ecda89dd9fbfcd7631624f1b5e8b49b5ebbe1d6aeef6caa41d0f0459de79,False
2,refs/heads/master,ee56094b8b0b9b612a9d4aa58b8094540b0abc7c,f6df1e9b87bae897e9a8f25ace4f0491a7e4099a,3ac6179d4ad3bc16e48a769a73b244bb647671e3,,False,9,0,Tests_failed,873a0bd53268ebb2022e11a96a6a61e317c4fcaf1c9b6b460223a39f2c00ee0f,False,0,Tests_failed,ade7237dfc6f36c0d0a77df12cc9222404a172f507a750a9f3793f483730ee7f,False
3,refs/heads/master,f6df1e9b87bae897e9a8f25ace4f0491a7e4099a,00d087c934861a7019dd7cd7275b32d8143b2f5c,bea80605ec600b6590c681cf570bcd88742d80f0,,False,3,0,Tests_failed,5e6d15ba365966f58c2669e846f868781efddf19a0b798065e5187606d76a8c4,False,0,Tests_failed,94bc08e26c885273cb3547f91a931fb580c7dfdfc9c74b9d7682e12f13a2bf74,False
4,refs/heads/master,5b55030dc576837e4254e3e51e74aead55004270,00d087c934861a7019dd7cd7275b32d8143b2f5c,bea80605ec600b6590c681cf570bcd88742d80f0,,False,3,0,Tests_failed,5e6d15ba365966f58c2669e846f868781efddf19a0b798065e5187606d76a8c4,False,0,Tests_failed,94bc08e26c885273cb3547f91a931fb580c7dfdfc9c74b9d7682e12f13a2bf74,False
5,refs/heads/master,a888636b63db2665e4dc9356e59fb2c60f475cce,6837f0bc7f493a55c4683fd040a462940883f7bc,ddc71d73d2a3169b2943868b0ac1d45d5ab58240,,False,1316,0,Tests_failed,952e469972b5e7f40e3cbb96ac3b85faef4b4cd8b7f922218d99b52740040bd3,False,0,Tests_failed,9e609e685cc12e36c7684bb5aec310e93cebc941af45ccca5dbed6f8f8b3afb7,False
6,refs/heads/master,f86315a6cb8d67235922bb3041115c8e2c95d7fa,343d151fcd19437bc30ea275e6928675de26dd81,c2fb29e899a3e856b61db727de91e0da18f309c5,two initial commits,False,2,0,Tests_failed,c7b6219d211b1a3d6135e29ecad4083f7311f9affcf65c8fe37c692aebbc2ddb,False,0,Tests_failed,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False
