idx,branch_name,merge,left,right,notes,diff_size,diff_contains_java_file,left_tree_fingerprint,left parent test result,left parent test coverage,parents pass,right_tree_fingerprint,right parent test result,right parent test coverage,test merge
415,refs/heads/master,a967b4558faeb2cbbb885be210c5d915ff42ea9c,72c21e0d3452ec89655b40d528853f24b2da0784,3b2874bc95df4179242cd6a7615dc347eb222df9,,16,False,c2acf85b588e0acb11bbd0a7dcba6e45a602b5b7f89635f6582b4417d180b983,Tests_failed,0.0,False,6506ca7e36cdb6686c902b8f21d03ab88c10eccaaa42fda348f9d01d31301de5,Tests_failed,0.0,False
428,refs/heads/master,34be76ce41c27eae556d3c55035433f63cc9f66b,e7c5f058db5bc2d48c2460e3fb9575b2bed51595,99dfc5f6c10aa2244b6203026874c5ded948d1f6,,52,True,9ab8a7d93dc39274c815392acfbc334bf3d41ff0d0fc6d15a5a211f0f20263bb,Tests_failed,0.0,False,3564b0a3c4ee9d47df27b43db127596d3d3d1eba66df7d5b84855c9cf91f01ea,Tests_failed,0.0,False
437,refs/heads/master,bcc21c2433140db5a8289d96aaf016293ef8991e,8a6e9ad3383d5df2c1e9927a8b68e6cabe1f409e,7edeeb3c42427c85f79e2ddcfc1dafe29bdde36a,,97,True,6ad37bbe4ac440869333d4d186cd09f5bc1d4b67197b429ec2b7c6186088ca54,Tests_failed,0.0,False,502dc59f824ac416020e253af32f453e1f9451148e2e2f9adf587f5919a9e298,Tests_failed,0.0,False
438,refs/heads/master,8a6e9ad3383d5df2c1e9927a8b68e6cabe1f409e,44e6e91636081611394e7af16131c80c652ba725,5eea7a67c2ec987714e709d30ca3189d884f49ed,,82,False,e2383f51cc564537c7b14281fd1266702162e75bb648835d3023f6d44e6d7c7d,Tests_failed,0.0,False,c81bf91a85d07e0a4cb090032079ea6b496d3c7d22650e104c858cceaf34fa2a,Tests_failed,0.0,False
444,refs/heads/master,6512898b9bb664bd474af2d54eaefd7c2c66fc59,3e8c2fb7e4254fe5be96dc7a4216f05d64b60a80,193925d3f6d8cccf0a3437ed33f3a1adb8c0d05e,,68,True,51405a74f2ca390215efa59e4ecf0503ec86c95c4bcc9531750be0e688094dd2,Tests_failed,0.0,False,7d21f7b1332bf2394346d24ac1d3915b73fba063bc8bf430ebf0427adc88f024,Tests_failed,0.0,False
447,refs/heads/master,3d8f4db44bc61b3702ed07d45df73231d09a1074,4116d78b5ae3138f923e7311e7528a64222572a6,c2796938713f099a5d0c91da9ce0e20434ef28b5,,20,True,2d3e15de14dd658f74d9a1f96c3485e9c5876985dd44cceb29c19cc837b0bba1,Tests_failed,0.0,False,255e0ea5ac1b461a41deb193ee54f28fa5e3279fa634dbe2a251264e3f8caa22,Tests_failed,0.0,False
452,refs/heads/master,afc82ad1917690f2e1d953dcb8d2d1a934b14b6a,482ca01544b00ea426a45d6c170e70a44cdbff50,4e66412217b5639185da3b05bb1155f78cd15967,,18,True,8993e4146c608c073a7ab15d70a8878db392f3c04ce5cf5d71eb3d2289b7fff2,Tests_failed,0.0,False,90bb2aba0e0702160883b98cd17b2db5498b40ece0b7f5faff27051bcb801c7e,Tests_failed,0.0,False
455,refs/heads/master,029d86e0492ee55306dc193e421b1b040c3c5fdd,677f44edb0fafcf6b2d27e30fb0f4e8f9a44e9cd,5b7ddf46b0792f57354f31e36550930b9eda29ed,,38,False,81e4944159707a201837d08f9c1675271a8d0697490bc2527ffb850216207899,Tests_failed,0.0,False,51ae2a185d505c5246bf07b0ee3fe7a1e71c916e6a746539cde152020a419b19,Tests_failed,0.0,False
459,refs/heads/master,677f44edb0fafcf6b2d27e30fb0f4e8f9a44e9cd,99fef56ac987431ca66b015c17be5d4a1dfbd8cf,3331c6047f306d757060d1fed3792fa42142a5a3,,46,False,2bf7b431c90d86ac6496aa0b6d53907b0341be312d32ee55f7693334bc2acbf4,Tests_failed,0.0,False,6c30edceffefb35ad70e3803c17845c3f01fcfee608bb4c471842f5c699357f9,Tests_failed,0.0,False
460,refs/heads/master,99fef56ac987431ca66b015c17be5d4a1dfbd8cf,1f8a4094fa459df69cee03330b568496d65cf369,ae4d9d4e00d3bcb6cde5d6282a5338164ce7f44a,,178,True,ec3ed34e76bc32f46f8f39285dceda604a6623cc6b0a6515ef65b5ffd6bbd2f3,Tests_failed,0.0,False,c4a0200b08bc92808773d22e62afa142b1f0ba7d6de0c36461231fe8bb2dcf71,Tests_failed,0.0,False
