idx,branch_name,merge,left,right,notes,diff_contains_java_file,diff_size,test merge,sampled for testing,left_tree_fingerprint,right_tree_fingerprint,left parent test result,left parent test coverage,right parent test result,right parent test coverage,parents pass
38,refs/heads/master,7054808e7562d0fef905db99f447bf74b8b6f99a,1d8fc185be764a33084d5b4e1f61283bb9a985be,bac6a2ef29a4cadc3142cd3381dcce44fc58f260,,True,54,True,True,c272baf1c7780805296060da39d6350d9857b9cb5ca4ef2612d6c8045dfc33dd,295a0ddb2a4ea5a8fe27b0cd96ac1020ec4642d41eef8cc2503bb1f1a2034f96,Tests_passed,0.0,Tests_passed,0.0,True
40,refs/heads/master,b83bac2600b8a483dea3dad53da79ba3422247dc,7d709111e1024df7d750332085b6f2e3d1bbd2e0,292fa8ead572ad2fbcee50313c29f00d667b31d6,,False,178,False,False,,,,,,,
41,refs/heads/master,2642c835c83ea7f3cd2ebbba6f0f99ec9908b04f,e9235b23c0824da7fbefa3c402cc04a3a4c84344,feeb41f0daba5a862eacc47639afa24c38434f12,,True,270,True,True,3989fae39d6bec1f43d81d5e031ed116547db9d99a2ac6a775afca7d2a43e6ec,31d41d4ca30ff193d32f8bee1bbc74e9428990e9a55588b27eb17903d7491931,Tests_passed,0.0,Tests_passed,0.0,True
42,refs/heads/master,e9235b23c0824da7fbefa3c402cc04a3a4c84344,20f9be0907fa93c1a3c17118266359fc5bc545e3,d810a6005dc9d7ee8993ad42b9bcf3681d04c286,,True,575,True,True,1796521150d8976d6d95fa0a563bb112d9d8eccb2854e2f2f85665a95d4d65cd,62fbbeaed3bf739428eb3baf8007719dde572a0fc42144e165e0105d810e11be,Tests_passed,0.0,Tests_passed,0.0,True
48,refs/heads/master,6095e5969e804b986b9e5d4aea284a88f12dd6ec,9e5ee5e6caa39fce01359cf825c006bd0c4fa1b5,2fe47a7ea4196181dbf1ed759b64592a323bf2d9,,True,1482,False,False,6c473570ff5ab078a762d20f202a1af566060c64cc114106593f67d94af53610,25891a45a1dbbffebf33ee0f8039f7365df4433b4b887424ee811201701a5139,Tests_passed,0.0,Tests_failed,0.0,False
52,refs/heads/master,b11e11329cef0e4960177ee76ab9fd71ac6eff50,4a373a17d0a772acd652f2ad533ef3efa500e8d1,334f301a66c5cfd1502d763e6c5399ebb2231db3,,False,516,False,False,,,,,,,
54,refs/heads/master,bd4f64b33f7db7f289f327314c981ea4be5f540a,23e2a852cff65ddc7c3cd8eef418f8fb9f1e42f3,9be79c4dfb5702594b30046d2cdc48a8764201bc,,True,135,True,True,7563f9c346a3e67f221f2a1a630efdf1f75d2ac0784e72a7061633d0c7537fd9,1e8aa0c9d35bdd03b87ae663d4aed00ddc583833d81fcf60251ff7b61ab7b706,Tests_passed,0.0,Tests_passed,0.0,True
55,refs/heads/master,9be79c4dfb5702594b30046d2cdc48a8764201bc,5e447ccb891a4fbe3a13341e38bdf23081916408,ba02c12d3da5de242c5801c9362125feb0a26e72,,True,106,True,True,7f5838b55c12d98f429bfaa1edfb04b00f6069964fe91dbc67f07c655883263a,fce1ac650a9036943309ec3415f53c0711bfd9d3a050a01fc8800ce56b8e0f8d,Tests_passed,0.0,Tests_passed,0.0,True
56,refs/heads/master,5e447ccb891a4fbe3a13341e38bdf23081916408,2478cd8e45e23b9598b0b806e18f92ae251b595a,74337de8e432be4f3e056381abd43181a2047e0a,,True,654,False,False,2937809c0aa9a8af611897414c9d8770c036c32b64c2c2f0be6b6c44bd356686,c968f09a3cc58532c8aaeeafd9a71dbba012a4467b596d08a484d5aa4363fd9a,Tests_failed,0.0,Tests_failed,0.0,False
57,refs/heads/master,74a3b0b171dc4ed224394eebfd445ba814d338fd,b7d3d5026f3c33333b493a6e7f51fde208eb2b6d,facb8bc7a7212070a8bf3167af4ffaf0a494065b,,False,15,False,False,25f54e8eb4bf33bb4906e43b406fe998bf45a7efd96868e2a54f9235af860099,9c6961ed2862a6ddf1d9e03e91cd456d99803c2ba324145e51d03143bda079eb,Tests_passed,0.0,Tests_passed,0.0,True
