idx,branch_name,merge,left,right,notes,diff contains java file,diff_logs,imports_involved,non_java_involved,num_diff_files,num_diff_lines,test merge,sampled for testing
1,refs/heads/master,7278c130acb677702207c8e8cced5d93132ed247,56d9e0eba8377cbcea3e75756c62d2fb81b58b42,ca3077556d316b8b6edc3c2216240ffd6959f5e0,,False,"{'base_left': 'cache/diff_analyzer/logs/tim-group/karg/56d9e0eba8377cbcea3e75756c62d2fb81b58b42_ca3077556d316b8b6edc3c2216240ffd6959f5e0_base_left.log', 'base_right': 'cache/diff_analyzer/logs/tim-group/karg/56d9e0eba8377cbcea3e75756c62d2fb81b58b42_ca3077556d316b8b6edc3c2216240ffd6959f5e0_base_right.log', 'left_right': 'cache/diff_analyzer/logs/tim-group/karg/56d9e0eba8377cbcea3e75756c62d2fb81b58b42_ca3077556d316b8b6edc3c2216240ffd6959f5e0_left_right.log'}",True,True,24,605,False,False
3,refs/heads/master,645c6496f24b3c0d684b05967c1dbe0a94608468,6156ec1d04763488b526571cde085c4b5f96f6f1,fa086fcef01894261d1a909af29913abf4065746,,False,"{'base_left': 'cache/diff_analyzer/logs/tim-group/karg/6156ec1d04763488b526571cde085c4b5f96f6f1_fa086fcef01894261d1a909af29913abf4065746_base_left.log', 'base_right': 'cache/diff_analyzer/logs/tim-group/karg/6156ec1d04763488b526571cde085c4b5f96f6f1_fa086fcef01894261d1a909af29913abf4065746_base_right.log', 'left_right': 'cache/diff_analyzer/logs/tim-group/karg/6156ec1d04763488b526571cde085c4b5f96f6f1_fa086fcef01894261d1a909af29913abf4065746_left_right.log'}",False,True,4,0,False,False
4,refs/heads/master,474e71d3ce902841223c79bcae3996c652045119,c2bfa9a7fcbbc7afda1b1986b70be5baf120f6fc,4723e189c01b4596e98b4e5ca7a4387b874bcf27,,False,"{'base_left': 'cache/diff_analyzer/logs/tim-group/karg/c2bfa9a7fcbbc7afda1b1986b70be5baf120f6fc_4723e189c01b4596e98b4e5ca7a4387b874bcf27_base_left.log', 'base_right': 'cache/diff_analyzer/logs/tim-group/karg/c2bfa9a7fcbbc7afda1b1986b70be5baf120f6fc_4723e189c01b4596e98b4e5ca7a4387b874bcf27_base_right.log', 'left_right': 'cache/diff_analyzer/logs/tim-group/karg/c2bfa9a7fcbbc7afda1b1986b70be5baf120f6fc_4723e189c01b4596e98b4e5ca7a4387b874bcf27_left_right.log'}",False,True,4,16,False,False
