idx,branch_name,merge,left,right,notes,union_diff_files,num_intersecting_files,num_diff_lines,num_diff_hunks,diff contains java file,imports_involved,left parent test result,left_tree_fingerprint,non_java_involved,num_diff_files,parents pass,right parent test result,right_tree_fingerprint,test merge,sampled for testing
1,refs/heads/master,b05c8c331560c1ab4be5c43c20912dbaa3d93839,7da8cbd0d675798ef263ae8655827bb2abd93ede,8776ddbbff972b7a828cf087b1e5089640f3d090,,71,17,1253,248,True,True,Tests_passed,db8ca669464eb0ae2b24297266e483b4759e0f39b6dd265f997c2f2af75cadc3,True,61,True,Tests_passed,1314c746cc3c6e983d8b017760da4d5b83b440e82acc9bbc0a39e59eac7f7286,True,True
2,refs/heads/master,42a7c48f727122ecfe6710384893c0c1e149332a,1938c40fcb4f19e7cab2dfa01ba1f6dec0b26364,4524be921cbed243912eb7fc1973d8c0914406f5,,18,5,784,20,True,True,Tests_passed,3f2fc7925b72d11b97cd2f9ee79253650fc9d19888435707c4bc05bba30661c3,True,17,False,Tests_failed,ccb0d424c443453110b1a83493322951561182cac8c1ef9de52018ca07992d91,False,False
