,project name,left,right,base,git merge,spork,intellimerge,runtime git,runtime spork,runtime intellimerge
0,mangstadt/ez-vcard,b8b0b0c8e1dff237975942022a42c6c25b9d9741,3c10bf587f097be3e2a77b0d2d556e6f9efd97b1,e7e60f637655f44cbef943a56ee44e5281b4dfc6,2,2,2,0.1813061237335205,0.1862878799438476,53.81462979316712
1,mangstadt/ez-vcard,af63ebf1a441d0165bab7f6250caf0e2793b9829,22631a4817aa29b231919cb5d8c05d935386b763,af63ebf1a441d0165bab7f6250caf0e2793b9829,2,2,2,0.1146469116210937,0.1259160041809082,57.078360080718994
2,mangstadt/ez-vcard,2380144cf35bc2c211874ac53db2d846fccffb97,6621980643544df2261bd874717839dd24b28324,e25af637baa63f60c600935cf11ca1d6e47adf12,3,3,3,0.180588960647583,0.1990330219268798,53.03716468811035
3,mangstadt/ez-vcard,4639361f062ee6455b88e31996743e300240e71e,4e959f00b9e3a80ea99486834b0ab164be663fdc,4639361f062ee6455b88e31996743e300240e71e,3,3,3,0.1362271308898925,0.1639747619628906,55.3531482219696
4,mangstadt/ez-vcard,e454bdf3e3b7d02bb95ff8a58952e70cb97dd0f9,522254f7ceb5e390cbb0904d698cb6294e081ce2,e454bdf3e3b7d02bb95ff8a58952e70cb97dd0f9,3,3,3,0.1235480308532714,0.1275382041931152,56.61517310142517
5,mangstadt/ez-vcard,ea6026ee62cc184db68d841d50d58474fcdf4862,ab2032ca9769d452d4906f51cf56ca7d983a27c4,4fe7175f02973bef214fa07669f2e0346878c129,3,3,3,0.6781110763549805,110.3921971321106,285.41353607177734
6,mangstadt/ez-vcard,b42390b2d6279bf7c23580f0f4ac517cba448cd5,dee07e7edfb332efd5d5207660248f71e96a1a0e,7549215ca125b67449b482d9ba3599e77db041ec,3,3,3,0.197106122970581,0.1565461158752441,10.239213705062866
7,mangstadt/ez-vcard,16b6d6cd734326e55af96146ac89594c8ed1b233,ce422afbecd67144c1e8caceaa151f80d4f8a0cc,fca171ac656a293141c8a8b7e23468c3a89b69d4,3,3,3,0.2739152908325195,0.2545390129089355,83.56640982627869
8,mangstadt/ez-vcard,03bd6bf2c9873b23344b31ca7c39524ad9ee5756,c824e9fabecc54d431d4c860b95a2ad13794556c,03bd6bf2c9873b23344b31ca7c39524ad9ee5756,3,3,3,0.1824359893798828,0.1771860122680664,170.38120007514954
9,mangstadt/ez-vcard,345934e15e82c9cbffb5b297aab51ad105b9ad82,541f59d09b5232b68cda87ee2abba7c62d33ee32,10c3111bd72a8d550bb41119c45a4db52960d88d,2,2,2,0.2314019203186035,0.2173578739166259,20.659734964370728
