,project name,left,right,base,merge,git merge,spork,intellimerge,runtime git,runtime spork,runtime intellimerge,merge test
1574,google/compile-testing,68793277942607913ed80406a80bc85e5f704d93,e4526c30efb60151257f09ebc7195b2c850acfbf,120e47bc5ba7d79270f966461df0913fbed3a713,608e1cb92ab715862a2f545cf3c57e6d35ea8216,1,3,1,0.6972386837005615,25.609047412872314,2.549274682998657,1
1787,jsonld-java/jsonld-java,33a922331a6d206a3c67186092b0520f60534757,4dd9cd3a73ca8c54d385185bc357e34b7e387ee5,c79608d51b7b584f7bbd03ca237db769e7b57d83,9c328286c39422851ef6fdeb2281564070c25d43,1,3,1,0.1860256195068359,42.43057513237,7.932282447814941,1
1322,caelum/vraptor4,9f38d7a7651ce422af7d765e3c7895dbdb619d38,0f44f75b1cedceec7babc6afdf10bcb18fc35f48,c152febe80bad9b53d78f29a6c37f6ea8b17acc1,9abcc07a1adb44ced1d98a9924d87e0e17849f45,3,3,2,811.9514286518097,2.744515180587769,6.80904221534729,1
955,jcabi/jcabi-http,ee483b9296ef0ea74d24d2e44af127c3c9ce83d7,ac7e410c15291f550aa34be929b10dc26d91dd38,aba620186abf489b6dad7c730f41ab837f648398,b33d320e5a794ad393369a0c141a3afbc1ff53e4,1,2,1,2.7763500213623047,121.64328455924988,26.82872557640076,1
1417,caelum/vraptor4,95a316a952dc56918b0a227dde21480feb422673,5eec82d3cb6ade9213d050ec51f75957607842ae,95a316a952dc56918b0a227dde21480feb422673,0ec1bf4afd70b6c517cfd9f809b85395def3adba,2,3,2,0.3127574920654297,0.2674200534820557,3.4864661693573,1
622,sanity/quickml,218e986c6a4b1597eec29e0902b2f687859d452e,f8093b20fecc8d8085604e8c30caff825cb396e3,c32072f8b70a02de0623f3f95a67432d843d8e3a,0f0bfe92d878a9f90a9f10be4a8926cea07396f2,2,2,3,26.84454607963562,33.17224383354187,11.6272451877594,0
1723,davidmoten/geo,faab400a3cdc78dc7f9ef221d79129043c414baa,54f7ed3a72afe1ab1626269655ad64d824d7a5e2,78e9201b40e2a78749f2ca2990900befdc66243e,7427c57b931e1c9548227a7a0ea10dbead15edef,1,2,1,4.411030530929565,31.822743654251106,11.389102220535278,0
1339,caelum/vraptor4,6bcec480699b7876854f0ef2ae2f2e88e218e0c5,3295000f34be32fd9430943c51118b4715e57105,a84fcac7b14e9ffa5afeffe7f18057d0fc34035e,d454efdf1fefb5b7cf54644eeedd03300d4bd09a,3,2,2,0.4049372673034668,0.3665528297424317,8.648244857788086,1
1716,davidmoten/geo,20107eeab64668b6f8793a293b0b1d293b4af69c,fffc34fcbd3cec7c8ce0ea88d7f3435fa020d3b7,7e2ed8310e6bc345d3805e51934247f98de3590a,d280483edeeabc57247e1753ac0c161039f6e604,1,2,1,6.03926420211792,30.4029324054718,12.76784873008728,0
1813,jsonld-java/jsonld-java,a9363eed17dd5fae1d2054bfef051976a9701376,3ad6d67d5bad7b5ae0747970842395aa90ed8eaf,dae6e5902dee829af41bbe4d47277e07d77f2230,80e334581769870d5b785f547bbc0bb8d295e9ba,1,3,1,1.247653245925903,19.440309762954712,14.237368822097778,1
577,sanity/quickml,248433a4c54dfcee2401faa3f8eedb7bafd6fe27,04a40eeb0ce1c6eea723d726b2805841e613f08f,9b51fff3887f90782446285a29685344f582d40d,ec369df858b49d3ac9d25dc656a1a0a7675d4346,1,3,1,1.2336974143981934,71.80032420158386,10.474207162857056,1
