idx,branch_name,merge,left,right,notes,diff contains java file,diff_logs,imports_involved,non_java_involved,num_diff_files,num_diff_lines,test merge,sampled for testing
2,refs/heads/master,b55b88185883f9f40d1f8432262bf29f9744785a,35913bba62c6e2c9acb9fc61d33df963d0186527,5df635ed3a93da50629654dbef9398d5bbb3572a,,False,"{'base_left': 'cache/diff_analyzer/logs/apache/commons-jxpath/35913bba62c6e2c9acb9fc61d33df963d0186527_5df635ed3a93da50629654dbef9398d5bbb3572a_base_left.log', 'base_right': 'cache/diff_analyzer/logs/apache/commons-jxpath/35913bba62c6e2c9acb9fc61d33df963d0186527_5df635ed3a93da50629654dbef9398d5bbb3572a_base_right.log', 'left_right': 'cache/diff_analyzer/logs/apache/commons-jxpath/35913bba62c6e2c9acb9fc61d33df963d0186527_5df635ed3a93da50629654dbef9398d5bbb3572a_left_right.log'}",False,True,3,10,False,False
4,refs/heads/master,27533ce12d34bb7d3d373d128970923b907128f2,99973a7eb56c0cb56b9fb2b1ed77b4b2e163f43b,f4fc4ac77451d7a467bb2409886f63d3faa9f1ac,,False,"{'base_left': 'cache/diff_analyzer/logs/apache/commons-jxpath/99973a7eb56c0cb56b9fb2b1ed77b4b2e163f43b_f4fc4ac77451d7a467bb2409886f63d3faa9f1ac_base_left.log', 'base_right': 'cache/diff_analyzer/logs/apache/commons-jxpath/99973a7eb56c0cb56b9fb2b1ed77b4b2e163f43b_f4fc4ac77451d7a467bb2409886f63d3faa9f1ac_base_right.log', 'left_right': 'cache/diff_analyzer/logs/apache/commons-jxpath/99973a7eb56c0cb56b9fb2b1ed77b4b2e163f43b_f4fc4ac77451d7a467bb2409886f63d3faa9f1ac_left_right.log'}",False,True,5,16,False,False
6,refs/heads/master,0370ba278209b98caab1a3d82c2b8ba978ad7e14,60db8ec84eba36062e7700174d2ea25422f585b9,dd04442a3934a0b59882da9edfd4c9e6861e758b,,False,"{'base_left': 'cache/diff_analyzer/logs/apache/commons-jxpath/60db8ec84eba36062e7700174d2ea25422f585b9_dd04442a3934a0b59882da9edfd4c9e6861e758b_base_left.log', 'base_right': 'cache/diff_analyzer/logs/apache/commons-jxpath/60db8ec84eba36062e7700174d2ea25422f585b9_dd04442a3934a0b59882da9edfd4c9e6861e758b_base_right.log', 'left_right': 'cache/diff_analyzer/logs/apache/commons-jxpath/60db8ec84eba36062e7700174d2ea25422f585b9_dd04442a3934a0b59882da9edfd4c9e6861e758b_left_right.log'}",False,True,3,10,False,False
10,refs/heads/master,6209bbdd9dec1d4d18e62f1530ec0fb5830674ab,f1f17d08e3193ff674e7e057b61ebbf3d3202c8c,a1fcd0b82522107893ca0ec0f15dc0b9acedb0bf,,False,"{'base_left': 'cache/diff_analyzer/logs/apache/commons-jxpath/f1f17d08e3193ff674e7e057b61ebbf3d3202c8c_a1fcd0b82522107893ca0ec0f15dc0b9acedb0bf_base_left.log', 'base_right': 'cache/diff_analyzer/logs/apache/commons-jxpath/f1f17d08e3193ff674e7e057b61ebbf3d3202c8c_a1fcd0b82522107893ca0ec0f15dc0b9acedb0bf_base_right.log', 'left_right': 'cache/diff_analyzer/logs/apache/commons-jxpath/f1f17d08e3193ff674e7e057b61ebbf3d3202c8c_a1fcd0b82522107893ca0ec0f15dc0b9acedb0bf_left_right.log'}",False,True,5,12,False,False
13,refs/heads/master,188fcb63ecd152b56b5724f1362d3839a35c1fee,7f201ad8f7f6cb89e8d4788f627148a2750989f8,5f1929cd9e3083f1f526cde855c176e5d7ad9e25,,False,"{'base_left': 'cache/diff_analyzer/logs/apache/commons-jxpath/7f201ad8f7f6cb89e8d4788f627148a2750989f8_5f1929cd9e3083f1f526cde855c176e5d7ad9e25_base_left.log', 'base_right': 'cache/diff_analyzer/logs/apache/commons-jxpath/7f201ad8f7f6cb89e8d4788f627148a2750989f8_5f1929cd9e3083f1f526cde855c176e5d7ad9e25_base_right.log', 'left_right': 'cache/diff_analyzer/logs/apache/commons-jxpath/7f201ad8f7f6cb89e8d4788f627148a2750989f8_5f1929cd9e3083f1f526cde855c176e5d7ad9e25_left_right.log'}",False,True,5,16,False,False
14,refs/heads/master,7f201ad8f7f6cb89e8d4788f627148a2750989f8,237af619d3599ca6df63cc6b37c52edd30bbbbea,26441bee27c3dec40947a60e64f964154bfaa0d1,,False,"{'base_left': 'cache/diff_analyzer/logs/apache/commons-jxpath/237af619d3599ca6df63cc6b37c52edd30bbbbea_26441bee27c3dec40947a60e64f964154bfaa0d1_base_left.log', 'base_right': 'cache/diff_analyzer/logs/apache/commons-jxpath/237af619d3599ca6df63cc6b37c52edd30bbbbea_26441bee27c3dec40947a60e64f964154bfaa0d1_base_right.log', 'left_right': 'cache/diff_analyzer/logs/apache/commons-jxpath/237af619d3599ca6df63cc6b37c52edd30bbbbea_26441bee27c3dec40947a60e64f964154bfaa0d1_left_right.log'}",False,True,5,14,False,False
20,refs/heads/master,7aeca6efff9db356d61244d273cba3d65f54faa4,9d040a137c8d1ffdd06d92b0d845608e26c722bb,e52cfa94dad7ab1ebe4fb5aebd2e77b4952ab471,,False,"{'base_left': 'cache/diff_analyzer/logs/apache/commons-jxpath/9d040a137c8d1ffdd06d92b0d845608e26c722bb_e52cfa94dad7ab1ebe4fb5aebd2e77b4952ab471_base_left.log', 'base_right': 'cache/diff_analyzer/logs/apache/commons-jxpath/9d040a137c8d1ffdd06d92b0d845608e26c722bb_e52cfa94dad7ab1ebe4fb5aebd2e77b4952ab471_base_right.log', 'left_right': 'cache/diff_analyzer/logs/apache/commons-jxpath/9d040a137c8d1ffdd06d92b0d845608e26c722bb_e52cfa94dad7ab1ebe4fb5aebd2e77b4952ab471_left_right.log'}",False,True,5,12,False,False
25,refs/heads/master,284e0bc4bef2575ace6a8605cc4d12caeb3e2e9c,634ceef8a9607797a74563a59e08993d8d2cd0c5,61111543c1cd6419cf4fe306a519642f6660f43a,,False,"{'base_left': 'cache/diff_analyzer/logs/apache/commons-jxpath/634ceef8a9607797a74563a59e08993d8d2cd0c5_61111543c1cd6419cf4fe306a519642f6660f43a_base_left.log', 'base_right': 'cache/diff_analyzer/logs/apache/commons-jxpath/634ceef8a9607797a74563a59e08993d8d2cd0c5_61111543c1cd6419cf4fe306a519642f6660f43a_base_right.log', 'left_right': 'cache/diff_analyzer/logs/apache/commons-jxpath/634ceef8a9607797a74563a59e08993d8d2cd0c5_61111543c1cd6419cf4fe306a519642f6660f43a_left_right.log'}",False,True,2,4,False,False
27,refs/heads/master,d4850f3d275e2fc1a870587c34242f18d3c94e8e,299838f695b73d81e488b0083f8e9294c0b367af,32ab4a674e3b7d29018935cb2db161a19837635c,,False,"{'base_left': 'cache/diff_analyzer/logs/apache/commons-jxpath/299838f695b73d81e488b0083f8e9294c0b367af_32ab4a674e3b7d29018935cb2db161a19837635c_base_left.log', 'base_right': 'cache/diff_analyzer/logs/apache/commons-jxpath/299838f695b73d81e488b0083f8e9294c0b367af_32ab4a674e3b7d29018935cb2db161a19837635c_base_right.log', 'left_right': 'cache/diff_analyzer/logs/apache/commons-jxpath/299838f695b73d81e488b0083f8e9294c0b367af_32ab4a674e3b7d29018935cb2db161a19837635c_left_right.log'}",False,True,6,29,False,False
32,refs/heads/master,9a0842543d5f8a9942fd79f7a776bfcba9530353,7ab15c4d5f5a634c83f587c800d59e4f020e1502,01f94f1514cfeafb9ce9f63e5d15bbb679492c9d,,False,"{'base_left': 'cache/diff_analyzer/logs/apache/commons-jxpath/7ab15c4d5f5a634c83f587c800d59e4f020e1502_01f94f1514cfeafb9ce9f63e5d15bbb679492c9d_base_left.log', 'base_right': 'cache/diff_analyzer/logs/apache/commons-jxpath/7ab15c4d5f5a634c83f587c800d59e4f020e1502_01f94f1514cfeafb9ce9f63e5d15bbb679492c9d_base_right.log', 'left_right': 'cache/diff_analyzer/logs/apache/commons-jxpath/7ab15c4d5f5a634c83f587c800d59e4f020e1502_01f94f1514cfeafb9ce9f63e5d15bbb679492c9d_left_right.log'}",False,True,4,6,False,False
