idx,branch_name,merge,left,right,notes,diff contains java file,imports_involved,non_java_involved,num_diff_files,num_diff_lines,test merge,sampled for testing
1,refs/heads/master,9312988b8136b6cc04ccf82fd04b87bfc89911c9,ea320be62db3d6c25a36ca6d349f6fee3b4f99fc,e91ed9525e4ddb41e93cc63819885f8044847fcc,,False,False,True,3.0,47.0,False,False
2,refs/heads/master,4587ad665187d3777ec00a898702b872c24657e8,6aaaf19d32e816c5367c4575c1879370b6fd7883,0ea24fcecb9fa73be3544ac7810f8467bcf23342,,False,False,True,2.0,0.0,False,False
9,refs/heads/master,c22243ef3225fb2b748ab96b7b9dc4154e13c7a5,9036d6c5c77823ae8845fbb1eff08f8fdbc09ba0,13d24ac304031789b073fdff06985fd54cbcb5d9,,False,False,True,3.0,4.0,False,False
13,refs/heads/master,7938d51cbfbcdc57b2449bdd623f78009934a748,76c2ddc1afe20ecaa95af7e9f9bb47b0a35a93b1,732a352809ca0080447b901ad295bc0e7b74e271,,False,False,True,3.0,0.0,False,False
22,refs/heads/master,41a3fc8885eaf92dc9093f9e63fe26383f187d44,7901bc40dab884c372604e96f3bce716dc990859,8a7377ac7ef0bb1eda34a755e22616f49abcc2c8,,False,False,True,4.0,2.0,False,False
23,refs/heads/master,7901bc40dab884c372604e96f3bce716dc990859,ad7461e5743843a6fee59d929c173bc7200f8ded,e8c0ec37f892f7f715953b4ed9260ab7090ec1c6,,False,False,True,3.0,2.0,False,False
26,refs/heads/master,13d435e8bfb133336fd972c9e5df39b06315bbe3,4309c95ad3fe2ba810d7fef055185d12396292ad,68e09ea5c082958e400ac6ead6468d2a7177045b,,False,False,True,8.0,2.0,False,False
28,refs/heads/master,50db3e5186d4dbaffccb3af2dc122f3315f4e213,66d12fe331c1a00c2946ce3737bfbed8c9a9e352,f5caec5e3b1b7fd9f693cb9da777de14729e759b,,False,True,True,33.0,1170.0,False,False
29,refs/heads/master,1e710aa3afbda5d9145696964026fc4a65b82482,e5f28c232774613caefe69bd76d29e1c2a04ad18,4eb90a21a86463e17bcda9f0734d29bd54d8d28f,two initial commits,False,True,True,280.0,8551.0,False,False
30,refs/remotes/origin/pull/155,f5f924c4dd109a97e89bc6d33b152dc73c5dfae4,bd8a91f243c10b53a6a69e35d03f59b637fb58f2,312155f78bbea00db10e598c12c4d81c42a6ceca,,False,,,,,False,False
31,refs/remotes/origin/pull/8,35ef792de9e8fc851c6541072ce0f4afe7da96f6,3ee987f381e53b1dbf10423a02c088dfce74a0f6,72eb353670d4a42fd924b1de0e0a75b0ccb1a2da,,False,,,,,False,False
