idx,branch_name,merge,left,right,notes,left_tree_fingerprint,left parent test result,left parent test coverage,right_tree_fingerprint,right parent test result,right parent test coverage,parents pass,diff contains java file,test merge,sampled for testing,gitmerge_ort,gitmerge_ort_merge_fingerprint,gitmerge_ort_adjacent,gitmerge_ort_adjacent_merge_fingerprint,gitmerge_ort_ignorespace,gitmerge_ort_ignorespace_merge_fingerprint,gitmerge_ort_imports,gitmerge_ort_imports_merge_fingerprint,gitmerge_ort_imports_ignorespace,gitmerge_ort_imports_ignorespace_merge_fingerprint,gitmerge_resolve,gitmerge_resolve_merge_fingerprint,gitmerge_recursive_histogram,gitmerge_recursive_histogram_merge_fingerprint,gitmerge_recursive_ignorespace,gitmerge_recursive_ignorespace_merge_fingerprint,gitmerge_recursive_minimal,gitmerge_recursive_minimal_merge_fingerprint,gitmerge_recursive_myers,gitmerge_recursive_myers_merge_fingerprint,gitmerge_recursive_patience,gitmerge_recursive_patience_merge_fingerprint,git_hires_merge,git_hires_merge_merge_fingerprint,spork,spork_merge_fingerprint,intellimerge,intellimerge_merge_fingerprint
3,refs/heads/master,9cb89da92f92cc11798e83769c332241e6a70d47,dc03761289040c0875e3108602f290c8967277ed,b19e89ccdcf91b972a4160ae81456acf548282e2,,00e8db58db1486806e1bef826b0fd5723fa6c8c8857c616603f9f3975953cd0d,Tests_passed,0.0,a3eca0cb6bb9c0c8a8fc7978b5ba76b2b80d8105804d55824eabb903c80cfa02,Tests_passed,0.0,True,True,True,True,Tests_passed,b22084d729c83afde4b8a35f5e3ab7f659924f70caab35d89f99ff80a1abced1,Tests_passed,b22084d729c83afde4b8a35f5e3ab7f659924f70caab35d89f99ff80a1abced1,Tests_passed,b22084d729c83afde4b8a35f5e3ab7f659924f70caab35d89f99ff80a1abced1,Tests_passed,b22084d729c83afde4b8a35f5e3ab7f659924f70caab35d89f99ff80a1abced1,Tests_passed,b22084d729c83afde4b8a35f5e3ab7f659924f70caab35d89f99ff80a1abced1,Tests_passed,b22084d729c83afde4b8a35f5e3ab7f659924f70caab35d89f99ff80a1abced1,Tests_passed,b22084d729c83afde4b8a35f5e3ab7f659924f70caab35d89f99ff80a1abced1,Tests_passed,b22084d729c83afde4b8a35f5e3ab7f659924f70caab35d89f99ff80a1abced1,Tests_passed,b22084d729c83afde4b8a35f5e3ab7f659924f70caab35d89f99ff80a1abced1,Tests_passed,b22084d729c83afde4b8a35f5e3ab7f659924f70caab35d89f99ff80a1abced1,Tests_passed,b22084d729c83afde4b8a35f5e3ab7f659924f70caab35d89f99ff80a1abced1,Tests_passed,b22084d729c83afde4b8a35f5e3ab7f659924f70caab35d89f99ff80a1abced1,Tests_passed,fab8f8e8a4d230f514e37b6ada5b9c1cc53e60652b179bb160e76451557f26b1,Merge_failed,b22084d729c83afde4b8a35f5e3ab7f659924f70caab35d89f99ff80a1abced1
4,refs/heads/master,dc03761289040c0875e3108602f290c8967277ed,b09150fd00ff9f894f5e709ca627033b383acc8c,a90c4f1b6924ab4d99b8535861c8c5f72eb1c135,,00e8db58db1486806e1bef826b0fd5723fa6c8c8857c616603f9f3975953cd0d,Tests_passed,0.0,d9930911490e7e25d8ee2eeb807561b0227b701c648223860cc56b000a0e2cae,Tests_passed,0.0,True,True,True,True,Tests_passed,00e8db58db1486806e1bef826b0fd5723fa6c8c8857c616603f9f3975953cd0d,Tests_passed,00e8db58db1486806e1bef826b0fd5723fa6c8c8857c616603f9f3975953cd0d,Tests_passed,00e8db58db1486806e1bef826b0fd5723fa6c8c8857c616603f9f3975953cd0d,Tests_passed,00e8db58db1486806e1bef826b0fd5723fa6c8c8857c616603f9f3975953cd0d,Tests_passed,00e8db58db1486806e1bef826b0fd5723fa6c8c8857c616603f9f3975953cd0d,Tests_passed,00e8db58db1486806e1bef826b0fd5723fa6c8c8857c616603f9f3975953cd0d,Tests_passed,00e8db58db1486806e1bef826b0fd5723fa6c8c8857c616603f9f3975953cd0d,Tests_passed,00e8db58db1486806e1bef826b0fd5723fa6c8c8857c616603f9f3975953cd0d,Tests_passed,00e8db58db1486806e1bef826b0fd5723fa6c8c8857c616603f9f3975953cd0d,Tests_passed,00e8db58db1486806e1bef826b0fd5723fa6c8c8857c616603f9f3975953cd0d,Tests_passed,00e8db58db1486806e1bef826b0fd5723fa6c8c8857c616603f9f3975953cd0d,Tests_passed,00e8db58db1486806e1bef826b0fd5723fa6c8c8857c616603f9f3975953cd0d,Tests_passed,00e8db58db1486806e1bef826b0fd5723fa6c8c8857c616603f9f3975953cd0d,Merge_failed,00e8db58db1486806e1bef826b0fd5723fa6c8c8857c616603f9f3975953cd0d
5,refs/heads/master,b09150fd00ff9f894f5e709ca627033b383acc8c,fc9f99d5a2daac00f53fb7f997b097f2635c745d,21ebc6d43a54b482b8e382f166c445521d03d087,,00e8db58db1486806e1bef826b0fd5723fa6c8c8857c616603f9f3975953cd0d,Tests_passed,0.0,82d2f6e817071489fed055708e2677f463eb2877b395656a1d2861af2d6ca12e,Tests_passed,0.0,True,True,True,True,Tests_passed,00e8db58db1486806e1bef826b0fd5723fa6c8c8857c616603f9f3975953cd0d,Tests_passed,00e8db58db1486806e1bef826b0fd5723fa6c8c8857c616603f9f3975953cd0d,Tests_passed,00e8db58db1486806e1bef826b0fd5723fa6c8c8857c616603f9f3975953cd0d,Tests_passed,00e8db58db1486806e1bef826b0fd5723fa6c8c8857c616603f9f3975953cd0d,Tests_passed,00e8db58db1486806e1bef826b0fd5723fa6c8c8857c616603f9f3975953cd0d,Tests_passed,00e8db58db1486806e1bef826b0fd5723fa6c8c8857c616603f9f3975953cd0d,Tests_passed,00e8db58db1486806e1bef826b0fd5723fa6c8c8857c616603f9f3975953cd0d,Tests_passed,00e8db58db1486806e1bef826b0fd5723fa6c8c8857c616603f9f3975953cd0d,Tests_passed,00e8db58db1486806e1bef826b0fd5723fa6c8c8857c616603f9f3975953cd0d,Tests_passed,00e8db58db1486806e1bef826b0fd5723fa6c8c8857c616603f9f3975953cd0d,Tests_passed,00e8db58db1486806e1bef826b0fd5723fa6c8c8857c616603f9f3975953cd0d,Tests_passed,00e8db58db1486806e1bef826b0fd5723fa6c8c8857c616603f9f3975953cd0d,Tests_passed,00e8db58db1486806e1bef826b0fd5723fa6c8c8857c616603f9f3975953cd0d,Merge_failed,00e8db58db1486806e1bef826b0fd5723fa6c8c8857c616603f9f3975953cd0d
8,refs/remotes/origin/pull/8,1d8a3e19adbfc9fc979cf17799c05841ea03eb5b,9a80d940248b5b39249bc370839c686fdefb0e82,91551990fe568574698db67c1b08bf53706415fb,,b657e6aa6de4b0a3c0a0d7798530eff2823332ab2df577c91050f8c77cbe6ccd,Tests_passed,0.0,e025f83266bca86fae9c89b3c784fc385feb93b9960e16640712ac58eda2155a,Tests_passed,0.0,True,True,True,True,Tests_passed,569d5b0e014af337aa308f9eb7ae52b735b12942fda5bd07116178bc16de69a8,Tests_passed,569d5b0e014af337aa308f9eb7ae52b735b12942fda5bd07116178bc16de69a8,Tests_passed,569d5b0e014af337aa308f9eb7ae52b735b12942fda5bd07116178bc16de69a8,Tests_passed,569d5b0e014af337aa308f9eb7ae52b735b12942fda5bd07116178bc16de69a8,Tests_passed,569d5b0e014af337aa308f9eb7ae52b735b12942fda5bd07116178bc16de69a8,Tests_passed,569d5b0e014af337aa308f9eb7ae52b735b12942fda5bd07116178bc16de69a8,Tests_passed,569d5b0e014af337aa308f9eb7ae52b735b12942fda5bd07116178bc16de69a8,Tests_passed,569d5b0e014af337aa308f9eb7ae52b735b12942fda5bd07116178bc16de69a8,Tests_passed,569d5b0e014af337aa308f9eb7ae52b735b12942fda5bd07116178bc16de69a8,Tests_passed,569d5b0e014af337aa308f9eb7ae52b735b12942fda5bd07116178bc16de69a8,Tests_passed,569d5b0e014af337aa308f9eb7ae52b735b12942fda5bd07116178bc16de69a8,Tests_passed,569d5b0e014af337aa308f9eb7ae52b735b12942fda5bd07116178bc16de69a8,Tests_passed,569d5b0e014af337aa308f9eb7ae52b735b12942fda5bd07116178bc16de69a8,Merge_failed,569d5b0e014af337aa308f9eb7ae52b735b12942fda5bd07116178bc16de69a8
