idx,branch_name,merge,left,right,notes,diff contains java file,imports_involved,non_java_involved,num_diff_files,num_diff_hunks,num_diff_lines,num_intersecting_files,test merge,union_diff_files,sampled for testing
1,refs/heads/master,15f9d85b8c8259c1efaca51973141bb8afb6a030,86b7ed3951e8862d9140d9e84ee74c4ccf491519,6fe901ec86622d02da5b84f0aac4ab5b22aef2a1,,False,False,True,2,3,6,2,False,2,False
2,refs/heads/master,86b7ed3951e8862d9140d9e84ee74c4ccf491519,3b9495ea012d2adb9705a1c65595739532035ee2,4ef74020270a73a759a45578a6f9820184512cbf,,False,False,True,2,2,4,2,False,2,False
9,refs/heads/master,4d83e2315ccd651eb98bdf17423890500c81caa3,f1822970730bac759dda278f72b77cffa21707c8,9ed64b5d03d936fe4a098d250975c3ac0fb0f514,,False,True,True,20,56,201,2,False,20,False
15,refs/heads/master,450c20c8f4890cac77d046d7e2428dc5af30545c,971525d2dbfa24bea85c08ecb4ea6f32008a397e,242f2f12afd0d4c76ad49c182133a3b2f05c39e9,,False,False,True,2,3,6,2,False,2,False
16,refs/heads/master,971525d2dbfa24bea85c08ecb4ea6f32008a397e,0c201ebee47602bb9a508f71d0f7ad895abc532d,853fcfb4afcf5a75246f5e416fec94abe5ba4798,,False,False,True,2,2,4,2,False,2,False
22,refs/heads/master,b4ab5fab6dc5a8c77c3677cbe48f5656b42b9b8f,7bee87024a63867894ec14a6c356d945899ccc90,37f5cb900c6bde8017ecdd6f2b8c17edc98cde9b,,False,False,True,3,8,12,2,False,3,False
24,refs/heads/master,7e89124601e8ceab8237fe4ba999440202862ef8,588f1df63ff15ddf98ec1708d4575bde776a4f2f,cb130719bb22906fd0900f97bd6c3a5d84c593e6,,False,False,True,2,2,4,2,False,2,False
34,refs/heads/master,1d3c8a6c962292806ce2d29693f298331d9eeaed,f7cf838ab6cc7b6ee74edcff90a1ffd8f13f7ef9,0bfad5723f34c65145f84278255ab2bab8f335a2,,False,False,True,3,3,5,2,False,3,False
49,refs/heads/master,702dd98ba4f221ae440743d57ebaa59720c23aa6,63bfd468fcc21685e6d92914d01e9c8179493847,46c9aae316b244494fb6ab17ca01f03186bf47e8,,False,False,True,3,3,5,2,False,3,False
56,refs/heads/master,9173c76a91316aadb1e9f79ca3e8f213573fb830,887fe86c315bc294bbeb14bbf66a4133978a56a1,c07984481563f00f5d09d62a15b2efb627680bfd,,False,False,True,2,2,4,2,False,2,False
58,refs/heads/master,4b921e5cb3dea83dd1f8724513b7989d31291d48,6735136c37b7c2d42cb0bf786a960c9fdd113918,6491d9c389b492f697f1a910cc4f26da74a3673f,,False,False,True,2,4,8,2,False,2,False
59,refs/heads/master,6735136c37b7c2d42cb0bf786a960c9fdd113918,12b7b3883de764be82bf3f510e3c9ad1bbc3402f,27a0978df9c4407552282e6bb721f2a165983302,,False,False,True,2,3,6,2,False,2,False
60,refs/heads/master,12b7b3883de764be82bf3f510e3c9ad1bbc3402f,0b14cbeea1de379025435398310c090517b4acd8,3db0a8cc323540b670d0841673e446e5c03f5705,,False,False,True,2,2,4,2,False,2,False
62,refs/heads/master,54ffd431ec4e4b8a8f9a54e01022c14f8e75c249,2a36741533da626d8c67ad8fa032c3f06f478b81,fe74a33254e4dd1ddd6f6ede4caa018a67e75ec0,,False,False,True,2,4,11,2,False,2,False
63,refs/heads/master,2a36741533da626d8c67ad8fa032c3f06f478b81,a7f9fa63266e7a01a643afe638daf45178de68b2,f98cab8ea41ca7a1dd35269ce9f30fdfff6762f4,,False,False,True,2,3,9,2,False,2,False
64,refs/heads/master,a7f9fa63266e7a01a643afe638daf45178de68b2,1b42fb76778536797a0dd0116480ef5098405982,cf1ec1f67f6bbac753fb81b61f3f52d881585d2b,,False,False,True,2,2,7,2,False,2,False
65,refs/heads/master,77eb9ad3e3a518b8d04dab04d1ad967038be9e3a,0e52487ef9a669ea6e9fd1d5a2e9e3cd628d8f39,cdc6b113e8d635dbd594eb2b5139ee27a2f12a12,,False,True,True,5,8,850,2,False,5,False
66,refs/heads/master,0e52487ef9a669ea6e9fd1d5a2e9e3cd628d8f39,6bc9984cd552862afa4e10172602df1f3f590613,008ebe6fbde47bb4e397ffc94c1d3b892009de0d,,False,True,True,5,7,848,2,False,5,False
67,refs/heads/master,6bc9984cd552862afa4e10172602df1f3f590613,4254119e68cb56a8a71b629ab036dfed6ce9bcc3,a2cc53d5c4316c9159e9725e8712fc5c13e75ce3,,False,True,True,5,6,846,2,False,5,False
68,refs/heads/master,fa663315a87a53182cfaec00a8c6fd96898db3da,72fce7fdb26c6c42420df748e019cd2050cd90b2,555f6eb09cd1c6b98000f798694e8fb06ff60753,,False,False,True,3,3,5,2,False,3,False
69,refs/heads/master,72fce7fdb26c6c42420df748e019cd2050cd90b2,3fd022f2778bd1fcb00e3914eb9f3aebb721d5da,fbc3a5a781935b763786b3fc7f9e6aabb5a4fbad,,False,False,True,3,2,3,1,False,3,False
70,refs/heads/master,1b4c0b6c165fd88f6349db97f16dc1f711e01711,13401c96d2ce336996e55d9f6ef7f5380b873dbd,7160a1e7f5f91c8009d36c81d759169c3b96f31b,,False,True,True,5,4,26,1,False,5,False
72,refs/heads/master,d7ba592066fab84adbcb9543ec3e66e8eeeb2fa0,fc8026cd32db2d26e0aaa0fce5d152536cac07a5,bde53438a2b17d09bee1acf234dfe21e32d85698,,False,True,True,15,39,88,1,False,15,False
