idx,branch_name,merge,left,right,notes,union_diff_files,num_intersecting_files,num_diff_lines,num_diff_hunks,diff contains java file,imports_involved,left parent test result,left_tree_fingerprint,non_java_involved,num_diff_files,parents pass,right parent test result,right_tree_fingerprint,test merge,sampled for testing
3,refs/heads/master,0a94ec57c6fa5c2d8cc10c80aabd2a8d987a6f93,8873de30c04394b05d79714febc3d4d363e429c3,47c779124f0a6376615096e06f34e4e5560eef5a,,3,1,40.0,4,False,False,,,True,3,,,,False,False
9,refs/heads/master,a40091351afb7d21343b08d4b43c65e5fbc385f0,d31fc293eb6eff27d3c940a89bd30a15e6aad279,9f80541f04dd898ec554b3607ee3e17e1e80bed0,,2,2,42.0,8,False,False,,,True,2,,,,False,False
19,refs/heads/master,dff92e501e8c07ffa5da64c6e94913309e0ae8b1,daf60f6a3826fda1bb9f340d7495b84a88f623ce,af55f45a466f81eb361b36e296a7d4d9ca9dd2cf,,14,2,303.0,64,False,True,,,True,14,,,,False,False
20,refs/heads/master,daf60f6a3826fda1bb9f340d7495b84a88f623ce,00d3a7bbff50feb5bc56db4ea1160b58dcb39af0,b47cf52ce00c634a0259d9d8580ec0146db449cd,,13,1,181.0,50,False,True,,,True,13,,,,False,False
21,refs/heads/master,00d3a7bbff50feb5bc56db4ea1160b58dcb39af0,c3361f79b73d6b3366bc66f9882a05792402f3c5,2633bd942947f365384d093a848750fcf973a860,,12,3,164.0,49,True,True,Tests_passed,7a087ff73e4bd078425f5aa63d3631ee4dc43c58c2f9ce8d81557506044c8643,True,12,True,Tests_passed,ef5f065bb77b54df5889b2c0fd419494db8c57c744a02a6884c3f55d5fcc5c8d,True,True
24,refs/heads/master,d51178be1cd90cf9173edd1705a7bf0dc75ab16d,c3fa7ef50c3724eba371ad179782c43631ee0626,068600c260f97abc7e4cfde959dbaba889711ad2,,46,9,,208,True,,Tests_passed,88788e49f20f9d8b7c1095cfa56964912c4720856dff7686da859ed9a0d90554,True,46,True,Tests_passed,967801baf73c9ca89062858b0c1545f899bac0a413184c49ed7a47377940ef0c,True,True
25,refs/heads/master,c3fa7ef50c3724eba371ad179782c43631ee0626,7a3dd320ad18a523f4b6c50cf34f8b64cad6d9ce,0c161d7ac3d57e2698c7c8e9c8983e3314bc0f96,,33,1,,59,False,,,,True,33,,,,False,False
26,refs/heads/master,7a3dd320ad18a523f4b6c50cf34f8b64cad6d9ce,ee7f872a138d66dd51aadd1bd037b49a40357daa,df27607970a4a65b095d9b148215807dca41cb71,,24,1,,29,False,,,,True,24,,,,False,False
30,refs/heads/master,843832fa01d66a75362e6b137e3bf6307b7c0de6,c3910e798b7a5a2a3953ae703758e8e9708e2303,0fda1bfc7fa4bc44dd93ec7bda6f31d7ea403d56,,3,1,7.0,2,False,False,,,True,3,,,,False,False
36,refs/heads/master,5dd0508fa17c5ffbb9d7fd1c215c00ec808c2185,246216187fd2d55cc5be301abdbe3468a5422871,affac8ecc5629c6cf5c78e3d0bc99d0fd0bd47ad,,26,2,,112,True,,Tests_failed,2dff200e9826e00abcad9f96c948cd7474d08de116b814b4fff95e77dbd91d46,True,26,False,Tests_failed,688a48c71eb2bfba0f3d241e3145cec8b66897f00106090575bd18562f6c044b,False,False
37,refs/heads/master,246216187fd2d55cc5be301abdbe3468a5422871,535d4061b17ad1f5471e0916496a0180ccdab30f,a7d54fa1e7e49687a30232500267b522e044866b,,17,1,286.0,92,False,True,,,True,17,,,,False,False
41,refs/heads/master,78d614f4221b876d2f3e8bc2a8ddba85e8157c10,3aaee9f73d656b11871209e908c2ddead974fda0,138846aa1fb36ca602e10e14e19b3bd887d05868,,9,2,363.0,10,False,True,,,True,9,,,,False,False
42,refs/heads/master,3aaee9f73d656b11871209e908c2ddead974fda0,58d2038d8d41eb1d17f139eb0666722ff5d21b2d,deff746432353712a8b962e19d6cc0ecae71220b,,9,2,364.0,10,False,True,,,True,9,,,,False,False
43,refs/heads/master,58d2038d8d41eb1d17f139eb0666722ff5d21b2d,116563d0ebbea77d3011e8668c99a2281431e776,32052f02af60c7267c4543f85f7dae9e28b6b4e6,,14,2,417.0,21,False,True,,,True,14,,,,False,False
45,refs/heads/master,fe9dcd5359b30e08f220b3b3e84cd913ff73e212,6741567ef4471affd6c40c3770d6a0f272f83ebb,faa78fedbf3763a64d0744766a0d34cedc371527,,8,1,,20,False,,,,True,8,,,,False,False
46,refs/heads/master,519bd35c6c16d58cf7ce48050b9184444e65ebf1,375fd1f19463d8bb98ba3cc6254b0750e49d9e8d,c40f002f1f10820d241a273b630673a7aab3fe8b,,6,1,,18,False,,,,True,6,,,,False,False
47,refs/heads/master,375fd1f19463d8bb98ba3cc6254b0750e49d9e8d,a46cf2686962685caa57adbf04d5ddfe22700747,a6e4c063043531fa3cd0fcba3eb19d2777f6ab41,,5,2,135.0,17,True,True,Tests_failed,220636cfc2c5e13933509749affec60f213feb71bf5b003cc18ec4cf922b0072,True,5,False,Tests_failed,16f07f4c76038d96736393ec9a8466fea84611768c0b7b789fd5117f5f355413,False,False
48,refs/heads/master,a46cf2686962685caa57adbf04d5ddfe22700747,8c0c930f5ba5fe4f28585589a1696503ad67ed9d,2c055aa4b244287f6a80e134654867e70c550f09,,6,1,103.0,16,False,True,,,True,6,,,,False,False
50,refs/heads/master,a8cbf70939af442dfc48531a317a0e5b8459543b,16ac54923fc1e313ccb301a6330777dc2bb168ad,7edc85f9d140c139c3faaeb289ad69f6fbaa9e3b,,48,1,,48,False,,,,True,47,,,,False,False
52,refs/heads/master,86b154b965448e28d70864a0bfa984dc73ab2d88,b3c47580e7885cfefcef37efccb016cee1e259d0,b71bad42b3475062d660b236d7429929c007baa9,,12,1,,14,False,,,,True,12,,,,False,False
56,refs/heads/master,4b827f5a1c6000a737841b072e326444d93b1f20,db17163973b6a71ba5b4f13059b823569c53039d,2436b8a0c5adbc5a54044d3b57ccce1249fd8373,,4,1,20.0,7,False,True,,,True,4,,,,False,False
59,refs/heads/master,8dda4e75df506c0ffdf396813c70fbfec8b9e8dd,53b7025304be9949898412ed3856441b8b27daae,b75d88014cb5f5a4528cde7099a81d265dae1eb0,,29,2,758.0,74,True,True,Tests_failed,948f66ee7b027863599e59fb47cc021c010e9e25156fcb89f8ed5a519efbb914,True,29,False,Tests_failed,e6eb3c7a6c7b044427c326f262390035f7b2f9df14b7d82cacf9e651aae5dc6e,False,False
60,refs/heads/master,53b7025304be9949898412ed3856441b8b27daae,f4e7f6622fb0d551f9c1c210688b7274772726c0,6678b3ac3aafcc003c90b61d9d67f6b05738d0e4,,23,5,493.0,94,True,True,Tests_failed,772eeba4547b5652fb08f4076a158a4f11e33c3dd0ea3fa100cf73907031e4d3,True,23,False,Tests_failed,9da8cd5e6360d860414fe34ba003865885bb01318784bc148436fcee8e583de4,False,False
61,refs/heads/master,f4e7f6622fb0d551f9c1c210688b7274772726c0,630633b1833d3bd427c457ca9a1e0dc864c14ee9,b2da6188d92f6e0b528c4c2eb97a20622ba9380c,,19,3,341.0,43,True,True,Tests_failed,33bec32775f9d52824c92eba06ad20a1df3a6c71fa7bb616ab9ddda885e248ce,True,19,False,Tests_failed,22dce3dedf55c00d135655f2c8c49024a43258aad82c27dc4cbc9f6798c3597e,False,False
