idx,branch_name,merge,left,right,notes,diff contains java file,imports_involved,non_java_involved,num_diff_files,num_diff_lines,test merge,diff_logs,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,sampled for testing
8,refs/heads/master,0c3752259ca17669b739481b2785a3e4cea1cc0f,4ecfa5d5213a1be3cdb905b27fbbb955e0e5442c,7a62c6282d2a2ba18f332a5ba96b47cb17df097d,,False,True,True,51,1037,False,"{'base_left': 'cache/diff_analyzer/logs/jenkinsci/xunit-plugin/4ecfa5d5213a1be3cdb905b27fbbb955e0e5442c_7a62c6282d2a2ba18f332a5ba96b47cb17df097d_base_left.log', 'base_right': 'cache/diff_analyzer/logs/jenkinsci/xunit-plugin/4ecfa5d5213a1be3cdb905b27fbbb955e0e5442c_7a62c6282d2a2ba18f332a5ba96b47cb17df097d_base_right.log', 'left_right': 'cache/diff_analyzer/logs/jenkinsci/xunit-plugin/4ecfa5d5213a1be3cdb905b27fbbb955e0e5442c_7a62c6282d2a2ba18f332a5ba96b47cb17df097d_left_right.log'}",,,,,,False
9,refs/heads/master,4ecfa5d5213a1be3cdb905b27fbbb955e0e5442c,0b982074ddfe4df64dddfe37869453007b9b52f2,a4ee03b5a91ce2190a3ac732689fe5d663d23c34,,False,True,True,48,987,False,"{'base_left': 'cache/diff_analyzer/logs/jenkinsci/xunit-plugin/0b982074ddfe4df64dddfe37869453007b9b52f2_a4ee03b5a91ce2190a3ac732689fe5d663d23c34_base_left.log', 'base_right': 'cache/diff_analyzer/logs/jenkinsci/xunit-plugin/0b982074ddfe4df64dddfe37869453007b9b52f2_a4ee03b5a91ce2190a3ac732689fe5d663d23c34_base_right.log', 'left_right': 'cache/diff_analyzer/logs/jenkinsci/xunit-plugin/0b982074ddfe4df64dddfe37869453007b9b52f2_a4ee03b5a91ce2190a3ac732689fe5d663d23c34_left_right.log'}",,,,,,False
11,refs/heads/master,3533bdb86d651102be6d8507ecfff9095093ae87,f2e80f9279ee7c7e38eb80dd765fd60e32ee4511,92ac0ce973e7eccb8138b32d54ecf77dfa27a723,,True,True,True,5,17,False,"{'base_left': 'cache/diff_analyzer/logs/jenkinsci/xunit-plugin/f2e80f9279ee7c7e38eb80dd765fd60e32ee4511_92ac0ce973e7eccb8138b32d54ecf77dfa27a723_base_left.log', 'base_right': 'cache/diff_analyzer/logs/jenkinsci/xunit-plugin/f2e80f9279ee7c7e38eb80dd765fd60e32ee4511_92ac0ce973e7eccb8138b32d54ecf77dfa27a723_base_right.log', 'left_right': 'cache/diff_analyzer/logs/jenkinsci/xunit-plugin/f2e80f9279ee7c7e38eb80dd765fd60e32ee4511_92ac0ce973e7eccb8138b32d54ecf77dfa27a723_left_right.log'}",8ea1122041974eeb7abd14697ed848eba148463aa9175d899beb3fc516315830,Tests_failed,6ab141f1b4baad18b1474ebd9c004c11677df43d1d7ed5aceeed633394d8c22a,Tests_failed,False,False
12,refs/heads/master,92ac0ce973e7eccb8138b32d54ecf77dfa27a723,eacd4688b4876ad2d2ca06c4d6d80f98ba821a5a,4bbe1f4322873b7bbea631ec43706bf19d665195,,True,True,True,30,435,False,"{'base_left': 'cache/diff_analyzer/logs/jenkinsci/xunit-plugin/eacd4688b4876ad2d2ca06c4d6d80f98ba821a5a_4bbe1f4322873b7bbea631ec43706bf19d665195_base_left.log', 'base_right': 'cache/diff_analyzer/logs/jenkinsci/xunit-plugin/eacd4688b4876ad2d2ca06c4d6d80f98ba821a5a_4bbe1f4322873b7bbea631ec43706bf19d665195_base_right.log', 'left_right': 'cache/diff_analyzer/logs/jenkinsci/xunit-plugin/eacd4688b4876ad2d2ca06c4d6d80f98ba821a5a_4bbe1f4322873b7bbea631ec43706bf19d665195_left_right.log'}",bbad3f58b8e1806b6b4d3d0fc990f0d267f31a6775074e6397d6ba5fbbd093d4,Tests_failed,153d44379f760ccfb3dcb0a12b75c1d939fea419b6c93263f60ce917f8104e2e,Tests_failed,False,False
15,refs/heads/master,1c444d275fbe11399472f30dd5fe801d4819900a,2b4355634062ba7802d5d3d524e653eac7959912,fb268c604fb8105e9ae365d2299c40e4450ad27f,,False,False,True,7,9,False,"{'base_left': 'cache/diff_analyzer/logs/jenkinsci/xunit-plugin/2b4355634062ba7802d5d3d524e653eac7959912_fb268c604fb8105e9ae365d2299c40e4450ad27f_base_left.log', 'base_right': 'cache/diff_analyzer/logs/jenkinsci/xunit-plugin/2b4355634062ba7802d5d3d524e653eac7959912_fb268c604fb8105e9ae365d2299c40e4450ad27f_base_right.log', 'left_right': 'cache/diff_analyzer/logs/jenkinsci/xunit-plugin/2b4355634062ba7802d5d3d524e653eac7959912_fb268c604fb8105e9ae365d2299c40e4450ad27f_left_right.log'}",,,,,,False
16,refs/heads/master,1dca7a06869f07dfa2b871ce3ae4dc29c8916b35,237775a6cd64bcba1381d722671bb2860274dffa,b4424b2db7e82f361f62ad2590b8d5a50a564c3b,,False,True,True,16,345,False,"{'base_left': 'cache/diff_analyzer/logs/jenkinsci/xunit-plugin/237775a6cd64bcba1381d722671bb2860274dffa_b4424b2db7e82f361f62ad2590b8d5a50a564c3b_base_left.log', 'base_right': 'cache/diff_analyzer/logs/jenkinsci/xunit-plugin/237775a6cd64bcba1381d722671bb2860274dffa_b4424b2db7e82f361f62ad2590b8d5a50a564c3b_base_right.log', 'left_right': 'cache/diff_analyzer/logs/jenkinsci/xunit-plugin/237775a6cd64bcba1381d722671bb2860274dffa_b4424b2db7e82f361f62ad2590b8d5a50a564c3b_left_right.log'}",,,,,,False
18,refs/heads/master,0ecfd42e2ac627c5a6a031bf5da7e3c42d9d8715,ebae1d94a308115ffe0e7e3a2a321689bf3bdfdf,d3d7e88be775029681a209faf14854da4c6a3162,,False,True,True,13,207,False,"{'base_left': 'cache/diff_analyzer/logs/jenkinsci/xunit-plugin/ebae1d94a308115ffe0e7e3a2a321689bf3bdfdf_d3d7e88be775029681a209faf14854da4c6a3162_base_left.log', 'base_right': 'cache/diff_analyzer/logs/jenkinsci/xunit-plugin/ebae1d94a308115ffe0e7e3a2a321689bf3bdfdf_d3d7e88be775029681a209faf14854da4c6a3162_base_right.log', 'left_right': 'cache/diff_analyzer/logs/jenkinsci/xunit-plugin/ebae1d94a308115ffe0e7e3a2a321689bf3bdfdf_d3d7e88be775029681a209faf14854da4c6a3162_left_right.log'}",,,,,,False
36,refs/heads/master,225df7507bb42c58c239294c2b5357ac7cdc6cd8,4f43ed0482cae43b53aac16fcd4d191674ad6b48,e06176989d0e1a777a6a716aac506e6e4131ac27,,False,False,True,3,48,False,"{'base_left': 'cache/diff_analyzer/logs/jenkinsci/xunit-plugin/4f43ed0482cae43b53aac16fcd4d191674ad6b48_e06176989d0e1a777a6a716aac506e6e4131ac27_base_left.log', 'base_right': 'cache/diff_analyzer/logs/jenkinsci/xunit-plugin/4f43ed0482cae43b53aac16fcd4d191674ad6b48_e06176989d0e1a777a6a716aac506e6e4131ac27_base_right.log', 'left_right': 'cache/diff_analyzer/logs/jenkinsci/xunit-plugin/4f43ed0482cae43b53aac16fcd4d191674ad6b48_e06176989d0e1a777a6a716aac506e6e4131ac27_left_right.log'}",,,,,,False
37,refs/heads/master,e06176989d0e1a777a6a716aac506e6e4131ac27,0342e65c5ba6e615a489dc7b02470b2838a742b6,2bb37c6a37a903cf9a760a00c8574e07df1e8f5a,,False,True,True,5,24,False,"{'base_left': 'cache/diff_analyzer/logs/jenkinsci/xunit-plugin/0342e65c5ba6e615a489dc7b02470b2838a742b6_2bb37c6a37a903cf9a760a00c8574e07df1e8f5a_base_left.log', 'base_right': 'cache/diff_analyzer/logs/jenkinsci/xunit-plugin/0342e65c5ba6e615a489dc7b02470b2838a742b6_2bb37c6a37a903cf9a760a00c8574e07df1e8f5a_base_right.log', 'left_right': 'cache/diff_analyzer/logs/jenkinsci/xunit-plugin/0342e65c5ba6e615a489dc7b02470b2838a742b6_2bb37c6a37a903cf9a760a00c8574e07df1e8f5a_left_right.log'}",,,,,,False
40,refs/heads/master,82d4da233018bd7bcfff6b9c7cddfc133ca6ca66,51d3b70146d64175a790055cb4d5d844298ac6d1,7d0496220cfacbd7c60ac735538a22190bedd52d,,False,True,True,20,312,False,"{'base_left': 'cache/diff_analyzer/logs/jenkinsci/xunit-plugin/51d3b70146d64175a790055cb4d5d844298ac6d1_7d0496220cfacbd7c60ac735538a22190bedd52d_base_left.log', 'base_right': 'cache/diff_analyzer/logs/jenkinsci/xunit-plugin/51d3b70146d64175a790055cb4d5d844298ac6d1_7d0496220cfacbd7c60ac735538a22190bedd52d_base_right.log', 'left_right': 'cache/diff_analyzer/logs/jenkinsci/xunit-plugin/51d3b70146d64175a790055cb4d5d844298ac6d1_7d0496220cfacbd7c60ac735538a22190bedd52d_left_right.log'}",,,,,,False
