idx,branch_name,merge,left,right,notes,test merge,diff contains java file,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,sampled for testing,gitmerge_ort,gitmerge_ort_merge_fingerprint,gitmerge_ort_ignorespace,gitmerge_ort_ignorespace_merge_fingerprint,gitmerge_resolve,gitmerge_resolve_merge_fingerprint,gitmerge_recursive_histogram,gitmerge_recursive_histogram_merge_fingerprint,gitmerge_recursive_ignorespace,gitmerge_recursive_ignorespace_merge_fingerprint,gitmerge_recursive_minimal,gitmerge_recursive_minimal_merge_fingerprint,gitmerge_recursive_myers,gitmerge_recursive_myers_merge_fingerprint,gitmerge_recursive_patience,gitmerge_recursive_patience_merge_fingerprint,gitmerge_ort_adjacent,gitmerge_ort_adjacent_merge_fingerprint,gitmerge_ort_imports,gitmerge_ort_imports_merge_fingerprint,gitmerge_ort_imports_ignorespace,gitmerge_ort_imports_ignorespace_merge_fingerprint,git_hires_merge,git_hires_merge_merge_fingerprint,spork,spork_merge_fingerprint,intellimerge,intellimerge_merge_fingerprint
11,refs/heads/master,91b058b111993bd8e79d65d120f6a8a6077b71c1,f9d1a78cf1d71ef880136adf0a2f47c648eb9d74,ea0f72cedb7d76caa5eee8a94d322a64f7b361fb,,True,True,5c9f4b54752be7e554b3f06dfce20efe5a184b5cac230f2878bd24365085b330,Tests_passed,13ccc6664395b588d41b9ffaa7d3c6d4b9e63092f44159a0f59e2b3e410a2b4e,Tests_passed,True,True,Tests_passed,6a8c6263507553ad102d94ae53e2c20bd5c20cab3b185e746562332d0d319604,Tests_passed,6a8c6263507553ad102d94ae53e2c20bd5c20cab3b185e746562332d0d319604,Tests_passed,6a8c6263507553ad102d94ae53e2c20bd5c20cab3b185e746562332d0d319604,Tests_passed,6a8c6263507553ad102d94ae53e2c20bd5c20cab3b185e746562332d0d319604,Tests_passed,6a8c6263507553ad102d94ae53e2c20bd5c20cab3b185e746562332d0d319604,Tests_passed,6a8c6263507553ad102d94ae53e2c20bd5c20cab3b185e746562332d0d319604,Tests_passed,6a8c6263507553ad102d94ae53e2c20bd5c20cab3b185e746562332d0d319604,Tests_passed,6a8c6263507553ad102d94ae53e2c20bd5c20cab3b185e746562332d0d319604,Tests_passed,6a8c6263507553ad102d94ae53e2c20bd5c20cab3b185e746562332d0d319604,Tests_passed,6a8c6263507553ad102d94ae53e2c20bd5c20cab3b185e746562332d0d319604,Tests_passed,6a8c6263507553ad102d94ae53e2c20bd5c20cab3b185e746562332d0d319604,Tests_passed,6a8c6263507553ad102d94ae53e2c20bd5c20cab3b185e746562332d0d319604,Tests_passed,8b552b4f6c50d9e657a4fe7f77a91bad2922563589324ebb4fd7fccaaaf3302f,Tests_passed,6a8c6263507553ad102d94ae53e2c20bd5c20cab3b185e746562332d0d319604
42,refs/heads/master,61b30d63e9514af286e931899852bb55ca012001,ed392db865d6675ac5812e0282027ef4bf5b3852,0918d3b82659c668745f49bf5f365b28bc461a90,,True,True,c70b01cc1fb5dde2f6606325e2a74ff803b5b40c4f23245ed1ed0f17920a133d,Tests_passed,d6fa51ea5e9d1a97ef2fdc72a0a517009e4218a08fc8cdba0f133d8fc41e8b81,Tests_passed,True,True,Tests_passed,c70b01cc1fb5dde2f6606325e2a74ff803b5b40c4f23245ed1ed0f17920a133d,Tests_passed,c70b01cc1fb5dde2f6606325e2a74ff803b5b40c4f23245ed1ed0f17920a133d,Tests_passed,c70b01cc1fb5dde2f6606325e2a74ff803b5b40c4f23245ed1ed0f17920a133d,Tests_passed,c70b01cc1fb5dde2f6606325e2a74ff803b5b40c4f23245ed1ed0f17920a133d,Tests_passed,c70b01cc1fb5dde2f6606325e2a74ff803b5b40c4f23245ed1ed0f17920a133d,Tests_passed,c70b01cc1fb5dde2f6606325e2a74ff803b5b40c4f23245ed1ed0f17920a133d,Tests_passed,c70b01cc1fb5dde2f6606325e2a74ff803b5b40c4f23245ed1ed0f17920a133d,Tests_passed,c70b01cc1fb5dde2f6606325e2a74ff803b5b40c4f23245ed1ed0f17920a133d,Tests_passed,c70b01cc1fb5dde2f6606325e2a74ff803b5b40c4f23245ed1ed0f17920a133d,Tests_passed,c70b01cc1fb5dde2f6606325e2a74ff803b5b40c4f23245ed1ed0f17920a133d,Tests_passed,c70b01cc1fb5dde2f6606325e2a74ff803b5b40c4f23245ed1ed0f17920a133d,Tests_passed,c70b01cc1fb5dde2f6606325e2a74ff803b5b40c4f23245ed1ed0f17920a133d,Tests_passed,0e9c10d6e8abcf31978b7455b838d137300136733325ad214c1faa48190986de,Tests_passed,c70b01cc1fb5dde2f6606325e2a74ff803b5b40c4f23245ed1ed0f17920a133d
78,refs/heads/master,4a2593e576ae5732e469119c5ecd84605f3fc594,c94b2a2cc00400e78c4ec28ccc30de431f36edd0,0701d4f76e110bbc063cc79042eee019d1d988a7,,True,True,01156c4a0ccdc11f029317714c8eee939bfee3cc8e956104033ab71afb5ad232,Tests_passed,afee61a72f69f0d1f12976b18583179c89b2d76742743a4a511590263bfcf66d,Tests_passed,True,True,Tests_failed,5941d21df49023ebe5e60db003b49fc4dcecdd007b33eacfa1ded6b51b695842,Tests_failed,5941d21df49023ebe5e60db003b49fc4dcecdd007b33eacfa1ded6b51b695842,Tests_failed,5941d21df49023ebe5e60db003b49fc4dcecdd007b33eacfa1ded6b51b695842,Tests_failed,5941d21df49023ebe5e60db003b49fc4dcecdd007b33eacfa1ded6b51b695842,Tests_failed,5941d21df49023ebe5e60db003b49fc4dcecdd007b33eacfa1ded6b51b695842,Tests_failed,5941d21df49023ebe5e60db003b49fc4dcecdd007b33eacfa1ded6b51b695842,Tests_failed,5941d21df49023ebe5e60db003b49fc4dcecdd007b33eacfa1ded6b51b695842,Tests_failed,5941d21df49023ebe5e60db003b49fc4dcecdd007b33eacfa1ded6b51b695842,Tests_failed,5941d21df49023ebe5e60db003b49fc4dcecdd007b33eacfa1ded6b51b695842,Tests_failed,5941d21df49023ebe5e60db003b49fc4dcecdd007b33eacfa1ded6b51b695842,Tests_failed,5941d21df49023ebe5e60db003b49fc4dcecdd007b33eacfa1ded6b51b695842,Tests_failed,5941d21df49023ebe5e60db003b49fc4dcecdd007b33eacfa1ded6b51b695842,Tests_passed,56bffdcc61bb0171397ce527431ed4d8e24d58353f438dac5bdbda243c569c2f,Tests_failed,5941d21df49023ebe5e60db003b49fc4dcecdd007b33eacfa1ded6b51b695842
87,refs/heads/master,22945aab2ffe665ef6f1d42e6e05c868aed276f2,7e0615b958a61d1f161edd11e02fe87081b49b9a,48d4e3d1168a05f3e0c84407708e89ee078be9b4,,True,True,a1f8d79d97403da18da4ec43a735ad0bafdfd96022429b80c57c25c3c11d5db1,Tests_passed,ec7708035afdc4b78f07f1953d96ccd07560c92a3806c871a57896101676ca59,Tests_passed,True,True,Tests_passed,c91fdbd427c06695f4d46a545fbbba481260cee8cd70c9395af81d0fe9ae51fa,Tests_passed,c91fdbd427c06695f4d46a545fbbba481260cee8cd70c9395af81d0fe9ae51fa,Tests_passed,c91fdbd427c06695f4d46a545fbbba481260cee8cd70c9395af81d0fe9ae51fa,Tests_passed,c91fdbd427c06695f4d46a545fbbba481260cee8cd70c9395af81d0fe9ae51fa,Tests_passed,c91fdbd427c06695f4d46a545fbbba481260cee8cd70c9395af81d0fe9ae51fa,Tests_passed,c91fdbd427c06695f4d46a545fbbba481260cee8cd70c9395af81d0fe9ae51fa,Tests_passed,c91fdbd427c06695f4d46a545fbbba481260cee8cd70c9395af81d0fe9ae51fa,Tests_passed,c91fdbd427c06695f4d46a545fbbba481260cee8cd70c9395af81d0fe9ae51fa,Tests_passed,c91fdbd427c06695f4d46a545fbbba481260cee8cd70c9395af81d0fe9ae51fa,Tests_passed,c91fdbd427c06695f4d46a545fbbba481260cee8cd70c9395af81d0fe9ae51fa,Tests_passed,c91fdbd427c06695f4d46a545fbbba481260cee8cd70c9395af81d0fe9ae51fa,Tests_passed,c91fdbd427c06695f4d46a545fbbba481260cee8cd70c9395af81d0fe9ae51fa,Tests_passed,4bdd13e38ee72b05b503d59391ab06ad384a833891005589f2a10b9e613f59ab,Tests_passed,c91fdbd427c06695f4d46a545fbbba481260cee8cd70c9395af81d0fe9ae51fa
90,refs/heads/master,e6cad5039aad3e000beff063fcd97d815ed31960,6c640183cdc295a1c1d6c6d9c31ab5a41870fe32,19997856adbd2fcfeee2c251bbd04818345c6c7b,,True,True,31e4e3e3dfd9886a76882fd7eed5384d16d6d63a0f8cf76b4c62a32331fc1e7b,Tests_passed,2a0bb361f97a1e9da207c169739a45b5bd783a6d62b81d332fd2c59ca1452d99,Tests_passed,True,True,Merge_failed,1075abbfb56d5a9e5c4afd556b2ff428c41a8d1990583ff5813a103c5243e8a0,Merge_failed,792f61562364b8651942f24bea83b8d033a7245b6222efb3be0dda4277c12afd,Merge_failed,7990fbbb83249ec23a04e540d1492e0321d1a9360bbef30ae7a103c3e9e04388,Merge_failed,1075abbfb56d5a9e5c4afd556b2ff428c41a8d1990583ff5813a103c5243e8a0,Merge_failed,792f61562364b8651942f24bea83b8d033a7245b6222efb3be0dda4277c12afd,Merge_failed,1075abbfb56d5a9e5c4afd556b2ff428c41a8d1990583ff5813a103c5243e8a0,Merge_failed,1075abbfb56d5a9e5c4afd556b2ff428c41a8d1990583ff5813a103c5243e8a0,Merge_failed,1075abbfb56d5a9e5c4afd556b2ff428c41a8d1990583ff5813a103c5243e8a0,Merge_failed,1075abbfb56d5a9e5c4afd556b2ff428c41a8d1990583ff5813a103c5243e8a0,Merge_failed,1075abbfb56d5a9e5c4afd556b2ff428c41a8d1990583ff5813a103c5243e8a0,Merge_failed,792f61562364b8651942f24bea83b8d033a7245b6222efb3be0dda4277c12afd,Merge_failed,63832c9214bbcd65c3f801bb503786b0ee3b5647247e79338701654b113c4067,Merge_failed,5838da29b871b372271009a255224aa82161b6d41bf5d38d10459f6659641019,Merge_failed,1f48df4507d3d2e9c25e6cf880b78fbe4fda5faee8775efd930cb4e34b1ee382
410,refs/remotes/origin/grpc-spike,f98cfe6814c3141823043cc18ccea0d867e5eba3,c923c5e0ce5e6d9602c09603fc0710609cdb71da,ed959fb22936053d1d9e332a9556ad40fc1d8122,,True,True,565702c58423e1fef4c64c595dc402a114b13bfedc93f45a7464fff664813ec4,Tests_passed,bf6739bd4714ca55aaca36655b5d81edc6f96a7ca8a6334e60872cf9d88752f4,Tests_passed,True,True,Tests_passed,b0940c12430bf2065c346b0e3611bf43a4548181beed10d550af64ca3278dbee,Tests_passed,b0940c12430bf2065c346b0e3611bf43a4548181beed10d550af64ca3278dbee,Tests_passed,b0940c12430bf2065c346b0e3611bf43a4548181beed10d550af64ca3278dbee,Tests_passed,b0940c12430bf2065c346b0e3611bf43a4548181beed10d550af64ca3278dbee,Tests_passed,b0940c12430bf2065c346b0e3611bf43a4548181beed10d550af64ca3278dbee,Tests_passed,b0940c12430bf2065c346b0e3611bf43a4548181beed10d550af64ca3278dbee,Tests_passed,b0940c12430bf2065c346b0e3611bf43a4548181beed10d550af64ca3278dbee,Tests_passed,b0940c12430bf2065c346b0e3611bf43a4548181beed10d550af64ca3278dbee,Tests_passed,b0940c12430bf2065c346b0e3611bf43a4548181beed10d550af64ca3278dbee,Tests_passed,b0940c12430bf2065c346b0e3611bf43a4548181beed10d550af64ca3278dbee,Tests_passed,b0940c12430bf2065c346b0e3611bf43a4548181beed10d550af64ca3278dbee,Tests_passed,b0940c12430bf2065c346b0e3611bf43a4548181beed10d550af64ca3278dbee,Tests_passed,fd01e30160048e0492207f6995c9c45688a3f64e6acaf61821c93e60193676e0,Tests_passed,b0940c12430bf2065c346b0e3611bf43a4548181beed10d550af64ca3278dbee
457,refs/remotes/origin/pull/1651,4e458522fae3361437729b6139f3f631ce1776d4,a3e13476f4c66232e4dcf3d02a9b0eeb9157096f,1d52af3286f13eb387740beef5da750e728c7860,,True,True,aad6b709d85feb7071872098bf320958cca3ce8bf1a4a6238c7f075089c97184,Tests_passed,c3411b1c7552a39036d3dd6e9a60d1147e672cb60c646f786b115fbc8e4bb4f9,Tests_passed,True,True,Merge_failed,094dc62cf62a14218bfd92f0b131b047a922e819944bc6abeb393e5a04422269,Merge_failed,094dc62cf62a14218bfd92f0b131b047a922e819944bc6abeb393e5a04422269,Merge_failed,892a2c4e602091a6e46ad3545346894de2267e10e27e1b7a27cad76893b6b507,Merge_failed,094dc62cf62a14218bfd92f0b131b047a922e819944bc6abeb393e5a04422269,Merge_failed,094dc62cf62a14218bfd92f0b131b047a922e819944bc6abeb393e5a04422269,Merge_failed,094dc62cf62a14218bfd92f0b131b047a922e819944bc6abeb393e5a04422269,Merge_failed,094dc62cf62a14218bfd92f0b131b047a922e819944bc6abeb393e5a04422269,Merge_failed,094dc62cf62a14218bfd92f0b131b047a922e819944bc6abeb393e5a04422269,Merge_failed,094dc62cf62a14218bfd92f0b131b047a922e819944bc6abeb393e5a04422269,Merge_failed,094dc62cf62a14218bfd92f0b131b047a922e819944bc6abeb393e5a04422269,Merge_failed,094dc62cf62a14218bfd92f0b131b047a922e819944bc6abeb393e5a04422269,Merge_failed,cdee35fd61e37f9a389c036f7c09114133eb5d89fd57c216ca1e8768ad1f39b9,Merge_failed,5abecdc16f31af17fc3d3bd4d6fcec8257c90d3de5f599d8ab04a8f3b6ced7a5,Merge_failed,22fb713c3751d9639321289230f4d4fda11b02832b36901f16a8aaeeeba29f33
458,refs/remotes/origin/pull/1653,cd6aeb1b45587df6d77ca20e4b25f42310861690,28665717a9cfb1e585c1c01e1d83dbada7e1a385,461444d5c405f1eead11566bb833f75fa5ae25f1,,True,True,c1944598bbaf55a55fc5177e69acffc30ca79bfc687f824edcf30e345aa57214,Tests_passed,4a98980300776f806baa7b2c0c1f9096c79d656bae3c876b538782782a3339b0,Tests_passed,True,True,Merge_failed,cdd2f53f56b021baa8a6c9e3aa102663a8ae9b13d66598444767d083ebe0b8b2,Merge_failed,cdd2f53f56b021baa8a6c9e3aa102663a8ae9b13d66598444767d083ebe0b8b2,Merge_failed,04a827bfda4268addc3a165ebc794ded7f32d524b2583f5e33e511fcc327fa72,Merge_failed,cdd2f53f56b021baa8a6c9e3aa102663a8ae9b13d66598444767d083ebe0b8b2,Merge_failed,cdd2f53f56b021baa8a6c9e3aa102663a8ae9b13d66598444767d083ebe0b8b2,Merge_failed,cdd2f53f56b021baa8a6c9e3aa102663a8ae9b13d66598444767d083ebe0b8b2,Merge_failed,cdd2f53f56b021baa8a6c9e3aa102663a8ae9b13d66598444767d083ebe0b8b2,Merge_failed,cdd2f53f56b021baa8a6c9e3aa102663a8ae9b13d66598444767d083ebe0b8b2,Merge_failed,cdd2f53f56b021baa8a6c9e3aa102663a8ae9b13d66598444767d083ebe0b8b2,Merge_failed,cdd2f53f56b021baa8a6c9e3aa102663a8ae9b13d66598444767d083ebe0b8b2,Merge_failed,cdd2f53f56b021baa8a6c9e3aa102663a8ae9b13d66598444767d083ebe0b8b2,Merge_failed,666bd4feb62379dab3187046d9fd529da55da6d547ba84d036d593ca754cc9c2,Merge_failed,0521ecad16329eaa0b3e7281935088eb04f47ca2f0463785b6ca72f8ac8ebb4c,Merge_failed,1f037744be7dbb47e9171937840b025b17d44df5047134a3ae0eb05781301999
460,refs/remotes/origin/pull/1674,16564c660ec435d2ae58c38d4d4ccd35c0e8fb64,6e16bce782554673817df26fb6d78c9b88029bc0,26730bbcf2aa26eccaaf38dda1345a73640e766c,,True,True,aeb9e3d9cfb2c9e659950a138d12a63318509fa0e55470c89fcc63598fd30abb,Tests_passed,de66928f50d4b9803d61fc5252bebc2c156e93973b8dd52c6e7460e3ee30d60a,Tests_passed,True,True,Merge_failed,f40cc6f9065f99d0f951a37385216d1ac46a7a5b2bb295f1554feed5dbea207a,Merge_failed,29c86a9227a199b368e924a24b12a8ca89d2c9df0d22dff835e333b25e77f9c9,Merge_failed,0dfff4d024612ad8d6faa54cb04d0ba871faf7aeba00f996d36e7c177d8e7118,Merge_failed,f40cc6f9065f99d0f951a37385216d1ac46a7a5b2bb295f1554feed5dbea207a,Merge_failed,29c86a9227a199b368e924a24b12a8ca89d2c9df0d22dff835e333b25e77f9c9,Merge_failed,f40cc6f9065f99d0f951a37385216d1ac46a7a5b2bb295f1554feed5dbea207a,Merge_failed,f40cc6f9065f99d0f951a37385216d1ac46a7a5b2bb295f1554feed5dbea207a,Merge_failed,f40cc6f9065f99d0f951a37385216d1ac46a7a5b2bb295f1554feed5dbea207a,Merge_failed,f40cc6f9065f99d0f951a37385216d1ac46a7a5b2bb295f1554feed5dbea207a,Merge_failed,f40cc6f9065f99d0f951a37385216d1ac46a7a5b2bb295f1554feed5dbea207a,Merge_failed,29c86a9227a199b368e924a24b12a8ca89d2c9df0d22dff835e333b25e77f9c9,Merge_failed,b3f0acd6265feafbe39ddfcdf9351dafa97b3625fa6ee1f06d5e3c580c49c8a2,Tests_passed,69b70710397afeaf0f79741572e91bff135aa33dcc236c1788d5ff63e7f52dfb,Merge_failed,1a03da65d582b711fcc4fbccb5f1eb1454658e19d79dd48e3661a123354c9e58
470,refs/remotes/origin/pull/1701,efd9b68e2fb87cfd7fddc00c0efca27fe8622299,2c55fbafde1f318580d7a45c55a08974b2c61904,89907f038162f059ec98f8f812831bc6b5c12f44,,True,True,5d88ea951c7c9997228f207ee826e64a4c80fb2e9952b3c3283b1cc898adfc2c,Tests_passed,9efe6d6e329c2a0f2a5868a6161de4f2a2faf37801dfaad646d6c5d8b0047240,Tests_passed,True,True,Tests_passed,e3342bab50df0fbaef4dcf1308bfc01ee0bd08c24b781863888cd4b88b1600e1,Tests_passed,b4f311c00d224c70be31aa65185c4618da5ddd5e801f88a77fa97f4bc8d5abfd,Tests_passed,e3342bab50df0fbaef4dcf1308bfc01ee0bd08c24b781863888cd4b88b1600e1,Tests_passed,e3342bab50df0fbaef4dcf1308bfc01ee0bd08c24b781863888cd4b88b1600e1,Tests_passed,e3342bab50df0fbaef4dcf1308bfc01ee0bd08c24b781863888cd4b88b1600e1,Tests_passed,e3342bab50df0fbaef4dcf1308bfc01ee0bd08c24b781863888cd4b88b1600e1,Tests_passed,e3342bab50df0fbaef4dcf1308bfc01ee0bd08c24b781863888cd4b88b1600e1,Tests_passed,e3342bab50df0fbaef4dcf1308bfc01ee0bd08c24b781863888cd4b88b1600e1,Tests_passed,e3342bab50df0fbaef4dcf1308bfc01ee0bd08c24b781863888cd4b88b1600e1,Tests_passed,e3342bab50df0fbaef4dcf1308bfc01ee0bd08c24b781863888cd4b88b1600e1,Tests_passed,b4f311c00d224c70be31aa65185c4618da5ddd5e801f88a77fa97f4bc8d5abfd,Tests_passed,e3342bab50df0fbaef4dcf1308bfc01ee0bd08c24b781863888cd4b88b1600e1,Tests_passed,1fb29d81433502e84083c6fe908798914bdb26b24c8980384e2e7b3b24a85947,Merge_failed,e3342bab50df0fbaef4dcf1308bfc01ee0bd08c24b781863888cd4b88b1600e1
