idx,repository,head hash
1832,jparsec/jparsec,747e9913b1cf03da04b302708a4cf3022bfc1728
2178,swagger-api/swagger-parser,6cbc377ad5e9083e6da15cbc63f34d7523c53657
14385,camunda/camunda-archetypes,c1a080a9cc172029de11bcf442c8506aef794bab
15682,openpnp/openpnp,460d8aa4bbfa2a59af1afd2c6e03487d4ba63406
22713,gatein/gatein-api-java,c57c4614ac2f41ffcc015a3763245c29125c1904
23268,sonarcommunity/sonar-php,e1836b92bbd06d675c3c26f7fccc7662cd62084f
23485,webbit/webbit,5403edae6373ea4ff47cfccda0d61135e77db5b4
23581,nysenate/openlegislation,8c91e1f7da3f0fc357555668b0fd89c09387d3d5
26522,fasterxml/jackson-core,9a47d6dfadd4b1da40b556894d3f16710ae25178
26987,zxing/zxing,b777f31274f9eed9b388df8edc633e3c1161aa51
