idx,repository,head hash
6728,salyh/elasticsearch-river-imap,5f0503524666b372e0acf0675628e5544e0b4d98
4653,graphaware/neo4j-noderank,daeeac0e1dedfc5d8e5d905371fd86a260f5cf80
22713,gatein/gatein-api-java,c57c4614ac2f41ffcc015a3763245c29125c1904
15706,elisarver/selophane,989eba4b025ead32b56c6b6f424b6f39830d68e1
2318,aws/aws-cloudtrail-processing-library,9e03e4384742b5915c0da60b552d4c53252187fe
26165,spullara/java-future-jdk8,5925719802af19ccc6602651fc243b2ff3726b4b
23485,webbit/webbit,5403edae6373ea4ff47cfccda0d61135e77db5b4
19245,nabeelmukhtar/github-java-sdk,9921e8322649f8820e8b371b8e578779981d419f
2947,danielnorberg/auto-matter,abfa8b530302606ff9de14446ac3baa05752eccc
38641,pagehelper/mybatis-pagehelper,30dd0f31e05513f5c6782c241ad10d8e17bf2391
14385,camunda/camunda-archetypes,c289ba1ead31341a20865c5f84f152d8216ab849
26886,greese/dasein-cloud-core,fa0f02f66269ea1ae7beb84435825bb70449e32a
24591,technophobia/substeps-core,ba3d06035286be19dcaa536f08ad6b029bc955e8
15550,apache/maven-plugin-tools,e746d9cc35cb03c03c61101d2b11f8247e6dcc82
1832,jparsec/jparsec,747e9913b1cf03da04b302708a4cf3022bfc1728
5281,google/guice,1561d4a52c40304a964439d7472db677b99b0849
24506,skyscreamer/yoga,d98f6b0b2b60ff195cc6878ed54e515e639bc9da
24779,apache/commons-math,ffcdf39f8fa7ccd19c5c21a73fccb90c753592cd
17939,datastax/java-driver,1492d6ced9d54bdd68deb043a0bfe232eaa2a8fc
2178,swagger-api/swagger-parser,361d7f3461611193e5bd2564db160cf3bb467eea
24583,jenkinsci/backend-update-center2,509541ddc36b3e681a7a17256ef587b100d7c34d
1690,apache/metamodel,bf0190ca7795534e310469941ad6c5ecf69ccb51
34607,jgrapht/jgrapht,6324b1354547505d5b62f65a9bf507b54b04e41a
15682,openpnp/openpnp,5dd12c73972c74a5f3fa1810fc9167ce4919cec4
44055,xuxueli/xxl-job,1af1e82f0e54ff1700abb0b6ffb780dc7349e9ca
26755,twilio/twilio-java,4f46e707d6931c50888c26b2dbd3c4452ea076e1
26987,zxing/zxing,2326dd4ff3adb9cd7ecd0d2937e37b4babe0a1fe
