idx,branch_name,merge,left,right,notes,diff_contains_java_file,diff_size,test merge,sampled for testing,left_tree_fingerprint,right_tree_fingerprint,left parent test result,left parent test coverage,right parent test result,right parent test coverage,parents pass,gitmerge_ort,gitmerge_ort_merge_fingerprint,gitmerge_ort_adjacent,gitmerge_ort_adjacent_merge_fingerprint,gitmerge_ort_ignorespace,gitmerge_ort_ignorespace_merge_fingerprint,gitmerge_ort_imports,gitmerge_ort_imports_merge_fingerprint,gitmerge_ort_imports_ignorespace,gitmerge_ort_imports_ignorespace_merge_fingerprint,gitmerge_resolve,gitmerge_resolve_merge_fingerprint,gitmerge_recursive_histogram,gitmerge_recursive_histogram_merge_fingerprint,gitmerge_recursive_ignorespace,gitmerge_recursive_ignorespace_merge_fingerprint,gitmerge_recursive_minimal,gitmerge_recursive_minimal_merge_fingerprint,gitmerge_recursive_myers,gitmerge_recursive_myers_merge_fingerprint,gitmerge_recursive_patience,gitmerge_recursive_patience_merge_fingerprint,git_hires_merge,git_hires_merge_merge_fingerprint,spork,spork_merge_fingerprint,intellimerge,intellimerge_merge_fingerprint
195,refs/heads/master,772414d57e1f47a57c55a266dcc793870578c0af,646b333d4ce0879fbc50275a21d0de6da39cabc1,5b403e334a29da8875602caf04b67bdbe83f705b,,True,1486,True,True,279218075777778880a86b49319a3893f61391d2c9fed833f041744245456dcc,1f8752b3852047323b5727eaf3ff290b722eecb18bf1dee803d11cbe796cca24,Tests_passed,0.0,Tests_passed,0.0,True,Merge_failed,,Tests_passed,279218075777778880a86b49319a3893f61391d2c9fed833f041744245456dcc,Merge_failed,,Tests_passed,279218075777778880a86b49319a3893f61391d2c9fed833f041744245456dcc,Tests_passed,279218075777778880a86b49319a3893f61391d2c9fed833f041744245456dcc,Merge_failed,,Merge_failed,,Merge_failed,,Merge_failed,,Merge_failed,,Merge_failed,,Merge_failed,,Merge_failed,,Tests_failed,72f424647e2c3fc329a8b5838368af2e7b25644014ef1505038b2058e52cfbcd
210,refs/heads/master,8ba4f11d1f8f9f83117e03d32f2503113b914d57,ee0a5369ac6148b9190cb983aea5a4d13eabf12b,3c2553f2856cb9f4114d08b175106ca1815ef58e,,True,126,True,True,00797e049282c4b26550c20d45a548d864bd7344238b51cffe1c435ca5802b5c,8f3feaf550c63183db42a2b1f3300f66ec633334916c4653662457ba761a80ec,Tests_passed,0.0,Tests_passed,0.0,True,Tests_passed,e4463b82be350e8d5dfc33020ad9f2f98bd0cdedf8b21e167df4a3ce24054372,Tests_passed,e4463b82be350e8d5dfc33020ad9f2f98bd0cdedf8b21e167df4a3ce24054372,Tests_passed,e4463b82be350e8d5dfc33020ad9f2f98bd0cdedf8b21e167df4a3ce24054372,Tests_passed,e4463b82be350e8d5dfc33020ad9f2f98bd0cdedf8b21e167df4a3ce24054372,Tests_passed,e4463b82be350e8d5dfc33020ad9f2f98bd0cdedf8b21e167df4a3ce24054372,Tests_passed,e4463b82be350e8d5dfc33020ad9f2f98bd0cdedf8b21e167df4a3ce24054372,Tests_passed,e4463b82be350e8d5dfc33020ad9f2f98bd0cdedf8b21e167df4a3ce24054372,Tests_passed,e4463b82be350e8d5dfc33020ad9f2f98bd0cdedf8b21e167df4a3ce24054372,Tests_passed,e4463b82be350e8d5dfc33020ad9f2f98bd0cdedf8b21e167df4a3ce24054372,Tests_passed,e4463b82be350e8d5dfc33020ad9f2f98bd0cdedf8b21e167df4a3ce24054372,Tests_passed,e4463b82be350e8d5dfc33020ad9f2f98bd0cdedf8b21e167df4a3ce24054372,Tests_passed,e4463b82be350e8d5dfc33020ad9f2f98bd0cdedf8b21e167df4a3ce24054372,Tests_passed,e4463b82be350e8d5dfc33020ad9f2f98bd0cdedf8b21e167df4a3ce24054372,Tests_passed,e4463b82be350e8d5dfc33020ad9f2f98bd0cdedf8b21e167df4a3ce24054372
286,refs/heads/master,f72ca566c2399fec0c4f8116f2bf297182381cfc,439ccf4d754fdf33aa7fba193e844acf240282b5,02a298196f5454b74d6c4564e951dc72c52fbea8,,True,173,True,True,7e642c8f5da3ba434d9df7f93d15253a189d1f8ae408abb18c7045bbc12b4304,e286504bea3f06740bb80f77547519ca755dfef6383aa92c68af54ec328c75df,Tests_passed,0.0,Tests_passed,0.0,True,Tests_passed,3a77927c04a3441790c9e1cebd2ddad39779f57ad034d912ee82825558611bc3,Tests_passed,3a77927c04a3441790c9e1cebd2ddad39779f57ad034d912ee82825558611bc3,Tests_passed,3a77927c04a3441790c9e1cebd2ddad39779f57ad034d912ee82825558611bc3,Tests_passed,3a77927c04a3441790c9e1cebd2ddad39779f57ad034d912ee82825558611bc3,Tests_passed,3a77927c04a3441790c9e1cebd2ddad39779f57ad034d912ee82825558611bc3,Tests_passed,3a77927c04a3441790c9e1cebd2ddad39779f57ad034d912ee82825558611bc3,Tests_passed,3a77927c04a3441790c9e1cebd2ddad39779f57ad034d912ee82825558611bc3,Tests_passed,3a77927c04a3441790c9e1cebd2ddad39779f57ad034d912ee82825558611bc3,Tests_passed,3a77927c04a3441790c9e1cebd2ddad39779f57ad034d912ee82825558611bc3,Tests_passed,3a77927c04a3441790c9e1cebd2ddad39779f57ad034d912ee82825558611bc3,Tests_passed,3a77927c04a3441790c9e1cebd2ddad39779f57ad034d912ee82825558611bc3,Tests_passed,3a77927c04a3441790c9e1cebd2ddad39779f57ad034d912ee82825558611bc3,Tests_passed,3a77927c04a3441790c9e1cebd2ddad39779f57ad034d912ee82825558611bc3,Tests_passed,3a77927c04a3441790c9e1cebd2ddad39779f57ad034d912ee82825558611bc3
317,refs/remotes/origin/0.8,222d932c135a3c7d7578cb4e5e487987127a99c9,99cdf7b144edae4ffbf6cc986bcff280dcce8a0c,d4c5beec3da86565bf3a7299282d3e2533235a17,,True,39,True,True,c7647fc7ad0293ae1a2fed8eda5ebc5f9b84865b14d4c8447db575a88daea9c5,f22ee4f53f7a637e5bebbf4b3ff0b0e8ff14416ab8de7c22b0390659447ac969,Tests_passed,0.0,Tests_passed,0.0,True,Tests_passed,6c45ed6430c1547681bee808fcb3586a38513f1a94c90d84ad8a8edef5b7a199,Tests_passed,6c45ed6430c1547681bee808fcb3586a38513f1a94c90d84ad8a8edef5b7a199,Tests_passed,6c45ed6430c1547681bee808fcb3586a38513f1a94c90d84ad8a8edef5b7a199,Tests_passed,6c45ed6430c1547681bee808fcb3586a38513f1a94c90d84ad8a8edef5b7a199,Tests_passed,6c45ed6430c1547681bee808fcb3586a38513f1a94c90d84ad8a8edef5b7a199,Tests_passed,6c45ed6430c1547681bee808fcb3586a38513f1a94c90d84ad8a8edef5b7a199,Tests_passed,6c45ed6430c1547681bee808fcb3586a38513f1a94c90d84ad8a8edef5b7a199,Tests_passed,6c45ed6430c1547681bee808fcb3586a38513f1a94c90d84ad8a8edef5b7a199,Tests_passed,6c45ed6430c1547681bee808fcb3586a38513f1a94c90d84ad8a8edef5b7a199,Tests_passed,6c45ed6430c1547681bee808fcb3586a38513f1a94c90d84ad8a8edef5b7a199,Tests_passed,6c45ed6430c1547681bee808fcb3586a38513f1a94c90d84ad8a8edef5b7a199,Tests_passed,6c45ed6430c1547681bee808fcb3586a38513f1a94c90d84ad8a8edef5b7a199,Tests_passed,6c45ed6430c1547681bee808fcb3586a38513f1a94c90d84ad8a8edef5b7a199,Tests_passed,6c45ed6430c1547681bee808fcb3586a38513f1a94c90d84ad8a8edef5b7a199
351,refs/remotes/origin/conditional_access,38ff9cf6f14631cc887fb43cdcf8db860bd1e303,1e1655ab2beb0ed4239008e4639e9a8d5252f627,532409f681175b19eb58fa713a23763d2136c533,,True,453,True,True,4cb10b5f5a98cacda128d3964a234ee400b6f98985c34e5e87b7ea96eeaec47d,6ee463d0c17abfeacd76dd8fff338281500e6973cdbac97795579ea57ca70d8e,Tests_passed,0.0,Tests_passed,0.0,True,Merge_failed,,Tests_passed,4cb10b5f5a98cacda128d3964a234ee400b6f98985c34e5e87b7ea96eeaec47d,Merge_failed,,Tests_passed,4cb10b5f5a98cacda128d3964a234ee400b6f98985c34e5e87b7ea96eeaec47d,Tests_passed,4cb10b5f5a98cacda128d3964a234ee400b6f98985c34e5e87b7ea96eeaec47d,Merge_failed,,Merge_failed,,Merge_failed,,Merge_failed,,Merge_failed,,Merge_failed,,Merge_failed,,Merge_failed,,Tests_failed,f007474f192da0d8c61f9e64c211616faf7644ea92d6847fe1a4beef300f9e75
368,refs/remotes/origin/default_legal_speeds,b983d865e1b68fae9d6d8914aaa8d6d8edf71374,f5122ffd4e46ac2ca56a29815508710b3e726f07,6df9908159bbedf3deba0ced7a39a3fc7c854b38,,True,1222,True,True,6ac9cfadb2d8111c656e0018a6db65daa5950b3eaa3c9c7bff8c348ffd153c67,8f67fed3822e8a4d62ade2ff9de84484df7d37ebee13b24a4f1a0bf1094c19e0,Tests_passed,0.0,Tests_passed,0.0,True,Tests_failed,f8e6e56667faf3ca94818e5d1bc0573aa809848c31eaa9eb355e343cde1485ea,Tests_failed,f8e6e56667faf3ca94818e5d1bc0573aa809848c31eaa9eb355e343cde1485ea,Tests_failed,f8e6e56667faf3ca94818e5d1bc0573aa809848c31eaa9eb355e343cde1485ea,Tests_failed,f8e6e56667faf3ca94818e5d1bc0573aa809848c31eaa9eb355e343cde1485ea,Tests_failed,f8e6e56667faf3ca94818e5d1bc0573aa809848c31eaa9eb355e343cde1485ea,Tests_failed,f8e6e56667faf3ca94818e5d1bc0573aa809848c31eaa9eb355e343cde1485ea,Tests_failed,f8e6e56667faf3ca94818e5d1bc0573aa809848c31eaa9eb355e343cde1485ea,Tests_failed,f8e6e56667faf3ca94818e5d1bc0573aa809848c31eaa9eb355e343cde1485ea,Tests_failed,f8e6e56667faf3ca94818e5d1bc0573aa809848c31eaa9eb355e343cde1485ea,Tests_failed,f8e6e56667faf3ca94818e5d1bc0573aa809848c31eaa9eb355e343cde1485ea,Tests_failed,f8e6e56667faf3ca94818e5d1bc0573aa809848c31eaa9eb355e343cde1485ea,Tests_failed,f8e6e56667faf3ca94818e5d1bc0573aa809848c31eaa9eb355e343cde1485ea,Tests_failed,f8e6e56667faf3ca94818e5d1bc0573aa809848c31eaa9eb355e343cde1485ea,Tests_failed,f8e6e56667faf3ca94818e5d1bc0573aa809848c31eaa9eb355e343cde1485ea
375,refs/remotes/origin/flex_vehicleprofile,582aa8c3bcb0543704d52c0f9b49e99c513553fd,d6b944117aed1b01ffd37160b28f835a09acde77,c6f1c2cd9bad34831bc15c69653a3dbf61bc6ac1,,True,2654,True,True,9b7a85669d8f42970ed45a58b9e81afd63790299b86b72a8eedbe7c554a72223,67ba6c7c6d27a23ed2792704e17cc891144924bfa2190c6ce303c69035555f9b,Tests_passed,0.0,Tests_passed,0.0,True,Tests_passed,9b7a85669d8f42970ed45a58b9e81afd63790299b86b72a8eedbe7c554a72223,Tests_passed,9b7a85669d8f42970ed45a58b9e81afd63790299b86b72a8eedbe7c554a72223,Tests_passed,9b7a85669d8f42970ed45a58b9e81afd63790299b86b72a8eedbe7c554a72223,Tests_passed,9b7a85669d8f42970ed45a58b9e81afd63790299b86b72a8eedbe7c554a72223,Tests_passed,9b7a85669d8f42970ed45a58b9e81afd63790299b86b72a8eedbe7c554a72223,Tests_passed,9b7a85669d8f42970ed45a58b9e81afd63790299b86b72a8eedbe7c554a72223,Tests_passed,9b7a85669d8f42970ed45a58b9e81afd63790299b86b72a8eedbe7c554a72223,Tests_passed,9b7a85669d8f42970ed45a58b9e81afd63790299b86b72a8eedbe7c554a72223,Tests_passed,9b7a85669d8f42970ed45a58b9e81afd63790299b86b72a8eedbe7c554a72223,Tests_passed,9b7a85669d8f42970ed45a58b9e81afd63790299b86b72a8eedbe7c554a72223,Tests_passed,9b7a85669d8f42970ed45a58b9e81afd63790299b86b72a8eedbe7c554a72223,Tests_passed,9b7a85669d8f42970ed45a58b9e81afd63790299b86b72a8eedbe7c554a72223,Tests_passed,9b7a85669d8f42970ed45a58b9e81afd63790299b86b72a8eedbe7c554a72223,Tests_failed,9ba5ac855c9f52b63b540968c6484fa8b41bfd01b64e2a0ae3695f1e8b4b309d
388,refs/remotes/origin/intsref_refactoring,b211a79a89f86d1d4ddb09f94085055a802b2c51,c0ced26204db602c94723fa36806b491e1e5c738,26e517ca808edcf65979168b2a50ae999d2707c3,,True,2846,True,True,cacdc85db3671439a10e4ed7f0f17d4b742464925ca94d1152ed4941a059ea11,ba7252c9e628ea703f664f58d76780c949cad102b7edd93ba42f9bf59fe4e2ba,Tests_passed,0.0,Tests_passed,0.0,True,Tests_passed,e8a3ee98c63044d61bef1b68a7f92bf9dd0071b8eeee18bf5957ff3a0eb361ec,Tests_passed,e8a3ee98c63044d61bef1b68a7f92bf9dd0071b8eeee18bf5957ff3a0eb361ec,Tests_passed,e8a3ee98c63044d61bef1b68a7f92bf9dd0071b8eeee18bf5957ff3a0eb361ec,Tests_passed,e8a3ee98c63044d61bef1b68a7f92bf9dd0071b8eeee18bf5957ff3a0eb361ec,Tests_passed,e8a3ee98c63044d61bef1b68a7f92bf9dd0071b8eeee18bf5957ff3a0eb361ec,Tests_passed,e8a3ee98c63044d61bef1b68a7f92bf9dd0071b8eeee18bf5957ff3a0eb361ec,Tests_passed,e8a3ee98c63044d61bef1b68a7f92bf9dd0071b8eeee18bf5957ff3a0eb361ec,Tests_passed,e8a3ee98c63044d61bef1b68a7f92bf9dd0071b8eeee18bf5957ff3a0eb361ec,Tests_passed,e8a3ee98c63044d61bef1b68a7f92bf9dd0071b8eeee18bf5957ff3a0eb361ec,Tests_passed,e8a3ee98c63044d61bef1b68a7f92bf9dd0071b8eeee18bf5957ff3a0eb361ec,Tests_passed,e8a3ee98c63044d61bef1b68a7f92bf9dd0071b8eeee18bf5957ff3a0eb361ec,Tests_passed,e8a3ee98c63044d61bef1b68a7f92bf9dd0071b8eeee18bf5957ff3a0eb361ec,Tests_passed,e8a3ee98c63044d61bef1b68a7f92bf9dd0071b8eeee18bf5957ff3a0eb361ec,Tests_passed,e8a3ee98c63044d61bef1b68a7f92bf9dd0071b8eeee18bf5957ff3a0eb361ec
417,refs/remotes/origin/issue_1551,9ccf1f2e0073792837125e56263b9290aea803cc,d0f409f1454795019b67456f886da1be004cb5c4,73c17901bf04c6b8e524d9c500aa917e1504f794,,True,790,True,True,d7f077c5b90262e1ea6f7a55a7939c29425b846967db9de6dea2deab8477ecf1,67ea8536127e77db06b68ed8ca01fed9de65e7dca20834c471de6ceda7455704,Tests_passed,0.0,Tests_passed,0.0,True,Tests_passed,45bcba91523f968a562a6523672aab0c583dc567edcc8a9b58b06792227b38a6,Tests_passed,45bcba91523f968a562a6523672aab0c583dc567edcc8a9b58b06792227b38a6,Tests_passed,45bcba91523f968a562a6523672aab0c583dc567edcc8a9b58b06792227b38a6,Tests_passed,45bcba91523f968a562a6523672aab0c583dc567edcc8a9b58b06792227b38a6,Tests_passed,45bcba91523f968a562a6523672aab0c583dc567edcc8a9b58b06792227b38a6,Tests_passed,45bcba91523f968a562a6523672aab0c583dc567edcc8a9b58b06792227b38a6,Tests_passed,45bcba91523f968a562a6523672aab0c583dc567edcc8a9b58b06792227b38a6,Tests_passed,45bcba91523f968a562a6523672aab0c583dc567edcc8a9b58b06792227b38a6,Tests_passed,45bcba91523f968a562a6523672aab0c583dc567edcc8a9b58b06792227b38a6,Tests_passed,45bcba91523f968a562a6523672aab0c583dc567edcc8a9b58b06792227b38a6,Tests_passed,45bcba91523f968a562a6523672aab0c583dc567edcc8a9b58b06792227b38a6,Tests_passed,45bcba91523f968a562a6523672aab0c583dc567edcc8a9b58b06792227b38a6,Tests_passed,45bcba91523f968a562a6523672aab0c583dc567edcc8a9b58b06792227b38a6,Tests_passed,45bcba91523f968a562a6523672aab0c583dc567edcc8a9b58b06792227b38a6
420,refs/remotes/origin/issue_1776_new_formula,a794b155a82df7d7eb43722e7d1e19cf56dc2488,878931ff448fccad4cfdc55412c9e733092159ad,f1738189fc69968de5ac58a4281e94422c43b25d,,True,179,True,True,0c5055ddb063e786966751125af9b90e4bbcc56782acb34f1339acaed7fa2d4f,e8e87e404c215d2ca2c036e00d146274e37a9d4e6895e474476d515c235ad2fc,Tests_passed,0.0,Tests_passed,0.0,True,Merge_failed,,Tests_passed,0c5055ddb063e786966751125af9b90e4bbcc56782acb34f1339acaed7fa2d4f,Merge_failed,,Tests_passed,0c5055ddb063e786966751125af9b90e4bbcc56782acb34f1339acaed7fa2d4f,Tests_passed,0c5055ddb063e786966751125af9b90e4bbcc56782acb34f1339acaed7fa2d4f,Merge_failed,,Merge_failed,,Merge_failed,,Merge_failed,,Merge_failed,,Merge_failed,,Merge_failed,,Merge_failed,,Tests_failed,7326b70ee3058be140731d36f9bc6d676ab0e4881eba625bb97312e11b0116a5
