idx,branch_name,merge,left,right,notes,diff_contains_java_file,diff_size,left parent test coverage,left parent test result,left_tree_fingerprint,parents pass,right parent test coverage,right parent test result,right_tree_fingerprint,test merge,sampled for testing
2,refs/heads/master,3663d1f9b9b4ce383e59dd081cd92b40c36047f5,4a3790363ea9a5e7cd6c1099511ac2ea65e258c2,57352e02c0c9d0289b40c4d08a7cfaeb4151e50b,,False,15,0,Tests_passed,6ba5a4f7a60da554e888bc7bd5a1488daed2eb64e7acb5a87766b71f8d9fe963,True,0,Tests_passed,9ad6c3e56c16953b9e877d13afbce52ae1bed46dae00dacbdebe2097e7cdd03b,False,False
6,refs/heads/master,b7324372f050116584267f8d3b14da65d67e74e9,4d29337d5e240051ca530e49b7c85c425ef490ec,0a7301608cc377bc36922ae25f352ad7aab2cc05,,True,168,0,Tests_passed,1471a3157ec98d83fe69633e621bd309761d39e4ad7ed94e6bd4801e15e51f48,True,0,Tests_passed,32b5269124bbbb956ad0dad71826e168a13abfe1b8fae3c74d0f3c0def5aee8a,True,True
7,refs/heads/master,a4b5c8f151d9a78eb1c1ee6a24c92cd286b6d3dd,12245ffb02e8f314f8196d00c2aab55216639be7,c8783e0007d4cfebd24d893181d8266bc3507390,,True,289,0,Tests_passed,46c56e5686f661ae19af2c94759a5ab685510fee179fb75cc45e2e77bd2e7fd5,True,0,Tests_passed,05ce9acd97e3382e5db61a622c9055e13b40a680dc96e2e6916c4a4e9dc91d5d,True,True
8,refs/heads/master,b0f4cf188747768da5f1e4b2635d7066a2a163c1,65455bcdb996b7eeb4246cc1cbdb03c4fe66726a,2e871c406c6c186f41b4385771418ad37eae0bb8,,True,6,0,Tests_passed,c296e0d9629d0b1a27575594c1be2c2cd24df1206250cad24418cee3d1d4599d,True,0,Tests_passed,de61a157ce59afa9fa701fb7c437084d97a641ad8f39d74b6986bda8a911e871,True,True
9,refs/heads/master,8d5ac4616bd999415129ed1bb1b8e179ca418a26,cd08db8fe7fb9e408c961232d6e8b38870e48f43,deccd5f7aa0bbec9ff4ef2b1e7bab4dae0bd7495,,False,15,0,Tests_passed,440140755982b16d14ed42b32ca3b5db2fc359e2b7b4d322d5fbb5ec2d058986,False,0,Tests_failed,edf657ddaa9613e576bbba12b3b00565d1a720b197671448f13bcc2dc2a4299f,False,False
10,refs/heads/master,e6ba1fb61fa853d40c436aa2f3f5e223de906d5f,9d1dadc6752b803ee3a84568453bd5662491cd2d,fcae6d7837c23e6caf4a0f9edacdb7035dfed694,,False,19,0,Tests_failed,f1a158defbbc37ff31d6935b8e3743b9d5914c44107c61f5b2218cc98578935c,False,0,Tests_failed,823b58b37967ef7b6d1d5ca6518463c5b1015e65b236a494731fe72e2ea9a66d,False,False
12,refs/heads/master,bc6cb8590f1a85b8a2da6522fb0b798fa171ef58,aec21da895bf30ecfdbc84d3675f502f28d20cb5,097033d374a18832a14c0670111dd7dbbc5f58e8,,True,17,0,Tests_failed,2c7eb8c46d819e3f44ce1f6500a175bf998d008d0200764ea18afc1345622694,False,0,Tests_failed,6ae26159485d653b92cfd9c6ee44368c88a273b309fcc077a1080e9bb508572d,False,False
13,refs/heads/master,a153681de35316848061635d59f5c2de3909652e,53a013b2b4c629806dfdde3d7c1053eea2a9303c,b27da11b4cff7b903ae06ebecf4e5d74afda5547,,True,206,0,Tests_failed,d430cf6dbf35af1680f178f6e6551aaa378bd082cacc3dd1fcc766b09698534f,False,0,Tests_failed,b70d981a10cfa6bedb2ffe135504d0cc73a47c11469cb223f5d95e906dc8fc87,False,False
14,refs/heads/master,403ea8269b107948cdb02d3dfe3022a813e34c62,30829124b1408b6df5de69ce485de88d44996918,24bac0b4456e7b917c0fafb9299f6bfb2b5f5fdf,,False,5,0,Tests_failed,22b435a7ba63016fd47d042c1a66a21ba8a91218e2b975db5fa7de64b7340629,False,0,Tests_failed,fe74a822c5ab4ebaa3b8e73d701d5e450a79750c06aa01e4e664910f415331ea,False,False
15,refs/heads/master,bff7ac5abd49efb3c126d540963ca855ea7a8351,64343ff3b2889e491328e4ef99ae6095cfe32965,bd855d67855ca6cfbf0e2f5248836c6ad2dc8c52,,True,14,0,Tests_failed,d219addfd6b35dac592997675dbc5a4d9f65b04f72275bb0f7739c2ea49ddef2,False,0,Tests_failed,488d2ca22b0c6f1489f68031395c167d3e8c53b872be5b5439271c9b3b57ea75,False,False
