idx,branch_name,merge,left,right,notes,diff contains java file,imports_involved,non_java_involved,num_diff_files,num_diff_hunks,num_diff_lines,num_intersecting_files,test merge,union_diff_files,left parent test result,left_tree_fingerprint,parents pass,right parent test result,right_tree_fingerprint,sampled for testing
2,refs/heads/main,f9816050401ceaf9875554e8ade757c8fcf12741,924aad53714e321408bb57279e173db33e998135,9f77fade75f62d6fc993a11298e69e45f05102ea,,True,True,True,9,31,163,2,False,9,Tests_failed,d19adccaa744eebc383d54a67485239966dae3c57fd822207a78e8b6b8b82abb,False,Tests_passed,df4d484c21e8f3fae1adbebd045db9c6c247fe7e26b4e95be0db7665f1d36e59,False
13,refs/heads/main,b2acf6ac116928db3bf7bc1da4e2011998fd3dbd,aed1b468b4c91274421ac2ffc88086587df7ee2c,b2c63ec490942384eec49f007b358c5045329f80,,False,False,True,4,16,163,1,False,4,,,,,,False
