idx,branch_name,merge,left,right,notes,test merge,diff contains java file,sampled for testing
7,refs/heads/master,7c7835f0c59b8a13a48b3f0427f9810b233dee8e,7c93167330c9393b080cc03ca29eaae914031fed,0f737b907134310e0c6101792dd944d07701fb52,,False,False,False
8,refs/heads/master,0f737b907134310e0c6101792dd944d07701fb52,73bec03d86e5ff1f1363b43f0fb8ff5101a0041b,8533e6055a09d477e32775dad6150801d7f1de87,,False,False,False
13,refs/heads/master,d879117beef98d153eecbab973019f092f64e19b,c80b050f1ab7ee03e7f0ab5fe8e699fb5072f4ef,33341fa7291767e1d36ef9309b9583b4f3a432eb,,False,False,False
15,refs/heads/master,b9b84284441dc875be5d6b92626f8ce1e178b42f,480743560c53e4e787cec16476be17299b485ff3,f3513147f529e090e3a5af84f8dbac756e5bf588,,False,False,False
16,refs/heads/master,480743560c53e4e787cec16476be17299b485ff3,d0ace24e3e8380b0d7af055fbafb7ea9db4eb8ef,2b332cb3e04354e9c7065063151d6d0f5abe48a0,,False,False,False
32,refs/heads/master,4ed25a9acd2a9f7c6ed265eb1b8817551777d34c,da026f41ede1dbf64274a5955031997a157f179c,a4484f61b249c2af5f3c1c4a4d936184b0fbb390,,False,False,False
40,refs/heads/master,c689b996bb2621a23462a95f73d21aca59bc6e05,3ce2329985ea7e91762b0ede46bf8096bc604e7a,9fe3155401ffba153c280ac9f297d67ad599def1,,False,False,False
45,refs/heads/master,d139e9fc9e5bb4dede5c1680234ab5fa2c53c50b,951f4c22c2e33da20ff969822dc16fcf88599b53,cc82193f30a507f68edff5e8213e7d8f8b23f20f,,False,False,False
46,refs/heads/master,cc82193f30a507f68edff5e8213e7d8f8b23f20f,11b2382176ffc17210616d9b3b365bb142f5d988,97020e8c01c59750d774cb7911be2ee341664cd0,,False,False,False
47,refs/heads/master,11b2382176ffc17210616d9b3b365bb142f5d988,09a197d7185e2621b0b7f8b418008a886a966757,13066879ad50d9df35b41c6a7d5c8a3d63c26be8,,False,False,False
48,refs/heads/master,09a197d7185e2621b0b7f8b418008a886a966757,3d0ffd24cbec8e955b49d2b5a3348f980a6d8540,e0f7dd66e7a032b3cc2cf3afc5226b4587aad720,,False,False,False
50,refs/heads/master,fb853244d6729ec38850f2dfca90da5c7b53c6dd,3e88d5eeef2875eb2ddabb389f37d6ad4f524a71,a9204c9e4ec9fc3bce4e3b30a667e7721ea2fb5f,two initial commits,False,False,False
