idx,branch_name,merge,left,right,notes,union_diff_files,num_intersecting_files,num_diff_lines,num_diff_hunks,diff contains java file,imports_involved,non_java_involved,num_diff_files,test merge,sampled for testing
3,refs/heads/master,ddd310e2d56f655391c6d6c41f4017a4509abe97,9f541fa990f0a79b1c43219c641cbef68fb0a496,291bfa744c7fbbe37f79580be438fc463543df50,,2,0,1.0,1,False,False,True,2,False,False
5,refs/heads/master,72551b10bde6a67ad7a2370ce43b6b7d19586a95,47d0485cf48e1e6c8d9edd8a4da959ed71f34f1b,5b917eed3386b566643f294e9d4e60a646c9d9da,,54,1,2935.0,129,False,True,True,54,False,False
6,refs/heads/master,8e7c1d54ecdf46597c12d014f612d177ccdbd880,c483107eb597c6e6b30b35d8be61caf3c39fd772,f63e5f2937aa350755053700f41e9ba8398661f7,,49,1,2793.0,94,False,True,True,49,False,False
8,refs/heads/master,63f7f6dc73d3ea786099e71b50f230bb5de15463,c261ff6bd3a432eb06b707c2290330071f03faab,7f1cd08aa124b9f3d2b94fab76e9d8ebd6b59000,,3,1,177.0,22,False,False,True,3,False,False
9,refs/heads/master,db5708fd4199d5b65d831881f616720fa81aa5ab,4a9d03054bd420fc7c426e2653400cc6af137d0e,d613c2dca06aa2e278ed3287ee040d89711e6322,,8,1,18.0,9,False,False,True,8,False,False
12,refs/heads/master,a37e7887866959d075c32cda258cadb04094d333,26cd0e64b484659d50d4456e26443eda20097647,d2b26db62a6829e07c2aefd58227addab59dd847,,7,2,64.0,12,False,True,True,7,False,False
13,refs/heads/master,e5fc7f576bcc7e09c681ce0c735f704080891ece,b39337d559fd765840faf22a3c46ebc16d756a0a,2792c8819d1303e5e611214d5a13fd26895182f2,,11,1,88.0,38,False,True,True,11,False,False
14,refs/heads/master,274a5465a90024bce8dc60986c6ac9ef763e3069,73bbebabcc7476818a0ee2932962e5147573b1c7,6f0023a334bcfe67360101556a2d1509275f4f3f,,14,4,238.0,44,False,True,True,14,False,False
15,refs/heads/master,89f28a4db632c097c95e6b8d80f1820eaf908348,1710b1e8310dd88549b04ce960b630f41857f3ec,1432c0bb15162a8b15b73d908f43d6f2e5b54c90,,92,1,,138,False,,True,92,False,False
16,refs/heads/master,ed17bea0ebcf3fd232c262851ee3011e90ecee00,41f53e248a8f19ecebcac3262aed3e3be3689067,e6f4a45ec830f656e664e71aa2b75f2867a2e7a6,,3,1,30.0,6,False,False,True,3,False,False
17,refs/heads/master,aa2fa1cace4666fe2d7bdc08c7d8db268358ee92,9be74043f680f296e13ef56fa0eee60df1328667,6e735206be77aa1bcdb6e80a0094a433d79d6406,,4,1,21.0,4,False,False,True,4,False,False
18,refs/heads/master,e3481e21a690ee5e3b87c9f62f8db8769655cad6,1725ccc1bf580c3b6868b32700b27950e2d2aed9,c38eee638e7d5b692bd6233410b5de14d3ce23d6,,75,1,5491.0,52,False,True,True,75,False,False
