idx,branch_name,merge,left,right,notes,diff contains java file,imports_involved,non_java_involved,num_diff_files,num_diff_lines,test merge,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,sampled for testing
1,refs/heads/master,3087b1070b48d9ac3c8e3d0a646979888b3afb8b,2ad6771c93204547c2d882ec87a595883cd22179,3db796be322b8025bcfc5defaceb4729f3840537,,False,True,True,70,908,False,,,,,,False
3,refs/heads/master,f6ce863b205fdce023b911fada268d4147ac804a,9c48104feadd1c34cac2a2fcd6d497868b0a917e,65127ceb0ea07bf299f3edd9c928e3bdd9c5b523,,False,True,True,51,390,False,,,,,,False
4,refs/heads/master,9c48104feadd1c34cac2a2fcd6d497868b0a917e,f8053dcc9efed580eec703b79caa2b0c819f0e98,6978b9956021cb7c82eace05ba5ce02b74191154,,False,True,True,46,298,False,,,,,,False
7,refs/heads/master,4a6a75d53d845e633d9160bedd3f6a9bec94317c,25b13a2a554d9e9a57756586a518b1785433af26,65968636bf59b4e4d84ff7c2129a731977f12dce,,False,True,True,14,179,False,,,,,,False
11,refs/heads/master,66c07fbdf65fe34bd50bfbe5f1ee62297fb3551d,6f3da24a178a82a0f58cddc747026efc11ed5ffb,5193e251fdde91595727b9141428bad6c37741e6,,False,False,True,15,76,False,,,,,,False
12,refs/heads/master,ff609391efb4c3ac4e7b7282a6db39102d26717e,d1898afe6fdc546dc9ab4ecc6a02ca4c1dfd7a3d,feae943dd8a04aad899dec1f87d54aea262c4402,,False,True,True,18,148,False,,,,,,False
16,refs/heads/master,db60d57bf158be7ed5563fa2d3137e8cecee3f97,c8f2fb6ac093260d28d9069c186c1d804583a7da,b4a1a3d96d426d905b3e8d69e94aaeae37affc4f,,False,False,True,5,10,False,,,,,,False
17,refs/heads/master,c8f2fb6ac093260d28d9069c186c1d804583a7da,a0de51548a387b3f39e10935cf4a5183b4852815,a568655c35e9b65a5044f29caa6463c41b4fc46f,,False,False,True,34,162,False,,,,,,False
18,refs/heads/master,a0de51548a387b3f39e10935cf4a5183b4852815,1bf1b5074361fa6a672a43b802d894aa2cfde4e9,62c1d908867fd1f94f46ae9e668fd761924de3df,,False,False,True,6,22,False,,,,,,False
19,refs/heads/master,1bf1b5074361fa6a672a43b802d894aa2cfde4e9,0d87a683a311ae59c86db673f836d2f01edbc50b,ef77c9afa575c90b7ad34c1c10a9f39513260652,,False,False,True,6,18,False,,,,,,False
22,refs/heads/master,1383ea0ec8ac8e0e3e623c49ce73efca46b98a39,7c93ca7ebe86527e9984c77375a694e106f8e868,53a8a609faf5b35de24964490e52c1022983074b,,False,False,True,34,150,False,,,,,,False
23,refs/heads/master,7c93ca7ebe86527e9984c77375a694e106f8e868,ed04593c7c1efd7690eef583ba6029d8700c6073,ba01f46e1b78215ba99b65f979859d4ebf1239e3,,False,False,True,34,146,False,,,,,,False
24,refs/heads/master,ed04593c7c1efd7690eef583ba6029d8700c6073,f4368bbe3f64263522f707bfb98f3ec0124dc514,6edac9af8e3a0cd1c1b6a0e05990d90624d990e7,,False,False,True,34,144,False,,,,,,False
25,refs/heads/master,f4368bbe3f64263522f707bfb98f3ec0124dc514,1273ebe7cd4fa5d7881e7795acffc3c8253a096c,0c2d32b11153c1bebbe53c0179678a35f912a611,,False,False,True,34,142,False,,,,,,False
26,refs/heads/master,1273ebe7cd4fa5d7881e7795acffc3c8253a096c,26f3c89a8a007a9135eb57f095b07e6fc24c516d,fed9906f04e75d3063cf7f2fca2f1dd02dda5b40,,False,False,True,34,140,False,,,,,,False
31,refs/heads/master,c0227811ebcf861b11e3eaacb90844692e1254d0,604cf4333a1dc63bdf055837364c1ef0b6e318ab,09efbbd216051239fce8de5dab9475a513984605,,False,True,True,103,1175,False,,,,,,False
32,refs/heads/master,604cf4333a1dc63bdf055837364c1ef0b6e318ab,4a1c7f2b30ec5e86b6e9fdb99217f38f818c894e,babc427f103430c3af1cd6a82d7220503c0892a1,,False,True,True,22,226,False,,,,,,False
