idx,branch_name,merge,left,right,notes,union_diff_files,num_intersecting_files,num_diff_lines,num_diff_hunks,diff contains java file,imports_involved,non_java_involved,num_diff_files,test merge,sampled for testing
2,refs/heads/master,585902daf4884e5bf308d93f217fd62b732f3496,c8d4d36123368ca155600bf67ab8f86417db302d,82fe939c3cc20629987f7c83e21e05f6e0f1fbc3,,3,1,98,6,False,True,True,3,False,False
4,refs/heads/master,ecb5dcc45b5cb4e718e2cb1b5d0c902e7fe2886e,20497542c0c2b88ec4a7dc8649395bb03a8df2c6,dc1e3fb744944311aa447005e96a6888155938d0,,6,1,110,10,False,True,True,6,False,False
5,refs/heads/master,e957308b253f4ea4c743be35cc1dc4e2f5970f80,bbe8b1aaf9767788ea67881d7addd432e379a165,de93f85660e2f75d73ccf834d07c04c0f62b9a5b,,4,1,55,7,False,True,True,4,False,False
7,refs/heads/master,e5f8410e68e6df8e42b46c77073437c14195c3f8,10311f67295439d32f867aea83287f82ac352ac0,76fd9ceb6a731560c2e4eef903bf5197663aa6a9,,6,1,197,19,False,True,True,6,False,False
9,refs/heads/master,2903157c466567b4441e3131c0025f1252a58196,62e708b1fd1933dac8e6d96aa2d2006c19acf5e5,af5c4326b47a1cecfc3015b0705339d0cbfd527d,,3,1,75,7,False,True,True,3,False,False
13,refs/heads/master,2bb2d448edf06c6ff112112e80a73db20f0e2e73,317ae407717819ce4c91f36f9088c1dea729745f,4d47d0c67aab17b5f2425e0c4bf5e5c0ff501179,,3,1,214,4,False,True,True,3,False,False
18,refs/heads/master,e8d2be3a07362dd857cb5099bf4959f36e1b1b38,8f66cf930ad6450a4de3da1889252228eb2015df,972bedcfc59d7b0474824f73ef2f312e00c88069,,4,1,95,8,False,True,True,4,False,False
21,refs/heads/master,5ba56ef4834aaae4e5ee9412663bcb6868ef077e,a5b1fe9b76bdc16251ca801f653a0ad7a07b833e,db23148b6396ddeb151444317b9c88bc5e34c828,,3,0,16,7,False,True,True,3,False,False
23,refs/heads/master,655e7cb94bca40f8fc14f74dd2c7dae81f48890c,11f8ca81989f5d5499f353511ac276e976c52b27,34c8e8466aacf69ba3e6118b5f1af0049b15069a,,12,1,317,49,False,True,True,12,False,False
24,refs/remotes/origin/pull/30,006c151560d0b8d56c401d1e8cb2acde7ee362df,a6587ecaef3144a365560191d028c9922319cae4,bf4dc68056bf1272200bb5ca949a68474361908f,,3,1,7,2,False,False,True,3,False,False
25,refs/remotes/origin/pull/43,8b576da9fda089dd98734e500d0382f11b5502d6,962bb28d187914986b63c1a7d3a95dac6630c8da,585902daf4884e5bf308d93f217fd62b732f3496,,7,2,351,7,False,True,True,6,False,False
