idx,branch_name,merge,left,right,notes,union_diff_files,num_intersecting_files,num_diff_lines,num_diff_hunks,diff contains java file,imports_involved,left parent test result,left_tree_fingerprint,non_java_involved,num_diff_files,parents pass,right parent test result,right_tree_fingerprint,test merge,sampled for testing
2,refs/heads/master,011ba2e9425f5451db1da70cccfba32722de0eac,d626297e911d4770e18d5cd19c8260edbe70d8a5,1f1c20edee25d2785f036d51720a028e3ec3b565,,15,2,360,43,True,True,Tests_passed,86cd9e7ac57139b7ba419f4718d7af7c7246cf17aa51dbf884b11043e7cc7c7c,True,15,True,Tests_passed,a34ef601f7600e32a81c7131b2d414fe0cb90b88c0301195d54a6b6478034227,True,True
7,refs/heads/master,aa258521df351ffa028d98618d01f1f850122232,b2631b0b9cc2a151b8b767e6ea5755cb3bc1f643,872703491d538622cf751368cfdce729e648c663,,6,2,48,10,False,True,,,True,6,,,,False,False
12,refs/heads/master,eaf21fe871f9cf01bc34d9a9a91274f299d31094,bcee712b9a9806d9eda8c14973a9ca7adadd0d05,2cebbd820ca00433e337e3de9b90a7b6ab511f49,,7,1,150,20,False,True,,,True,7,,,,False,False
18,refs/heads/master,b7db9d9c38e4804a2f2f93c5b223139c7f7d86a2,ec731ac7eaa1a13461cc3387c032a8ce2d06d974,044d20439b34da7b22dff7d6463dba8af38f9a1e,,14,1,796,63,False,True,,,True,14,,,,False,False
20,refs/heads/master,b11ea224965516f6c3ab4a6a10e047cb2ba29713,324097cdf601126c88b7bb2c893d5d2e352e0db4,322bf40ca9284a5268dbb93b09130e971ed1b876,,30,2,918,79,True,True,Tests_failed,4c677e81161d5417ec59d31d107faac1b68571d1494e4f83abfb0d4c618e018e,True,30,False,Tests_failed,2f0db843fab9e567fffd6fd035842c52b4cf9129ac40ed732559339a6632e4f6,False,False
23,refs/heads/master,e4daaaa7fd95a97c931797458791b75389d24127,d4449543aa2a380c7b05aebe6e9b61a7454b6b68,2a13b9ff00a4e7a932b7cb85baee8988da78876a,,8,2,229,28,True,True,Tests_failed,7e06b4a770f77e3c564bfae9c24d1bbe387fe8c1da78df6b70cf6b42e8f680aa,True,8,False,Tests_failed,2584f72a218a9f7b5f83ed2a816c9a12878d15f52665b383927241f6588183bc,False,False
30,refs/heads/master,4c2a3c1021abb53aad635add1c04ce02afd5b5fc,ec14b2fa8c0832f509b9c723a069da2b92c58940,60d02c4a236cc284cf0433113f392b82ec79a2ee,,7,1,72,20,False,True,,,True,7,,,,False,False
31,refs/heads/master,ec14b2fa8c0832f509b9c723a069da2b92c58940,2181c1aa03ced088634cec35f351668956a8f555,9d0a426654e2547b6622ab0c16c604f1ad77d89f,,7,2,124,19,False,True,,,True,7,,,,False,False
35,refs/heads/master,c011b89e98dc2b88a4b0e713b4d45ff4a2911570,41fa998af744e96895a890c5e1e7761608f0848e,15ff78b93acd6e34f38b24861a9a75a79671a409,,10,1,542,25,False,True,,,True,10,,,,False,False
38,refs/heads/master,475e2f7a8544cbfb17f9491c59cd141586090416,1b9c7857137915fcce0ccfc133ab830e95710989,cd7c82030659d86b46c0e3bb64c296d6fac3676a,,5,1,45,11,False,False,,,True,5,,,,False,False
39,refs/heads/master,1b9c7857137915fcce0ccfc133ab830e95710989,511b26992eed76866545577251454b537e582169,9654d039cdffb623404908c5c49ea15c00601eb0,,29,2,1890,93,True,True,Tests_failed,02482d691b5e792c8e2ed597cdf093ca1a104daa70ba0d3b5c3a19f0aa58529e,True,29,False,Tests_failed,6c211370cd574953e74daaf102eb6ccc1a4d394dd318f9777ef7b64c5121d3cd,False,False
40,refs/heads/master,37ed9f67640aa43d668ec4594b76b21bb1036b8a,7d547e4176b482d889f3eddeedfb3acbfea22428,a5085f8d653e43d41b59954d9d9170a86e7a9d8d,,24,2,362,79,True,True,Tests_failed,62defddd07288b09e6e4bae355ffcb0c563494ddfff7ecbed5c39bb9072dc14e,True,23,False,Tests_failed,00c49ca0245138194a7dc67cf2bb4da1b237bc6da9bb4be193d97b37e57354ff,False,False
41,refs/heads/master,7d547e4176b482d889f3eddeedfb3acbfea22428,c3de9b9efe91653c5af7f8bfd7463f918d5ffb3f,d018ed801859076aca4d8e8e02914a14422b2f39,,22,1,425,54,False,True,,,True,22,,,,False,False
43,refs/heads/master,ea2c3eaf79d31bc9ce7e55798698c3f3e3d46303,31c9421fd635ce42616713f24600a92d8ec2c8be,51455aad63197a0b518e9740ef5fb74e6579982c,,20,20,80,20,True,True,Tests_failed,c07bcfb87f49f66064f30a8d91b4489ebc6fae7c88bbe59776f6a39c5d8ca4f0,True,10,False,Tests_failed,5399035d33789696b7042649398e678b0dcc029c2aa2727492446bb09077a076,False,False
47,refs/heads/master,1532c135caaa6b385784e3e8db01edb2bfbbc7a1,f18629e84e2399a5f8cec280af0e968e6df079af,884f606c8c6179b625199c63238c7f16b54dea07,,6,2,359,17,True,True,Tests_failed,34a305df43266c0bf2993118d4d65a2a99342ee5c53e434542154e9b0ca16c7d,True,6,False,Tests_failed,b20ecba3ec900a6af80446575bf69f7956a21088cab4068c4499feda86f96a21,False,False
50,refs/remotes/origin/pull/101,3688c71f4bee765ee49d3cec66547df2236c1f8a,c5287a07d973f7c68416cf7a5896d7418fe54a0c,911355a323e24230348fc7f5100309c60f5e19ff,,15,6,749,64,True,True,Tests_failed,c9c32d336d67432b03f841e68b3af747c2e062a85aaa0649e28a48c84832aa4a,True,15,False,Tests_failed,227cff2d673572d18c6db940d62c04bc32dc6f8093a3fe3f28500a15d28cf5ab,False,False
51,refs/remotes/origin/pull/270,6ea43b6c7a591733dd198fc41f2bd7a1e865efb5,058dc00218985ef3a01093850533b0f2bcb234fd,8184e3bae825f2484f00ba0665c11534ead47702,,13,5,80,24,False,False,,,True,9,,,,False,False
52,refs/remotes/origin/pull/389,5875eba4dbea18b3f032051446d3535d9db49c8f,1e2b486b2b0cc4ae15748f2d322bfe157ba85bfe,d4f7c4e0be586bfb77839fec8ddd143697950eb3,,2,2,0,Error,False,False,,,False,0,,,,False,False
53,refs/remotes/origin/pull/407,70ca329792e5a849b221b77170a6dfcf9cc043a3,d58b5402e914d396d8527556cb4b3fbad3455db4,2676acbc6d77001436d2e6a2696e57dc4acebbcb,,6,1,36,10,False,False,,,True,6,,,,False,False
54,refs/remotes/origin/pull/407,83475446122450aa0204f08eaae8eb877a8f63d0,96bea8cd333fa9dafd07843a4ef346e7b9ad63bf,288a8e08052386e8e86af42efc2344fddce22335,,6,1,8,6,False,False,,,True,6,,,,False,False
55,refs/remotes/origin/pull/93,feb1d170f500a67b665dca96e757058c31356dc7,7065f9c7a12ca39ade1074d38bff7c164f616a87,8ffa395fbd86c24827ae2e5dec456349a8740f7f,,22,5,581,43,True,True,Tests_failed,00e6327a41dca78224846f4418666ac9c782cecff78305d8a03cc380fc3591d0,True,22,False,Tests_failed,310738ed65b08e8d9a2b9b6fbc56782dd44f076cb449b63ab82ac39c3665c62e,False,False
56,refs/remotes/origin/pull/95,baec46b3b2ce9f30a0baa16c4ae29c021c0ec288,c0d769473341f6e5a05db099f152844e52378bd8,c76aff5010b84d8d4687f8f6bcf267b5fa68b5d1,,24,5,880,53,True,True,Tests_failed,1a349132b12e0179bf44917b5f267b407134b31ecedcf31c3dc23090a9ccc5ff,True,24,False,Tests_failed,8f542ba83bbee525e1141a3b49affa7506a00d4f8f076d52ca56c702759d4f43,False,False
57,refs/remotes/origin/pull/95,6644f6ddc6e4a9845313eded19ad1cceb2288c52,7a69da0974258a099f297ca3f4a8f8d32c4283ee,5e3b72299e34e3ffd89ef1ee694d4073a71fa69e,,7,5,34,3,False,False,,,True,3,,,,False,False
