idx,num_files,num_intersecting_files,num_hunks,num_lines,num_intersecting_lines,imports,non_java_files
38-1,37,25,81,428,0,True,True
38-3,49,7,105,1735,0,True,True
38-8,24,2,84,245,0,True,True
38-11,111,24,705,124437,0,True,True
38-90,6,2,11,23,0,True,True
38-106,41,24,70,266935,0,True,True
38-110,5,5,5,14,0,False,True
38-142,98,7,544,3362,0,True,True
38-143,18,3,44,145,0,True,True
38-150,18,2,144,1854,0,True,True
38-151,10,5,111,1564,0,True,True
38-162,54,5,234,1016,0,True,True
38-163,34,3,164,1484,0,True,True
38-164,17,2,96,553,0,True,True
38-165,10,2,32,198,0,True,True
38-171,188,6,530,8643,0,True,True
38-172,80,37,268,2386,0,True,True
38-182,6,2,22,149,0,True,True
59-2,254,4,698,1975,0,True,True
112-20,23,2,48,383,0,True,True
112-22,33,3,81,517,0,True,True
112-41,26,6,81,1159,0,True,True
112-44,63,7,165,1818,0,True,True
112-45,24,5,42,492,0,True,True
112-48,27,5,45,418,0,True,True
112-50,33,5,62,555,0,True,True
112-51,20,5,75,823,0,True,True
112-56,18,5,36,210,0,True,True
112-57,25,6,41,442,0,True,True
112-58,31,5,66,593,0,True,True
112-59,20,6,88,883,0,True,True
112-62,24,5,35,308,0,True,True
112-67,18,3,59,755,0,True,True
112-92,30,5,105,981,0,True,True
112-104,224,11,676,6934,0,False,True
112-106,238,9,707,7376,0,True,True
112-128,11,2,16,186,0,True,True
112-195,29,2,79,708,0,True,True
112-196,13,2,21,377,0,False,True
117-20,32,2,101,751,0,True,True
141-6,280,15,1632,6468,0,True,True
141-10,50,5,157,5024,0,True,True
141-13,102,6,997,9329,0,True,True
141-27,10,2,76,177,0,True,True
141-29,30,5,123,1064,0,True,True
141-35,142,9,649,14762,0,True,True
158-32,46,2,64,230,0,True,True
158-58,66,2,150,1108,0,True,True
158-59,79,2,126,1421,0,True,True
158-63,49,2,72,231,0,True,True
158-69,50,2,74,246,0,True,True
158-76,68,3,114,820,0,True,True
158-84,73,5,142,1705,0,True,True
158-85,149,6,423,3401,0,True,True
158-86,131,5,327,2469,0,True,True
158-91,75,7,298,1980,0,True,True
158-110,121,4,313,8339,0,True,True
158-117,4,2,14,55,0,True,True
158-120,47,2,78,473,0,True,True
158-131,41,2,42,89,0,True,True
158-132,44,2,44,97,0,True,True
158-136,80,6,173,2557,0,True,True
158-149,47,2,52,149,0,True,True
158-223,49,2,86,706,0,True,True
158-229,58,11,106,596,0,True,True
158-275,56,33,159,542,0,True,True
158-297,40,2,91,312,0,True,True
158-312,50,2,79,394,0,True,True
158-407,68,2,186,1051,0,True,True
158-410,60,2,147,773,0,True,True
158-411,87,12,268,3263,0,True,True
158-415,54,3,93,911,0,True,True
158-424,115,6,364,7810,0,True,True
158-439,3,2,8,33,0,False,True
158-440,52,4,90,545,0,True,True
158-441,2,2,9,76,0,False,True
158-452,53,4,119,583,0,True,True
158-459,58,2,103,960,0,True,True
158-462,53,15,40,84,0,False,True
158-464,43,2,44,195,0,True,True
158-467,10,2,44,294,0,True,True
158-468,44,5,51,226,0,True,True
158-473,53,2,134,644,0,True,True
158-484,42,3,97,631,0,True,True
158-489,66,16,259,1138,0,True,True
158-491,99,15,206,1027,0,True,True
158-492,108,5,289,1588,0,True,True
158-511,67,4,129,564,0,True,True
178-6,342,10,2526,16131,0,True,True
244-2,14,2,46,139,0,True,True
245-8,8,8,16,33,0,True,True
248-6,280,15,1632,6468,0,True,True
248-10,50,5,157,5024,0,True,True
248-13,102,6,997,9329,0,True,True
248-27,10,2,76,177,0,True,True
248-29,30,5,123,1064,0,True,True
248-35,142,9,649,14762,0,True,True
254-72,38,9,104,821,0,True,True
325-25,2,2,13,33,0,False,True
325-26,3,2,2,8,0,False,True
325-29,5,5,8,23,0,False,True
345-203,28,2,115,671,0,True,True
345-226,4,2,3,8,0,False,True
345-245,47,2,186,945,0,True,True
345-249,10,2,29,154,0,True,True
345-312,11,5,18,55,0,True,True
357-1,59,2,324,4066,0,True,True
357-9,19,3,75,374,0,True,True
358-2,13,2,54,784,0,True,True
380-70,23,3,53,1115,0,True,True
380-85,11,2,16,102,0,True,True
380-187,46,2,88,1131,0,True,True
380-189,31,2,123,1026,0,True,True
380-192,148,14,863,5757,0,True,True
401-1,2,2,76,415,0,True,True
401-19,14,2,22,571,0,True,True
401-21,10,4,65,397,0,True,True
401-22,6,2,16,72,0,True,True
401-38,23,6,98,1820,0,True,True
401-41,3,2,29,82,0,True,True
