idx,repository,head hash,head tree fingerprint,head test result
2042,bytedeco/javacpp,2d03a8d76cacae4cfd76eb7873b2416afcb2d2de,f13b51e7433cdf9da4fb480be47821103b17c4f1f350e4c8d2a078235e86d7e2,Tests_passed
2120,caoxinyu/redisclient,0f72f3de3c4790066d5d06f5049a3622861118da,ce99b983da20b034065d9bcfc96e7c484581dac599e5784ec5b973da636cee0c,Tests_passed
2237,cglib/cglib,5c947539c1218dc4ff1a14a7c36b4856b0ee6397,e0a37138db865657065c4e8cd9bf6d3cc1333434238c969436c40b0e8b327960,Tests_passed
2495,clojure/clojure,08a2d9bdd013143a87e50fa82e9740e2ab4ee2c2,0b323db65e4339e9ae1bd7c421dbe708a370cdcee407e4b0222fad907eb57599,Tests_passed
2497,clojure/core.async,322adc72852bb79c143ebe5d203d100534fda8f2,20b5d419e0288fe0ebbaa98f2a853f5b2352f326cd857a4d67e082e3fc53ad54,Tests_passed
2572,code4craft/webmagic,67644de3d9540611ef494f4bb595688a47a541a6,dcb6e5e207caa76580c872951f8a783200816a791ac9fea41098f1769212d341,Tests_passed
2577,codecentric/spring-boot-admin,ea26664a23045a30a22984c17a9f1d5eef521a0e,929e6ed3b49aa3cdeb1e750dd7bbbbcdd639ecfacdb7114a61a89b406aa5834e,Tests_passed
2623,cognitect-labs/transducers-js,f21cb186b6163697fe3c8c6d98125c6f66cb7632,23965c25701b27983e889db281dec7bd8e25d676249dc49868cf137cd0b4ad8f,Tests_passed
2624,cognitect/transit-format,3f7f70180ee6930841190788dae1d6e800c552bc,ef32765f095733ce173d907d90884ffafc21d19cc248a58d0af0692ac06c0503,Tests_passed
2790,crawlscript/webcollector,878704586e75ac49737d06fc527f49c6b3b8b9b2,a88c62aaa1623d99d5f0f66c76af17083b4f912cff0ed1d4e5ff07e1b2d7a594,Tests_passed
3213,deathmarine/luyten,64af8d1df1d2cab029779142726fbcd8bc482956,b80ce06855f1d463713fa70eb653fab24ca0afa1bb70c9f0322d9a97cc3b6eb3,Tests_passed
3227,deemopen/zkui,1b3e7c133ab76a26c9c5b3653679d77d0cd6358d,da227242290d3f32093a77341357e3051c107dc3d912ad8e3e77394641e28162,Tests_passed
3433,dius/java-faker,a8b8ff0acc6fcc629d08a3a9952f83be56a9a3c3,20f7cff1ca70fa637de586d14137a910c1901c1f42057b11d71f7af080eebb4d,Tests_passed
3657,dozermapper/dozer,cae0383555ddfcb397450f9e72b7fe36a777d730,11750e79ba470c1184d57ee9e805b185ce3b362c9d5d96038899c956f5b67161,Tests_passed
3815,eclipse-ee4j/beanvalidation-api,e9fbd8bb0d89ee7860f1f04907090528b82356b3,62668a02c9325fa73074df939a3e97e16c1fcf4454305ffc957e06b779d3808b,Tests_passed
3900,eirslett/frontend-maven-plugin,4045aaf962f497f1ae7b1661537c2b1437360ded,8cc7dd128ccfbb6e6a2ecb0037a572d6b66fac960452e80bffebdfff7fcc0aa2,Tests_passed
3928,elasticjob/elastic-job-lite,0b3a6eb993ee1abcb8ae81efa6ccaeb9b494ea5c,3d508c6e61cefd9035d5eecd9b1a981116938e930531a889826aff9e4c4aa0a9,Tests_passed
3987,elunez/eladmin,2a879115bc5fa364f0ae8042c76edc4be84fa7e7,45ee6ea3f92440194810038eaf7c19066c21ae354d1c5edccd2459ee0feccef9,Tests_passed
4150,esotericsoftware/kryo,3e7f49919079e20a2186575ec053c8bab2d53153,7cb4da8ea35d8771cfdab1b11f77238b873d08e58f8a352ee06ca051e5194cdd,Tests_passed
4208,eugenp/tutorials,ea2d4a577fc7529947a1a064f0d55ab81fdcd09e,58981ba14a57ecac88468f22d0ea1bfb01ce6c0cb97d4aacd560cb9d88e6fc54,Tests_passed
4492,fasterxml/jackson-annotations,0cef59c9f0566a1d0f450181956a0389163b7871,d6665a2217a2fe0fb51ccd3299f12b20dadef584db45ed8505a34c6139454c06,Tests_passed
4493,fasterxml/jackson-core,7c5281fb69cbc9cf8ec16346937744007d624314,66f0dc7aefe4d41f054d9a6dc6f78965360416ab6f847fb6d2d30240c8db40a8,Tests_passed
4615,ffay/lanproxy,6d3c97f5a3ca914cdf3fa849b7d615fb2e892def,fce672baac13fc2832a38cf75788eebcead72c3a9ada0f79b19b9d8c2741a91f,Tests_passed
5158,gephi/gephi,a42603fd0cb2c209f96c79481dcc1f7195058822,a2883d219b00fd1bc570a1a6e8f22fb59ea88c650054d855108e452011c3e00c,Tests_passed
5494,google/error-prone,6a238481878f1962bf4eb89b703c61522054a4f8,e8b119849f8806a7f8129f195105d96dec08fb2019dcea6c29e7da18b0fefc69,Tests_passed
5510,google/google-java-format,53390d99b56edae23cfab5adcafd7df28d9984c8,d8ca8d36c376d86d839e2c3045125559073497c72fe5d3bfd1b0fd17e71de2d1,Tests_passed
5521,google/guice,e23d3b4369fbacfd7f077022c4dead4030e15f22,a8ba540163f3bfaa030b4efa883af56fefc587007af6e9cdd389177a08b5810a,Tests_passed
5532,google/jimfs,a62ae2c2bdc7b28e1e3bc857ae47e01150445aba,32ed7eb3818950f25417a3043f3a6bca8337a670cd03b08a3c134d2c512e269f,Tests_passed
5583,google/truth,04358ef136fe2fe62699aa6515ba5dcf1499e23a,7fc2d851a41513d6eb68a97c80f104a29cb9426c527b9831a943662f52b43fe3,Tests_passed
5945,h2oai/h2o-2,be350f3f2c2fb6f135cc07c41f83fd0e4f521ac1,4c4ebd1af967c0bfdf3142fb7f110cf8f2657d6ce49e83799a37681d7e23018c,Tests_passed
6109,hdrhistogram/hdrhistogram,3904a74e1896c22dc8a8afb0b29176a04fee7a28,ff8f35792770ea6b06716cb72df635f1e3ed1afcf51bc70d4508b6cbca2e2e82,Tests_passed
6289,hope-for/hope-boot,bdd4a5c4eda9884e6cd3171f4dadf94785e3f903,7a7e6a3a7a5e3d201bb20eb0c67316b120005acaf3039f718a699e484bb4ac00,Tests_passed
6549,ict-bda/easyml,b3a7bb57476090496b0ae4c6def83f1e171f4339,95e44bea4b398fadcc013c0e094c0c090b92fbfd8b0a4d37a8da1ace6efe9369,Tests_passed
6901,j-easy/easy-rules,d4450831533e47a5c0cb361edb80dad43db228a4,b1fdc50f90f60d3a82f63f0c4785fb242d4f83dfa3dacd73306e4953761d4d61,Tests_passed
6963,jakewharton/disklrucache,3e016356cfc7e5f9644a7a732fe0223e9742e024,159884670fbacca4a8b9e3ac888fad81a8eeba9c5120accf786614ea11b70194,Tests_passed
6970,jakewharton/rxrelay,842359253c99177c3293594dbd66f90462d33374,221188816f7e5e04b2e40d5ab735810bba1539a1b8fdabe0175e9e750a9385ae,Tests_passed
7087,java8/java8inaction,4786c46a24e2f7d0a749d34d585bb2c1d9f64c53,5fdba5bf255aeb8d1972b315ebe5bf6f39ec10b661e6754c4b00fbd25b546994,Tests_passed
7097,javaparser/javaparser,83b5e5c8c65f5fb549f435e9314011cd6373457e,d03a32ffa94849eda535b96a8630a74ce19b957252e277b251ea0ec8665cbe63,Tests_passed
7104,javen205/ijpay,4605f295c9554426175a4b3e4519c3d3dcefdde5,338c52f1f1613414730b37b17e36824b3ecaf808c66ef195552140d3e7387b85,Tests_passed
7296,jfinal/jfinal,076e76a4941c989d7f535035295aa3d055123131,1724cb8103288360a42d15f6048dd1b8cba3d914957b4b8df1edbf29333d3fea,Tests_passed
7315,jgrapht/jgrapht,4ec044c3e3078d6b837fcb04fad8cbc66f9fdc2f,0ddfc08231f29375f98fa003f4ed3ab37f2d63e5e4eca0cc75aff1b090ac07cf,Tests_passed
7322,jhalterman/failsafe,e8d99288a91df892340d325ad4562d064d405296,ffd2e4502a50e69c2ee643f47f9f848872b757be616d4172ce80f87d3c25aa28,Tests_passed
7448,jodaorg/joda-time,1b5c2a0899c9fcf705d0892946deab00c4619a97,d1bc631d459dc1e53293f149bdb4481bc3b86ee2637f2cbbfff2b9b5ac8228bf,Tests_passed
7457,joel-costigliola/assertj-core,a315d038ab746652bdbcbd47b451d881efceccef,4bc48fa56c9e19f4d3a99fe9a32fda385a2d3ef3d591ba42bd6de853dec96e0f,Tests_passed
7482,johncarl81/parceler,52e6b14709eb0b84835907e71d9380124f3c6b6e,2bc5fdebd8b5c849868dc2c14b0a04e78b1b60b1ce4f9ead0f04ea8b4b846159,Tests_passed
7596,jooq/jooq,54ae05e5a737cafcf06c71e3226eee844d6e6030,c1f5036976a693e637214226b0f2fdb45cee361a75d443e89f79a8254f9d27ea,Tests_passed
7799,jtablesaw/tablesaw,02d3e524110982ec2b420ff8f9126707d483374f,2f279e8e45c3d7ff7a66e6c82f0d184338d358464d617f8ad3b1c64d75ee3567,Tests_passed
7850,junit-team/junit4,16228f3ccea3c6f1170488e0e268f3601d130f75,3e9588a301134286d3f09e4de1cdb2a92f147b7e6f2cabe4c0922b621306a31c,Tests_passed
7903,jvm-profiling-tools/async-profiler,6ab9f83aec0e4d216d3a5b911a6123db6139c544,710e6e170e3ee9dad1999497c19353dfe5e47fe501d3d167a64b09e316d0d108,Tests_passed
7919,jwtk/jjwt,917ffbb5d92d70b261159572a4e6bad39fe972e8,b4a24abe73d80815442a5209b3584ddd7a8a7db46f2e879f9e83c6673217bbd7,Tests_passed
8120,kevin-wayne/algs4,a9c8fcf2d2f6dfa9da404dc6d951c34f245a3aee,3ce6ffad4aadda21469accdc19244affee05d422ae2e8f210b7471ba3fc06282,Tests_passed
8182,killme2008/aviator,44feeb1e061031d3266f352cf57cb535eb48449d,ff2c61ee798e025aa53fb9a2667d112cd23d2ba3098fab0080b82ee63b13173d,Tests_passed
8244,knightliao/disconf,872e69c71bc34ad6f3d6bead1bb1f96a5e9cfdb4,e99bd05ede79c8015f802dd373cd4a1ce66f2436bb463fd881184ca8c533454d,Tests_passed
8293,kong/unirest-java,a28595f6d969a89ca4caa8db5a0739e9f80680f5,5f901252bdb014f8162194d1bc767d7f9f8d50dab82e9014fc18b5db241d2ab5,Tests_passed
8295,konloch/bytecode-viewer,eda6416609c2f2833b17608f6d58f3cd7c574cd9,65f6a2d0ddf03ad6aa7ac0e97a4bb42bf1184328b61a5c771832836a0727b819,Tests_passed
8647,lettuce-io/lettuce-core,bc4aa0658ac73c496e6006cdf0680e602cb35945,6b12c1c926c7e945bb5d5da1d47b1e16d43624f093b2a4aae8e48fde21c23c45,Tests_passed
8735,lihengming/spring-boot-api-project-seed,c305af6a6bb2b698b02d731ac27218bff51c5c1c,019943b505f85329c227bd9fb62aa5265349bc500c0bde4f7b1c9c1919fefdd9,Tests_passed
8770,linlinjava/litemall,47ea5c7420f126081e7ef17a7182890def32457d,89e4402018c2c6cc3841222a888f478d841e1d54f94f2716c1e5eb1d0390c30e,Tests_passed
