idx,repository,head hash,head tree fingerprint,head test result
115,abel533/mapper,5e31029b2df157afe9031fe183f6d7795ac2aa19,cd8146d2889d5baf62fbb6af142701d39f1b43c2c2bff3b4baf6bb0e05cc1028,Tests_passed
197,addthis/stream-lib,5a3bc87c5314f7771ea3968e9015a3d25536343e,4f6221071b6a7d503cdbf958d253c5d603154074a3c95528e4fcfe7e41d0d098,Tests_passed
222,adoptopenjdk/jitwatch,114b796c457c5a13578d64fad6b4c255862652dc,381f5b8030725fe2c654a97db42e1be3372dae4e21f0ebe5503d06bb83688c9f,Tests_passed
463,alibaba/canal,0e4c5c40d7c426c4c2a8eb4dd695dfece1ff3779,86dd98d195c71e0da9dc027d09f9714256912a716097dfa53ae370cb18bdd709,Tests_passed
471,alibaba/easyexcel,c299e2333053f307e73c94d85b4e3b3d81328885,28c91e95355dc2bdaf5dd239e4ef1e9e878966b231875f5735751f85adf48f36,Tests_passed
503,alibaba/tprofiler,8344d1ae2d4a83f6c7ead16fec392b5fce95bba5,fc3e9989a7f39085d47392c52aef96c9e669caed8e0090f38332b4bda2668e9c,Tests_passed
698,androidquery/androidquery,45ed6c85dcf0b3b58a08810b423886fb275b33b0,403c4de3fea19d494b9d52b4fc8a08c8850ff4a9a2041e2a8088753619b303fd,Tests_passed
806,antlr/grammars-v4,5b3f1b73e86588721f65b2601b8ccfb3923aec17,6a11715904ad0269895a056eba4ea9e98fed81ef751655d9cbc412b2a4e125f6,Tests_passed
843,apache/commons-beanutils,0ac992114894e4acb6937c1aa37eb2e891b04f3f,522510f56daa5b5a4e45f03d4e49bcbe153584672f49f34192d84f732340a22b,Tests_passed
844,apache/commons-codec,351950fb582667d52046082e4b4d4410774c5176,a1bf3591f92e7e16985552cc25be40c1f03ba92e8d62df96582bb7c84a2343c3,Tests_passed
845,apache/commons-collections,a3c8e94365a528e5630b203c4d30790f342d2c4a,524984cb4910587543ac9bb25381998c3ea57fba3ef89e5bd554ceacb908dae1,Tests_passed
846,apache/commons-dbcp,d536765d775cef4f3f95d1573b6116bb7d23eaf3,cf4f2b533ddec1557cde42ed1ace54ec6372e3eb697acc50dbef5331bb0c7872,Tests_passed
847,apache/commons-io,f223c0c9b43f66282f9623678833360d591459d8,27a2b8d8808be8e173c0e1cf00f7e41f5d6419aa73f088320c9ab6441f16a359,Tests_passed
848,apache/commons-lang,c9dfff1c08f6fbe63c1795172f9221678eb89398,1fd3e86f60fb133c24b0df8d6fc9f913fcae4c4a904626d2c175092177bba97a,Tests_passed
849,apache/commons-logging,e4d94ff51eb12d785e2ef52368527b317bef6e98,d1bc51c8b2536b8141015826b0b7918faa1c83f8003ebc1ed86218f99a3a9965,Tests_passed
890,apache/log4j,b7e9154128cd4ae1244c877a6fda8f834a0f2247,edfc2ee39e018f5546b0da258703b5d84198a158bcd8e433c05da360c90b6adc,Tests_passed
906,apache/servicecomb-java-chassis,5d8ebe62fa30eb09282974ac1a2d94160c0741fe,d9ff68ddbdc17f177f389c37e6bc26e491994f2496a60499af5a933fb16e7524,Tests_passed
908,apache/shiro,56895981e31eb607950bc0a8366b1e2f50beb46e,fe6fc090990963dcca4a7a5a98ac9f255f78d1a974da2258351cf153c0ac1261,Tests_passed
914,apache/tomcat-maven-plugin,2a1797d7dce71b3d18ffc090a980162d8d67899a,7d29ce917dabcface9fd302ea375bb7a951acda8b01f180962864799b326a36e,Tests_passed
1086,arturbosch/detekt,2c086f7c761b42fe25fb798adc858f9c52bdcd82,f328c5e9bb37df4f518322c43bda791c730098bf7b32e239039fd6a0f1f4ce4b,Tests_passed
1170,ata4/disunity,6c1c3215419faaca427fa8d1e960f13cde76e766,651606dc92740c14adaf208ff46f8d7bf40aa90bf76a45a48ee99e9859d12ee0,Tests_passed
1175,athou/commafeed,197b3b258be1c89d29d2ec2bef932f20bae4f0e9,28d285b18df1946b712c2e1a868122243d955741fffed42cff8d59b4275f8a2d,Tests_passed
1235,auth0/java-jwt,bad6035bb87007d6744f4089857e22f8f085e1e5,087597352e7fcbdc9d787603396274c8cd15ab950d6a3964d88469cd4df5fdc8,Tests_passed
1279,awaitility/awaitility,a56dce91b2abff03beb4773180ec6e5edb0117d7,3476f3523c1b54aed873ca4e0961b51700ef90c34303b70077212fddd5e92e15,Tests_passed
1387,baichengzhou/springmvc-mybatis-shiro-redis-0.2,ce2a2c30a35da487e4bacef441a71bfcca878dfb,4dd256781f9e8b9054cebae94ef528533fbe893ccbc92856ad12e849309eba3d,Tests_passed
1455,bastillion-io/bastillion,a52e25febf8cdb1ac232ae2b6cb1dfad1bd026bb,35dd4a329db3685f03031d7109e3c6ffcde8bebac298bf415792bfe0f1415b49,Tests_passed
1596,biezhi/30-seconds-of-java8,1af5d4dee567f00e662cb9b74abc16067312e338,6394b99b5af623fded0be6a87b0707908b8cbc5520687ac877bdc37011e7ff16,Tests_passed
1598,biezhi/wechat-api,4d7458a766752673cec956ea7afd956c3cbe7010,b1168b09273128be8fa7e41687bfd783343eb1f769ef107988729fbad3ba773f,Tests_passed
1644,bisq-network/bisq,ff291fcd0f7f689babfb340a84c89c2cc3d2cf08,dc90a65b5076f819b01783d29f86a18278d38a073beea1ddf068fb91a7bd416c,Tests_passed
1753,bonnyfone/vectalign,63806ac71ebd5d9472bf97893b3ec6c5741b5735,b7c066d072307f225e5d6a2edbf35503d1d44e5e8021708d2f517901d83b9ad3,Tests_passed
1854,brianway/webporter,31fafaec9993c99862e07b17d9bb64a4b162b4c1,3694aa860daab428815cd438cd6c3278989a444812b625e7f0b5e82e1c3c7886,Tests_passed
1941,bukkit/bukkit,f210234e59275330f83b994e199c76f6abd41ee7,69d10891efc0ec20c8bc6ebec08bbef1e6ef7f13ad6ab38890fa8bbc7ff9ab2e,Tests_passed
1985,bytedeco/javacpp,2d03a8d76cacae4cfd76eb7873b2416afcb2d2de,f13b51e7433cdf9da4fb480be47821103b17c4f1f350e4c8d2a078235e86d7e2,Tests_passed
1986,bytedeco/javacv,6ce2032ed0e01b5455bc3db483758f597555534b,1b83642e817bf1acd02d734a5af70b5ab2d3e5ee3aafbb3a9e8700e79f1057c0,Tests_passed
2061,caoxinyu/redisclient,0f72f3de3c4790066d5d06f5049a3622861118da,ce99b983da20b034065d9bcfc96e7c484581dac599e5784ec5b973da636cee0c,Tests_passed
2173,cglib/cglib,5c947539c1218dc4ff1a14a7c36b4856b0ee6397,e0a37138db865657065c4e8cd9bf6d3cc1333434238c969436c40b0e8b327960,Tests_passed
2426,clojure/clojure,08a2d9bdd013143a87e50fa82e9740e2ab4ee2c2,0b323db65e4339e9ae1bd7c421dbe708a370cdcee407e4b0222fad907eb57599,Tests_passed
2428,clojure/core.async,322adc72852bb79c143ebe5d203d100534fda8f2,20b5d419e0288fe0ebbaa98f2a853f5b2352f326cd857a4d67e082e3fc53ad54,Tests_passed
2499,code4craft/webmagic,67644de3d9540611ef494f4bb595688a47a541a6,dcb6e5e207caa76580c872951f8a783200816a791ac9fea41098f1769212d341,Tests_passed
2504,codecentric/spring-boot-admin,ea26664a23045a30a22984c17a9f1d5eef521a0e,929e6ed3b49aa3cdeb1e750dd7bbbbcdd639ecfacdb7114a61a89b406aa5834e,Tests_passed
2550,cognitect-labs/transducers-js,f21cb186b6163697fe3c8c6d98125c6f66cb7632,23965c25701b27983e889db281dec7bd8e25d676249dc49868cf137cd0b4ad8f,Tests_passed
2551,cognitect/transit-format,3f7f70180ee6930841190788dae1d6e800c552bc,ef32765f095733ce173d907d90884ffafc21d19cc248a58d0af0692ac06c0503,Tests_passed
2634,coobird/thumbnailator,951d04f352d90f34420a82909c15453fee1b75ff,019a9b4e755472fa88e22ddfd610d84ff63fe8ef54173ab2105c5aa9d459e93a,Tests_passed
2714,crawlscript/webcollector,878704586e75ac49737d06fc527f49c6b3b8b9b2,a88c62aaa1623d99d5f0f66c76af17083b4f912cff0ed1d4e5ff07e1b2d7a594,Tests_passed
3128,deathmarine/luyten,64af8d1df1d2cab029779142726fbcd8bc482956,b80ce06855f1d463713fa70eb653fab24ca0afa1bb70c9f0322d9a97cc3b6eb3,Tests_passed
3141,deemopen/zkui,1b3e7c133ab76a26c9c5b3653679d77d0cd6358d,da227242290d3f32093a77341357e3051c107dc3d912ad8e3e77394641e28162,Tests_passed
3344,dius/java-faker,a8b8ff0acc6fcc629d08a3a9952f83be56a9a3c3,20f7cff1ca70fa637de586d14137a910c1901c1f42057b11d71f7af080eebb4d,Tests_passed
3559,dozermapper/dozer,cae0383555ddfcb397450f9e72b7fe36a777d730,11750e79ba470c1184d57ee9e805b185ce3b362c9d5d96038899c956f5b67161,Tests_passed
3715,eclipse-ee4j/beanvalidation-api,e9fbd8bb0d89ee7860f1f04907090528b82356b3,62668a02c9325fa73074df939a3e97e16c1fcf4454305ffc957e06b779d3808b,Tests_passed
