idx,branch_name,merge,left,right,notes,num_diff_files,num_diff_lines,imports_involved,non_java_involved,diff contains java file,diff_logs,test merge,sampled for testing
1,refs/heads/develop,77818a1561cb46242da7e778088c3d13f51424a5,510454097476db1a47bf9586294ec75c1346b6e5,ce2a8d762b87a6b76553c5192b05103020170de6,,2,41,False,True,False,"{'base_left': 'cache/diff_analyzer/logs/mikera/clisk/510454097476db1a47bf9586294ec75c1346b6e5_ce2a8d762b87a6b76553c5192b05103020170de6_base_left.log', 'base_right': 'cache/diff_analyzer/logs/mikera/clisk/510454097476db1a47bf9586294ec75c1346b6e5_ce2a8d762b87a6b76553c5192b05103020170de6_base_right.log', 'left_right': 'cache/diff_analyzer/logs/mikera/clisk/510454097476db1a47bf9586294ec75c1346b6e5_ce2a8d762b87a6b76553c5192b05103020170de6_left_right.log'}",False,False
2,refs/heads/develop,f1429488539180aace464eea290477982fb57d89,3ce690cf271a3bd7efa115cc76fca378d1bf043f,ef35cf252809726d1f0194b6ccc7565671dd99b7,,3,2,False,True,False,"{'base_left': 'cache/diff_analyzer/logs/mikera/clisk/3ce690cf271a3bd7efa115cc76fca378d1bf043f_ef35cf252809726d1f0194b6ccc7565671dd99b7_base_left.log', 'base_right': 'cache/diff_analyzer/logs/mikera/clisk/3ce690cf271a3bd7efa115cc76fca378d1bf043f_ef35cf252809726d1f0194b6ccc7565671dd99b7_base_right.log', 'left_right': 'cache/diff_analyzer/logs/mikera/clisk/3ce690cf271a3bd7efa115cc76fca378d1bf043f_ef35cf252809726d1f0194b6ccc7565671dd99b7_left_right.log'}",False,False
3,refs/heads/develop,cafad1d9087861ffc0dd81056108ff744e7d76da,42c4f27c0c3d1126a6123e90721d68a82ee717eb,c091a218647e6e9a4d247efebd1536c9b1180845,,5,100,True,True,False,"{'base_left': 'cache/diff_analyzer/logs/mikera/clisk/42c4f27c0c3d1126a6123e90721d68a82ee717eb_c091a218647e6e9a4d247efebd1536c9b1180845_base_left.log', 'base_right': 'cache/diff_analyzer/logs/mikera/clisk/42c4f27c0c3d1126a6123e90721d68a82ee717eb_c091a218647e6e9a4d247efebd1536c9b1180845_base_right.log', 'left_right': 'cache/diff_analyzer/logs/mikera/clisk/42c4f27c0c3d1126a6123e90721d68a82ee717eb_c091a218647e6e9a4d247efebd1536c9b1180845_left_right.log'}",False,False
5,refs/heads/develop,9765e8e8f742e84a28616d2f19cf3f6c37fee3f8,e34ce81ed35ad1f793d265b34cc01ba8e4474c00,b7e6b2868cff4c4c866ffcbe86a2004c3d2061e9,,2,0,False,True,False,"{'base_left': 'cache/diff_analyzer/logs/mikera/clisk/e34ce81ed35ad1f793d265b34cc01ba8e4474c00_b7e6b2868cff4c4c866ffcbe86a2004c3d2061e9_base_left.log', 'base_right': 'cache/diff_analyzer/logs/mikera/clisk/e34ce81ed35ad1f793d265b34cc01ba8e4474c00_b7e6b2868cff4c4c866ffcbe86a2004c3d2061e9_base_right.log', 'left_right': 'cache/diff_analyzer/logs/mikera/clisk/e34ce81ed35ad1f793d265b34cc01ba8e4474c00_b7e6b2868cff4c4c866ffcbe86a2004c3d2061e9_left_right.log'}",False,False
7,refs/heads/develop,1fe7656c46af7bef46dd9ab3ac93cc1bb1152598,895514df2569f5489c6c9b8954ba4122821dccdc,9430c7403acaff49b6a5b7b8147c0f990646cbda,two initial commits,34,1535,True,True,False,,False,False
8,refs/heads/develop,f385d1ae47378e55042957fe8054ff3ca869f81c,f3d585f7c764a21e8445e56c3268eadc4e2b487d,a3e774832c1026fc403328057d646eb793e19dc4,,10,294,True,True,False,"{'base_left': 'cache/diff_analyzer/logs/mikera/clisk/f3d585f7c764a21e8445e56c3268eadc4e2b487d_a3e774832c1026fc403328057d646eb793e19dc4_base_left.log', 'base_right': 'cache/diff_analyzer/logs/mikera/clisk/f3d585f7c764a21e8445e56c3268eadc4e2b487d_a3e774832c1026fc403328057d646eb793e19dc4_base_right.log', 'left_right': 'cache/diff_analyzer/logs/mikera/clisk/f3d585f7c764a21e8445e56c3268eadc4e2b487d_a3e774832c1026fc403328057d646eb793e19dc4_left_right.log'}",False,False
9,refs/heads/develop,f3d585f7c764a21e8445e56c3268eadc4e2b487d,80093cca62c0d0847b8a1c582441f44b8267d9cb,d4eea44883d6017b26ec8e82a654db61f0e5d609,,6,115,False,True,False,"{'base_left': 'cache/diff_analyzer/logs/mikera/clisk/80093cca62c0d0847b8a1c582441f44b8267d9cb_d4eea44883d6017b26ec8e82a654db61f0e5d609_base_left.log', 'base_right': 'cache/diff_analyzer/logs/mikera/clisk/80093cca62c0d0847b8a1c582441f44b8267d9cb_d4eea44883d6017b26ec8e82a654db61f0e5d609_base_right.log', 'left_right': 'cache/diff_analyzer/logs/mikera/clisk/80093cca62c0d0847b8a1c582441f44b8267d9cb_d4eea44883d6017b26ec8e82a654db61f0e5d609_left_right.log'}",False,False
10,refs/heads/develop,d4eea44883d6017b26ec8e82a654db61f0e5d609,cff72b29754e37733f400f85d46fcafe09298cb9,6c98653606407e3346dbd46b4fb639d617a87c26,,6,185,True,True,False,"{'base_left': 'cache/diff_analyzer/logs/mikera/clisk/cff72b29754e37733f400f85d46fcafe09298cb9_6c98653606407e3346dbd46b4fb639d617a87c26_base_left.log', 'base_right': 'cache/diff_analyzer/logs/mikera/clisk/cff72b29754e37733f400f85d46fcafe09298cb9_6c98653606407e3346dbd46b4fb639d617a87c26_base_right.log', 'left_right': 'cache/diff_analyzer/logs/mikera/clisk/cff72b29754e37733f400f85d46fcafe09298cb9_6c98653606407e3346dbd46b4fb639d617a87c26_left_right.log'}",False,False
11,refs/remotes/origin/1.5-test,fa761fbf2aee792a323e34a890b3fb9bcdbdb3d6,dcd5cd61441bf929c71d7dec4a9fabc989548593,895514df2569f5489c6c9b8954ba4122821dccdc,,10,294,True,True,False,"{'base_left': 'cache/diff_analyzer/logs/mikera/clisk/dcd5cd61441bf929c71d7dec4a9fabc989548593_895514df2569f5489c6c9b8954ba4122821dccdc_base_left.log', 'base_right': 'cache/diff_analyzer/logs/mikera/clisk/dcd5cd61441bf929c71d7dec4a9fabc989548593_895514df2569f5489c6c9b8954ba4122821dccdc_base_right.log', 'left_right': 'cache/diff_analyzer/logs/mikera/clisk/dcd5cd61441bf929c71d7dec4a9fabc989548593_895514df2569f5489c6c9b8954ba4122821dccdc_left_right.log'}",False,False
12,refs/remotes/origin/1.5-test,dcd5cd61441bf929c71d7dec4a9fabc989548593,0e1e5cb4148cc9492b36fb6f0b0f4734d0e05702,1cc048b9f94c96c477a25d18039a446ac94f0dc7,,6,115,False,True,False,"{'base_left': 'cache/diff_analyzer/logs/mikera/clisk/0e1e5cb4148cc9492b36fb6f0b0f4734d0e05702_1cc048b9f94c96c477a25d18039a446ac94f0dc7_base_left.log', 'base_right': 'cache/diff_analyzer/logs/mikera/clisk/0e1e5cb4148cc9492b36fb6f0b0f4734d0e05702_1cc048b9f94c96c477a25d18039a446ac94f0dc7_base_right.log', 'left_right': 'cache/diff_analyzer/logs/mikera/clisk/0e1e5cb4148cc9492b36fb6f0b0f4734d0e05702_1cc048b9f94c96c477a25d18039a446ac94f0dc7_left_right.log'}",False,False
