idx,branch_name,merge,left,right,notes,test merge,diff contains java file,sampled for testing
1,refs/remotes/origin/pull/20,fc1aac6edaa29cb6de0040f972ee4b42bf480c05,e668ce0331905c35550e4d8df269fb210e6944a1,31f6d35e5f6700d349bbd9c4e3205109be0da1d7,,False,False,False
2,refs/remotes/origin/pull/53,ad9ed7a123aa7eb7bd45869c5500b25a6e84b625,e4c5742de295df6d9e36bb0870f3e0db8dea5bd9,970f9788badfd27502ec6aad3c57e4dcb82af9d2,,False,False,False
3,refs/remotes/origin/pull/53,e4c5742de295df6d9e36bb0870f3e0db8dea5bd9,593eb3f80c35d82de1e7c00619cedb2bdeb67378,2efcc9a50a4b0181cc836a4b6f6ee09c16da8cb3,,False,False,False
4,refs/remotes/origin/pull/53,970f9788badfd27502ec6aad3c57e4dcb82af9d2,593eb3f80c35d82de1e7c00619cedb2bdeb67378,2efcc9a50a4b0181cc836a4b6f6ee09c16da8cb3,,False,False,False
5,refs/remotes/origin/pull/53,593eb3f80c35d82de1e7c00619cedb2bdeb67378,ceecbaea7da2744ce614dfeacdd39b84ba010580,1166ba00808fb423ffd69db6b7e4736f32d71463,,False,False,False
6,refs/remotes/origin/pull/53,2efcc9a50a4b0181cc836a4b6f6ee09c16da8cb3,ceecbaea7da2744ce614dfeacdd39b84ba010580,1166ba00808fb423ffd69db6b7e4736f32d71463,,False,False,False
7,refs/remotes/origin/pull/53,ceecbaea7da2744ce614dfeacdd39b84ba010580,5c07f9e8e54b8f643694972379fe07b0bcc01da2,c4d8698f507159f8827e0762387fc7239fcb7fc6,,False,False,False
8,refs/remotes/origin/pull/53,5c07f9e8e54b8f643694972379fe07b0bcc01da2,018d1ee7ca7ed4573f3273a11020dcd1a0777975,58930794b5ae767e8f4ea1c5c57c5e3fe5fcf09b,,False,False,False
9,refs/remotes/origin/pull/53,c4d8698f507159f8827e0762387fc7239fcb7fc6,018d1ee7ca7ed4573f3273a11020dcd1a0777975,58930794b5ae767e8f4ea1c5c57c5e3fe5fcf09b,,False,False,False
10,refs/remotes/origin/pull/53,018d1ee7ca7ed4573f3273a11020dcd1a0777975,b0280ef9eddceee0e804fe1b80d4991ed4007ac5,904098dd6376871b53f0db7560eb02526c92d0b4,,False,False,False
11,refs/remotes/origin/pull/53,58930794b5ae767e8f4ea1c5c57c5e3fe5fcf09b,b0280ef9eddceee0e804fe1b80d4991ed4007ac5,904098dd6376871b53f0db7560eb02526c92d0b4,,False,False,False
