idx,branch_name,merge,left,right,notes,union_diff_files,num_intersecting_files,num_diff_lines,num_diff_hunks,diff contains java file,imports_involved,left parent test result,left_tree_fingerprint,non_java_involved,num_diff_files,parents pass,right parent test result,right_tree_fingerprint,test merge,sampled for testing
1,refs/heads/master,dc9fb521003c8738c31d6908bf0af383d0448f29,c6215b8f0c1a9ebb144c495b3c694f4ca8303375,489e1bb435ef8e8f0a19185d58080b9c9e1f907f,,3,1,62,2,False,False,,,True,3,,,,False,False
2,refs/heads/master,149ff2e7a03cd1ae7608e80696cd6290359ff5ab,15f2cd94af2982cb549eec59b999c7b4080821e3,bda522f7fc28d197cde3bad5bcae1cc32466a741,,3,2,8,4,False,False,,,True,3,,,,False,False
3,refs/heads/master,15f2cd94af2982cb549eec59b999c7b4080821e3,06669e24d18771573150135d19e1063fd76aa854,5a5e09d80de79ac4f05308db6fed20947a78c156,,8,7,16,5,False,False,,,True,3,,,,False,False
4,refs/heads/master,7c87d9dbc33fcd579a4ffa02a0b8777bb31cd9f6,fb0ae60a9ebdb0910f4e1ce82e5a069965532fc4,5819ec3cc7e4bfe649d3152d170a31ee809281f5,,60,2,2261,279,False,True,,,True,60,,,,False,False
5,refs/heads/master,a0e4c4affb26558cd60574073c39681defdcf954,7a7a348040753f9ea915cb5a8f06e66fba1b9adc,d8ac1e2274071f67eb86643b71bc7704772a045e,,28,5,952,149,True,True,Tests_passed,16221b2b7a88556270dea2d1ce13961f7ac08814fc04e2774206107367c9ead8,True,28,True,Tests_passed,bd0e1cdfe3c8392f6b2b533b04ea4fae823450491407739a0be829c63d6d5b21,True,True
8,refs/heads/master,b7ba1f57d82a6fa79e77d1638a2f0602881a5fcc,e7635010554ffa574cd132dee8a9a946fc10bc60,d69e26facbb8c394d5bf12ff54410c497da08c2e,,11,3,55,22,False,True,,,True,10,,,,False,False
9,refs/heads/master,96d01a536c4d99deca3f20d9fef19949f60ee13c,63f75e522af7a9ea9494b85386ba20689a7ec570,2628ead17d59abbf608bba9a1ecc1c2ef671d8bc,,11,2,46,18,True,True,Tests_passed,ac707592c761827ef631ca09d363d1108b8636ac9381704cb0fef1d4d51a0b4e,True,11,True,Tests_passed,652e1545a5dbb3a3654b12e64553c6340c68bf8a07e7c4aec9a8eb354af00962,True,True
10,refs/heads/master,de57c8fa8519bfe6ba213a3bf340b356080d199e,002ddebccbb33eeb2945170338703ce03947f1b8,f2ba8dc8f8bcf5c92a88bc2afcdacba9672df68b,,6,1,164,7,False,True,,,True,6,,,,False,False
11,refs/heads/master,f580b0a2a7d4fe952133360ad799a036aaf31026,256efd16f74535a6eb24ea60d0ccd695bb76d880,d91dce7e54e8a768b631eb58b2c20b56cf938d23,,3,1,257,3,False,False,,,True,3,,,,False,False
12,refs/remotes/origin/pull/60,f85bd97e13cdc7bead8f9bd64d734aee28baee90,acbe4c7738228b93b8d5a7f6c402e0c378da774b,48b73403e2a8e3250089820697aff2632cd7928c,,48,2,329,101,False,True,,,True,48,,,,False,False
13,refs/remotes/origin/pull/63,50ef81d6971ce97277810a9f4f2f013e7c76477d,c1590a3dfe464180a839fce83c46e303a5160134,d03dadf097477fe84f38fbc27cdf917174ad18b9,,4,2,15,7,True,False,Tests_passed,36b011185ec77aeab7b5544e4584ebf7b96604e2e0553384cc9ffd610d8a51d2,True,4,True,Tests_passed,859393f6dc3311a2fd081cc1dfa2b43e26093d1bf12e2e84e413ac9bfc4ca484,True,True
