idx,branch_name,merge,left,right,notes,diff contains java file,imports_involved,non_java_involved,num_diff_files,num_diff_lines,test merge,left parent test result,left_tree_fingerprint,parents pass,right parent test result,right_tree_fingerprint,sampled for testing
1,refs/heads/master,449012e485c42f12fcf0fc464293f547b14e3d9b,56ddaca5626b63c2ec30bdf0a888992068e4afcd,82a23494ee974b3fed589b8333480ba7d575a521,,False,False,True,2,0,False,,,,,,False
2,refs/heads/master,b945478cdfa5bc6784665e0d19a44acb8269f1f8,05fc03bd66796b83ef200dbbc0a13d0e806b1333,a335c577ab7d625535fe312eda63e0a4c7b99b46,,False,True,True,4,91,False,,,,,,False
3,refs/heads/master,c481686ed7c16bde335a7be7065d30244e619151,cf15abc088747d0ccf956a66ccfd70f221528284,54af44116ad72786074dbc92a38a82d61b57cfd5,,False,True,True,4,46,False,,,,,,False
4,refs/heads/master,9d429746a15929285eace9e341d796cc1167ee20,537c92585a60610ac0647744692b8d47ee9be9e0,0f9eb97ce71abf64eb4b00908e8608bd006883ba,,False,True,True,4,40,False,,,,,,False
5,refs/heads/master,33d3b6766974e6dff551cfe51acc66c75a566f36,87afbf46d0f874f54cef4df9e00a088f60866dd5,df721e33259319c517949bda33ef007ae1d0ae10,,False,False,True,2,71,False,,,,,,False
6,refs/heads/master,2159d408eeb4fabc702578ee5a651e172053735b,cb89013f774cabe7b180609e4829dd8a663ab9dd,9fb543811ba5e5d42bf254f05d68f899468c51af,,False,True,True,3,0,False,,,,,,False
7,refs/heads/master,9fb543811ba5e5d42bf254f05d68f899468c51af,f84d3693bc75227cd38bdec2151c368feed67299,1601bf910abbbf8b7264e6b19026964313a6d680,,False,False,True,2,14,False,,,,,,False
8,refs/heads/master,b7d1cf0d163f01326ae38c7e5505cbced88ec3e2,5a6a11fb76251ff05d4f75ad9d9851ba5e3d63d0,d6deaddcdb8a5eec7b9cffcd4b5704e7ecc14f24,,False,True,True,11,127,False,,,,,,False
9,refs/heads/master,7ec150157e5ed03b1b10622ecbbd68cfe61f5694,4850b1259ef7e32cd00b18b621c91462393f8725,fe18b8fc105996f099d04ff754010d99b6446857,,False,True,True,6,96,False,,,,,,False
10,refs/heads/master,0fbdb6b0749b3f32108de3a023febb2139ce6cbf,d6a879b75d92ab5cc4c69d1c1d6e50336682d8bd,9859a900a025b294151695705d083aa700909422,,False,True,True,4,0,False,,,,,,False
11,refs/heads/master,fd4282c8bade14f1a4a28d964dbe74fdb9a43eba,74c81b4bfc3a7d1c92d68304fda9482a9c3f339a,6a495feb1b79f70c15271023c16bd466d081f2aa,,False,True,True,4,93,False,,,,,,False
12,refs/heads/master,dfe0d4b0d3fbd0a4393851b7f5d358fa8469b9ae,ab43d4def67a5a9e5c8dc7561fca2ec027593afc,a0070b3a564cd660563817427402b2f223f11a59,,False,True,True,6,60,False,,,,,,False
13,refs/heads/master,ab43d4def67a5a9e5c8dc7561fca2ec027593afc,868c18e17a3e1b8ff858bf7b20caaf3fc9ca4305,7d7828506898913fccf967a38745d55d849eb30e,,True,True,True,6,52,False,Tests_failed,01cba5351906d45a62c76444bf8a41e849f63101aa2f75d4e7a7d6d54bf529b7,False,Tests_failed,c3c956d85aa48f79931734de1d3b352645b4164f0547bb578933741ab0984c2e,False
14,refs/heads/master,734f0c97b0f3c51d2b88b14748999eac840edf3d,d72a614ad846e214ac98d7628aa08d541ccfe4c9,2b97eed27b1fc79970332ab0b75e6e50f87e4e50,,False,False,True,4,1,False,,,,,,False
16,refs/heads/master,bf2506ea38a644f775d99b207a01e896cea33638,85567ecffc08374a8cf2eb4c1f888944aa4e4b37,cfe065182dd598cf347b4ba974c2bc127d2ee209,,False,True,True,9,79,False,,,,,,False
17,refs/heads/master,5592da2664c4263ec380edad68fed3aebb696b62,cb28557c4cdf20514fd02a754a93ae3019b4afc6,e429feaf6c806bf8f9619a25fab7437dad840367,,False,True,True,13,126,False,,,,,,False
18,refs/heads/master,291db9544a59ec946d754538a9041f6633eda766,06287f6eed1e339b4fb58f8615d0d97549b88c32,8f3a8f2c1dd078bc77a888c6b6ca4fb9fe0bedc1,,True,False,True,4,0,False,Tests_failed,f7305d04b14cd9a5084e2971e7617f8f0316c485d5173b30081fe6f1c1f1f9a6,False,Tests_failed,b89e39c6fe82e1b354f83b9c28d8bf85761ccb4162f372e1b0f2b8bf3fd1c1b5,False
19,refs/heads/master,c95e118b29f099ed21ee67a298b1881ee4afafab,e3afa000ebd7a7b67013a1ce28a6820f4b8ba1db,b47e8a2d24fc6a464b6839d9f92ed00a9312f045,,False,False,True,2,0,False,,,,,,False
20,refs/heads/master,8a64008ee143ab87ac62cd71f1b8dcf0553b75c3,32ee6993371d4e8ca1a3bb98a438945a2f55d0d7,4aa7c5f3771847b4591d232785b4968d2f587417,,False,False,True,2,2,False,,,,,,False
21,refs/heads/master,327f1a91c3cc488491c6fc62ea0e723bc27d49ff,74024e406a81c9de14b52da8680a42f6bb06a9e1,bb23f101e6f52cd081f628af85bad5700154c05c,,False,True,True,11,11,False,,,,,,False
22,refs/heads/master,0e2526843db8c60847fa638ec1e0ef378abbf2cd,d2c2dad2ab3350ebcb9b82a8c4e75f63d1fb7c0b,6dd07b3eaa635072bf2c32bdc4f0d8467af99279,,False,True,True,8,281,False,,,,,,False
23,refs/heads/master,06089aff71e65df85a1c5c36dd9e28552690a0dc,657d3fb122e0396889ec7b6ce46f3f8dc7da3020,0c901fc9f5732631636be8b77fb0bd69ac9047ef,,False,True,True,9,129,False,,,,,,False
24,refs/heads/master,85b08b58b70ad0c168ca9755dcde484eab026465,882906016b6a7448c81a72e09a1b94b38d9e75c2,a3fb559e53fdbb5b43116292b03155b3ef374443,,False,True,True,6,12,False,,,,,,False
25,refs/heads/master,78a9c73cfbba9b76affde351c85a802c3b618b8d,628769c0b0c14a734a4654d60c1aa78662b4ca8e,d042938f4611b824224f97213d1f652f60e01c80,,False,True,True,4,130,False,,,,,,False
