idx,branch_name,merge,left,right,notes,test merge,diff contains java file,left_tree_fingerprint,left parent test result,left parent test coverage,right_tree_fingerprint,right parent test result,right parent test coverage,parents pass,sampled for testing
1,refs/heads/master,0eb06719323b5c7a7c3a6aab817b4cb22734e5d5,5d603f50d20512d2facc16d7c4eca91922573d69,f814ff463bb22d5c4a6a3bde4d618ac3c8c66f99,,False,False,,,,,,,,False
4,refs/heads/master,c686a611def9c638c04ea6136f34970d8153619e,15ce59f3a48741a0d43abb38b126c4b72638cbe8,bf8c727432386d2c7463e80a0adcd0011338c176,,True,True,62d97d2d1be66e13f28c92e07f7d4d3f00b72872076f5395100259bfb3a7c34e,Tests_passed,0.0,1ebc785ee159cd814cf634e11563f60db97fe025375b13654ce5f6b90e38055f,Tests_passed,0.0,True,True
5,refs/heads/master,08bf4ab3c0690cc5e1ae570a8be0a51c54aef6d2,60755f93c540565c5de7a00c44418b088a8e2d63,2c332a26b6f3f8b0dc327ce6ee1a9d0c99a5533d,,False,True,2cd7cc05cc70787283ef514674302c373cab51d29b00a8496118e4aff25efc02,Tests_failed,0.0,ab9a9f85b742bc73f1ba09b5f0c18534605db600ecbebc840da0c192f82936ea,Tests_failed,0.0,False,False
6,refs/heads/master,830e59091580942745741b6fa7b73862532af2bf,e087d698f5d14ab245a4d41b605e27ee553710e0,e4a457569dbdbdd5ffbcb622b73d15ae4823253c,,False,False,,,,,,,,False
7,refs/heads/master,472f85a215a879499500f5b8d0537866d0a03fdc,74e4c40b4cb6eec28143aed284ed790c6e498135,cc7b9e2c9573e55bdfadd862526df13e0388538c,,False,True,a96fb6c763060b5573ef69ad0dc3bbcb370d9bc8b87d38b3b58989d895d2309b,Tests_failed,0.0,704a6064574c50b79d259f60ebc271b9567a1ad9b64f5274bd566fa9eee5decb,Tests_failed,0.0,False,False
8,refs/heads/master,0dde2eb0b2a973de1707e8d03f0cd7843dec1a89,97db23decd210f9517a497511035422e02e187e4,cee744a0a1ef5fd2ae02a90f658f5be11d638ad6,,False,True,f98c437fdf3cc7fc600b6e15e566b86f7c2b3f8d9afb69e185f53be8b5966f66,Tests_failed,0.0,32533865a57744cc2f9d24132ac2bdd10adac77538bfc2ad32a440991ec6dd42,Tests_failed,0.0,False,False
