idx,branch_name,merge,left,right,notes,num_diff_files,num_diff_lines,imports_involved,non_java_involved,diff contains java file,diff_logs,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,test merge,sampled for testing
32,refs/heads/master,38bc5ebbfeb2efebcba21582a8c1212e16e819b7,8880073a7e97226829835ab498fcf3ddff7a296c,fdf5e9a942f1c1e8e6a5a3040e301876f399597f,,4,87,False,True,False,"{'base_left': 'cache/diff_analyzer/logs/tumblr/jumblr/8880073a7e97226829835ab498fcf3ddff7a296c_fdf5e9a942f1c1e8e6a5a3040e301876f399597f_base_left.log', 'base_right': 'cache/diff_analyzer/logs/tumblr/jumblr/8880073a7e97226829835ab498fcf3ddff7a296c_fdf5e9a942f1c1e8e6a5a3040e301876f399597f_base_right.log', 'left_right': 'cache/diff_analyzer/logs/tumblr/jumblr/8880073a7e97226829835ab498fcf3ddff7a296c_fdf5e9a942f1c1e8e6a5a3040e301876f399597f_left_right.log'}",,,,,,False,False
35,refs/heads/master,d6f30eabf92b203fe09e07676286553436851533,137e0c3bd4c8963f4ef698e52ae3ac994c5bdccc,dfa50a8e6e1a6c0722350c2993ea83b452b057c3,two initial commits,23,1039,True,True,False,,,,,,,False,False
36,refs/heads/master,9919ffff10187b9c9107e6794b47d0d224138593,6c4838b5980dd446dabef53028cafa6da67b5237,45c9476fd597e84f40cbc584b0040e2e6f6a63bf,two initial commits,25,714,True,True,False,,,,,,,False,False
37,refs/remotes/origin/pull/18,54323b978d80f80e8009fe9943d8ea7e16658414,8f3b5d754b620e791d5839dab64d072918ae7b73,f80a1aa506d226e16a378c8ce7398edfbbcdba4e,,42,1322,True,True,True,"{'base_left': 'cache/diff_analyzer/logs/tumblr/jumblr/8f3b5d754b620e791d5839dab64d072918ae7b73_f80a1aa506d226e16a378c8ce7398edfbbcdba4e_base_left.log', 'base_right': 'cache/diff_analyzer/logs/tumblr/jumblr/8f3b5d754b620e791d5839dab64d072918ae7b73_f80a1aa506d226e16a378c8ce7398edfbbcdba4e_base_right.log', 'left_right': 'cache/diff_analyzer/logs/tumblr/jumblr/8f3b5d754b620e791d5839dab64d072918ae7b73_f80a1aa506d226e16a378c8ce7398edfbbcdba4e_left_right.log'}",e4bca14a4582b88cf6e24169b244151746528167c2566033b08c90e3dab11d2e,Tests_passed,db268983d312ad1aea1f35179abc37a36212bc0391fa48044f1fad539baa4d47,Tests_passed,True,True,True
38,refs/remotes/origin/pull/18,f80a1aa506d226e16a378c8ce7398edfbbcdba4e,7bd1a3a093ace02c2ebc38d3be82b32648347cc8,703a299360ffa0a0dd3eb1fe5f9c09c7bd677863,,11,472,True,True,True,"{'base_left': 'cache/diff_analyzer/logs/tumblr/jumblr/7bd1a3a093ace02c2ebc38d3be82b32648347cc8_703a299360ffa0a0dd3eb1fe5f9c09c7bd677863_base_left.log', 'base_right': 'cache/diff_analyzer/logs/tumblr/jumblr/7bd1a3a093ace02c2ebc38d3be82b32648347cc8_703a299360ffa0a0dd3eb1fe5f9c09c7bd677863_base_right.log', 'left_right': 'cache/diff_analyzer/logs/tumblr/jumblr/7bd1a3a093ace02c2ebc38d3be82b32648347cc8_703a299360ffa0a0dd3eb1fe5f9c09c7bd677863_left_right.log'}",d89d6a5512835c2c9c0957a2b056eb5ae4498e471f5e97d82e1f1f75066c4782,Tests_passed,8653adea3c6acef2fe056b0aee097ee51c9dc87eab1a178f3565d1ad8b1794ee,Tests_passed,True,True,True
39,refs/remotes/origin/pull/18,7bd1a3a093ace02c2ebc38d3be82b32648347cc8,b6eceef13010039abfa0207b9414596c36b44232,560d193ec4b29a3a279a595dfe820c28c2d79572,,10,412,True,True,True,"{'base_left': 'cache/diff_analyzer/logs/tumblr/jumblr/b6eceef13010039abfa0207b9414596c36b44232_560d193ec4b29a3a279a595dfe820c28c2d79572_base_left.log', 'base_right': 'cache/diff_analyzer/logs/tumblr/jumblr/b6eceef13010039abfa0207b9414596c36b44232_560d193ec4b29a3a279a595dfe820c28c2d79572_base_right.log', 'left_right': 'cache/diff_analyzer/logs/tumblr/jumblr/b6eceef13010039abfa0207b9414596c36b44232_560d193ec4b29a3a279a595dfe820c28c2d79572_left_right.log'}",9b4ca1edb7927cd6698f011538d47fd7e0d69ae74ffd94c58138fe6d452fd1d1,Tests_passed,dc26af4cb9ee9d74196fdf731bdcf20316a7e1cdee7034ec39d377f605393cec,Tests_passed,True,True,True
41,refs/remotes/origin/pull/63,73606afe20ef29e8242f25aeca1e71b49bf698a7,41a338ca87191706fa1a6bb26f511bbcc4afa0da,cf46aa4e3757231e49ec4bd7ff0ee7f4a78404ba,,17,237,True,True,True,"{'base_left': 'cache/diff_analyzer/logs/tumblr/jumblr/41a338ca87191706fa1a6bb26f511bbcc4afa0da_cf46aa4e3757231e49ec4bd7ff0ee7f4a78404ba_base_left.log', 'base_right': 'cache/diff_analyzer/logs/tumblr/jumblr/41a338ca87191706fa1a6bb26f511bbcc4afa0da_cf46aa4e3757231e49ec4bd7ff0ee7f4a78404ba_base_right.log', 'left_right': 'cache/diff_analyzer/logs/tumblr/jumblr/41a338ca87191706fa1a6bb26f511bbcc4afa0da_cf46aa4e3757231e49ec4bd7ff0ee7f4a78404ba_left_right.log'}",76e39d5903bd922d7dd3f6bc1468821ce9fe86323a50ae9e67ebcacbe1f8979f,Tests_failed,5001a06fa72f3e5e4b6bef96667ad5c3896165f5550ad66cc8350da6ede4e521,Tests_passed,False,False,False
42,refs/remotes/origin/pull/63,41a338ca87191706fa1a6bb26f511bbcc4afa0da,d254c7c89353f91de57ffa09fe99679a2f357073,d622ba3f07c9983cbddfd523b94f159c151f7e1f,,7,80,True,True,False,"{'base_left': 'cache/diff_analyzer/logs/tumblr/jumblr/d254c7c89353f91de57ffa09fe99679a2f357073_d622ba3f07c9983cbddfd523b94f159c151f7e1f_base_left.log', 'base_right': 'cache/diff_analyzer/logs/tumblr/jumblr/d254c7c89353f91de57ffa09fe99679a2f357073_d622ba3f07c9983cbddfd523b94f159c151f7e1f_base_right.log', 'left_right': 'cache/diff_analyzer/logs/tumblr/jumblr/d254c7c89353f91de57ffa09fe99679a2f357073_d622ba3f07c9983cbddfd523b94f159c151f7e1f_left_right.log'}",,,,,,False,False
43,refs/remotes/origin/pull/85,aa5acea1ce1ff5a105ed40ec43f7e9fc50fca64d,7fe550bd65b005b9e838c24657d8a4392f1e88c2,659b0b6de25ee7f2fd346ca37fc02bb5fd6a1657,,5,87,False,True,True,"{'base_left': 'cache/diff_analyzer/logs/tumblr/jumblr/7fe550bd65b005b9e838c24657d8a4392f1e88c2_659b0b6de25ee7f2fd346ca37fc02bb5fd6a1657_base_left.log', 'base_right': 'cache/diff_analyzer/logs/tumblr/jumblr/7fe550bd65b005b9e838c24657d8a4392f1e88c2_659b0b6de25ee7f2fd346ca37fc02bb5fd6a1657_base_right.log', 'left_right': 'cache/diff_analyzer/logs/tumblr/jumblr/7fe550bd65b005b9e838c24657d8a4392f1e88c2_659b0b6de25ee7f2fd346ca37fc02bb5fd6a1657_left_right.log'}",441e76e310fc24de8fe9e426c6133a99436022b4615040d44b394fad95824bfd,Tests_passed,c581a340368a69a4a1bb2ee01405afb1155319ea46b0e635fc8284f76022b39f,Tests_passed,True,True,True
44,refs/remotes/origin/pull/85,7fe550bd65b005b9e838c24657d8a4392f1e88c2,3aefa52134d4fa4e814e3a8d72b629d81d8e45ca,ffd45a8c5027053dde72eaafb574e7114b9407a0,,4,65,False,True,False,"{'base_left': 'cache/diff_analyzer/logs/tumblr/jumblr/3aefa52134d4fa4e814e3a8d72b629d81d8e45ca_ffd45a8c5027053dde72eaafb574e7114b9407a0_base_left.log', 'base_right': 'cache/diff_analyzer/logs/tumblr/jumblr/3aefa52134d4fa4e814e3a8d72b629d81d8e45ca_ffd45a8c5027053dde72eaafb574e7114b9407a0_base_right.log', 'left_right': 'cache/diff_analyzer/logs/tumblr/jumblr/3aefa52134d4fa4e814e3a8d72b629d81d8e45ca_ffd45a8c5027053dde72eaafb574e7114b9407a0_left_right.log'}",,,,,,False,False
