idx,branch_name,merge,left,right,notes,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,diff contains java file,test merge,sampled for testing,gitmerge_ort,gitmerge_ort_merge_fingerprint,gitmerge_ort_ignorespace,gitmerge_ort_ignorespace_merge_fingerprint,gitmerge_resolve,gitmerge_resolve_merge_fingerprint,gitmerge_recursive_histogram,gitmerge_recursive_histogram_merge_fingerprint,gitmerge_recursive_ignorespace,gitmerge_recursive_ignorespace_merge_fingerprint,gitmerge_recursive_minimal,gitmerge_recursive_minimal_merge_fingerprint,gitmerge_recursive_myers,gitmerge_recursive_myers_merge_fingerprint,gitmerge_recursive_patience,gitmerge_recursive_patience_merge_fingerprint,gitmerge_ort_adjacent,gitmerge_ort_adjacent_merge_fingerprint,gitmerge_ort_imports,gitmerge_ort_imports_merge_fingerprint,gitmerge_ort_imports_ignorespace,gitmerge_ort_imports_ignorespace_merge_fingerprint,git_hires_merge,git_hires_merge_merge_fingerprint,spork,spork_merge_fingerprint,intellimerge,intellimerge_merge_fingerprint
3,refs/heads/master,4446e601096aa1bcdad3b88c6814cdbd5162a6cc,b93fb76bb3d52991f492354d7b60e7cbf0d50430,2fe840c6d539ce0afdf0bf55e50b5de25b1c3d75,,535d28373b48c00b2bf19758056905e385d2cf0aefdfe165ef0ccb303b83118d,Tests_passed,54985f92d8620d6f1d5ccb2515850cb0aa8432c9d53e9b50b9c0d2055617e839,Tests_passed,True,True,True,True,Tests_passed,7d1f35dc3701cfa4469eeb77d86a28000f78ddeea6300cecaa16530aacc8a3f7,Tests_passed,7d1f35dc3701cfa4469eeb77d86a28000f78ddeea6300cecaa16530aacc8a3f7,Tests_passed,7d1f35dc3701cfa4469eeb77d86a28000f78ddeea6300cecaa16530aacc8a3f7,Tests_passed,7d1f35dc3701cfa4469eeb77d86a28000f78ddeea6300cecaa16530aacc8a3f7,Tests_passed,7d1f35dc3701cfa4469eeb77d86a28000f78ddeea6300cecaa16530aacc8a3f7,Tests_passed,7d1f35dc3701cfa4469eeb77d86a28000f78ddeea6300cecaa16530aacc8a3f7,Tests_passed,7d1f35dc3701cfa4469eeb77d86a28000f78ddeea6300cecaa16530aacc8a3f7,Tests_passed,7d1f35dc3701cfa4469eeb77d86a28000f78ddeea6300cecaa16530aacc8a3f7,Tests_passed,7d1f35dc3701cfa4469eeb77d86a28000f78ddeea6300cecaa16530aacc8a3f7,Tests_passed,7d1f35dc3701cfa4469eeb77d86a28000f78ddeea6300cecaa16530aacc8a3f7,Tests_passed,7d1f35dc3701cfa4469eeb77d86a28000f78ddeea6300cecaa16530aacc8a3f7,Tests_passed,7d1f35dc3701cfa4469eeb77d86a28000f78ddeea6300cecaa16530aacc8a3f7,Tests_failed,78b4e0c38c003acaaa3688da60e2a72eae25d49f05824dc9be233c3dc7bd2570,Tests_passed,7d1f35dc3701cfa4469eeb77d86a28000f78ddeea6300cecaa16530aacc8a3f7
7,refs/heads/master,38eb005d4af26d4efac55ee553a324707ca75486,0f668972d2ea34b04685aa7d8ea4dc20924e1dad,0671ea4bf8142f1731e00ac44c10b73abce310d4,,9251f95f877e91999a10b5e5d5cbaa6399c9e608b994e19cd3d317d04f07b032,Tests_passed,640b135b2fcfa2a26afe641df242f6c416b7642895fdb16e6ab9f5da7967f1ae,Tests_passed,True,True,True,True,Tests_passed,74e49084f047e5a681d08b34401ee4fcc6e851d5db499654464efc9e686624c2,Tests_passed,d6ed36edeee792bf68a333fe93137a62fda097a1bf6c0d9fa29c39d265166283,Tests_passed,74e49084f047e5a681d08b34401ee4fcc6e851d5db499654464efc9e686624c2,Tests_passed,74e49084f047e5a681d08b34401ee4fcc6e851d5db499654464efc9e686624c2,Tests_passed,d6ed36edeee792bf68a333fe93137a62fda097a1bf6c0d9fa29c39d265166283,Tests_passed,74e49084f047e5a681d08b34401ee4fcc6e851d5db499654464efc9e686624c2,Tests_passed,74e49084f047e5a681d08b34401ee4fcc6e851d5db499654464efc9e686624c2,Tests_passed,74e49084f047e5a681d08b34401ee4fcc6e851d5db499654464efc9e686624c2,Tests_passed,74e49084f047e5a681d08b34401ee4fcc6e851d5db499654464efc9e686624c2,Tests_passed,74e49084f047e5a681d08b34401ee4fcc6e851d5db499654464efc9e686624c2,Tests_passed,d6ed36edeee792bf68a333fe93137a62fda097a1bf6c0d9fa29c39d265166283,Tests_passed,74e49084f047e5a681d08b34401ee4fcc6e851d5db499654464efc9e686624c2,Tests_passed,4780a060a9eb4de8b11de8bf82b1edf1e4b5b67b0059e2afbe236d766384aeb1,Tests_passed,74e49084f047e5a681d08b34401ee4fcc6e851d5db499654464efc9e686624c2
9,refs/heads/master,6e79bb2e0be82c7275b311de37af11a665452928,18072b1256c9b409789af05143f9f396a348ad4c,3ea91ab06b0126adc71a59a28d9956a9408a8a76,,7303bc2e2514d2044169872f413198a74ff3690cb624d583ab605b0a2e14ebc4,Tests_passed,00cd69be234e5e2200f9e110c743381f38c2c2d8db42814e271fd7235ef8ad13,Tests_passed,True,True,True,True,Tests_passed,e3eeaa4dbdc3f23cec3da7b3a190ade329b60ec54d242a2b22d2303d19474cde,Tests_passed,e3eeaa4dbdc3f23cec3da7b3a190ade329b60ec54d242a2b22d2303d19474cde,Tests_passed,e3eeaa4dbdc3f23cec3da7b3a190ade329b60ec54d242a2b22d2303d19474cde,Tests_passed,e3eeaa4dbdc3f23cec3da7b3a190ade329b60ec54d242a2b22d2303d19474cde,Tests_passed,e3eeaa4dbdc3f23cec3da7b3a190ade329b60ec54d242a2b22d2303d19474cde,Tests_passed,e3eeaa4dbdc3f23cec3da7b3a190ade329b60ec54d242a2b22d2303d19474cde,Tests_passed,e3eeaa4dbdc3f23cec3da7b3a190ade329b60ec54d242a2b22d2303d19474cde,Tests_passed,e3eeaa4dbdc3f23cec3da7b3a190ade329b60ec54d242a2b22d2303d19474cde,Tests_passed,e3eeaa4dbdc3f23cec3da7b3a190ade329b60ec54d242a2b22d2303d19474cde,Tests_passed,e3eeaa4dbdc3f23cec3da7b3a190ade329b60ec54d242a2b22d2303d19474cde,Tests_passed,e3eeaa4dbdc3f23cec3da7b3a190ade329b60ec54d242a2b22d2303d19474cde,Tests_passed,e3eeaa4dbdc3f23cec3da7b3a190ade329b60ec54d242a2b22d2303d19474cde,Tests_passed,db939278ce4442a2729461bc018725da17c4a914b093708b466a94eae2600aea,Tests_passed,e3eeaa4dbdc3f23cec3da7b3a190ade329b60ec54d242a2b22d2303d19474cde
10,refs/heads/master,18072b1256c9b409789af05143f9f396a348ad4c,17e8e4a97f66fc00e8ff23fb42f3033f7166b2b3,40618944bb5b341cf799e2532190cd305954e35c,,729acd5f7bd17635c1484ee29e18bbcd2ea05a9e4e73c875826f6cfcac3a4084,Tests_passed,3f72f95b5c0ab399ce0328a72d97cc08ba729fac9006ab9db539b0ceb7c5340c,Tests_passed,True,True,True,True,Tests_passed,7303bc2e2514d2044169872f413198a74ff3690cb624d583ab605b0a2e14ebc4,Tests_passed,7303bc2e2514d2044169872f413198a74ff3690cb624d583ab605b0a2e14ebc4,Tests_passed,7303bc2e2514d2044169872f413198a74ff3690cb624d583ab605b0a2e14ebc4,Tests_passed,7303bc2e2514d2044169872f413198a74ff3690cb624d583ab605b0a2e14ebc4,Tests_passed,7303bc2e2514d2044169872f413198a74ff3690cb624d583ab605b0a2e14ebc4,Tests_passed,7303bc2e2514d2044169872f413198a74ff3690cb624d583ab605b0a2e14ebc4,Tests_passed,7303bc2e2514d2044169872f413198a74ff3690cb624d583ab605b0a2e14ebc4,Tests_passed,7303bc2e2514d2044169872f413198a74ff3690cb624d583ab605b0a2e14ebc4,Tests_passed,7303bc2e2514d2044169872f413198a74ff3690cb624d583ab605b0a2e14ebc4,Tests_passed,7303bc2e2514d2044169872f413198a74ff3690cb624d583ab605b0a2e14ebc4,Tests_passed,7303bc2e2514d2044169872f413198a74ff3690cb624d583ab605b0a2e14ebc4,Tests_passed,7303bc2e2514d2044169872f413198a74ff3690cb624d583ab605b0a2e14ebc4,Tests_failed,f61317c158954c55244ab66ec834caeae4f6cbeebc488a1a06c985412da09943,Tests_passed,7303bc2e2514d2044169872f413198a74ff3690cb624d583ab605b0a2e14ebc4
15,refs/heads/master,fca758e17d1e1de34ab4ab3c7fec162cc9a933f6,0565109209eb92255ad6c21f2f5b471d667363d3,c83f9964fcde966e0e259648965e5e3ffc3c69c0,,553f0a867b96ef3c416ada65f30f2a4341707d7c99dbd4fc4f57ec13c2170992,Tests_passed,6685ad4ac4d2420ac971d680a53b89108d53cb3521a40f1b3ee61aa7a50c69bd,Tests_passed,True,True,True,True,Tests_passed,a58ba8589159e12c9b2ac97da6605c43a69a7ecf5e046b6db8baf06ea6c531a0,Tests_passed,a58ba8589159e12c9b2ac97da6605c43a69a7ecf5e046b6db8baf06ea6c531a0,Tests_passed,a58ba8589159e12c9b2ac97da6605c43a69a7ecf5e046b6db8baf06ea6c531a0,Tests_passed,a58ba8589159e12c9b2ac97da6605c43a69a7ecf5e046b6db8baf06ea6c531a0,Tests_passed,a58ba8589159e12c9b2ac97da6605c43a69a7ecf5e046b6db8baf06ea6c531a0,Tests_passed,a58ba8589159e12c9b2ac97da6605c43a69a7ecf5e046b6db8baf06ea6c531a0,Tests_passed,a58ba8589159e12c9b2ac97da6605c43a69a7ecf5e046b6db8baf06ea6c531a0,Tests_passed,a58ba8589159e12c9b2ac97da6605c43a69a7ecf5e046b6db8baf06ea6c531a0,Tests_passed,a58ba8589159e12c9b2ac97da6605c43a69a7ecf5e046b6db8baf06ea6c531a0,Tests_passed,a58ba8589159e12c9b2ac97da6605c43a69a7ecf5e046b6db8baf06ea6c531a0,Tests_passed,a58ba8589159e12c9b2ac97da6605c43a69a7ecf5e046b6db8baf06ea6c531a0,Tests_passed,a58ba8589159e12c9b2ac97da6605c43a69a7ecf5e046b6db8baf06ea6c531a0,Tests_passed,6316e193f957043ac6cc995f5d502965e2d84954832b6802fd0c3808ce01d157,Tests_passed,a58ba8589159e12c9b2ac97da6605c43a69a7ecf5e046b6db8baf06ea6c531a0
