idx,branch_name,merge,left,right,notes,diff contains java file,imports_involved,non_java_involved,num_diff_files,num_diff_lines,test merge,left parent test result,left_tree_fingerprint,parents pass,right parent test result,right_tree_fingerprint,sampled for testing
1,refs/heads/master,915b09d58a79ddd942d65a30dcf7cbd2bb7ea316,9a7f444a5086633e7c05a9510ead781d5d246339,0ae17ce1622ff626ee9dbc28f0af338951541849,,False,False,True,2,4.0,False,,,,,,False
3,refs/heads/master,e843db5c58c30b640fda79e0f3da9bf6f3d4d6dc,f228619f286d7bf0d208d8d6f27d4b349cd1b10c,209a196906d81a026f10de3f8df563bb1dc99708,,False,True,True,7,105.0,False,,,,,,False
15,refs/heads/master,68560b8acfbc8d47e02be35203410868c31a455e,0144b50a94d17d1f6a3e43368f1ce624b94f2ff7,eed79afb3e3f14f77cf339cff29c0e3dcf56a05c,,False,True,True,11,74.0,False,,,,,,False
16,refs/heads/master,0144b50a94d17d1f6a3e43368f1ce624b94f2ff7,868b1b21be38b90ac4623d02ac9642d8283e0a77,08960a1c0ee14724ba217780493dfa18c03f0086,,False,True,True,8,62.0,False,,,,,,False
18,refs/heads/master,909cc1439fbdc596db87bf4606d49b8079beac47,2698e72d35d51ebc63bae208c67009d34c355adf,30ec2118036948fa9f370d3c62a84d7bb030bac1,,False,True,True,68,3783.0,False,,,,,,False
19,refs/heads/master,445c96797b7ab8b50332b73ae797f59ec15f7e8b,872d1a8204d81f059720a1ff1dc94e7ba42e8d2e,ed4904952974c3a9f2e69dc030f03122236b128c,,True,True,True,65,3783.0,False,Git_checkout_failed,,False,Git_checkout_failed,,False
20,refs/heads/master,872d1a8204d81f059720a1ff1dc94e7ba42e8d2e,e281300c1f5d23b2172dd67c647bd9f517bf71f7,e650a9df3bf519248761476c7f8cbb0eb7c52112,,True,True,True,66,3798.0,False,Tests_passed,1b4a670787bc8a9814ec4fce78c86f9ebbeeba7de061f50aad22ee825d7828f4,False,Tests_failed,7396dfc1783aefa8de486191729d245ba55ca0971485778b65f38dfd92f38afc,False
25,refs/heads/master,a0568839d3374e04acbcbc0c2d56074e63106813,dd81b1c52e6e860337e13f72b2a6541bbc880642,e7ef88a253d139e4722e24b16fd8b7e4a4d251d4,,False,,True,49,,False,,,,,,False
29,refs/heads/master,88b9c36638623f6333fe7703b9aee39132329b36,5ac9e1a7b7dd234860e93a4b3927e93ded732af9,e92c2dd42c0ae7a8f1b3e873b6fb5384de5079de,,True,True,True,125,1999.0,False,Tests_failed,dc5124cae7ecd8eb5333a7ae4701733feff2274df737d1a4d7d6d5d01d61f350,False,Tests_failed,9e2748493bb9c820676ccdb3392126cc8c3e2923bcf0661f80a27800b0fe2438,False
31,refs/heads/master,eae34edeb4cc5390170b78ffc6c7f1e9fc7a69b9,580321ed92863b4a4fbe6a5a1fe793f42aa12e90,ee37cee931c9a86791b1e1e18a38461b6b48a5b2,,False,True,True,17,956.0,False,,,,,,False
32,refs/heads/master,d94f06233bc4e3debff6820b91a857dc3e859e3f,32490b1789a525a27ca1206f15a41670035a0fd8,5a5a7a974a8ba305c8c2f18e649b487f300ac00f,,True,True,True,27,944.0,False,Tests_failed,c2adfe616b3b0b11d57e2bc58f64b00609e7c1e401100af2f9c64609de624a8f,False,Tests_failed,f7ca8a541e05e69e2003024cf1655ddc838e32cf1f1c9deae4fce8d3773b5312,False
33,refs/heads/master,95044a7b40eafcda82e4dcd17d7ea2ffa785d2e9,d89137119be18a3cb109aedcd1ca072cb1252d5a,f427455779a43451f3fc175bdcef9d4f9cc2e023,,False,,True,26,,False,,,,,,False
36,refs/remotes/origin/pull/32,c67988de1e9006760c25616a7eff74093b42bf02,15f7df7f2d5eebd439f80db32161969e92f49c0f,644b88d3d07618a26ea0a666b65dbc814097c391,,False,True,True,16,241.0,False,,,,,,False
37,refs/remotes/origin/pull/58,8a565c2b37d45cde9afc9cad81792bc487885e17,63082e2633fe5af7b730d2749473052d1de81bca,f605ca86f262748dec6ea00381274e4b4112a57a,,False,True,True,4,44.0,False,,,,,,False
38,refs/remotes/origin/pull/60,f83b201e645e716eedc4c3164078612d9d571274,0be55205cd56f2264ed85481e164e974bc7ab804,d35413b32de39d510c4e83135bd19d0cde193cb5,,False,True,True,41,180.0,False,,,,,,False
39,refs/remotes/origin/pull/60,d35413b32de39d510c4e83135bd19d0cde193cb5,8a565c2b37d45cde9afc9cad81792bc487885e17,dd812c3d70cfc1d1c38f7880ce6a60f67b7649ff,,True,True,True,38,121.0,True,Tests_passed,4d6e1c007ac90b5747bd6ca343549ecf0593674cee7aecd88576b950b8626011,True,Tests_passed,1b1d7d2e30d2950d052ed3cd0e8410aef64481566968c1eb29f8615fca02ac6e,True
40,refs/remotes/origin/pull/61,88be680a758bd1873bbabef4cf0a70d52220d333,f83b201e645e716eedc4c3164078612d9d571274,a4661012e34163ba24fa216b5d252831a25e6546,,True,True,True,9,98.0,True,Tests_passed,32026961cc0cf7ef2360fb62d63d102b980828a121a33adb5eef06445cc53ad8,True,Tests_passed,41bcb0b98c3473869ebf9a04842abd4900e731b14db2f64dc3b4b854c2a34126,True
41,refs/remotes/origin/pull/63,a4b9f64127c791bde29ef33d5bad382af9d1ef40,d35413b32de39d510c4e83135bd19d0cde193cb5,a4661012e34163ba24fa216b5d252831a25e6546,,False,True,True,7,43.0,False,,,,,,False
