idx,branch_name,merge,left,right,notes,diff contains java file,imports_involved,left parent test result,left_tree_fingerprint,non_java_involved,num_diff_files,num_diff_hunks,num_diff_lines,num_intersecting_files,parents pass,right parent test result,right_tree_fingerprint,test merge,union_diff_files,sampled for testing
1,refs/heads/develop,8645c40bff276a0d2239fbe67367f1f1c99fa7c1,03c247ca7cd3674771b5d8b0d03ba1a9add428bc,15933c1e84e50c7e71ddfa5af73c8a2990a91100,,False,False,,,True,4,8,55,1,,,,False,4,False
3,refs/heads/develop,c16e710b833084c650fce35aa8c1ccaf83cd93ef,732866cc6d60b37560b987d86f1107692ad67bd7,8fc320f9ebfd01f9d317fea3695f013a14045462,,False,False,,,True,3,4,7,1,,,,False,3,False
4,refs/heads/develop,6a9f52a5377a484397eeca4b0511f356f493696f,b5d69b0f71bc1c237a812300dc16d329c3168af9,17deab171882d57f5d02052ea6e631cb11aa0d55,,True,True,Tests_passed,d16c36cf32321568dc09a886f2ca9251ed8dd7a9446205f671072016ca8a5ad5,True,26,138,2386,2,True,Tests_passed,f2e4909ccc10ba1af65a62ec0cae23af0331e8fc10a800aa2ef2aa9cf7df80b3,True,26,True
5,refs/heads/develop,17deab171882d57f5d02052ea6e631cb11aa0d55,46488ced29a30f06d91e594c3e8e31e4345410d6,9f9fcbcf522fd5cf99bd44b8dfa146bd4bfecf8b,,True,True,Tests_passed,d048ccc41e8a36c201a618801271ae063c616800933def0d128a3d0418ef2901,True,17,105,1757,12,True,Tests_passed,7061200a232d54e21761bb3a497208a97c2d70466f7787f4b61516b866987e72,True,19,True
6,refs/heads/develop,2852e8553b9363628dc21c1186599e714ee1cdad,d6643caba7549416e944aa90fb9d77341605ec61,3b2a04639e85573dcdb099ba8d72c7b8f1856404,,True,True,Tests_passed,aca73dba94f9bb09dc9195d79222708b927473c64afe13c8f9713f32e7e17d0a,True,20,147,791,9,True,Tests_passed,84afe341c70057a6df2407fcd28d96f2a19fec95c0ced69c792befd83e2ca558,True,22,True
7,refs/heads/develop,28f0e7145dfe4847276097b099db2f2324a1d7e3,d8b69a91e9d06d6d8a2a52a467cb738c37eed793,d1c32cb085db89c77226dcfefdc685e99adfada7,,False,False,,,True,2,2,6,5,,,,False,6,False
8,refs/heads/develop,8a2b05ce18ff6c5ee8887b1c320c9735636126da,152e73a41c8180fbd202bb27ed3583b1ee777397,a594e58f631265355a94287e0cfd9b47578b6672,,True,True,Tests_passed,e4f15a55c937dd1f9f609265ef6809f98e8d68a7c0d4d5931738870396136df4,True,7,19,82,2,True,Tests_passed,e5918d1a5989c329661302f6e159a761db9173bfa34311d00fc4f7ed4896ff6f,True,7,True
9,refs/heads/develop,e170433c718a97c885c61566c399a922772632ed,b34bf1ade78b8c8b0efde3bd00c4f69b0bbb4916,a8205717b077ae18e0497b6f4aabfc5d13849cd4,,False,False,,,True,8,10,29,1,,,,False,8,False
10,refs/heads/develop,993299fa8bb62a51826f850ac690e0dac6556bfe,0cc2172b3d1c88a8808fbc18bb146b7cd720c112,20114bdc956fce6edcaaec2518bd79cf18c5866e,,True,True,Tests_passed,5a1fa11a009325b68a7df79a2e5610a8fcc7fc91bfa41b77221a2692107d6c0b,True,11,66,318,3,True,Tests_passed,d1da6a50bacc532444db580cad78b0bd420c9e6eaf8c538aa960e179c2e44969,True,12,True
11,refs/heads/develop,0c8ad470413f7a306a73b87bb9f59bbf4dc5d140,5a4185690c21794b598ce4ea305a5ca5c3fa2633,46f143c21dcf917de344e371a2c825b5fd7f7523,,False,True,,,True,12,34,421,2,,,,False,12,False
