idx,branch_name,merge,left,right,notes,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,diff contains java file,test merge,sampled for testing
2,refs/heads/master,178219568d12c05dd3524305e5aec1e80a060b9f,9c7ad8c20932c67db40c644d5fefdfc0c5959e6e,9d61f7c10e1164eafab79157a1ad1d0b5d357182,,,,,,,False,False,False
3,refs/heads/master,d2c9fa4095426ef69f33b0cd09a3b0735c55c015,0922bce58f6641b72edfdb20b7c00475df03b153,e0df9ffb02b42691faa61a6d3748845f073d6f86,,,,,,,False,False,False
4,refs/heads/master,75d01a83423768ff4c7ef60638c47526426bd0c1,4f683c2aa0394c7192c930936640aa489eff4a55,61401c50b5ea7773140f516745457c8c47ee3b12,,,,,,,False,False,False
9,refs/remotes/origin/pull/706,d30c6f974f18105252fdc1d25e315b7d5ae55511,96183fc85351e5d3b0d8dbe4c5612ddc753361ea,e0133f30708a340df76e4f24517d4e532c5a294a,,0a135a6c2ae67bb6ffdf47c9b425d46e7991b8c6fdbc475329a579b34594c81c,Tests_passed,b3d901d20ccfd34ea4dc1b7122d5a5f52b8e059ae995b3f1b6ba03125ff63f1a,Tests_failed,False,True,False,False
