idx,branch_name,merge,left,right,notes,union_diff_files,num_intersecting_files,num_diff_lines,num_diff_hunks,diff contains java file,imports_involved,non_java_involved,num_diff_files,test merge,left parent test result,left_tree_fingerprint,parents pass,right parent test result,right_tree_fingerprint,sampled for testing
91,refs/remotes/origin/pull/150,2ec0a84f1428304d3d85ed9330f1db8f6e747dd7,ee57df97d0c7469add36fea50fef7ce51dcb3d62,05022790960f58e8d6f23751e5dfe6b3efd03c0b,,27,0,666,78,False,True,True,27,False,,,,,,False
92,refs/remotes/origin/pull/150,ee57df97d0c7469add36fea50fef7ce51dcb3d62,0626be592e9ebc9f3f50506e2021aab704b709c8,7bc5a7d25dcb17d81a38963d031e075ffe845e3a,,4,0,159,10,False,True,True,4,False,,,,,,False
93,refs/remotes/origin/pull/153,7cff1764fe55b5e370c4c867803e0df1ef150a3b,2ec0a84f1428304d3d85ed9330f1db8f6e747dd7,bb66b9b6df68ae7da3d4ca9e5b5ee5fb4fea695d,,19,0,296,53,False,True,True,19,False,,,,,,False
94,refs/remotes/origin/pull/185,d811674703ef93b65126e4ea5fbc525bb9bdc3b4,c14c4c2ee0cc427651e8d5f2127c59c2ce69c7b6,804c890ef3f20c8805f868f4caf9d489172c14a1,,4,1,19,3,False,False,True,4,False,,,,,,False
95,refs/remotes/origin/pull/51,8f48566d62f42705f608c302eb0df414f3434e7e,127d4b86d0637f035bdbf6c2307581a7bdad1eda,2bf72ed95549bda6411c673307cd87d8c4b417b5,,104,12,1960,247,True,True,True,100,False,Tests_failed,25d7c75f8ff56d0459a25abaad85174bbd2fe9ebc9f9b9412dc6e1d8b61addc1,False,Tests_failed,89a608500d63c8cd6e820c51d9699e591a9a3e68f002735cb9753d13e7d757c0,False
96,refs/remotes/origin/pull/51,b5ee4911844fe2b380953287902b1111c85a3132,733d25b801d811dc7fb2b2a57134842a83e23056,03913b1f70b0fe6892eba10d8b74fdb599f12cd2,,28,1,567,65,False,True,True,28,False,,,,,,False
97,refs/remotes/origin/pull/51,03913b1f70b0fe6892eba10d8b74fdb599f12cd2,7ae15b08c075afa9f729b9142c9716b6a5b1d200,5fc6b9ac35765749aac15792569379c2a27a30c1,,44,6,913,86,True,True,True,44,False,Tests_failed,52acc6d2347b2285408d2f38b70ad5e01726be72143d780dacfe6b6f98958e44,False,Tests_failed,5f9c5d38254c8b519569144edb34e9fbfd90cc2db77280a5937c53347d14f754,False
98,refs/remotes/origin/pull/51,78aa833c5d49cc363e5673b232268fd0235927d1,cf6c64cd9bfab1aadba3ec4cc838f6467a1ae994,03505e0ff04844f0154f701823b9276b0ee1f17f,,25,1,275,72,False,True,True,25,False,,,,,,False
99,refs/remotes/origin/pull/51,cf6c64cd9bfab1aadba3ec4cc838f6467a1ae994,5fcd2eb7c24bcc9ed3099b2042599a1f50d1548d,7de2e268d1ef4a292ee4439dc66d6526d6051ff2,,30,18,143,12,False,False,True,13,False,,,,,,False
100,refs/remotes/origin/pull/57,ff88154c02064e12982e713b8452c956e9c1dbbf,4c0306de52b84291bcef07daac7711bc447e30b8,71106b3edf4aeacc641f3668d7f85b42379b5e1a,,33,1,346,160,False,True,True,33,False,,,,,,False
101,refs/remotes/origin/pull/57,cdfa06af3a7905f222858072c5891feae5b4123b,7b0ec6657753fd6d024efefb86d96c741ef225a3,e89a0e63b4cac54773f55f1816356f0818a918ae,,22,1,435,111,False,True,True,22,False,,,,,,False
102,refs/remotes/origin/pull/57,7b0ec6657753fd6d024efefb86d96c741ef225a3,0c510f94e8f17cba77bb8a2acd3338f1d40287f9,0f9cd5bbed07b2b458b929ea2b34d67789f03078,,21,1,236,109,False,True,True,21,False,,,,,,False
103,refs/remotes/origin/pull/57,36de1c5539affbff7e6fa91be2c597aede98aaa3,0c3c1f9ed8e8d5eb10bf66fb7f5d8d3168c8f581,5f9c76f832c6abb413735d906726ad62c6c26ada,,8,1,56,20,False,True,True,8,False,,,,,,False
104,refs/remotes/origin/pull/57,0c3c1f9ed8e8d5eb10bf66fb7f5d8d3168c8f581,ee0594aab71a2734c70215698195f4a53aa864f4,356782ec6ffd9aba6f9891b37f422717e3c22adb,,10,9,11,3,False,False,True,3,False,,,,,,False
105,refs/remotes/origin/pull/57,ee0594aab71a2734c70215698195f4a53aa864f4,17ef979a1566b28d5a844a04f48632e8e3d45602,c2d1b9c1bf51c73cebcdc99b8c084ae2e5a9f0d4,,96,94,4,2,False,False,True,3,False,,,,,,False
106,refs/remotes/origin/pull/60,c12d5dcd0c889924b4b776970a93b76a9ffe1e58,588e86ca6bac71b9d7dbeb4cc9dd8c1941fa36e8,75c6068442e62c270fea91bdf647b736831d76ea,,16,1,988,18,False,True,True,16,False,,,,,,False
107,refs/remotes/origin/pull/60,3093c6dc64330998c2f6b08c1e0284b232afaf2a,ad368e8d89e5fbce41bdf298af0841c1b57d3c79,08c727d27cd1d049d33059541d75fdecada44fa1,,4,1,10,4,False,False,True,4,False,,,,,,False
108,refs/remotes/origin/pull/60,ad368e8d89e5fbce41bdf298af0841c1b57d3c79,ff88154c02064e12982e713b8452c956e9c1dbbf,317df1255ed772fea190c9e9177b15c7c8396758,,30,28,5,3,False,False,True,3,False,,,,,,False
109,refs/remotes/origin/pull/64,edfffa8c5426415ffc3b55a857f7fda7d00fb2cc,cf9a5c30b27d59e842c3461f85f0181212f3ba71,b97205968472052e45791596fa03e34339783423,,27,27,12,4,True,True,True,2,False,Tests_failed,1ddf5473f5e79285f1205d7e09067013d5811d061d33104d27b3d20b4cd058f0,False,Tests_failed,ead91818793182c962b8e8cbcdc858af350eb4a7850229970d7699067e22ee02,False
110,refs/remotes/origin/pull/64,cf9a5c30b27d59e842c3461f85f0181212f3ba71,89bea69f8eea1dfa5e8cc75c0dc1a941e6306aa4,c6c09496bb32320047bcd0d9b2f9f315f2fedba8,,43,20,2421,81,True,True,True,30,False,Tests_failed,4e4d5a2c5fce59acc159540bd35e46304fb03bd51b19207fbbbb0941db812766,False,Tests_passed,44ab74f00b58fc9a500d25b5f3939bd2a37d434af35ca0fe07b6593db944a79c,False
112,refs/remotes/origin/pull/64,89bea69f8eea1dfa5e8cc75c0dc1a941e6306aa4,5550df625dfea8ee9cdccc0c0cb4f4c68fd46fd0,92604b1effaeee499cc82b3e833466c1303bec80,,36,14,1188,133,True,True,True,36,True,Tests_passed,1b2b48bdf7513b63b9be55f04eaf0057a560a16a7a3ce244c4ec83569cd52ec7,True,Tests_passed,54b465ab5a627006d402301d7c245fafd6ef29de9b2d2c6e192f94d6417a8997,True
