idx,branch_name,merge,left,right,notes,diff contains java file,diff_logs,imports_involved,non_java_involved,num_diff_files,num_diff_lines,test merge,sampled for testing
1,refs/heads/master,75a140f79feebd2204ffd5bc06067fd40d72ffa8,3424482aab2c6e4b4be0d916a5e02881f7b3deb0,7a629d3b853fb6b7c3d93353eed6399905b57032,,False,"{'base_left': 'cache/diff_analyzer/logs/GideonLeGrange/mikrotik-java/3424482aab2c6e4b4be0d916a5e02881f7b3deb0_7a629d3b853fb6b7c3d93353eed6399905b57032_base_left.log', 'base_right': 'cache/diff_analyzer/logs/GideonLeGrange/mikrotik-java/3424482aab2c6e4b4be0d916a5e02881f7b3deb0_7a629d3b853fb6b7c3d93353eed6399905b57032_base_right.log', 'left_right': 'cache/diff_analyzer/logs/GideonLeGrange/mikrotik-java/3424482aab2c6e4b4be0d916a5e02881f7b3deb0_7a629d3b853fb6b7c3d93353eed6399905b57032_left_right.log'}",True,True,4,27,False,False
5,refs/heads/master,b7a162099ffc2d7d89bf2bdb293353be7897a82b,80947044c6c55c23aa0ac4276a7c76a0a2a2e395,3b45c541dba4e28045ad80a3dff2e227a988b2ef,,False,"{'base_left': 'cache/diff_analyzer/logs/GideonLeGrange/mikrotik-java/80947044c6c55c23aa0ac4276a7c76a0a2a2e395_3b45c541dba4e28045ad80a3dff2e227a988b2ef_base_left.log', 'base_right': 'cache/diff_analyzer/logs/GideonLeGrange/mikrotik-java/80947044c6c55c23aa0ac4276a7c76a0a2a2e395_3b45c541dba4e28045ad80a3dff2e227a988b2ef_base_right.log', 'left_right': 'cache/diff_analyzer/logs/GideonLeGrange/mikrotik-java/80947044c6c55c23aa0ac4276a7c76a0a2a2e395_3b45c541dba4e28045ad80a3dff2e227a988b2ef_left_right.log'}",True,True,10,78,False,False
6,refs/heads/master,3b45c541dba4e28045ad80a3dff2e227a988b2ef,0116183b7d4f176c4d5933f9f82d7484d7ca7cca,4060e731310bec7440d3f853a449d630c762013f,,False,"{'base_left': 'cache/diff_analyzer/logs/GideonLeGrange/mikrotik-java/0116183b7d4f176c4d5933f9f82d7484d7ca7cca_4060e731310bec7440d3f853a449d630c762013f_base_left.log', 'base_right': 'cache/diff_analyzer/logs/GideonLeGrange/mikrotik-java/0116183b7d4f176c4d5933f9f82d7484d7ca7cca_4060e731310bec7440d3f853a449d630c762013f_base_right.log', 'left_right': 'cache/diff_analyzer/logs/GideonLeGrange/mikrotik-java/0116183b7d4f176c4d5933f9f82d7484d7ca7cca_4060e731310bec7440d3f853a449d630c762013f_left_right.log'}",True,True,12,94,False,False
7,refs/heads/master,6440ca029064b43f026c061028aa80f9b2c46858,aae18ec24839d82ab54340894f1b8e46f3de7fdf,36820ec411d23eed704a6d429522c40d132663c5,,False,"{'base_left': 'cache/diff_analyzer/logs/GideonLeGrange/mikrotik-java/aae18ec24839d82ab54340894f1b8e46f3de7fdf_36820ec411d23eed704a6d429522c40d132663c5_base_left.log', 'base_right': 'cache/diff_analyzer/logs/GideonLeGrange/mikrotik-java/aae18ec24839d82ab54340894f1b8e46f3de7fdf_36820ec411d23eed704a6d429522c40d132663c5_base_right.log', 'left_right': 'cache/diff_analyzer/logs/GideonLeGrange/mikrotik-java/aae18ec24839d82ab54340894f1b8e46f3de7fdf_36820ec411d23eed704a6d429522c40d132663c5_left_right.log'}",True,True,3,54,False,False
8,refs/heads/master,b52c80b600b7feb2724cc2c2a91c3aa2968e87cc,40ebed669adf54a3b3b099bc80c0979370bb5e98,56bd38672e450341c949cd368c71bce98e5c5802,,False,"{'base_left': 'cache/diff_analyzer/logs/GideonLeGrange/mikrotik-java/40ebed669adf54a3b3b099bc80c0979370bb5e98_56bd38672e450341c949cd368c71bce98e5c5802_base_left.log', 'base_right': 'cache/diff_analyzer/logs/GideonLeGrange/mikrotik-java/40ebed669adf54a3b3b099bc80c0979370bb5e98_56bd38672e450341c949cd368c71bce98e5c5802_base_right.log', 'left_right': 'cache/diff_analyzer/logs/GideonLeGrange/mikrotik-java/40ebed669adf54a3b3b099bc80c0979370bb5e98_56bd38672e450341c949cd368c71bce98e5c5802_left_right.log'}",True,True,3,22,False,False
9,refs/heads/master,7f5423dcecb2e52fa35d7e07deae7aa612e7b941,a6230a82bff891b406c34aee475ff32506ab12e4,6fe6aeb51103a4904b135800c11b6d16b0b50f7b,,False,"{'base_left': 'cache/diff_analyzer/logs/GideonLeGrange/mikrotik-java/a6230a82bff891b406c34aee475ff32506ab12e4_6fe6aeb51103a4904b135800c11b6d16b0b50f7b_base_left.log', 'base_right': 'cache/diff_analyzer/logs/GideonLeGrange/mikrotik-java/a6230a82bff891b406c34aee475ff32506ab12e4_6fe6aeb51103a4904b135800c11b6d16b0b50f7b_base_right.log', 'left_right': 'cache/diff_analyzer/logs/GideonLeGrange/mikrotik-java/a6230a82bff891b406c34aee475ff32506ab12e4_6fe6aeb51103a4904b135800c11b6d16b0b50f7b_left_right.log'}",True,True,4,21,False,False
10,refs/heads/master,2b5ade26fa93e41bb046461a614fec9573e4f3c6,9efcfe6edcbf9e63bb124c68d542aea5a99b470d,7ef283df90958bce4926b611f29147b5c4df86fd,,False,"{'base_left': 'cache/diff_analyzer/logs/GideonLeGrange/mikrotik-java/9efcfe6edcbf9e63bb124c68d542aea5a99b470d_7ef283df90958bce4926b611f29147b5c4df86fd_base_left.log', 'base_right': 'cache/diff_analyzer/logs/GideonLeGrange/mikrotik-java/9efcfe6edcbf9e63bb124c68d542aea5a99b470d_7ef283df90958bce4926b611f29147b5c4df86fd_base_right.log', 'left_right': 'cache/diff_analyzer/logs/GideonLeGrange/mikrotik-java/9efcfe6edcbf9e63bb124c68d542aea5a99b470d_7ef283df90958bce4926b611f29147b5c4df86fd_left_right.log'}",False,True,4,8,False,False
11,refs/heads/master,b6921f8f851fda642d5567729ce3e0661683f2b7,387da6e6cdea3afc842533bd9eb3f7a65133f78c,9d32ae054c9b0516417cd1b1a24b9f432c6ce8f9,,False,"{'base_left': 'cache/diff_analyzer/logs/GideonLeGrange/mikrotik-java/387da6e6cdea3afc842533bd9eb3f7a65133f78c_9d32ae054c9b0516417cd1b1a24b9f432c6ce8f9_base_left.log', 'base_right': 'cache/diff_analyzer/logs/GideonLeGrange/mikrotik-java/387da6e6cdea3afc842533bd9eb3f7a65133f78c_9d32ae054c9b0516417cd1b1a24b9f432c6ce8f9_base_right.log', 'left_right': 'cache/diff_analyzer/logs/GideonLeGrange/mikrotik-java/387da6e6cdea3afc842533bd9eb3f7a65133f78c_9d32ae054c9b0516417cd1b1a24b9f432c6ce8f9_left_right.log'}",True,True,3,17,False,False
12,refs/heads/master,8882226684fcf0b1e632fc343e8d102d44ce31b5,9f531220bfa729902c68f7166a7623920c309947,b23bcdbf4a107dd257ea10f462c014128d6b3c2a,,False,"{'base_left': 'cache/diff_analyzer/logs/GideonLeGrange/mikrotik-java/9f531220bfa729902c68f7166a7623920c309947_b23bcdbf4a107dd257ea10f462c014128d6b3c2a_base_left.log', 'base_right': 'cache/diff_analyzer/logs/GideonLeGrange/mikrotik-java/9f531220bfa729902c68f7166a7623920c309947_b23bcdbf4a107dd257ea10f462c014128d6b3c2a_base_right.log', 'left_right': 'cache/diff_analyzer/logs/GideonLeGrange/mikrotik-java/9f531220bfa729902c68f7166a7623920c309947_b23bcdbf4a107dd257ea10f462c014128d6b3c2a_left_right.log'}",True,True,3,3,False,False
14,refs/heads/master,0219fe43d824accce22ad679ff5c32cd213cfc8e,a2b109ebb7b52bb19179178fa31450c196493ead,d86e59c340c4cecacba41a1b2772cbd3ce8b7acc,,False,"{'base_left': 'cache/diff_analyzer/logs/GideonLeGrange/mikrotik-java/a2b109ebb7b52bb19179178fa31450c196493ead_d86e59c340c4cecacba41a1b2772cbd3ce8b7acc_base_left.log', 'base_right': 'cache/diff_analyzer/logs/GideonLeGrange/mikrotik-java/a2b109ebb7b52bb19179178fa31450c196493ead_d86e59c340c4cecacba41a1b2772cbd3ce8b7acc_base_right.log', 'left_right': 'cache/diff_analyzer/logs/GideonLeGrange/mikrotik-java/a2b109ebb7b52bb19179178fa31450c196493ead_d86e59c340c4cecacba41a1b2772cbd3ce8b7acc_left_right.log'}",True,True,9,197,False,False
