,gitmerge_ort,gitmerge_ort_ignorespace,git_hires_merge,spork,mergiraf,intellimerge,adjacent,imports,version_numbers,ivn,ivn_ignorespace
gitmerge_ort,-,2,0,5,2,8,0,0,0,0,2
gitmerge_ort_ignorespace,26,-,21,20,17,18,18,26,26,25,0
git_hires_merge,57,53,-,29,25,23,37,56,56,53,49
spork,262,242,214,-,91,68,214,233,258,224,202
mergiraf,166,157,133,48,-,42,136,151,166,147,135
intellimerge,1390,1285,1164,675,775,-,1139,1273,1389,1227,1148
adjacent,55,50,35,31,24,23,-,49,55,49,44
imports,0,1,0,7,2,12,0,-,0,0,1
version_numbers,0,2,0,5,2,8,0,0,-,0,2
ivn,0,1,0,7,2,12,0,0,0,-,1
ivn_ignorespace,26,0,21,22,17,22,19,26,26,25,-
