,idx,repo-idx,merge-idx,branch_name,merge,left,left_tree_fingerprint,right,right_tree_fingerprint,plumelib_ort_version_number,gitmerge_ort,repository
65,158-275,158,275,refs/heads/master,832e8d73da76b1c832cbe4aec12a5762dde7ff5b,e55ed74930caf8f30ec1954c2d5af2cab0d1d0f4,1e0ec74d6cde576c7a6d28245e3dd02368a3bc482f00234ece23f9e5909ad816,4a536076f53e725873c160903fc380e26f8c07d7,a764205c12cd63634ad530b3f818c4147f8c0585eea078c2c6f033701039c681,Tests_passed,Merge_failed,cloudslang/score
120,425-13,425,13,refs/heads/master,bc4a8d51912dc9956fb3d64324b0323e238bf5cb,4c30329c8e6a2edbeef81b32a3b0d4dc93066002,15361e6b4309664c029bd8d9c4bb224d028181cfca6ddf062bd6c6deafdfb79b,5c61b3d55841797a96287c892a68dab5bb65b8ba,f0a2e245eb78bd5bdfdf1e73aef4fb0d7a21eabb65fe756af30b7691c4d36b89,Tests_passed,Merge_failed,wnbittle/dyn4j
166,1017-30,1017,30,refs/remotes/origin/5.1.1-dev,b929d2658531c72608f85151ef3b27a265c5214b,aaa9d5bcddb1f0952d9d2b1a01e78269813584c0,f2b2fa2ddb9720336018c77fac329e4820e187c396ab5cc2e5a605fde7ad178b,ed4d387a4da8018e29e8cba0cad1c06deffec484,6851cd87583df5f35f5a7e4c7bb5ce82d321a1718b82edded9f3ad80203e34ef,Tests_passed,Merge_failed,mypurecloud/elasticsearch-lambda
538,2853-33,2853,33,refs/heads/develop,09a027f874dd8d9b98378cbedbbc18976c4d632d,d1a9e34e06778e9e509bd171d6ba54dd616ed087,03ea28123b2796b943d98210f0486c2241aeda31ef613b66918298368313c70b,0f9ab8a0431032431e88fce454e735833f1ae698,7a49d721ad15f5437d8b94a104b9bbe60bc539b90c33fb34d13a3dc404edc0e1,Tests_passed,Merge_failed,esapi/esapi-java-legacy
691,4134-94,4134,94,refs/heads/master,a73b5bf686d93a29daa3513d0e62422111b3f4b6,212b95bc3d85dfec1d2d2b27ac5d5b8a4aa06fc5,fc764aa3f192b9fd407e04f01935db53dfd1f9717c171532598a11b078e9ee0f,2d452fa3a767f08154527af54210a8ad5805df8f,5908c5716fb0b2b2f61dd4c09596f8c033f8348170303b8f404464df31fdb921,Tests_passed,Merge_failed,premium-minds/pm-wicket-utils
843,5184-32,5184,32,refs/remotes/origin/pull/253,58d840f35c4d9377ca244da54e897176b87de09d,6b6c943c1d2aaa365d5c952f061724d3a45aaa6b,0ad4ad3b62654dc0dc18eef944b3812e2f75a3b6ecfadebe08c2b50f2e72d868,020e7ccbcbc3ecd0f0139dd007acb24153e4510e,feb2cdcc6a6323b7bb14a6dd2742b207f147adebf28f57d9adeb911a1103fdd5,Tests_passed,Merge_failed,openhab/jmdns
850,5222-3,5222,3,refs/heads/master,b42af2c0ddfe2c92c1194ed0d7b581525f382ffc,8559f65bc3c3c04ec5ada926d95a416fa8a5ed46,3f5d60309b958ff710c71b4b883f440b923429a953a2f0c6170fe9e4541bc247,511361742f20e57a67560054d0ff634ec2c3e411,41304879a7a0d1b7e739bb4130cbe4092b4a3af69404869a4568eaf34959bd5c,Tests_passed,Merge_failed,dwslab/dwslib
851,5222-4,5222,4,refs/remotes/origin/pull/1,83dc42bd1fb663dcb6e293c7d9a951d373248c12,8cd70aed31c7b4ec1cc67f682b036236a4836e38,3f5d60309b958ff710c71b4b883f440b923429a953a2f0c6170fe9e4541bc247,511361742f20e57a67560054d0ff634ec2c3e411,41304879a7a0d1b7e739bb4130cbe4092b4a3af69404869a4568eaf34959bd5c,Tests_passed,Merge_failed,dwslab/dwslib
1017,6226-114,6226,114,refs/remotes/origin/httpclient-android,63c4c0de93ac1545662f946e7b8b821c6c85da68,db86712fee757b5b1808098856d6ac77837c2801,6abd3aac8693c66ef661bfaccfd62caf6b63bc2f347ae65add0a4058db77eda2,6b9cfe0eaef6462b8405ca2362a4b8a54b062fa4,8eb92b00d86730c2de3dd37ec19a9f8a15567df3237dd74fdd6a3e4152539178,Tests_passed,Merge_failed,uwolfer/gerrit-rest-java-client
1060,6478-11,6478,11,refs/heads/master,b522f15d294173f3325363b1853a57105be1b32c,e501c9b1eb2fd4eefe6ff379e99288363818b39d,90cfdb0592890517c267371b30b8aae7600ddd8555d6bc611d67c091f1278192,edc5367d6b31f6631dac5ba10ec21c07e908c25b,cdde78349d278c84f2a17e18827a141e6536efac4cd68c373b7c28ceeafbc8e3,Tests_passed,Merge_failed,nastel/tnt4j
1061,6478-13,6478,13,refs/heads/master,627930d2b4765450617ae73f3c5d4a7af62b97c2,90ce78c0eba903759538d042760362497ca10b56,8b99c52e2c24a34537e4d34808dee8da1482de5cf9c4872d16dc3e7d8cb2cf0a,2d191958a7ab53e2ba0d37d112f2386a24e63c8e,1e13ff31c149b138b0d4fd8d49ac48b9d9ca85c81d8982e744f92bad97e8c466,Tests_passed,Merge_failed,nastel/tnt4j
1164,6936-2,6936,2,refs/heads/master,72e5a506c66eb3f3864ce1830a7d6a26e24df6af,7dc1d3f3988aa7bda988107da8c95b0bf55440fd,38d6d2624deeb297aa74862539c30e08603ffa924faf13429477025272e9ce7b,74c5d493011cf0c3c15badae87203641aeb24fa0,f9068bde2818932cf899c1ac77e4f5a956782a317a79d0006e320c0c55079989,Tests_passed,Merge_failed,w3c/ldp-testsuite
1578,9256-178,9256,178,refs/remotes/origin/pull/536,84d135d65e268226831de22f40f1c041b11ac0f7,6c64055d9b81b51480ab844be1769a3637c2c29c,9ed42095ed4da53c6e17ea0b8f7ad5fc996e04c4ac6c19b4bcba2fc210095313,68515b71556b55266a74ef4183206224d18f1fe0,9fcaa757ec9d0b568dba479981807606d47140ff1aca39c0064ab80bea2cf194,Tests_passed,Merge_failed,awslabs/amazon-kinesis-client
1634,9556-122,9556,122,refs/remotes/origin/pull/530,3c8207aeda951276afff44ac5dfa7e05c07cb4c3,291737bb1a1016d72b2e0abae2bc7207dc337ca0,6ede8e7f125e03ae07afd9965fcc5eb417c4a7d8e03ac8ac2608d2d18e2f0aa3,8bf7914f5baa69adbb1a10c5b19637987b9b6b6f,59adf33ccf8b1e89f521c312fca0587f79ed6b631d61afb53b481f5578d0fd75,Tests_passed,Merge_failed,galenframework/galen
1821,10442-9,10442,9,refs/remotes/origin/version-0.10.0,e1a8fcececc66007b4a770ff37f17a5eafe79718,e2cac286ffa6742f7365f3cd58f83038c0986451,487d31ee43db08b0917b31521a41d78f4394c1d23fbb64cb5db020086aa4c630,a01da4c16a61a3e9e1de11655011de6c1ca71a5d,a8d98f83950ad6acb0c5df1a951382458845fa670dc3a9dc5792d0253be1f3b5,Tests_passed,Merge_failed,ekt/biblio-transformation-engine
1831,10523-7,10523,7,refs/heads/master,cb37f0f568da44fe8d0f9e9a88d96c8b5985b7af,b092f5eee672fdf7f8100336b35e37a9876f6f72,3d5db226b1eea292b58a10866b2630aa9bcf77f70239465833c1da80e693622f,acf907b4e45e33ae15c3af18fbe759a5cf3c4436,99a56448c6cf2678a36268bac069995107e2912a6072ff00973b8326fde4ea49,Tests_passed,Merge_failed,mbosecke/pebble
1955,11015-20,11015,20,refs/remotes/origin/1.2,5bf2597661014520aa35d0746d813bc012422c8c,33e6486562edeec6be5e0a90c6e7c868bd94381b,3d0810c58349314c5d970dd2c552f45a4be8836cdb5e2ab031cb6b788856009c,618ea967aaf811d96411c1ae2d921593de57446a,9b8fe86f95fecb955372aee2fab01b5e27f066ceda4c1ef385a90bd58cdd3849,Tests_passed,Merge_failed,yannbrrd/elasticsearch-entity-resolution
2364,13024-101,13024,101,refs/remotes/origin/pull/295,bcfc36277af06a98a808a3f83bc019232db1bd49,af3260c77d2cc0fe2c8b0d8089e7b7fd68abed91,a24c7f37958333a4571427a01f4dbe19b25233c70fe7e6e11a4b05e9156b4ba1,ec5cc1cd8fcab98c87e02837e9e774b1eff4328a,7cdf69ff6ad2e7881862c68a71160d1af043bc1d368780aedba30deed0e0ca88,Tests_passed,Merge_failed,rcarz/jira-client
2516,14428-71,14428,71,refs/heads/main,b5e448af3b363526f25633005608a912ba51bdb2,d74ea8ec790343808d42fa3d7fbcf6ba24d8f595,6b3a423d7cc27b36ab3d7c5e1239e5e789dc52b4e9988483084b4beb16ae4a4c,9b1e511fc8fcbae91163406791802cb8083dc06d,cb2738064fce01577a15c4f9f125d93cb1b33779229afedfd9b479c848518317,Tests_passed,Merge_failed,joel-costigliola/assertj-core
3102,17939-545,17939,545,refs/remotes/origin/2.1,dead4d1b9d0d8f2ac73ae1aff25a904132fe34c8,33e8bd6b4ddffc9af140b48d897e248373b32e25,ecaf369e4797edd65e798123a572eaf34b9261ffcbfb1b39b94262745cec73a0,021faf56f983a6fce1a5eb4a74e8438be9bf8982,47223f1fdb3cdc88acb72b56d16aea40e00b94cb67e1e407f04b5461d6809b12,Tests_passed,Merge_failed,datastax/java-driver
3112,17939-884,17939,884,refs/remotes/origin/pull/141,f9db519e4d495d703296848deb721b963c4d9cba,ba34bf7537299a6f7f37d882936c95fca25428b8,155d582a5f1471e5b1b2b9dff13ec285120ff6fdce2a3ab49d7d7873d5c32c1f,c3e27a7fa6af58b71d28b0bac57cd7a11db53941,4c05208164a473d7c3407b8e3d1996cfd0490a6abdec756c31f2b727eb9196ad,Tests_passed,Merge_failed,datastax/java-driver
3121,18228-77,18228,77,refs/remotes/origin/extensions-2.4.x,8fd31b3e8717249b185da0e271103a90b760e89b,7b84f67240d1fe92228648acbb9d67e4a0960ba7,6f27fca37c4d9988982bf676fa9ebb9164f23efa3cfac7b1cd386c15f62c470f,3607c69f55516200dd452f86afc2751818f498ee,6031e123e91269536304aba4f3fbf17cb4abb736dfae882ac34014429e7b6cfa,Tests_passed,Merge_failed,atmosphere/atmosphere-extensions
3315,21365-3,21365,3,refs/heads/master,98089dd68e02c743964636260303bbe67895c07c,a6928de6aa37cff1c03804063c8c31a45b7d768d,11376e5aa6419e491a2e950cbbbff1db3d23b61abd964ba7fd8eaf253f4e1c3e,05bc1fa15947a884a43f54dd5f9b6cb975256bce,d96a6d92de59fd8c055f60c4bbf7f6ad36b072c7f6e2c3d5c1e9ab7a6ab588ad,Tests_passed,Merge_failed,fasterxml/jackson-module-mrbean
3357,21559-430,21559,430,refs/remotes/origin/pull/696,5653c6aedb97a46aa4d94bbf8ea39fcb2174bcc3,142fd9ea361dc39b7a69e38c0f34310d8f4b0aa0,d66160117d3d7b6b2ebd51a892295892fcf4fb49859d18f5ce494f61910db14a,89e162b7203140d4546ba3a5bf7b2328cbb68b3f,859c9d1ae90579f9eeffb256d16be51586afab1f7af0e01e0607ddb964a0e6d6,Tests_passed,Merge_failed,masterthought/cucumber-reporting
3507,22385-2,22385,2,refs/heads/wicket-1.5,09940b84110f272a498b0956740d17684d48f1c3,fb62ed543a7b7e36412f501ffe1eb4906cb92dc1,b4f0103eb7ebd57aa6c32cc98b88decf44f436d2ed182f2c409c58c4c84c6801,eede8623fdeb4c0b07d4a37c6da1e5abe23fe37d,13cee4d48a55de96ca5dafac1489d9a4af378733434f92b701cfc22eecf1c794,Tests_passed,Merge_failed,duesenklipper/wicket-safemodel
