,repository,language,architecture,community,continuous_integration,documentation,history,issues,license,size,unit_test,stars,scorebased_org,randomforest_org,scorebased_utl,randomforest_utl
296895,pedrovgs/Algorithms,Java,0.932927,1,1,0.390942,89.0,0.75,1,6616,0.556371,1377,1,1,1,1
298729,real-logic/Agrona,Java,0.9625,3,0,0.287855,18.25,1.0,1,8456,0.372962,333,1,1,1,1
298898,real-logic/Aeron,Java,0.984375,3,0,0.244237,170.846161,5.0,1,25016,0.317236,1564,1,1,1,1
322977,PayPal/PayPal-Java-SDK,Java,0.986395,4,1,0.319865,10.708333,2.541667,1,28760,0.304418,164,1,1,1,1
336452,spring-guides/deprecate-tut-rest,Java,0.935028,2,0,0.044619,123.5,1.0,1,5640,0.387009,77,1,1,1,1
339856,schema-repo/schema-repo,Java,1.0,2,0,0.336067,27.333332,14.0,1,5466,0.252534,85,1,1,1,1
344071,jooby-project/jooby,Java,0.975186,1,1,0.243724,28.333332,6.444444,1,41162,0.641514,164,1,1,1,1
344332,ESAPI/esapi-java-legacy,Java,0.981685,6,0,0.416704,12.843373,4.518072,1,29625,0.339801,65,1,1,1,1
353154,bodar/totallylazy,Java,0.990079,2,0,0.015047,19.333332,0.259259,1,29020,0.273582,137,1,1,1,1
363615,HubSpot/jinjava,Java,1.0,1,1,0.094449,23.200001,0.6,1,12799,0.287926,113,1,1,1,1
372309,Stratio/flume-ingestion,Java,0.972727,3,1,0.20216,41.111111,3.888889,1,12215,0.385159,109,1,1,1,1
374593,Stratio/deep-spark,Java,0.97541,4,0,0.344083,67.07692,0.615385,1,20675,0.323616,163,1,1,1,1
376143,graphaware/neo4j-reco,Java,0.984127,1,1,0.453358,16.4,0.6,1,3295,0.287273,103,1,1,1,1
380295,Stratio/crossdata,Java,0.920398,5,0,0.335772,218.153839,0.076923,1,40340,0.370549,109,1,1,1,1
395442,andsel/moquette,Java,1.0,2,1,0.295054,13.973684,0.710526,1,9866,0.412129,278,1,1,1,1
404997,OpenHFT/Chronicle-Engine,Java,1.0,3,0,0.265127,26.0,0.0,1,3746,0.797268,105,1,1,1,1
432025,percolate/caffeine,Java,0.761905,2,0,0.19459,18.0,4.5,1,5855,0.513699,375,1,1,1,1
453845,square/burst,Java,0.88,3,1,0.138175,20.0,5.833333,1,1487,0.276515,328,1,1,1,1
454230,spring-cloud/spring-cloud-config,Java,0.836066,1,1,0.252234,45.888889,12.111111,1,4779,0.397998,151,1,1,1,1
458204,OpenHFT/Chronicle-Queue,Java,0.967742,4,0,0.20676,61.666668,3.0,1,19736,0.423098,582,1,1,1,1
458664,spring-projects/spring-sync,Java,0.881579,2,0,0.26325,12.5,2.5,1,5949,0.669917,88,1,1,1,1
461574,spring-cloud/spring-cloud-connectors,Java,0.995413,2,0,0.196964,13.333333,1.333333,1,8706,0.446494,73,1,1,1,1
462972,libgdx/gdx-ai,Java,0.991935,1,0,0.320297,31.666668,5.833333,1,17226,0.584313,275,1,1,1,1
464951,andrewgaul/modernizer-maven-plugin,Java,0.857143,1,1,0.06481,14.833333,4.166667,1,1807,0.482517,108,1,1,1,1
465809,davidmoten/rtree,Java,1.0,1,1,0.151998,115.666664,3.666667,1,4705,0.466422,297,1,1,1,1
466366,pushtorefresh/bamboo-storage,Java,0.923077,1,1,0.083267,32.333332,17.5,1,3614,0.358636,1579,1,1,1,1
466527,ReactiveX/RxJavaReactiveStreams,Java,0.866667,2,1,0.248366,17.25,4.0,1,1051,0.475995,93,1,1,1,1
468341,googlemaps/google-maps-services-java,Java,0.945055,3,1,0.456626,28.285713,10.142857,1,3807,0.372661,287,1,1,1,1
468363,jurmous/etcd4j,Java,1.0,1,0,0.316116,19.0,5.833333,1,1994,0.280363,72,1,1,1,1
471542,PayPal/SeLion,Java,0.898585,9,1,0.267833,18.25,10.75,1,41998,0.412216,56,1,1,1,1
480637,numenta/htm.java,Java,1.0,3,1,0.370013,76.85714,29.142857,1,18024,0.380353,134,1,1,1,1
482382,google/error-prone,Java,0.905941,6,1,0.294809,31.5,8.52381,1,40213,0.301651,834,1,1,1,1
487468,CalebFenton/simplify,Java,0.940397,1,1,0.035764,27.642857,2.428571,1,14798,0.371816,345,1,1,1,1
489582,poetix/protonpack,Java,1.0,2,1,0.245224,11.333333,2.5,1,1777,0.288741,166,1,1,1,1
489762,ReactiveX/RxAndroid,Java,0.957746,10,1,0.209464,11.028571,4.285714,1,4882,0.470009,5259,1,1,1,1
498592,pwittchen/NetworkEvents,Java,0.923077,1,1,0.277812,25.571428,6.428571,1,1496,0.267525,346,1,1,1,1
505761,bozaro/git-as-svn,Java,0.982558,1,1,0.207248,55.42857,9.142857,1,13781,0.258591,58,1,1,1,1
506134,sanity/quickml,Java,0.964912,3,1,0.077219,24.547619,1.666667,1,8880,0.253663,174,1,1,1,1
513346,jmrozanec/cron-utils,Java,0.94,1,1,0.255979,24.666668,1.5,1,5689,0.479265,58,1,1,1,1
514600,ehcache/ehcache3,Java,0.9375,6,0,0.299174,78.384613,26.692308,1,48089,0.376875,285,1,1,1,1
515139,Stratio/stratio-connector-mongodb,Java,0.977011,1,0,0.353355,29.0,0.0,1,6158,0.56873,67,1,0,1,1
535299,serso/android-checkout,Java,0.988889,2,1,0.291039,28.571428,4.714286,1,8405,0.340814,471,1,1,1,1
543111,techdev-solutions/trackr-backend,Java,0.961111,1,0,0.08428,39.692307,1.769231,1,9485,0.347535,122,1,1,1,1
543252,OryxProject/oryx,Java,0.876676,2,1,0.283138,75.75,24.875,1,19962,0.346418,702,1,1,1,1
551209,Firebase/geofire-java,Java,0.964286,3,0,0.14,14.5,1.333333,1,2670,0.446339,89,1,1,1,1
555971,nusco/narjillos,Java,0.884146,1,0,0.076562,61.272728,0.090909,1,8484,0.34103,54,1,1,1,1
556694,OpenHFT/Chronicle-Map,Java,0.963265,3,0,0.234997,292.75,2.25,1,34880,0.341263,358,1,1,1,1
572745,google/Refaster,Java,0.891566,1,0,0.306816,55.0,0.0,1,8966,0.383557,51,1,0,1,1
578981,google/openrtb-doubleclick,Java,0.892857,1,0,0.221448,20.5,3.375,1,5906,0.2637,78,1,1,1,1
580616,lenskit/lenskit,Java,0.878415,1,1,0.392309,65.881355,1.932203,1,49748,0.266154,382,1,1,1,1
594079,kairosdb/kairosdb,Java,0.99661,3,0,0.16346,23.0,4.76,1,32045,0.290646,731,1,1,1,1
604292,Stratio/stratio-ingestion,Java,0.968421,2,1,0.195656,54.333332,4.0,1,11067,0.353629,109,1,1,1,1
605318,Kixeye/chassis,Java,0.946429,2,1,0.224038,23.25,0.5,1,23176,0.388146,57,1,1,1,1
616578,ethereum/ethereumj,Java,0.993377,2,1,0.125153,162.100006,21.0,1,34677,0.295908,200,1,1,1,1
617922,spring-projects/spring-session,Java,0.872549,1,0,0.128944,20.0,19.444445,1,27216,0.517042,448,1,1,1,1
619576,google/truth,Java,1.0,2,1,0.258661,15.644444,1.955556,1,8012,0.62742,559,1,1,1,1
626296,libgdx/ashley,Java,0.984375,4,0,0.240641,12.2,5.68,1,4443,0.505353,338,1,1,1,1
637188,udacity/ud859,Java,0.914634,1,0,0.156688,12.0,1.0,1,11976,0.355715,116,1,1,1,1
641736,structurizr/java,Java,0.92623,1,0,0.082905,14.111111,1.0,1,4725,0.314202,153,1,1,1,1
654902,vladmihalcea/hibernate-master-class,Java,0.9875,1,0,0.056239,12.111111,0.111111,1,7382,0.896287,64,1,1,1,1
657935,spotify/helios,Java,0.989276,5,1,0.245323,180.888885,52.111111,1,33749,0.370839,1224,1,1,1,1
662920,getsentry/raven-java,Java,0.974138,1,1,0.158382,37.0,1.297297,1,10501,0.522214,166,1,1,1,1
680591,jayway/powermock,Java,0.984971,3,1,0.364008,12.463415,0.207317,1,45956,0.495498,435,1,1,1,1
690285,nguyenq/tess4j,Java,0.96,2,0,0.467695,18.700001,1.4,1,4016,0.475855,65,1,1,1,1
691652,flipkart-incubator/foxtrot,Java,0.963855,2,1,0.108762,33.0,1.5,1,48299,0.324755,52,1,1,1,1
702424,NFSdb/nfsdb,Java,0.988258,1,1,0.200465,32.454544,2.727273,1,36803,0.299682,82,1,1,1,1
710788,Stratio/stratio-deep,Java,0.98895,2,0,0.307185,79.714287,1.142857,1,18133,0.349993,163,1,1,1,1
711269,graphaware/neo4j-timetree,Java,1.0,1,1,0.210145,18.6,1.9,1,4302,0.650842,68,1,1,1,1
712952,Stratio/stratio-meta,Java,0.911243,6,0,0.362924,183.0,10.571429,1,23006,0.265787,109,1,1,1,1
735838,syncany/syncany,Java,0.98579,2,1,0.273956,110.066666,21.866667,1,47445,0.315128,1043,1,1,1,1
737133,thelinmichael/spotify-web-api-java,Java,1.0,1,1,0.067177,36.75,4.0,1,16346,0.255674,67,1,1,1,1
744921,caelum/mamute,Java,0.965278,5,1,0.077678,66.047623,6.857143,1,41216,0.275316,154,1,1,1,1
747049,dcevm/dcevm,Java,0.977778,2,0,0.295928,11.545455,4.727273,1,6634,0.799967,519,1,1,1,1
747585,XiaoMi/themis,Java,0.975207,1,0,0.03792,31.166668,0.666667,1,12094,0.454443,115,1,1,1,1
749850,WalnutiQ/WalnutiQ,Java,0.940476,2,1,0.221679,40.272728,9.818182,1,6447,0.312861,190,1,1,1,1
750905,puniverse/capsule,Java,0.96,1,1,0.167906,84.599998,5.8,1,7973,0.286595,882,1,1,1,1
752366,TestFX/TestFX,Java,0.986928,1,1,0.31109,31.785713,10.5,1,10718,0.434927,199,1,1,1,1
753844,recruit-tech/redpen,Java,0.901316,2,1,0.156477,51.23077,22.923077,1,32240,0.509327,132,1,1,1,1
762300,TNG/jgiven,Java,0.945455,1,1,0.086742,40.272728,5.909091,1,15420,0.333277,72,1,1,1,1
765951,square/okio,Java,0.97619,2,1,0.213434,21.583332,9.083333,1,6758,0.469895,1973,1,1,1,1
768670,mapzen/lost,Java,1.0,1,1,0.03192,12.818182,2.0,1,2292,0.510148,71,1,1,1,1
776084,appium/java-client,Java,0.97561,2,0,0.244594,21.090908,16.363636,1,4298,0.408538,163,1,1,1,1
788789,mapzen/mapzen-android-demo,Java,0.923077,3,1,0.020557,236.428574,32.57143,1,28288,0.472106,62,1,1,1,1
793467,spring-io/sagan,Java,0.990196,3,1,0.029476,36.538464,17.461538,1,44778,0.513343,546,1,1,1,1
794399,stagemonitor/stagemonitor,Java,0.964602,2,1,0.055682,44.916668,5.166667,1,26931,0.282292,444,1,1,1,1
827952,TouK/sputnik,Java,0.871622,6,1,0.062444,29.0,6.75,1,5503,0.334785,68,1,1,1,1
832872,nhnopensource/volley-extensions,Java,0.97561,1,0,0.332978,120.0,2.0,1,5210,0.379421,117,1,1,1,1
840155,ksoichiro/SimpleAlertDialog-for-Android,Java,0.95122,1,1,0.205038,16.888889,1.333333,1,7885,0.461373,71,1,1,1,1
848565,lemire/RoaringBitmap,Java,1.0,1,1,0.172302,20.333332,1.666667,1,13826,0.4335,322,1,1,1,1
850661,jOOQ/jOOL,Java,0.925532,1,1,0.41595,14.5,7.166667,1,6612,0.409237,465,1,1,1,1
854481,pedrovgs/Renderers,Java,0.970588,1,1,0.347416,16.363636,0.727273,1,1928,0.309045,750,1,1,1,1
872432,rocketscience-projects/javaslang,Java,0.983553,1,1,0.237627,50.76923,8.846154,1,25328,0.47611,590,1,1,1,1
875734,thiagolocatelli/parse4j,Java,1.0,1,0,0.108505,10.461538,3.0,1,7315,0.270028,118,1,1,1,1
877137,vladmihalcea/flexy-pool,Java,0.986842,1,0,0.204632,12.0,0.181818,1,4121,0.407646,165,1,1,1,1
